s,C,C,C,C,C,C,C,C,C,C,C,C
Time,SmEx15,SmEx25,SmEx35,SmEx45,LgEx15,LgEx25,LgEx35,LgEx45,Pine15,Pine25,Pine35,Pine45
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0452526E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0905053E-001, 1.4190479E+000, 8.1069146E-001, 5.1327358E-001, 3.0053929E-001, 1.1490639E+000, 6.6017386E-001, 4.1279656E-001, 2.3918915E-001, 1.3326589E+000, 7.8538540E-001, 4.8774977E-001, 2.8765298E-001
 3.1357579E-001, 1.4190479E+000, 8.1069146E-001, 5.1327358E-001, 3.0053929E-001, 1.1490639E+000, 6.6017386E-001, 4.1279656E-001, 2.3918915E-001, 1.3326589E+000, 7.8538540E-001, 4.8774977E-001, 2.8765298E-001
 4.1810106E-001, 3.5140994E+000, 1.9846471E+000, 1.2250607E+000, 6.9314935E-001, 2.3582760E+000, 1.3424001E+000, 8.2143393E-001, 4.4856533E-001, 2.8788739E+000, 1.7199146E+000, 1.0803920E+000, 6.2498683E-001
 5.2262632E-001, 3.5140994E+000, 1.9846471E+000, 1.2250607E+000, 6.9314935E-001, 2.3582760E+000, 1.3424001E+000, 8.2143393E-001, 4.4856533E-001, 2.8788739E+000, 1.7199146E+000, 1.0803920E+000, 6.2498683E-001
 6.2715159E-001, 5.4116679E+000, 3.0487686E+000, 1.8652632E+000, 1.0412464E+000, 3.2009017E+000, 1.8228889E+000, 1.1148411E+000, 6.0770141E-001, 4.2390065E+000, 2.5412541E+000, 1.6037561E+000, 9.2373910E-001
 7.3167685E-001, 5.4116679E+000, 3.0487686E+000, 1.8652632E+000, 1.0412464E+000, 3.2009017E+000, 1.8228889E+000, 1.1148411E+000, 6.0770141E-001, 4.2390065E+000, 2.5412541E+000, 1.6037561E+000, 9.2373910E-001
 8.3620211E-001, 8.4107235E+000, 4.9310488E+000, 3.1259316E+000, 1.8230896E+000, 5.5212569E+000, 3.3305817E+000, 2.1607461E+000, 1.2897824E+000, 6.9138813E+000, 4.2951524E+000, 2.8212890E+000, 1.7196729E+000
 9.4072738E-001, 8.4107235E+000, 4.9310488E+000, 3.1259316E+000, 1.8230896E+000, 5.5212569E+000, 3.3305817E+000, 2.1607461E+000, 1.2897824E+000, 6.9138813E+000, 4.2951524E+000, 2.8212890E+000, 1.7196729E+000
 1.0452526E+000, 1.3341868E+001, 8.2121513E+000, 5.4392833E+000, 3.3594203E+000, 9.0573212E+000, 5.6873925E+000, 3.8303764E+000, 2.4122633E+000, 1.1048202E+001, 7.0509181E+000, 4.7523381E+000, 2.9579848E+000
 1.1497779E+000, 1.3341868E+001, 8.2121513E+000, 5.4392833E+000, 3.3594203E+000, 9.0573212E+000, 5.6873925E+000, 3.8303764E+000, 2.4122633E+000, 1.1048202E+001, 7.0509181E+000, 4.7523381E+000, 2.9579848E+000
 1.2543032E+000, 1.8026383E+001, 1.1375368E+001, 7.6951363E+000, 4.8792888E+000, 1.1291941E+001, 7.1509223E+000, 4.8524444E+000, 3.0884178E+000, 1.4559030E+001, 9.3998189E+000, 6.4025546E+000, 4.0215313E+000
 1.3588284E+000, 1.8026383E+001, 1.1375368E+001, 7.6951363E+000, 4.8792888E+000, 1.1291941E+001, 7.1509223E+000, 4.8524444E+000, 3.0884178E+000, 1.4559030E+001, 9.3998189E+000, 6.4025546E+000, 4.0215313E+000
 1.4633537E+000, 2.3644396E+001, 1.5066014E+001, 1.0235065E+001, 6.4613069E+000, 1.5307074E+001, 9.5688184E+000, 6.3934578E+000, 3.9624232E+000, 1.9258995E+001, 1.2156482E+001, 8.1676083E+000, 5.0763603E+000
 1.5678790E+000, 2.3644396E+001, 1.5066014E+001, 1.0235065E+001, 6.4613069E+000, 1.5307074E+001, 9.5688184E+000, 6.3934578E+000, 3.9624232E+000, 1.9258995E+001, 1.2156482E+001, 8.1676083E+000, 5.0763603E+000
 1.6724042E+000, 3.0554463E+001, 1.9063379E+001, 1.2742454E+001, 7.9132176E+000, 2.0082939E+001, 1.1996092E+001, 7.7605922E+000, 4.7078863E+000, 2.5029602E+001, 1.5250066E+001, 9.9838705E+000, 6.0856375E+000
 1.7769295E+000, 3.0554463E+001, 1.9063379E+001, 1.2742454E+001, 7.9132176E+000, 2.0082939E+001, 1.1996092E+001, 7.7605922E+000, 4.7078863E+000, 2.5029602E+001, 1.5250066E+001, 9.9838705E+000, 6.0856375E+000
 1.8814548E+000, 3.6611354E+001, 2.2536665E+001, 1.4877758E+001, 9.1376477E+000, 2.3572968E+001, 1.3963461E+001, 8.9691479E+000, 5.4096605E+000, 2.9853921E+001, 1.7981732E+001, 1.1601455E+001, 7.0108410E+000
 1.9859800E+000, 3.6611354E+001, 2.2536665E+001, 1.4877758E+001, 9.1376477E+000, 2.3572968E+001, 1.3963461E+001, 8.9691479E+000, 5.4096605E+000, 2.9853921E+001, 1.7981732E+001, 1.1601455E+001, 7.0108410E+000
 2.0905053E+000, 4.2338774E+001, 2.6070003E+001, 1.6989425E+001, 1.0287255E+001, 2.8346855E+001, 1.6724088E+001, 1.0630691E+001, 6.2918849E+000, 3.5487376E+001, 2.1478462E+001, 1.3701509E+001, 8.2086390E+000
 2.1950305E+000, 4.2338774E+001, 2.6070003E+001, 1.6989425E+001, 1.0287255E+001, 2.8346855E+001, 1.6724088E+001, 1.0630691E+001, 6.2918849E+000, 3.5487376E+001, 2.1478462E+001, 1.3701509E+001, 8.2086390E+000
 2.2995558E+000, 4.7775123E+001, 2.9820124E+001, 1.9492334E+001, 1.1732048E+001, 3.3285184E+001, 1.9762273E+001, 1.2669491E+001, 7.5258067E+000, 4.1279399E+001, 2.5250941E+001, 1.6126029E+001, 9.7363762E+000
 2.4040811E+000, 4.7775123E+001, 2.9820124E+001, 1.9492334E+001, 1.1732048E+001, 3.3285184E+001, 1.9762273E+001, 1.2669491E+001, 7.5258067E+000, 4.1279399E+001, 2.5250941E+001, 1.6126029E+001, 9.7363762E+000
 2.5086063E+000, 5.1540417E+001, 3.2676933E+001, 2.1563674E+001, 1.3077990E+001, 3.7106033E+001, 2.2081426E+001, 1.4184225E+001, 8.4390373E+000, 4.5908703E+001, 2.8323236E+001, 1.8160542E+001, 1.1070631E+001
 2.6131316E+000, 5.1540417E+001, 3.2676933E+001, 2.1563674E+001, 1.3077990E+001, 3.7106033E+001, 2.2081426E+001, 1.4184225E+001, 8.4390373E+000, 4.5908703E+001, 2.8323236E+001, 1.8160542E+001, 1.1070631E+001
 2.7176569E+000, 5.4330802E+001, 3.4983118E+001, 2.3371308E+001, 1.4482648E+001, 4.1358499E+001, 2.4784873E+001, 1.6009299E+001, 9.5830544E+000, 5.0355857E+001, 3.1356084E+001, 2.0256137E+001, 1.2459004E+001
 2.8221821E+000, 5.4330802E+001, 3.4983118E+001, 2.3371308E+001, 1.4482648E+001, 4.1358499E+001, 2.4784873E+001, 1.6009299E+001, 9.5830544E+000, 5.0355857E+001, 3.1356084E+001, 2.0256137E+001, 1.2459004E+001
 2.9267074E+000, 5.6233271E+001, 3.6656663E+001, 2.4782954E+001, 1.5674539E+001, 4.5159857E+001, 2.7184701E+001, 1.7600936E+001, 1.0551977E+001, 5.4087254E+001, 3.3881731E+001, 2.2042532E+001, 1.3649839E+001
 3.0312327E+000, 5.6233271E+001, 3.6656663E+001, 2.4782954E+001, 1.5674539E+001, 4.5159857E+001, 2.7184701E+001, 1.7600936E+001, 1.0551977E+001, 5.4087254E+001, 3.3881731E+001, 2.2042532E+001, 1.3649839E+001
 3.1357579E+000, 5.7130372E+001, 3.7549442E+001, 2.5657825E+001, 1.6504653E+001, 4.8437751E+001, 2.9263592E+001, 1.9016096E+001, 1.1434491E+001, 5.6984892E+001, 3.5888266E+001, 2.3529227E+001, 1.4666464E+001
 3.2402832E+000, 5.7130372E+001, 3.7549442E+001, 2.5657825E+001, 1.6504653E+001, 4.8437751E+001, 2.9263592E+001, 1.9016096E+001, 1.1434491E+001, 5.6984892E+001, 3.5888266E+001, 2.3529227E+001, 1.4666464E+001
 3.3448085E+000, 5.7469879E+001, 3.7897571E+001, 2.6098685E+001, 1.7018013E+001, 5.1631859E+001, 3.1227222E+001, 2.0353741E+001, 1.2265121E+001, 5.9425919E+001, 3.7531527E+001, 2.4775234E+001, 1.5528903E+001
 3.4493337E+000, 5.7469879E+001, 3.7897571E+001, 2.6098685E+001, 1.7018013E+001, 5.1631859E+001, 3.1227222E+001, 2.0353741E+001, 1.2265121E+001, 5.9425919E+001, 3.7531527E+001, 2.4775234E+001, 1.5528903E+001
 3.5538590E+000, 5.7481324E+001, 3.7904316E+001, 2.6243918E+001, 1.7289086E+001, 5.4580577E+001, 3.3066978E+001, 2.1597040E+001, 1.3052925E+001, 6.1333100E+001, 3.8871062E+001, 2.5824173E+001, 1.6264061E+001
 3.6583842E+000, 5.7481324E+001, 3.7904316E+001, 2.6243918E+001, 1.7289086E+001, 5.4580577E+001, 3.3066978E+001, 2.1597040E+001, 1.3052925E+001, 6.1333100E+001, 3.8871062E+001, 2.5824173E+001, 1.6264061E+001
