m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Height,Left 29,Left 16,Left 3,Right 3,Right 16,Right 29
 1.0000000E-002, 3.0943929E+000, 1.5164627E+001, 1.1076779E+001, 1.1030087E+001, 1.5321928E+001, 3.1133330E+000
 3.0000000E-002, 3.2889524E+000, 2.1824101E+001, 1.4871022E+001, 1.4762682E+001, 2.2148366E+001, 3.3005951E+000
 5.0000000E-002, 3.3079139E+000, 2.1176370E+001, 1.8308454E+001, 1.8201784E+001, 2.1692839E+001, 3.3033741E+000
 7.0000000E-002, 3.2970422E+000, 1.8017724E+001, 2.1163580E+001, 2.1059672E+001, 1.8708469E+001, 3.2844270E+000
 9.0000000E-002, 3.2403372E+000, 1.5273335E+001, 2.3387858E+001, 2.3293187E+001, 1.5850068E+001, 3.2363030E+000
 1.1000000E-001, 3.1630798E+000, 1.3228258E+001, 2.5251053E+001, 2.5149959E+001, 1.3640048E+001, 3.1660292E+000
 1.3000000E-001, 3.0832160E+000, 1.1751102E+001, 2.6876866E+001, 2.6783904E+001, 1.1995438E+001, 3.0868996E+000
 1.5000000E-001, 3.0098546E+000, 1.0664631E+001, 2.8273454E+001, 2.8212412E+001, 1.0820895E+001, 3.0120845E+000
 1.7000000E-001, 2.9510089E+000, 9.8747040E+000, 2.9441879E+001, 2.9413541E+001, 9.9896481E+000, 2.9593390E+000
 1.9000000E-001, 2.9052991E+000, 9.3118999E+000, 3.0436923E+001, 3.0426660E+001, 9.4136605E+000, 2.9296153E+000
 2.1000000E-001, 2.8733568E+000, 8.9134656E+000, 3.1256712E+001, 3.1260033E+001, 9.0137093E+000, 2.9141529E+000
 2.3000000E-001, 2.8558494E+000, 8.6446710E+000, 3.1926413E+001, 3.1942171E+001, 8.7416478E+000, 2.9047581E+000
 2.5000000E-001, 2.8463620E+000, 8.4778519E+000, 3.2517741E+001, 3.2553719E+001, 8.5723255E+000, 2.8915610E+000
 2.7000000E-001, 2.8423858E+000, 8.4001357E+000, 3.3061654E+001, 3.3078866E+001, 8.4852053E+000, 2.8767686E+000
 2.9000000E-001, 2.8419975E+000, 8.3797654E+000, 3.3582420E+001, 3.3576421E+001, 8.4622600E+000, 2.8644415E+000
 3.1000000E-001, 2.8504559E+000, 8.4119243E+000, 3.4066934E+001, 3.4066539E+001, 8.4795348E+000, 2.8606088E+000
 3.3000000E-001, 2.8647166E+000, 8.4906177E+000, 3.4546896E+001, 3.4531113E+001, 8.5316678E+000, 2.8657692E+000
 3.5000000E-001, 2.8827506E+000, 8.6117647E+000, 3.5022177E+001, 3.4977665E+001, 8.6134127E+000, 2.8817023E+000
 3.7000000E-001, 2.9044359E+000, 8.7709715E+000, 3.5476916E+001, 3.5410824E+001, 8.7251756E+000, 2.9055158E+000
 3.9000000E-001, 2.9304796E+000, 8.9640820E+000, 3.5929427E+001, 3.5874054E+001, 8.8733850E+000, 2.9321135E+000
 4.1000000E-001, 2.9613145E+000, 9.1852314E+000, 3.6360296E+001, 3.6312835E+001, 9.0518904E+000, 2.9613589E+000
 4.3000000E-001, 2.9954093E+000, 9.4286019E+000, 3.6763444E+001, 3.6722034E+001, 9.2555640E+000, 2.9950283E+000
 4.5000000E-001, 3.0336542E+000, 9.6779208E+000, 3.7133099E+001, 3.7124478E+001, 9.4825151E+000, 3.0307114E+000
 4.7000000E-001, 3.0737739E+000, 9.9383579E+000, 3.7489025E+001, 3.7506060E+001, 9.7053738E+000, 3.0692199E+000
 4.9000000E-001, 3.1173181E+000, 1.0199849E+001, 3.7847330E+001, 3.7866486E+001, 9.8935976E+000, 3.1083637E+000
 5.1000000E-001, 3.1735364E+000, 1.0464987E+001, 3.8148422E+001, 3.8184269E+001, 1.0053862E+001, 3.1486410E+000
 5.3000000E-001, 3.2360985E+000, 1.0701560E+001, 3.8388815E+001, 3.8459334E+001, 1.0201063E+001, 3.1966320E+000
 5.5000000E-001, 3.3031492E+000, 1.0948154E+001, 3.8568974E+001, 3.8687666E+001, 1.0343414E+001, 3.2544158E+000
 5.7000000E-001, 3.3784830E+000, 1.1195729E+001, 3.8721070E+001, 3.8911978E+001, 1.0495577E+001, 3.3203929E+000
 5.9000000E-001, 3.4660300E+000, 1.1413253E+001, 3.8856396E+001, 3.9106437E+001, 1.0663086E+001, 3.3881555E+000
 6.1000000E-001, 3.5668770E+000, 1.1580716E+001, 3.8943447E+001, 3.9238434E+001, 1.0836277E+001, 3.4618306E+000
 6.3000000E-001, 3.6715856E+000, 1.1730194E+001, 3.8987783E+001, 3.9328133E+001, 1.1000278E+001, 3.5387992E+000
 6.5000000E-001, 3.7692133E+000, 1.1870430E+001, 3.9000733E+001, 3.9368351E+001, 1.1178622E+001, 3.6136683E+000
 6.7000000E-001, 3.8472232E+000, 1.2038237E+001, 3.8963607E+001, 3.9349746E+001, 1.1346835E+001, 3.6770647E+000
 6.9000000E-001, 3.9137616E+000, 1.2222518E+001, 3.8901090E+001, 3.9275100E+001, 1.1521248E+001, 3.7286591E+000
 7.1000000E-001, 3.9805183E+000, 1.2350215E+001, 3.8822135E+001, 3.9176094E+001, 1.1723060E+001, 3.7705025E+000
 7.3000000E-001, 4.0393256E+000, 1.2440388E+001, 3.8697630E+001, 3.9058087E+001, 1.1937835E+001, 3.7965795E+000
 7.5000000E-001, 4.0884542E+000, 1.2527963E+001, 3.8520452E+001, 3.8902653E+001, 1.2134924E+001, 3.8139331E+000
 7.7000000E-001, 4.1459428E+000, 1.2580256E+001, 3.8320178E+001, 3.8680872E+001, 1.2287352E+001, 3.8343700E+000
 7.9000000E-001, 4.2069846E+000, 1.2611870E+001, 3.8100634E+001, 3.8408382E+001, 1.2400811E+001, 3.8643774E+000
 8.1000000E-001, 4.2669915E+000, 1.2642589E+001, 3.7801155E+001, 3.8109523E+001, 1.2503183E+001, 3.8924586E+000
 8.3000000E-001, 4.3288289E+000, 1.2698351E+001, 3.7454887E+001, 3.7763438E+001, 1.2552564E+001, 3.9174904E+000
 8.5000000E-001, 4.3797686E+000, 1.2769993E+001, 3.7073400E+001, 3.7369461E+001, 1.2577055E+001, 3.9449278E+000
 8.7000000E-001, 4.4223300E+000, 1.2834710E+001, 3.6675536E+001, 3.6940564E+001, 1.2596960E+001, 3.9807997E+000
 8.9000000E-001, 4.4704554E+000, 1.2858869E+001, 3.6223159E+001, 3.6488821E+001, 1.2597195E+001, 4.0347417E+000
 9.1000000E-001, 4.5295709E+000, 1.2844134E+001, 3.5733957E+001, 3.5990809E+001, 1.2584323E+001, 4.0979894E+000
 9.3000000E-001, 4.5881716E+000, 1.2803029E+001, 3.5226530E+001, 3.5465368E+001, 1.2561581E+001, 4.1671299E+000
 9.5000000E-001, 4.6496388E+000, 1.2743444E+001, 3.4706756E+001, 3.4922122E+001, 1.2546501E+001, 4.2229077E+000
 9.7000000E-001, 4.7226554E+000, 1.2679065E+001, 3.4157672E+001, 3.4332307E+001, 1.2486400E+001, 4.2620829E+000
 9.9000000E-001, 4.7904905E+000, 1.2620674E+001, 3.3590498E+001, 3.3740855E+001, 1.2385532E+001, 4.2907517E+000
 1.0100000E+000, 4.8273567E+000, 1.2555268E+001, 3.3041702E+001, 3.3133486E+001, 1.2277963E+001, 4.3190444E+000
 1.0300000E+000, 4.8557814E+000, 1.2467752E+001, 3.2484105E+001, 3.2555996E+001, 1.2164835E+001, 4.3481261E+000
 1.0500000E+000, 4.8693635E+000, 1.2356291E+001, 3.1909225E+001, 3.1991179E+001, 1.2059442E+001, 4.3745236E+000
 1.0700000E+000, 4.8797254E+000, 1.2237795E+001, 3.1336446E+001, 3.1385409E+001, 1.1954485E+001, 4.3976145E+000
 1.0900000E+000, 4.8672614E+000, 1.2125715E+001, 3.0721003E+001, 3.0798937E+001, 1.1852347E+001, 4.4198086E+000
 1.1100000E+000, 4.8389777E+000, 1.2020041E+001, 3.0124685E+001, 3.0201033E+001, 1.1744686E+001, 4.4436528E+000
