m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Height,Left 29,Left 16,Left 3,Right 3,Right 16,Right 29
 1.0000000E-002, 3.2312185E+000, 1.4748077E+001, 9.7181480E+000, 9.7030395E+000, 1.4732536E+001, 3.2595097E+000
 3.0000000E-002, 3.4957728E+000, 2.2188964E+001, 1.2718921E+001, 1.2753096E+001, 2.2197144E+001, 3.5194523E+000
 5.0000000E-002, 3.5294690E+000, 2.3519796E+001, 1.5632963E+001, 1.5725152E+001, 2.3386369E+001, 3.5555285E+000
 7.0000000E-002, 3.5185407E+000, 2.0922129E+001, 1.8304544E+001, 1.8345180E+001, 2.0845963E+001, 3.5532239E+000
 9.0000000E-002, 3.4799399E+000, 1.7947473E+001, 2.0585413E+001, 2.0537834E+001, 1.7945620E+001, 3.5193370E+000
 1.1000000E-001, 3.4260079E+000, 1.5542241E+001, 2.2556916E+001, 2.2427033E+001, 1.5586779E+001, 3.4679381E+000
 1.3000000E-001, 3.3796441E+000, 1.3763119E+001, 2.4364750E+001, 2.4116355E+001, 1.3850396E+001, 3.4151856E+000
 1.5000000E-001, 3.3353125E+000, 1.2509910E+001, 2.6010481E+001, 2.5630334E+001, 1.2595170E+001, 3.3740091E+000
 1.7000000E-001, 3.3029089E+000, 1.1624816E+001, 2.7470120E+001, 2.6979191E+001, 1.1704464E+001, 3.3429741E+000
 1.9000000E-001, 3.2838420E+000, 1.1009728E+001, 2.8758374E+001, 2.8181153E+001, 1.1084049E+001, 3.3209808E+000
 2.1000000E-001, 3.2746893E+000, 1.0576734E+001, 2.9904464E+001, 2.9238756E+001, 1.0657427E+001, 3.3139961E+000
 2.3000000E-001, 3.2751629E+000, 1.0276504E+001, 3.0894858E+001, 3.0177332E+001, 1.0371578E+001, 3.3186634E+000
 2.5000000E-001, 3.2836886E+000, 1.0071784E+001, 3.1753195E+001, 3.1025315E+001, 1.0195163E+001, 3.3348169E+000
 2.7000000E-001, 3.3000610E+000, 9.9504630E+000, 3.2506805E+001, 3.1777856E+001, 1.0102554E+001, 3.3532091E+000
 2.9000000E-001, 3.3186484E+000, 9.9147922E+000, 3.3224302E+001, 3.2499710E+001, 1.0062752E+001, 3.3690726E+000
 3.1000000E-001, 3.3378664E+000, 9.9527697E+000, 3.3893399E+001, 3.3194133E+001, 1.0094157E+001, 3.3873031E+000
 3.3000000E-001, 3.3649950E+000, 1.0049427E+001, 3.4539614E+001, 3.3884089E+001, 1.0181193E+001, 3.4122672E+000
 3.5000000E-001, 3.4027985E+000, 1.0179908E+001, 3.5153158E+001, 3.4558064E+001, 1.0322786E+001, 3.4497696E+000
 3.7000000E-001, 3.4488392E+000, 1.0348634E+001, 3.5768797E+001, 3.5224259E+001, 1.0511299E+001, 3.5040222E+000
 3.9000000E-001, 3.4980152E+000, 1.0540341E+001, 3.6375537E+001, 3.5854527E+001, 1.0725057E+001, 3.5692901E+000
 4.1000000E-001, 3.5541724E+000, 1.0749855E+001, 3.6961077E+001, 3.6454436E+001, 1.0944026E+001, 3.6488464E+000
 4.3000000E-001, 3.6158828E+000, 1.0999720E+001, 3.7554917E+001, 3.7038894E+001, 1.1196194E+001, 3.7422683E+000
 4.5000000E-001, 3.6870899E+000, 1.1282313E+001, 3.8116939E+001, 3.7606812E+001, 1.1497476E+001, 3.8412751E+000
 4.7000000E-001, 3.7616755E+000, 1.1610932E+001, 3.8671771E+001, 3.8174953E+001, 1.1827639E+001, 3.9423889E+000
 4.9000000E-001, 3.8327176E+000, 1.1934452E+001, 3.9191653E+001, 3.8732498E+001, 1.2184312E+001, 4.0416265E+000
