m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Height,Left 29,Left 16,Left 3,Right 3,Right 16,Right 29
 1.0000000E-002, 2.8761402E+000, 1.5684418E+001, 1.3259366E+001, 1.3230938E+001, 1.6633961E+001, 2.8989696E+000
 3.0000000E-002, 2.9593924E+000, 2.0283916E+001, 1.8334442E+001, 1.8372269E+001, 2.2076523E+001, 2.9929549E+000
 5.0000000E-002, 2.9390741E+000, 1.7967224E+001, 2.2499105E+001, 2.2538063E+001, 1.9826817E+001, 2.9612811E+000
 7.0000000E-002, 2.9082517E+000, 1.4659515E+001, 2.5361481E+001, 2.5383319E+001, 1.6260342E+001, 2.9184975E+000
 9.0000000E-002, 2.8376548E+000, 1.2136115E+001, 2.7246646E+001, 2.7206355E+001, 1.3405854E+001, 2.8369450E+000
 1.1000000E-001, 2.7405567E+000, 1.0412992E+001, 2.8607072E+001, 2.8492788E+001, 1.1400460E+001, 2.7270722E+000
 1.3000000E-001, 2.6376814E+000, 9.2042654E+000, 2.9691212E+001, 2.9531598E+001, 1.0001964E+001, 2.6166008E+000
 1.5000000E-001, 2.5474798E+000, 8.3538401E+000, 3.0532808E+001, 3.0414798E+001, 8.9972608E+000, 2.5152806E+000
 1.7000000E-001, 2.4754892E+000, 7.7572160E+000, 3.1165985E+001, 3.1092028E+001, 8.2700376E+000, 2.4339811E+000
 1.9000000E-001, 2.4190566E+000, 7.3167499E+000, 3.1653485E+001, 3.1605821E+001, 7.7368384E+000, 2.3708145E+000
 2.1000000E-001, 2.3734471E+000, 6.9917264E+000, 3.2066915E+001, 3.2040073E+001, 7.3397763E+000, 2.3217145E+000
 2.3000000E-001, 2.3343713E+000, 6.7465333E+000, 3.2422654E+001, 3.2433257E+001, 7.0455435E+000, 2.2829730E+000
 2.5000000E-001, 2.3000363E+000, 6.5678290E+000, 3.2741570E+001, 3.2785397E+001, 6.8363217E+000, 2.2524768E+000
 2.7000000E-001, 2.2701660E+000, 6.4483468E+000, 3.3024751E+001, 3.3102100E+001, 6.6978870E+000, 2.2250861E+000
 2.9000000E-001, 2.2442339E+000, 6.3776400E+000, 3.3288151E+001, 3.3384833E+001, 6.6212341E+000, 2.2034484E+000
 3.1000000E-001, 2.2219478E+000, 6.3494810E+000, 3.3516120E+001, 3.3665795E+001, 6.5934100E+000, 2.1871166E+000
 3.3000000E-001, 2.2038171E+000, 6.3511203E+000, 3.3731009E+001, 3.3949142E+001, 6.6014142E+000, 2.1728982E+000
 3.5000000E-001, 2.1881199E+000, 6.3727382E+000, 3.3890649E+001, 3.4164009E+001, 6.6208383E+000, 2.1623842E+000
 3.7000000E-001, 2.1793030E+000, 6.4071290E+000, 3.4041475E+001, 3.4400460E+001, 6.6642670E+000, 2.1586155E+000
 3.9000000E-001, 2.1740589E+000, 6.4543577E+000, 3.4226980E+001, 3.4599656E+001, 6.7429371E+000, 2.1614643E+000
 4.1000000E-001, 2.1695308E+000, 6.5131555E+000, 3.4383226E+001, 3.4802103E+001, 6.8463290E+000, 2.1723074E+000
 4.3000000E-001, 2.1663363E+000, 6.5699596E+000, 3.4516787E+001, 3.4963632E+001, 6.9539190E+000, 2.1981081E+000
 4.5000000E-001, 2.1672136E+000, 6.6485472E+000, 3.4630556E+001, 3.5098889E+001, 7.0816572E+000, 2.2452912E+000
 4.7000000E-001, 2.1723265E+000, 6.7543496E+000, 3.4748261E+001, 3.5182612E+001, 7.2267559E+000, 2.2956835E+000
 4.9000000E-001, 2.1814732E+000, 6.8614114E+000, 3.4786748E+001, 3.5211115E+001, 7.3994348E+000, 2.3254109E+000
 5.1000000E-001, 2.1941855E+000, 6.9713913E+000, 3.4798821E+001, 3.5192539E+001, 7.5793698E+000, 2.3495794E+000
 5.3000000E-001, 2.2078509E+000, 7.0972596E+000, 3.4730951E+001, 3.5098294E+001, 7.7602872E+000, 2.3707349E+000
 5.5000000E-001, 2.2181537E+000, 7.2402586E+000, 3.4645126E+001, 3.4980235E+001, 7.8996119E+000, 2.3868895E+000
 5.7000000E-001, 2.2247087E+000, 7.3813340E+000, 3.4445976E+001, 3.4800605E+001, 8.0159772E+000, 2.3958224E+000
 5.9000000E-001, 2.2299020E+000, 7.5231887E+000, 3.4241297E+001, 3.4574019E+001, 8.0907357E+000, 2.4017583E+000
