s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 0.000E+00,-9.875E+00, 1.012E+01, 3.012E+01, 5.012E+01, 7.012E+01, 9.012E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.016E+00, 1.810E+00, 2.682E+01, 3.784E+01, 5.832E+01, 8.264E+01, 1.021E+02, 1.411E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 2.018E+00, 5.684E-01, 2.139E+01, 3.842E+01, 5.738E+01, 8.436E+01, 1.059E+02, 6.459E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 3.005E+00, 8.232E-01, 1.021E+01, 3.973E+01, 5.834E+01, 8.255E+01, 1.095E+02, 8.135E+02, 3.653E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 4.006E+00, 1.258E+00, 1.038E+01, 4.151E+01, 5.705E+01, 8.374E+01, 1.095E+02, 8.938E+02, 5.377E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 5.010E+00, 1.241E+00, 1.022E+01, 3.518E+01, 6.176E+01, 8.488E+01, 1.093E+02, 1.007E+03, 1.158E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 6.005E+00, 1.454E+00, 1.036E+01, 3.122E+01, 6.014E+01, 8.689E+01, 1.093E+02, 1.029E+03, 1.576E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 7.004E+00, 1.585E+00, 1.060E+01, 3.013E+01, 6.016E+01, 8.785E+01, 1.096E+02, 1.049E+03, 1.868E+02, 3.215E+01, 3.200E+01, 3.200E+01, 3.200E+01
 8.003E+00, 2.530E+00, 1.045E+01, 3.061E+01, 6.114E+01, 8.376E+01, 1.094E+02, 1.017E+03, 2.173E+02, 3.249E+01, 3.200E+01, 3.200E+01, 3.200E+01
 9.008E+00, 4.097E+00, 1.044E+01, 3.034E+01, 5.088E+01, 8.309E+01, 1.085E+02, 1.015E+03, 3.743E+02, 3.276E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.000E+01, 6.127E+00, 1.044E+01, 3.257E+01, 5.027E+01, 8.561E+01, 1.089E+02, 1.010E+03, 5.571E+02, 3.297E+01, 3.200E+01, 3.200E+01, 3.200E+01
