s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 0.000E+00,-9.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 9.025E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.018E+00, 2.518E+00, 1.993E+01, 3.482E+01, 5.798E+01, 8.264E+01, 1.015E+02, 4.939E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 2.029E+00, 7.500E-01, 2.258E+01, 4.289E+01, 6.636E+01, 8.813E+01, 1.048E+02, 3.837E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 3.036E+00, 1.193E+00, 1.025E+01, 3.572E+01, 5.767E+01, 7.132E+01, 1.086E+02, 7.244E+02, 3.205E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 4.054E+00, 1.577E+00, 1.025E+01, 3.394E+01, 6.800E+01, 7.311E+01, 1.098E+02, 7.667E+02, 3.308E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 5.024E+00, 1.795E+00, 1.025E+01, 3.280E+01, 6.864E+01, 7.302E+01, 1.098E+02, 8.399E+02, 3.456E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 6.012E+00, 2.250E+00, 1.025E+01, 3.130E+01, 6.419E+01, 7.153E+01, 1.095E+02, 9.084E+02, 3.866E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 7.006E+00, 2.697E+00, 1.025E+01, 3.025E+01, 6.331E+01, 7.387E+01, 1.097E+02, 9.104E+02, 4.472E+01, 3.201E+01, 3.200E+01, 3.200E+01, 3.200E+01
 8.019E+00, 4.540E+00, 1.025E+01, 3.025E+01, 5.108E+01, 7.436E+01, 1.097E+02, 8.321E+02, 5.629E+01, 3.203E+01, 3.200E+01, 3.200E+01, 3.200E+01
 9.026E+00, 5.281E+00, 1.025E+01, 3.025E+01, 5.246E+01, 7.949E+01, 1.097E+02, 8.008E+02, 1.953E+02, 3.212E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.003E+01, 5.399E+00, 1.025E+01, 3.025E+01, 5.062E+01, 8.226E+01, 1.097E+02, 7.728E+02, 3.253E+02, 3.241E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.103E+01, 6.840E+00, 1.037E+01, 3.025E+01, 5.033E+01, 7.567E+01, 1.094E+02, 7.687E+02, 5.175E+02, 3.259E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.200E+01, 8.909E+00, 1.026E+01, 3.025E+01, 5.025E+01, 7.254E+01, 1.097E+02, 7.898E+02, 7.132E+02, 3.305E+01, 3.201E+01, 3.200E+01, 3.200E+01
 1.301E+01, 9.186E+00, 1.069E+01, 3.025E+01, 5.025E+01, 7.128E+01, 1.097E+02, 7.644E+02, 8.393E+02, 3.372E+01, 3.202E+01, 3.200E+01, 3.200E+01
 1.401E+01, 9.684E+00, 1.210E+01, 3.025E+01, 5.025E+01, 7.197E+01, 1.092E+02, 7.235E+02, 8.588E+02, 3.596E+01, 3.204E+01, 3.200E+01, 3.200E+01
 1.503E+01, 9.248E+00, 1.309E+01, 3.029E+01, 5.025E+01, 7.123E+01, 1.098E+02, 6.357E+02, 8.544E+02, 4.824E+01, 3.217E+01, 3.200E+01, 3.200E+01
 1.602E+01, 9.750E+00, 1.464E+01, 3.202E+01, 5.025E+01, 7.124E+01, 1.097E+02, 5.897E+02, 8.481E+02, 5.070E+01, 3.245E+01, 3.200E+01, 3.200E+01
 1.702E+01, 9.750E+00, 1.573E+01, 3.227E+01, 5.083E+01, 7.025E+01, 1.095E+02, 3.840E+02, 8.589E+02, 4.892E+01, 3.258E+01, 3.200E+01, 3.200E+01
 1.801E+01, 9.750E+00, 1.692E+01, 3.090E+01, 5.220E+01, 7.025E+01, 1.097E+02, 2.765E+02, 8.697E+02, 5.296E+01, 3.258E+01, 3.201E+01, 3.200E+01
 1.900E+01, 9.750E+00, 1.805E+01, 3.125E+01, 5.176E+01, 7.025E+01, 1.098E+02, 1.902E+02, 8.955E+02, 5.155E+01, 3.263E+01, 3.203E+01, 3.200E+01
 2.002E+01, 9.034E+00, 2.017E+01, 3.175E+01, 5.092E+01, 7.025E+01, 1.097E+02, 1.363E+02, 9.404E+02, 4.959E+01, 3.272E+01, 3.211E+01, 3.200E+01
 2.102E+01, 8.250E+00, 2.165E+01, 3.180E+01, 5.349E+01, 7.025E+01, 1.097E+02, 1.111E+02, 9.162E+02, 4.883E+01, 3.278E+01, 3.229E+01, 3.200E+01
 2.201E+01, 8.250E+00, 2.279E+01, 3.102E+01, 5.026E+01, 7.028E+01, 1.076E+02, 9.543E+01, 9.545E+02, 5.090E+01, 3.416E+01, 3.247E+01, 3.200E+01
 2.300E+01, 8.250E+00, 2.392E+01, 3.036E+01, 5.089E+01, 7.285E+01, 9.025E+01, 8.485E+01, 9.645E+02, 8.847E+01, 3.499E+01, 3.248E+01, 3.201E+01
 2.400E+01, 8.250E+00, 2.610E+01, 3.030E+01, 5.056E+01, 7.191E+01, 9.025E+01, 7.662E+01, 9.479E+02, 1.344E+02, 3.563E+01, 3.250E+01, 3.203E+01
 2.502E+01, 8.607E+00, 2.719E+01, 3.040E+01, 5.034E+01, 7.117E+01, 9.025E+01, 7.095E+01, 9.564E+02, 1.327E+02, 3.435E+01, 3.259E+01, 3.213E+01
 2.602E+01, 9.353E+00, 2.820E+01, 3.025E+01, 5.347E+01, 7.190E+01, 9.025E+01, 6.682E+01, 9.593E+02, 5.900E+02, 3.430E+01, 3.275E+01, 3.226E+01
 2.701E+01, 8.937E+00, 2.910E+01, 3.030E+01, 5.079E+01, 7.232E+01, 9.036E+01, 6.388E+01, 9.605E+02, 8.941E+02, 3.514E+01, 3.283E+01, 3.239E+01
 2.800E+01, 8.250E+00, 2.958E+01, 3.121E+01, 5.172E+01, 7.025E+01, 9.365E+01, 6.138E+01, 8.508E+02, 9.277E+02, 3.509E+01, 3.288E+01, 3.240E+01
 2.900E+01, 8.250E+00, 2.946E+01, 3.228E+01, 5.115E+01, 7.088E+01, 9.930E+01, 5.918E+01, 7.226E+02, 9.628E+02, 3.476E+01, 3.300E+01, 3.240E+01
 3.001E+01, 8.250E+00, 2.974E+01, 3.387E+01, 5.073E+01, 7.090E+01, 1.040E+02, 5.725E+01, 5.994E+02, 9.418E+02, 3.493E+01, 3.298E+01, 3.246E+01
 3.102E+01, 8.250E+00, 2.975E+01, 3.526E+01, 5.157E+01, 7.025E+01, 9.930E+01, 5.509E+01, 3.507E+02, 9.323E+02, 3.541E+01, 3.340E+01, 3.248E+01
 3.201E+01, 9.604E+00, 2.975E+01, 3.666E+01, 5.187E+01, 7.195E+01, 1.001E+02, 5.374E+01, 2.036E+02, 9.548E+02, 3.908E+01, 3.350E+01, 3.256E+01
 3.302E+01, 9.750E+00, 2.975E+01, 3.814E+01, 5.278E+01, 7.053E+01, 1.041E+02, 5.251E+01, 1.454E+02, 9.311E+02, 6.651E+01, 3.352E+01, 3.264E+01
 3.401E+01, 9.750E+00, 2.975E+01, 3.954E+01, 5.477E+01, 7.052E+01, 1.054E+02, 5.117E+01, 1.102E+02, 9.303E+02, 7.598E+01, 3.370E+01, 3.259E+01
 3.500E+01, 9.750E+00, 2.945E+01, 4.094E+01, 5.693E+01, 7.153E+01, 9.025E+01, 5.000E+01, 8.967E+01, 9.375E+02, 7.746E+01, 3.385E+01, 3.282E+01
 3.602E+01, 9.750E+00, 2.929E+01, 4.293E+01, 5.771E+01, 7.522E+01, 9.025E+01, 4.871E+01, 7.913E+01, 9.423E+02, 7.349E+01, 3.383E+01, 3.314E+01
 3.702E+01, 9.750E+00, 2.940E+01, 4.425E+01, 5.438E+01, 7.900E+01, 9.233E+01, 4.746E+01, 7.146E+01, 9.310E+02, 6.733E+01, 3.367E+01, 3.318E+01
 3.802E+01, 9.750E+00, 2.932E+01, 4.575E+01, 5.031E+01, 7.688E+01, 9.454E+01, 4.645E+01, 7.038E+01, 9.232E+02, 9.506E+01, 3.349E+01, 3.312E+01
 3.901E+01, 9.750E+00, 2.958E+01, 4.711E+01, 5.040E+01, 7.030E+01, 9.864E+01, 4.554E+01, 6.789E+01, 9.428E+02, 2.016E+02, 3.421E+01, 3.315E+01
 4.002E+01, 2.164E+00, 2.967E+01, 4.841E+01, 5.025E+01, 7.042E+01, 1.039E+02, 4.488E+01, 6.460E+01, 9.580E+02, 6.476E+02, 3.830E+01, 3.320E+01
 4.101E+01, 1.750E+00, 2.928E+01, 4.896E+01, 5.047E+01, 7.137E+01, 1.085E+02, 4.464E+01, 6.287E+01, 8.852E+02, 8.404E+02, 3.776E+01, 3.314E+01
 4.202E+01, 1.750E+00, 2.960E+01, 4.926E+01, 5.154E+01, 7.125E+01, 1.045E+02, 4.439E+01, 6.059E+01, 8.168E+02, 9.202E+02, 3.735E+01, 3.302E+01
 4.300E+01, 1.750E+00, 2.925E+01, 4.965E+01, 5.245E+01, 8.164E+01, 9.189E+01, 4.418E+01, 5.910E+01, 7.014E+02, 9.140E+02, 3.746E+01, 3.620E+01
 4.402E+01, 1.750E+00, 2.925E+01, 4.975E+01, 5.445E+01, 7.025E+01, 9.356E+01, 4.396E+01, 5.767E+01, 5.183E+02, 9.128E+02, 3.679E+01, 3.611E+01
 4.502E+01, 1.750E+00, 2.925E+01, 4.975E+01, 5.527E+01, 7.039E+01, 9.741E+01, 4.378E+01, 5.598E+01, 3.903E+02, 8.878E+02, 3.657E+01, 3.481E+01
 4.601E+01, 1.750E+00, 2.925E+01, 4.975E+01, 5.655E+01, 7.134E+01, 1.024E+02, 4.359E+01, 5.465E+01, 2.462E+02, 9.412E+02, 3.960E+01, 3.478E+01
 4.702E+01, 1.750E+00, 2.925E+01, 4.975E+01, 5.804E+01, 7.232E+01, 1.030E+02, 4.343E+01, 5.400E+01, 1.867E+02, 9.623E+02, 4.200E+01, 3.478E+01
 4.802E+01, 1.750E+00, 2.925E+01, 4.961E+01, 6.044E+01, 7.176E+01, 1.070E+02, 4.327E+01, 5.310E+01, 1.337E+02, 9.429E+02, 6.067E+01, 3.460E+01
 4.902E+01, 1.750E+00, 2.925E+01, 4.959E+01, 6.146E+01, 7.025E+01, 9.661E+01, 4.313E+01, 5.194E+01, 1.004E+02, 9.220E+02, 1.385E+02, 3.432E+01
 5.000E+01, 1.750E+00, 2.925E+01, 4.975E+01, 6.294E+01, 7.043E+01, 9.454E+01, 4.298E+01, 5.052E+01, 8.667E+01, 9.115E+02, 1.002E+02, 3.431E+01
 5.102E+01, 1.750E+00, 2.925E+01, 4.884E+01, 6.467E+01, 7.025E+01, 9.030E+01, 4.285E+01, 5.026E+01, 8.004E+01, 9.100E+02, 9.213E+01, 3.431E+01
 5.201E+01, 1.750E+00, 2.925E+01, 4.953E+01, 6.606E+01, 7.068E+01, 9.025E+01, 4.272E+01, 4.985E+01, 7.703E+01, 9.320E+02, 1.307E+02, 3.421E+01
 5.302E+01, 1.750E+00, 2.925E+01, 4.975E+01, 6.819E+01, 7.025E+01, 9.025E+01, 4.260E+01, 4.912E+01, 7.056E+01, 9.033E+02, 2.817E+02, 3.424E+01
 5.401E+01, 1.750E+00, 2.925E+01, 4.975E+01, 6.888E+01, 7.025E+01, 9.025E+01, 4.248E+01, 4.804E+01, 6.659E+01, 9.227E+02, 8.436E+02, 3.432E+01
 5.501E+01, 1.750E+00, 2.925E+01, 4.951E+01, 6.948E+01, 7.065E+01, 9.116E+01, 4.236E+01, 4.738E+01, 6.297E+01, 8.773E+02, 9.238E+02, 3.621E+01
 5.601E+01, 1.750E+00, 2.925E+01, 4.973E+01, 6.939E+01, 7.167E+01, 9.254E+01, 4.226E+01, 4.697E+01, 5.884E+01, 7.838E+02, 9.606E+02, 3.701E+01
 5.701E+01, 1.750E+00, 2.925E+01, 4.938E+01, 6.945E+01, 7.345E+01, 9.365E+01, 4.216E+01, 4.650E+01, 5.660E+01, 6.634E+02, 8.806E+02, 3.710E+01
 5.802E+01, 1.750E+00, 2.925E+01, 4.782E+01, 6.975E+01, 7.450E+01, 9.371E+01, 4.206E+01, 4.587E+01, 5.409E+01, 4.666E+02, 9.581E+02, 3.871E+01
 5.900E+01, 1.750E+00, 2.925E+01, 4.671E+01, 6.975E+01, 7.576E+01, 9.410E+01, 4.195E+01, 4.538E+01, 5.349E+01, 2.612E+02, 8.873E+02, 4.056E+01
 6.001E+01, 1.750E+00, 2.925E+01, 4.609E+01, 6.975E+01, 7.701E+01, 9.166E+01, 4.187E+01, 4.493E+01, 5.191E+01, 1.646E+02, 8.560E+02, 4.224E+01
