s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 0.000E+00,-9.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 9.025E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.061E+00, 2.167E+00, 2.125E+01, 4.317E+01, 5.700E+01, 8.417E+01, 1.001E+02, 6.443E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 2.035E+00, 3.775E-01, 1.916E+01, 3.261E+01, 5.775E+01, 8.625E+01, 1.009E+02, 5.260E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 3.024E+00, 6.664E-01, 1.084E+01, 3.025E+01, 5.775E+01, 8.625E+01, 1.016E+02, 6.497E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 4.032E+00, 7.500E-01, 1.025E+01, 3.075E+01, 5.775E+01, 8.625E+01, 1.022E+02, 7.179E+02, 3.202E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 5.033E+00, 1.001E+00, 1.025E+01, 3.788E+01, 5.996E+01, 8.625E+01, 1.029E+02, 7.827E+02, 3.210E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 6.010E+00, 9.009E-01, 1.025E+01, 3.916E+01, 6.686E+01, 8.290E+01, 1.035E+02, 8.561E+02, 3.231E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 7.027E+00, 1.250E+00, 1.025E+01, 3.025E+01, 6.775E+01, 8.387E+01, 1.042E+02, 8.547E+02, 3.294E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 8.006E+00, 1.585E+00, 1.059E+01, 3.025E+01, 6.841E+01, 8.759E+01, 1.050E+02, 8.573E+02, 3.402E+01, 3.201E+01, 3.200E+01, 3.200E+01, 3.201E+01
 9.008E+00, 1.750E+00, 1.075E+01, 3.025E+01, 6.715E+01, 8.068E+01, 1.058E+02, 8.167E+02, 3.538E+01, 3.202E+01, 3.200E+01, 3.200E+01, 3.201E+01
 1.001E+01, 1.750E+00, 1.075E+01, 3.025E+01, 5.283E+01, 7.074E+01, 1.066E+02, 6.143E+02, 3.679E+01, 3.204E+01, 3.200E+01, 3.200E+01, 3.201E+01
 1.101E+01, 2.052E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.114E+01, 1.075E+02, 3.609E+02, 3.811E+01, 3.208E+01, 3.200E+01, 3.200E+01, 3.201E+01
 1.201E+01, 2.458E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.175E+01, 1.084E+02, 2.705E+02, 3.920E+01, 3.211E+01, 3.200E+01, 3.200E+01, 3.201E+01
 1.301E+01, 2.750E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.187E+01, 1.092E+02, 3.423E+02, 4.004E+01, 3.215E+01, 3.200E+01, 3.200E+01, 3.201E+01
 1.402E+01, 2.750E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.229E+01, 1.098E+02, 6.344E+02, 4.063E+01, 3.219E+01, 3.200E+01, 3.200E+01, 3.201E+01
 1.500E+01, 2.823E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.275E+01, 1.098E+02, 2.939E+02, 4.116E+01, 3.222E+01, 3.201E+01, 3.200E+01, 3.201E+01
 1.602E+01, 3.250E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.217E+01, 1.098E+02, 4.271E+02, 4.183E+01, 3.224E+01, 3.201E+01, 3.200E+01, 3.201E+01
 1.702E+01, 3.250E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.425E+01, 1.098E+02, 5.852E+02, 4.244E+01, 3.227E+01, 3.201E+01, 3.200E+01, 3.201E+01
 1.803E+01, 3.708E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.036E+01, 1.097E+02, 6.768E+02, 4.304E+01, 3.231E+01, 3.201E+01, 3.200E+01, 3.201E+01
 1.901E+01, 3.986E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 3.366E+02, 4.349E+01, 3.234E+01, 3.201E+01, 3.200E+01, 3.201E+01
 2.000E+01, 3.750E+00, 1.055E+01, 3.025E+01, 5.025E+01, 7.078E+01, 1.097E+02, 1.584E+02, 4.388E+01, 3.237E+01, 3.202E+01, 3.200E+01, 3.201E+01
 2.101E+01, 3.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.140E+01, 1.097E+02, 1.306E+02, 4.424E+01, 3.240E+01, 3.202E+01, 3.200E+01, 3.200E+01
 2.202E+01, 3.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.116E+01, 1.097E+02, 1.156E+02, 4.444E+01, 3.244E+01, 3.202E+01, 3.200E+01, 3.200E+01
 2.302E+01, 3.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 1.001E+02, 4.448E+01, 3.247E+01, 3.202E+01, 3.200E+01, 3.200E+01
 2.400E+01, 3.874E+00, 1.025E+01, 3.034E+01, 5.025E+01, 7.053E+01, 1.098E+02, 8.734E+01, 4.430E+01, 3.250E+01, 3.203E+01, 3.200E+01, 3.200E+01
 2.501E+01, 4.250E+00, 1.043E+01, 3.075E+01, 5.025E+01, 7.111E+01, 1.098E+02, 7.869E+01, 4.392E+01, 3.253E+01, 3.203E+01, 3.200E+01, 3.200E+01
 2.600E+01, 4.250E+00, 1.075E+01, 3.075E+01, 5.025E+01, 7.175E+01, 1.097E+02, 7.233E+01, 4.359E+01, 3.255E+01, 3.203E+01, 3.200E+01, 3.200E+01
 2.700E+01, 4.250E+00, 1.031E+01, 3.075E+01, 5.025E+01, 7.095E+01, 1.098E+02, 6.638E+01, 4.325E+01, 3.257E+01, 3.204E+01, 3.200E+01, 3.200E+01
 2.801E+01, 3.845E+00, 1.042E+01, 3.075E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.331E+01, 4.350E+01, 3.260E+01, 3.204E+01, 3.200E+01, 3.200E+01
 2.901E+01, 1.750E+00, 1.035E+01, 3.075E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.221E+01, 4.401E+01, 3.262E+01, 3.205E+01, 3.200E+01, 3.200E+01
 3.002E+01, 1.750E+00, 1.072E+01, 3.075E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.126E+01, 4.420E+01, 3.264E+01, 3.205E+01, 3.200E+01, 3.200E+01
 3.103E+01, 1.595E+00, 1.100E+01, 3.075E+01, 5.025E+01, 7.025E+01, 1.098E+02, 6.041E+01, 4.275E+01, 3.266E+01, 3.206E+01, 3.200E+01, 3.200E+01
 3.201E+01, 1.267E+00, 1.025E+01, 3.074E+01, 5.025E+01, 7.073E+01, 1.097E+02, 6.061E+01, 4.217E+01, 3.268E+01, 3.206E+01, 3.200E+01, 3.200E+01
 3.301E+01, 1.250E+00, 1.043E+01, 3.025E+01, 5.025E+01, 7.029E+01, 1.098E+02, 6.107E+01, 4.152E+01, 3.270E+01, 3.207E+01, 3.200E+01, 3.200E+01
 3.403E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.102E+01, 4.115E+01, 3.272E+01, 3.208E+01, 3.200E+01, 3.200E+01
 3.501E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 6.101E+01, 4.104E+01, 3.278E+01, 3.208E+01, 3.200E+01, 3.200E+01
 3.602E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.101E+01, 4.090E+01, 3.284E+01, 3.209E+01, 3.200E+01, 3.200E+01
 3.700E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 6.072E+01, 4.057E+01, 3.290E+01, 3.210E+01, 3.200E+01, 3.200E+01
 3.803E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.056E+01, 4.050E+01, 3.297E+01, 3.211E+01, 3.200E+01, 3.200E+01
 3.903E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 6.035E+01, 4.053E+01, 3.307E+01, 3.212E+01, 3.200E+01, 3.200E+01
 4.003E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 6.000E+01, 4.046E+01, 3.318E+01, 3.213E+01, 3.201E+01, 3.200E+01
 4.103E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.992E+01, 4.029E+01, 3.329E+01, 3.214E+01, 3.201E+01, 3.200E+01
 4.201E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.991E+01, 4.011E+01, 3.340E+01, 3.216E+01, 3.201E+01, 3.200E+01
 4.304E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.985E+01, 3.993E+01, 3.351E+01, 3.217E+01, 3.201E+01, 3.200E+01
 4.401E+01, 1.250E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 5.971E+01, 3.971E+01, 3.373E+01, 3.219E+01, 3.201E+01, 3.200E+01
 4.501E+01, 1.250E+00, 1.051E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 5.938E+01, 3.945E+01, 3.392E+01, 3.221E+01, 3.201E+01, 3.200E+01
 4.604E+01, 1.250E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.925E+01, 3.924E+01, 3.419E+01, 3.223E+01, 3.201E+01, 3.200E+01
 4.702E+01, 1.250E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.940E+01, 3.910E+01, 3.419E+01, 3.225E+01, 3.201E+01, 3.200E+01
 4.802E+01, 1.250E+00, 1.075E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.942E+01, 3.902E+01, 3.466E+01, 3.227E+01, 3.201E+01, 3.200E+01
 4.901E+01, 1.250E+00, 1.075E+01, 3.118E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.947E+01, 3.894E+01, 3.459E+01, 3.230E+01, 3.202E+01, 3.200E+01
 5.004E+01, 1.250E+00, 1.087E+01, 3.207E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.951E+01, 3.874E+01, 3.437E+01, 3.234E+01, 3.202E+01, 3.200E+01
 5.100E+01, 1.250E+00, 1.081E+01, 3.220E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.935E+01, 3.855E+01, 3.420E+01, 3.238E+01, 3.202E+01, 3.200E+01
 5.200E+01, 1.250E+00, 1.084E+01, 3.450E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.939E+01, 3.842E+01, 3.421E+01, 3.245E+01, 3.202E+01, 3.200E+01
 5.304E+01, 1.250E+00, 1.125E+01, 3.580E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.967E+01, 3.829E+01, 3.418E+01, 3.251E+01, 3.202E+01, 3.200E+01
 5.403E+01, 1.250E+00, 1.125E+01, 3.730E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.979E+01, 3.813E+01, 3.408E+01, 3.259E+01, 3.202E+01, 3.200E+01
 5.502E+01, 1.250E+00, 1.125E+01, 3.879E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.979E+01, 3.796E+01, 3.395E+01, 3.284E+01, 3.203E+01, 3.200E+01
 5.602E+01, 1.250E+00, 1.125E+01, 4.427E+01, 5.025E+01, 7.025E+01, 1.098E+02, 5.983E+01, 3.778E+01, 3.384E+01, 3.304E+01, 3.203E+01, 3.200E+01
 5.703E+01, 1.250E+00, 1.125E+01, 3.373E+01, 5.025E+01, 7.025E+01, 1.089E+02, 5.994E+01, 3.761E+01, 3.386E+01, 3.339E+01, 3.203E+01, 3.200E+01
 5.804E+01, 1.250E+00, 1.125E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.089E+02, 6.006E+01, 3.744E+01, 3.412E+01, 3.366E+01, 3.203E+01, 3.200E+01
 5.901E+01, 1.250E+00, 1.125E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.096E+02, 6.007E+01, 3.727E+01, 3.435E+01, 3.362E+01, 3.203E+01, 3.200E+01
 6.004E+01, 1.250E+00, 1.125E+01, 3.039E+01, 5.106E+01, 7.025E+01, 1.098E+02, 6.008E+01, 3.709E+01, 3.423E+01, 3.350E+01, 3.204E+01, 3.200E+01
