s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 0.000E+00,-9.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 9.025E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.018E+00, 2.518E+00, 2.074E+01, 3.502E+01, 5.767E+01, 8.245E+01, 1.015E+02, 4.923E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 2.037E+00, 7.885E-01, 2.044E+01, 3.971E+01, 6.325E+01, 8.560E+01, 1.048E+02, 3.722E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 3.014E+00, 9.216E-01, 1.095E+01, 3.503E+01, 6.611E+01, 8.572E+01, 1.086E+02, 6.701E+02, 3.204E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 4.012E+00, 1.276E+00, 1.025E+01, 3.397E+01, 6.796E+01, 8.454E+01, 1.097E+02, 7.240E+02, 3.312E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 5.044E+00, 2.001E+00, 1.025E+01, 3.279E+01, 6.495E+01, 8.594E+01, 1.097E+02, 7.559E+02, 3.556E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 6.008E+00, 2.399E+00, 1.025E+01, 4.149E+01, 5.939E+01, 7.796E+01, 1.094E+02, 8.226E+02, 3.842E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 7.029E+00, 2.653E+00, 1.025E+01, 3.025E+01, 5.941E+01, 7.704E+01, 1.098E+02, 8.628E+02, 4.570E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 8.018E+00, 2.877E+00, 1.025E+01, 3.025E+01, 5.127E+01, 7.781E+01, 1.097E+02, 7.747E+02, 5.747E+01, 3.201E+01, 3.200E+01, 3.200E+01, 3.200E+01
 9.007E+00, 2.964E+00, 1.025E+01, 3.025E+01, 5.313E+01, 7.958E+01, 1.097E+02, 7.335E+02, 8.576E+01, 3.210E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.002E+01, 4.467E+00, 1.029E+01, 3.025E+01, 5.090E+01, 8.236E+01, 1.098E+02, 7.469E+02, 9.169E+01, 3.238E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.100E+01, 3.906E+00, 1.027E+01, 3.025E+01, 5.119E+01, 8.126E+01, 1.094E+02, 7.368E+02, 1.290E+02, 3.256E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.201E+01, 3.973E+00, 1.049E+01, 3.025E+01, 5.025E+01, 7.866E+01, 1.097E+02, 7.307E+02, 1.710E+02, 3.273E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.301E+01, 4.872E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.680E+01, 1.098E+02, 7.083E+02, 2.645E+02, 3.301E+01, 3.201E+01, 3.200E+01, 3.200E+01
 1.403E+01, 5.597E+00, 1.053E+01, 3.025E+01, 5.025E+01, 7.221E+01, 1.095E+02, 7.005E+02, 2.969E+02, 3.341E+01, 3.203E+01, 3.200E+01, 3.200E+01
 1.501E+01, 5.483E+00, 1.036E+01, 3.030E+01, 5.025E+01, 7.180E+01, 1.098E+02, 7.075E+02, 2.923E+02, 3.450E+01, 3.215E+01, 3.200E+01, 3.200E+01
 1.602E+01, 5.684E+00, 1.053E+01, 3.025E+01, 5.031E+01, 7.043E+01, 1.097E+02, 6.972E+02, 3.341E+02, 4.084E+01, 3.238E+01, 3.200E+01, 3.200E+01
 1.701E+01, 7.484E+00, 1.056E+01, 3.126E+01, 5.260E+01, 7.025E+01, 1.098E+02, 6.846E+02, 3.822E+02, 4.253E+01, 3.242E+01, 3.200E+01, 3.200E+01
 1.802E+01, 8.556E+00, 1.025E+01, 3.140E+01, 5.040E+01, 7.025E+01, 1.097E+02, 7.046E+02, 5.948E+02, 4.674E+01, 3.248E+01, 3.201E+01, 3.200E+01
 1.901E+01, 9.476E+00, 1.025E+01, 3.122E+01, 5.244E+01, 7.025E+01, 1.097E+02, 7.415E+02, 7.393E+02, 4.545E+01, 3.253E+01, 3.202E+01, 3.200E+01
 2.001E+01, 9.514E+00, 1.047E+01, 3.297E+01, 5.197E+01, 7.025E+01, 1.097E+02, 7.398E+02, 7.449E+02, 4.615E+01, 3.264E+01, 3.209E+01, 3.200E+01
 2.100E+01, 9.434E+00, 1.065E+01, 3.498E+01, 5.039E+01, 7.025E+01, 1.098E+02, 6.978E+02, 7.003E+02, 4.267E+01, 3.316E+01, 3.227E+01, 3.200E+01
 2.203E+01, 9.335E+00, 1.082E+01, 3.038E+01, 5.046E+01, 7.070E+01, 1.069E+02, 6.451E+02, 6.674E+02, 4.695E+01, 3.478E+01, 3.235E+01, 3.200E+01
 2.302E+01, 9.366E+00, 1.101E+01, 3.057E+01, 5.149E+01, 7.471E+01, 9.025E+01, 6.956E+02, 7.086E+02, 5.427E+01, 3.494E+01, 3.233E+01, 3.201E+01
 2.402E+01, 9.750E+00, 1.132E+01, 3.025E+01, 5.046E+01, 7.031E+01, 9.025E+01, 6.770E+02, 7.159E+02, 5.236E+01, 3.577E+01, 3.248E+01, 3.203E+01
 2.501E+01, 9.750E+00, 1.237E+01, 3.038E+01, 5.160E+01, 7.113E+01, 9.025E+01, 5.034E+02, 7.040E+02, 5.131E+01, 3.581E+01, 3.254E+01, 3.211E+01
 2.601E+01, 9.750E+00, 1.299E+01, 3.336E+01, 5.318E+01, 7.473E+01, 9.025E+01, 3.142E+02, 7.125E+02, 5.342E+01, 3.661E+01, 3.254E+01, 3.223E+01
 2.702E+01, 9.750E+00, 1.395E+01, 3.099E+01, 5.055E+01, 7.075E+01, 9.025E+01, 2.080E+02, 7.155E+02, 6.767E+01, 4.209E+01, 3.400E+01, 3.228E+01
 2.801E+01, 9.750E+00, 1.489E+01, 3.118E+01, 5.262E+01, 7.105E+01, 9.066E+01, 1.687E+02, 7.378E+02, 7.297E+01, 4.308E+01, 3.468E+01, 3.235E+01
 2.901E+01, 9.750E+00, 1.540E+01, 3.170E+01, 5.391E+01, 7.047E+01, 9.324E+01, 1.351E+02, 7.443E+02, 9.096E+01, 4.550E+01, 3.526E+01, 3.233E+01
 3.000E+01, 9.750E+00, 1.560E+01, 3.178E+01, 5.124E+01, 7.186E+01, 9.049E+01, 1.141E+02, 7.434E+02, 8.167E+01, 4.930E+01, 3.504E+01, 3.238E+01
 3.101E+01, 9.750E+00, 1.672E+01, 3.088E+01, 5.424E+01, 7.547E+01, 9.225E+01, 1.001E+02, 7.062E+02, 8.799E+01, 4.712E+01, 3.467E+01, 3.236E+01
 3.201E+01, 9.750E+00, 1.606E+01, 3.275E+01, 5.108E+01, 7.657E+01, 9.895E+01, 8.951E+01, 6.736E+02, 9.033E+01, 5.849E+01, 3.434E+01, 3.244E+01
 3.300E+01, 9.750E+00, 1.680E+01, 3.375E+01, 5.544E+01, 7.887E+01, 9.051E+01, 8.154E+01, 6.997E+02, 8.331E+01, 5.857E+01, 3.398E+01, 3.288E+01
 3.400E+01, 9.750E+00, 1.815E+01, 3.165E+01, 5.984E+01, 7.025E+01, 9.311E+01, 7.573E+01, 7.112E+02, 8.280E+01, 5.677E+01, 3.454E+01, 3.289E+01
 3.503E+01, 9.750E+00, 1.937E+01, 3.067E+01, 5.549E+01, 7.059E+01, 9.648E+01, 7.069E+01, 7.065E+02, 9.728E+01, 5.259E+01, 3.697E+01, 3.285E+01
 3.603E+01, 9.750E+00, 2.018E+01, 3.208E+01, 5.169E+01, 7.279E+01, 1.007E+02, 6.651E+01, 7.190E+02, 9.460E+01, 5.102E+01, 3.810E+01, 3.285E+01
 3.702E+01, 9.750E+00, 2.064E+01, 3.110E+01, 5.104E+01, 7.112E+01, 1.044E+02, 6.281E+01, 6.916E+02, 1.075E+02, 5.462E+01, 3.860E+01, 3.288E+01
 3.804E+01, 9.750E+00, 2.188E+01, 3.515E+01, 5.208E+01, 7.025E+01, 1.087E+02, 5.967E+01, 6.483E+02, 9.369E+01, 5.374E+01, 3.943E+01, 3.281E+01
 3.903E+01, 9.750E+00, 2.237E+01, 3.061E+01, 5.071E+01, 7.104E+01, 9.025E+01, 5.714E+01, 6.814E+02, 1.112E+02, 5.389E+01, 3.897E+01, 3.270E+01
 4.001E+01, 9.750E+00, 2.240E+01, 3.051E+01, 5.335E+01, 7.140E+01, 9.051E+01, 5.498E+01, 6.918E+02, 1.019E+02, 5.269E+01, 3.883E+01, 3.364E+01
 4.103E+01, 9.750E+00, 2.368E+01, 3.025E+01, 5.165E+01, 7.025E+01, 9.161E+01, 5.322E+01, 6.622E+02, 1.119E+02, 5.446E+01, 3.864E+01, 3.439E+01
 4.200E+01, 9.750E+00, 2.384E+01, 3.034E+01, 5.119E+01, 7.103E+01, 9.597E+01, 5.175E+01, 7.131E+02, 1.202E+02, 5.697E+01, 3.896E+01, 3.424E+01
 4.301E+01, 9.750E+00, 2.486E+01, 3.054E+01, 5.095E+01, 7.300E+01, 9.811E+01, 5.059E+01, 6.979E+02, 1.223E+02, 5.387E+01, 3.895E+01, 3.424E+01
 4.402E+01, 9.750E+00, 2.570E+01, 3.027E+01, 5.117E+01, 7.290E+01, 9.948E+01, 4.949E+01, 6.657E+02, 1.701E+02, 5.494E+01, 3.821E+01, 3.423E+01
 4.502E+01, 9.750E+00, 2.619E+01, 3.044E+01, 5.366E+01, 7.242E+01, 1.006E+02, 4.844E+01, 6.559E+02, 1.695E+02, 5.611E+01, 3.801E+01, 3.473E+01
 4.602E+01, 9.750E+00, 2.628E+01, 3.033E+01, 5.118E+01, 7.036E+01, 9.025E+01, 4.750E+01, 6.577E+02, 2.146E+02, 5.645E+01, 4.091E+01, 3.524E+01
 4.700E+01, 9.750E+00, 2.715E+01, 3.062E+01, 5.223E+01, 7.177E+01, 9.054E+01, 4.672E+01, 6.747E+02, 2.733E+02, 5.497E+01, 4.493E+01, 3.560E+01
 4.804E+01, 9.750E+00, 2.725E+01, 3.036E+01, 5.082E+01, 7.379E+01, 9.204E+01, 4.604E+01, 6.736E+02, 3.124E+02, 5.763E+01, 4.397E+01, 3.577E+01
 4.903E+01, 9.750E+00, 2.800E+01, 3.025E+01, 5.273E+01, 7.133E+01, 9.400E+01, 4.530E+01, 6.801E+02, 3.929E+02, 5.871E+01, 4.318E+01, 3.542E+01
 5.004E+01, 9.750E+00, 2.917E+01, 3.025E+01, 5.110E+01, 7.053E+01, 9.355E+01, 4.466E+01, 6.582E+02, 5.647E+02, 6.073E+01, 4.397E+01, 3.512E+01
 5.102E+01, 9.750E+00, 2.958E+01, 3.025E+01, 5.513E+01, 7.025E+01, 9.338E+01, 4.414E+01, 6.777E+02, 6.608E+02, 5.784E+01, 4.725E+01, 3.582E+01
 5.204E+01, 9.750E+00, 2.939E+01, 3.039E+01, 5.921E+01, 7.217E+01, 1.022E+02, 4.357E+01, 6.512E+02, 6.498E+02, 5.485E+01, 5.173E+01, 3.684E+01
 5.301E+01, 9.750E+00, 2.921E+01, 3.066E+01, 5.584E+01, 7.499E+01, 1.005E+02, 4.298E+01, 6.091E+02, 6.690E+02, 5.617E+01, 5.130E+01, 3.748E+01
 5.402E+01, 9.750E+00, 2.959E+01, 3.160E+01, 5.987E+01, 7.336E+01, 1.014E+02, 4.245E+01, 6.434E+02, 6.795E+02, 5.523E+01, 4.927E+01, 4.041E+01
 5.502E+01, 6.338E+00, 2.975E+01, 3.115E+01, 5.287E+01, 7.230E+01, 1.038E+02, 4.197E+01, 6.171E+02, 6.716E+02, 5.471E+01, 4.795E+01, 4.167E+01
 5.601E+01, 1.750E+00, 2.975E+01, 3.232E+01, 5.079E+01, 7.173E+01, 1.060E+02, 4.178E+01, 5.097E+02, 6.639E+02, 6.094E+01, 4.864E+01, 4.089E+01
 5.704E+01, 1.750E+00, 2.975E+01, 3.307E+01, 5.435E+01, 7.600E+01, 1.059E+02, 4.168E+01, 3.523E+02, 6.800E+02, 5.875E+01, 4.993E+01, 3.853E+01
 5.802E+01, 1.750E+00, 2.946E+01, 3.295E+01, 5.148E+01, 8.027E+01, 9.803E+01, 4.158E+01, 2.355E+02, 6.669E+02, 6.059E+01, 4.899E+01, 3.757E+01
 5.900E+01, 1.750E+00, 2.925E+01, 3.378E+01, 5.162E+01, 7.986E+01, 9.328E+01, 4.149E+01, 1.753E+02, 6.547E+02, 6.347E+01, 4.817E+01, 3.791E+01
 6.002E+01, 1.750E+00, 2.925E+01, 3.446E+01, 5.301E+01, 7.078E+01, 9.040E+01, 4.140E+01, 1.382E+02, 6.565E+02, 6.224E+01, 4.949E+01, 4.180E+01
