m,C,m/s
Height,temp5,velo5
 1.2500000E-002, 4.7793534E+002, 8.9728077E-001
 3.7500000E-002, 4.7793534E+002, 8.9728077E-001
 6.2500000E-002, 7.7705317E+002, 1.6440867E+000
 8.7500000E-002, 7.7705317E+002, 1.6440867E+000
 1.1250000E-001, 8.5877735E+002, 2.2181828E+000
 1.3750000E-001, 8.5877735E+002, 2.2181828E+000
 1.6250000E-001, 8.4557259E+002, 2.6082397E+000
 1.8750000E-001, 8.4557259E+002, 2.6082397E+000
 2.1250000E-001, 7.8767666E+002, 2.8614235E+000
 2.3750000E-001, 7.8767666E+002, 2.8614235E+000
 2.6250000E-001, 7.1002645E+002, 2.9811518E+000
 2.8750000E-001, 7.1002645E+002, 2.9811518E+000
 3.1250000E-001, 6.2603990E+002, 3.0196078E+000
 3.3750000E-001, 6.2603990E+002, 3.0196078E+000
 3.6250000E-001, 5.4145066E+002, 3.0052878E+000
 3.8750000E-001, 5.4145066E+002, 3.0052878E+000
 4.1250000E-001, 4.6709213E+002, 2.9766655E+000
 4.3750000E-001, 4.6709213E+002, 2.9766655E+000
 4.6250000E-001, 4.0615478E+002, 2.9426112E+000
 4.8750000E-001, 4.0615478E+002, 2.9426112E+000
 5.1250000E-001, 3.5766676E+002, 2.9158364E+000
 5.3750000E-001, 3.5766676E+002, 2.9158364E+000
 5.6250000E-001, 3.1946958E+002, 2.8976347E+000
 5.8750000E-001, 3.1946958E+002, 2.8976347E+000
 6.1250000E-001, 2.8887207E+002, 2.8883515E+000
 6.3750000E-001, 2.8887207E+002, 2.8883515E+000
 6.6250000E-001, 2.6309009E+002, 2.8871479E+000
 6.8750000E-001, 2.6309009E+002, 2.8871479E+000
 7.1250000E-001, 2.4252547E+002, 2.8813401E+000
 7.3750000E-001, 2.4252547E+002, 2.8813401E+000
 7.6250000E-001, 2.2424843E+002, 2.8718849E+000
 7.8750000E-001, 2.2424843E+002, 2.8718849E+000
 8.1250000E-001, 2.0972022E+002, 2.8660126E+000
 8.3750000E-001, 2.0972022E+002, 2.8660126E+000
 8.6250000E-001, 1.9545073E+002, 2.8637895E+000
 8.8750000E-001, 1.9545073E+002, 2.8637895E+000
 9.1250000E-001, 1.8485693E+002, 2.8642565E+000
 9.3750000E-001, 1.8485693E+002, 2.8642565E+000
 9.6250000E-001, 1.7436694E+002, 2.8742777E+000
 9.8750000E-001, 1.7436694E+002, 2.8742777E+000
 1.0125000E+000, 1.6611491E+002, 2.8763736E+000
 1.0375000E+000, 1.6611491E+002, 2.8763736E+000
 1.0625000E+000, 1.5708974E+002, 2.8648450E+000
 1.0875000E+000, 1.5708974E+002, 2.8648450E+000
 1.1125000E+000, 1.4916865E+002, 2.8461794E+000
 1.1375000E+000, 1.4916865E+002, 2.8461794E+000
 1.1625000E+000, 1.4135325E+002, 2.8253001E+000
 1.1875000E+000, 1.4135325E+002, 2.8253001E+000
 1.2125000E+000, 1.3450971E+002, 2.8006377E+000
 1.2375000E+000, 1.3450971E+002, 2.8006377E+000
 1.2625000E+000, 1.2796742E+002, 2.7699831E+000
 1.2875000E+000, 1.2796742E+002, 2.7699831E+000
 1.3125000E+000, 1.2237983E+002, 2.7306987E+000
 1.3375000E+000, 1.2237983E+002, 2.7306987E+000
 1.3625000E+000, 1.1713747E+002, 2.6883791E+000
 1.3875000E+000, 1.1713747E+002, 2.6883791E+000
 1.4125000E+000, 1.1229320E+002, 2.6472212E+000
 1.4375000E+000, 1.1229320E+002, 2.6472212E+000
 1.4625000E+000, 1.0767624E+002, 2.6088902E+000
 1.4875000E+000, 1.0767624E+002, 2.6088902E+000
 1.5125000E+000, 1.0374799E+002, 2.5741624E+000
 1.5375000E+000, 1.0374799E+002, 2.5741624E+000
 1.5625000E+000, 9.9976493E+001, 2.5387458E+000
 1.5875000E+000, 9.9976493E+001, 2.5387458E+000
 1.6125000E+000, 9.6597470E+001, 2.5019915E+000
 1.6375000E+000, 9.6597470E+001, 2.5019915E+000
 1.6625000E+000, 9.3346592E+001, 2.4694846E+000
 1.6875000E+000, 9.3346592E+001, 2.4694846E+000
 1.7125000E+000, 9.0492832E+001, 2.4441423E+000
 1.7375000E+000, 9.0492832E+001, 2.4441423E+000
 1.7625000E+000, 8.7799353E+001, 2.4255295E+000
 1.7875000E+000, 8.7799353E+001, 2.4255295E+000
 1.8125000E+000, 8.5589098E+001, 2.4144410E+000
 1.8375000E+000, 8.5589098E+001, 2.4144410E+000
 1.8625000E+000, 8.3404206E+001, 2.4104372E+000
 1.8875000E+000, 8.3404206E+001, 2.4104372E+000
 1.9125000E+000, 8.1403204E+001, 2.4098146E+000
 1.9375000E+000, 8.1403204E+001, 2.4098146E+000
 1.9625000E+000, 7.9260464E+001, 2.4090538E+000
 1.9875000E+000, 7.9260464E+001, 2.4090538E+000
 2.0125000E+000, 7.7349007E+001, 2.4079631E+000
 2.0375000E+000, 7.7349007E+001, 2.4079631E+000
 2.0625000E+000, 7.5604293E+001, 2.4027814E+000
 2.0875000E+000, 7.5604293E+001, 2.4027814E+000
 2.1125000E+000, 7.4067267E+001, 2.3937237E+000
 2.1375000E+000, 7.4067267E+001, 2.3937237E+000
 2.1625000E+000, 7.2581808E+001, 2.3817258E+000
 2.1875000E+000, 7.2581808E+001, 2.3817258E+000
 2.2125000E+000, 7.1130104E+001, 2.3710646E+000
