m,C,m/s
Height,temp20,velo20
 1.0500000E-002, 3.8161174E+002, 1.5770397E-001
 3.1500000E-002, 6.4810965E+002, 5.0440393E-001
 5.2500000E-002, 7.9850623E+002, 9.3958453E-001
 7.3500000E-002, 8.9302958E+002, 1.3679707E+000
 9.4500000E-002, 9.8641752E+002, 1.9139060E+000
 1.1550000E-001, 1.0066017E+003, 2.0693841E+000
 1.3650000E-001, 1.0163657E+003, 2.4268578E+000
 1.5750000E-001, 1.0108531E+003, 2.5240040E+000
 1.7850000E-001, 9.8894676E+002, 2.6855334E+000
 1.9950000E-001, 9.5125450E+002, 2.8083972E+000
 2.2050000E-001, 8.9061226E+002, 2.9595010E+000
 2.4150000E-001, 8.5076743E+002, 3.0375070E+000
 2.6250000E-001, 8.3012682E+002, 3.0682902E+000
 2.8350000E-001, 7.6794471E+002, 3.1307585E+000
 3.0450000E-001, 7.4553396E+002, 3.1452655E+000
 3.2550000E-001, 7.0176204E+002, 3.1729734E+000
 3.4650000E-001, 6.6217150E+002, 3.1830565E+000
 3.6750000E-001, 6.2328474E+002, 3.1840541E+000
 3.8850000E-001, 5.5854663E+002, 3.1693940E+000
 4.0950000E-001, 5.3857157E+002, 3.1580442E+000
 4.3050000E-001, 4.8764131E+002, 3.1220667E+000
 4.5150000E-001, 4.5887406E+002, 3.1170700E+000
 4.7250000E-001, 4.3181779E+002, 3.1055301E+000
 4.9350000E-001, 4.0575691E+002, 3.0931938E+000
 5.1450000E-001, 3.9314042E+002, 3.0911780E+000
 5.3550000E-001, 3.6934492E+002, 3.0732455E+000
 5.5650000E-001, 3.4647640E+002, 3.0387006E+000
 5.7750000E-001, 3.2589246E+002, 3.0106692E+000
 5.9850000E-001, 3.0882026E+002, 3.0056866E+000
 6.1950000E-001, 2.9529777E+002, 3.0131063E+000
 6.4050000E-001, 2.8411634E+002, 3.0207278E+000
 6.6150000E-001, 2.7364599E+002, 3.0124222E+000
 6.8250000E-001, 2.6213769E+002, 2.9875356E+000
 7.0350000E-001, 2.5061325E+002, 2.9561554E+000
 7.2450000E-001, 2.3964129E+002, 2.9379750E+000
 7.4550000E-001, 2.2960415E+002, 2.9210692E+000
 7.6650000E-001, 2.2045103E+002, 2.9076455E+000
 7.8750000E-001, 2.1107356E+002, 2.8866592E+000
 8.0850000E-001, 2.0283219E+002, 2.8628922E+000
 8.2950000E-001, 1.9638122E+002, 2.8433924E+000
 8.5050000E-001, 1.9150595E+002, 2.8270210E+000
 8.7150000E-001, 1.8716010E+002, 2.8146587E+000
 8.9250000E-001, 1.8193554E+002, 2.8059288E+000
 9.1350000E-001, 1.7539764E+002, 2.7923232E+000
 9.3450000E-001, 1.6950879E+002, 2.7677534E+000
 9.5550000E-001, 1.6472427E+002, 2.7454155E+000
 9.7650000E-001, 1.6050379E+002, 2.7312592E+000
