m,C,m/s
Height,tmp,vel
 6.8460000E-003, 5.8402925E+002,-4.3746546E-002
 2.0481863E-002, 5.9928330E+002, 6.6553605E-002
 3.4117726E-002, 6.1199369E+002, 3.6981969E-001
 4.7753589E-002, 6.2181750E+002, 7.0893077E-001
 6.1389452E-002, 6.3223600E+002, 1.0459940E+000
 7.5025315E-002, 6.4391600E+002, 1.3639735E+000
 8.8661178E-002, 6.5597649E+002, 1.6513198E+000
 1.0229704E-001, 6.6842265E+002, 1.9056914E+000
 1.1593290E-001, 6.8159408E+002, 2.1313181E+000
 1.2956877E-001, 6.9633153E+002, 2.3348461E+000
 1.4320463E-001, 7.1187440E+002, 2.5227810E+000
 1.5684049E-001, 7.2686214E+002, 2.6977298E+000
 1.7047636E-001, 7.4071549E+002, 2.8599310E+000
 1.8411222E-001, 7.5434093E+002, 3.0094439E+000
 1.9774808E-001, 7.6795463E+002, 3.1477479E+000
 2.1138395E-001, 7.8059824E+002, 3.2735980E+000
 2.2501981E-001, 7.9298139E+002, 3.3859985E+000
 2.3865567E-001, 8.0490876E+002, 3.4852450E+000
 2.5229153E-001, 8.1512112E+002, 3.5720452E+000
 2.6592740E-001, 8.2298570E+002, 3.6469541E+000
 2.7956326E-001, 8.2860060E+002, 3.7089224E+000
 2.9319912E-001, 8.3204879E+002, 3.7615310E+000
 3.0683499E-001, 8.3316304E+002, 3.8091445E+000
 3.2047085E-001, 8.3259382E+002, 3.8528228E+000
 3.3410671E-001, 8.3063513E+002, 3.8912350E+000
 3.4774258E-001, 8.2896745E+002, 3.9308662E+000
 3.6137844E-001, 8.2749002E+002, 3.9642988E+000
 3.7501430E-001, 8.2505674E+002, 3.9915053E+000
 3.8865016E-001, 8.2127384E+002, 4.0146455E+000
 4.0228603E-001, 8.1668369E+002, 4.0354290E+000
 4.1592189E-001, 8.1193352E+002, 4.0494387E+000
 4.2955775E-001, 8.0620703E+002, 4.0599705E+000
 4.4319362E-001, 7.9994254E+002, 4.0706487E+000
 4.5682948E-001, 7.9360451E+002, 4.0852786E+000
 4.7046534E-001, 7.8624721E+002, 4.1010875E+000
 4.8410121E-001, 7.7805753E+002, 4.1170528E+000
 4.9773707E-001, 7.6979268E+002, 4.1283590E+000
 5.1137293E-001, 7.6126705E+002, 4.1332803E+000
 5.2500879E-001, 7.5161444E+002, 4.1343164E+000
 5.3864466E-001, 7.4093306E+002, 4.1320837E+000
 5.5228052E-001, 7.2909181E+002, 4.1289226E+000
 5.6591638E-001, 7.1736498E+002, 4.1229083E+000
 5.7955225E-001, 7.0581941E+002, 4.1145668E+000
 5.9318811E-001, 6.9509153E+002, 4.1072022E+000
 6.0682397E-001, 6.8454694E+002, 4.1066272E+000
 6.2045984E-001, 6.7436341E+002, 4.1110411E+000
 6.3409570E-001, 6.6492344E+002, 4.1180429E+000
 6.4773156E-001, 6.5614354E+002, 4.1257745E+000
 6.6136742E-001, 6.4780445E+002, 4.1296060E+000
 6.7500329E-001, 6.3857034E+002, 4.1291816E+000
 6.8863915E-001, 6.2799367E+002, 4.1262653E+000
 7.0227501E-001, 6.1635666E+002, 4.1229637E+000
 7.1591088E-001, 6.0385877E+002, 4.1162898E+000
 7.2954674E-001, 5.9099467E+002, 4.1091310E+000
 7.4318260E-001, 5.7894293E+002, 4.1028238E+000
 7.5681847E-001, 5.6819667E+002, 4.0993914E+000
 7.7045433E-001, 5.5845352E+002, 4.1020679E+000
 7.8409019E-001, 5.4929202E+002, 4.1075157E+000
 7.9772605E-001, 5.3931715E+002, 4.1094997E+000
 8.1136192E-001, 5.2816162E+002, 4.1080228E+000
 8.2499778E-001, 5.1773576E+002, 4.1049070E+000
 8.3863364E-001, 5.0827913E+002, 4.1000520E+000
 8.5226951E-001, 4.9927374E+002, 4.0923361E+000
 8.6590537E-001, 4.9013467E+002, 4.0782898E+000
 8.7954123E-001, 4.8104383E+002, 4.0619515E+000
 8.9317710E-001, 4.7230181E+002, 4.0499153E+000
 9.0681296E-001, 4.6382050E+002, 4.0428486E+000
 9.2044882E-001, 4.5549272E+002, 4.0379905E+000
 9.3408468E-001, 4.4689649E+002, 4.0363365E+000
 9.4772055E-001, 4.3806818E+002, 4.0348701E+000
 9.6135641E-001, 4.2934934E+002, 4.0342858E+000
 9.7499227E-001, 4.2143796E+002, 4.0310838E+000
 9.8862814E-001, 4.1319265E+002, 4.0262249E+000
 1.0022640E+000, 4.0487599E+002, 4.0161489E+000
 1.0158999E+000, 3.9644117E+002, 4.0007457E+000
 1.0295357E+000, 3.8851376E+002, 3.9832601E+000
 1.0431716E+000, 3.8163308E+002, 3.9677002E+000
 1.0568075E+000, 3.7511689E+002, 3.9525315E+000
 1.0704433E+000, 3.6967442E+002, 3.9393581E+000
 1.0840792E+000, 3.6425535E+002, 3.9317423E+000
 1.0977150E+000, 3.5821911E+002, 3.9242223E+000
 1.1113509E+000, 3.5226401E+002, 3.9181095E+000
 1.1249868E+000, 3.4595554E+002, 3.9104809E+000
 1.1386226E+000, 3.3921509E+002, 3.8998539E+000
 1.1522585E+000, 3.3195813E+002, 3.8850800E+000
 1.1658944E+000, 3.2518115E+002, 3.8705554E+000
 1.1795302E+000, 3.1950743E+002, 3.8545808E+000
 1.1931661E+000, 3.1465107E+002, 3.8368062E+000
 1.2068019E+000, 3.0836387E+002, 3.8525906E+000
 1.2204378E+000, 3.0289447E+002, 3.8048864E+000
 1.2340737E+000, 2.8734211E+002, 3.7938235E+000
 1.2477095E+000, 2.8734211E+002, 3.7938235E+000
 1.2613454E+000, 2.7879955E+002, 3.7854896E+000
 1.2749813E+000, 2.7109896E+002, 3.7775426E+000
 1.2886171E+000, 2.7109896E+002, 3.7775426E+000
 1.3022530E+000, 2.6414392E+002, 3.7702152E+000
 1.3158888E+000, 2.5778928E+002, 3.7632240E+000
 1.3295247E+000, 2.5778928E+002, 3.7632240E+000
 1.3431606E+000, 2.5195063E+002, 3.7557512E+000
 1.3567964E+000, 2.4626558E+002, 3.7465797E+000
 1.3704323E+000, 2.4626558E+002, 3.7465797E+000
 1.3840682E+000, 2.4054265E+002, 3.7346083E+000
 1.3977040E+000, 2.3474138E+002, 3.7214899E+000
 1.4113399E+000, 2.3474138E+002, 3.7214899E+000
 1.4249758E+000, 2.2901810E+002, 3.7074936E+000
