m,C,m/s
Height,temp20,velo20
 1.2500000E-002, 3.0895384E+002, 2.7918895E-001
 3.7500000E-002, 5.2170229E+002, 7.3867819E-001
 6.2500000E-002, 6.6628907E+002, 1.2376509E+000
 8.7500000E-002, 7.5169348E+002, 1.6770782E+000
 1.1250000E-001, 8.0599363E+002, 2.0397855E+000
 1.3750000E-001, 8.4814003E+002, 2.3481829E+000
 1.6250000E-001, 8.8102520E+002, 2.6162811E+000
 1.8750000E-001, 9.0923697E+002, 2.8546069E+000
 2.1250000E-001, 9.3304464E+002, 3.0706990E+000
 2.3750000E-001, 9.4540354E+002, 3.2558724E+000
 2.6250000E-001, 9.4364503E+002, 3.3941134E+000
 2.8750000E-001, 9.3083618E+002, 3.5047243E+000
 3.1250000E-001, 9.0471063E+002, 3.5867665E+000
 3.3750000E-001, 8.7250053E+002, 3.6459046E+000
 3.6250000E-001, 8.3856621E+002, 3.6897730E+000
 3.8750000E-001, 8.0572324E+002, 3.7225915E+000
 4.1250000E-001, 7.7382685E+002, 3.7437179E+000
 4.3750000E-001, 7.4336602E+002, 3.7523035E+000
 4.6250000E-001, 7.1149335E+002, 3.7462690E+000
 4.8750000E-001, 6.8101035E+002, 3.7507283E+000
 5.1250000E-001, 6.5455304E+002, 3.7652954E+000
 5.3750000E-001, 6.2556403E+002, 3.7610340E+000
 5.6250000E-001, 6.0898743E+002, 3.7470514E+000
 5.8750000E-001, 5.5604378E+002, 3.6875488E+000
 6.1250000E-001, 5.1918154E+002, 3.6601533E+000
 6.3750000E-001, 5.0207701E+002, 3.6430627E+000
 6.6250000E-001, 4.5753400E+002, 3.6017753E+000
 6.8750000E-001, 4.4465109E+002, 3.5921465E+000
 7.1250000E-001, 4.0644097E+002, 3.5506171E+000
 7.3750000E-001, 3.9295075E+002, 3.5344024E+000
 7.6250000E-001, 3.5677373E+002, 3.4743606E+000
 7.8750000E-001, 3.3858071E+002, 3.4374007E+000
 8.1250000E-001, 3.2204138E+002, 3.4024723E+000
 8.3750000E-001, 3.0735492E+002, 3.3614042E+000
 8.6250000E-001, 3.0059015E+002, 3.3425613E+000
 8.8750000E-001, 2.7926547E+002, 3.3009511E+000
 9.1250000E-001, 2.6481016E+002, 3.2648311E+000
 9.3750000E-001, 2.5224759E+002, 3.2237461E+000
 9.6250000E-001, 2.4207347E+002, 3.1936413E+000
