m,C,m/s
Height,temp10,velo10
 1.5500000E-002, 2.8053872E+002, 4.9383301E-001
 4.6500000E-002, 5.0732127E+002, 9.9947045E-001
 7.7500000E-002, 7.0767858E+002, 1.5198497E+000
 1.0850000E-001, 8.2666251E+002, 1.9711427E+000
 1.3950000E-001, 8.8591115E+002, 2.3571564E+000
 1.7050000E-001, 9.0994963E+002, 2.6708070E+000
 2.0150000E-001, 9.1403451E+002, 2.9298456E+000
 2.3250000E-001, 9.1035012E+002, 3.1433793E+000
 2.6350000E-001, 9.0607085E+002, 3.3173784E+000
 2.9450000E-001, 8.9706358E+002, 3.4606273E+000
 3.2550000E-001, 8.8472470E+002, 3.5813249E+000
 3.5650000E-001, 8.6769622E+002, 3.6736064E+000
 3.8750000E-001, 8.4839698E+002, 3.7428408E+000
 4.1850000E-001, 8.2799669E+002, 3.8094376E+000
 4.4950000E-001, 8.0647930E+002, 3.8781853E+000
 4.8050000E-001, 7.8028316E+002, 3.9392295E+000
 5.1150000E-001, 7.5219802E+002, 3.9800333E+000
 5.4250000E-001, 7.2106764E+002, 4.0041494E+000
 5.7350000E-001, 6.8743457E+002, 4.0000116E+000
 6.0450000E-001, 6.5293236E+002, 4.0011968E+000
 6.3550000E-001, 6.2126913E+002, 4.0181289E+000
 6.6650000E-001, 5.9141609E+002, 4.0382025E+000
 6.9750000E-001, 5.6145708E+002, 4.0523543E+000
 7.2850000E-001, 5.3251333E+002, 4.0505180E+000
 7.5950000E-001, 5.0207737E+002, 4.0379121E+000
 7.9050000E-001, 4.7153017E+002, 4.0136227E+000
 8.2150000E-001, 4.4359882E+002, 3.9880079E+000
 8.5250000E-001, 4.1734823E+002, 3.9576657E+000
 8.8350000E-001, 3.9277916E+002, 3.9192407E+000
 9.1450000E-001, 3.7026542E+002, 3.8767365E+000
 9.4550000E-001, 3.4950193E+002, 3.8383289E+000
 9.7650000E-001, 3.3053892E+002, 3.8101459E+000
 1.0075000E+000, 3.1285067E+002, 3.7790993E+000
 1.0385000E+000, 2.9661532E+002, 3.7401607E+000
 1.0695000E+000, 2.8174950E+002, 3.6933653E+000
 1.1005000E+000, 2.6856604E+002, 3.6506037E+000
 1.1315000E+000, 2.5744146E+002, 3.6183472E+000
 1.1625000E+000, 2.4819617E+002, 3.6039921E+000
 1.1935000E+000, 2.3929024E+002, 3.5914019E+000
 1.2245000E+000, 2.3044569E+002, 3.5753016E+000
 1.2555000E+000, 2.2182566E+002, 3.5438923E+000
 1.2865000E+000, 2.1357649E+002, 3.5087106E+000
 1.3175000E+000, 2.0574317E+002, 3.4881066E+000
 1.3485000E+000, 1.9826096E+002, 3.4704127E+000
 1.3795000E+000, 1.9103133E+002, 3.4482113E+000
 1.4105000E+000, 1.8447051E+002, 3.4195143E+000
 1.4415000E+000, 1.7834939E+002, 3.3835044E+000
 1.4725000E+000, 1.7255161E+002, 3.3449424E+000
 1.5035000E+000, 1.6722475E+002, 3.3116421E+000
 1.5345000E+000, 1.6237478E+002, 3.2841474E+000
 1.5655000E+000, 1.5805184E+002, 3.2627527E+000
 1.5965000E+000, 1.5399329E+002, 3.2470365E+000
 1.6275000E+000, 1.5026862E+002, 3.2360938E+000
 1.6585000E+000, 1.4694203E+002, 3.2286657E+000
 1.6895000E+000, 1.4386220E+002, 3.2261920E+000
 1.7205000E+000, 1.4111549E+002, 3.2287046E+000
 1.7515000E+000, 1.3812742E+002, 3.2292842E+000
 1.7825000E+000, 1.3500690E+002, 3.2176490E+000
 1.8135000E+000, 1.3162106E+002, 3.1900453E+000
 1.8445000E+000, 1.2833082E+002, 3.1573376E+000
 1.8755000E+000, 1.2515271E+002, 3.1313249E+000
 1.9065000E+000, 1.2206113E+002, 3.1098471E+000
 1.9375000E+000, 1.1910451E+002, 3.0885867E+000
 1.9685000E+000, 1.1628612E+002, 3.0698434E+000
 1.9995000E+000, 1.1382835E+002, 3.0519748E+000
 2.0305000E+000, 1.1140500E+002, 3.0328572E+000
 2.0615000E+000, 1.0916152E+002, 3.0127384E+000
 2.0925000E+000, 1.0702678E+002, 2.9931183E+000
 2.1235000E+000, 1.0500515E+002, 2.9734457E+000
 2.1545000E+000, 1.0316937E+002, 2.9561324E+000
 2.1855000E+000, 1.0139271E+002, 2.9392770E+000
 2.2165000E+000, 9.9760500E+001, 2.9200329E+000
 2.2475000E+000, 9.8228128E+001, 2.9008390E+000
 2.2785000E+000, 9.6725046E+001, 2.8814911E+000
 2.3095000E+000, 9.5229382E+001, 2.8660468E+000
 2.3405000E+000, 9.3661201E+001, 2.8514427E+000
 2.3715000E+000, 9.2034598E+001, 2.8397028E+000
 2.4025000E+000, 9.0561183E+001, 2.8353115E+000
 2.4335000E+000, 8.9189236E+001, 2.8348799E+000
 2.4645000E+000, 8.7851215E+001, 2.8333738E+000
 2.4955000E+000, 8.6507914E+001, 2.8276104E+000
 2.5265000E+000, 8.5083624E+001, 2.8163586E+000
 2.5575000E+000, 8.3551868E+001, 2.7930432E+000
 2.5885000E+000, 8.2122258E+001, 2.7678981E+000
 2.6195000E+000, 8.0734583E+001, 2.7439170E+000
 2.6505000E+000, 7.9395487E+001, 2.7226257E+000
 2.6815000E+000, 7.8085776E+001, 2.7083577E+000
 2.7125000E+000, 7.6898359E+001, 2.6988885E+000
 2.7435000E+000, 7.5685640E+001, 2.6874300E+000
 2.7745000E+000, 7.4480334E+001, 2.6736869E+000
 2.8055000E+000, 7.3199157E+001, 2.6581478E+000
 2.8365000E+000, 7.1955454E+001, 2.6398930E+000
 2.8675000E+000, 7.0799762E+001, 2.6229756E+000
 2.8985000E+000, 6.9822401E+001, 2.6078331E+000
 2.9295000E+000, 6.9033064E+001, 2.5962272E+000
 2.9605000E+000, 6.8357012E+001, 2.5916470E+000
 2.9915000E+000, 6.7629374E+001, 2.5903251E+000
 3.0225000E+000, 6.6811887E+001, 2.5846676E+000
 3.0535000E+000, 6.5937875E+001, 2.5726161E+000
 3.0845000E+000, 6.5105850E+001, 2.5572702E+000
 3.1155000E+000, 6.4345446E+001, 2.5424252E+000
 3.1465000E+000, 6.3704111E+001, 2.5306117E+000
 3.1775000E+000, 6.3169287E+001, 2.5204716E+000
 3.2085000E+000, 6.2646296E+001, 2.5098851E+000
 3.2395000E+000, 6.2055656E+001, 2.4959521E+000
 3.2705000E+000, 6.1419587E+001, 2.4801158E+000
 3.3015000E+000, 6.0812835E+001, 2.4640298E+000
 3.3325000E+000, 6.0231677E+001, 2.4536016E+000
 3.3635000E+000, 5.9693888E+001, 2.4442316E+000
 3.3945000E+000, 5.9195993E+001, 2.4361064E+000
