m,C,m/s
Height,temp20,velo20
 1.4000000E-002, 1.5502799E+002, 1.7713193E-001
 4.2000000E-002, 2.3899305E+002, 5.8905565E-001
 7.0000000E-002, 3.4517791E+002, 1.0878147E+000
 9.8000000E-002, 4.4763595E+002, 1.5676237E+000
 1.2600000E-001, 5.4893589E+002, 1.9958672E+000
 1.5400000E-001, 6.4444325E+002, 2.3692729E+000
 1.8200000E-001, 7.2567903E+002, 2.6920575E+000
 2.1000000E-001, 7.9049521E+002, 2.9709000E+000
 2.3800000E-001, 8.4367158E+002, 3.2127508E+000
 2.6600000E-001, 8.8585523E+002, 3.4266999E+000
 2.9400000E-001, 9.1403875E+002, 3.6065690E+000
 3.2200000E-001, 9.2695798E+002, 3.7624554E+000
 3.5000000E-001, 9.2816272E+002, 3.8863645E+000
 3.7800000E-001, 9.2520679E+002, 3.9857518E+000
 4.0600000E-001, 9.2313090E+002, 4.0374114E+000
 4.3400000E-001, 9.0776505E+002, 4.1630385E+000
 4.6200000E-001, 8.9893043E+002, 4.2326877E+000
 4.9000000E-001, 8.9252895E+002, 4.2888285E+000
 5.1800000E-001, 8.8187316E+002, 4.3360625E+000
 5.4600000E-001, 8.6182474E+002, 4.3801175E+000
 5.7400000E-001, 8.3521355E+002, 4.4001795E+000
 6.0200000E-001, 8.0766338E+002, 4.4103123E+000
 6.3000000E-001, 7.7838403E+002, 4.3940576E+000
 6.5800000E-001, 7.3951035E+002, 4.3583567E+000
 6.8600000E-001, 6.9660159E+002, 4.2898117E+000
 7.1400000E-001, 6.7602692E+002, 4.2597931E+000
 7.4200000E-001, 6.1526231E+002, 4.1543255E+000
 7.7000000E-001, 5.9627432E+002, 4.1303603E+000
 7.9800000E-001, 5.6299779E+002, 4.0980368E+000
 8.2600000E-001, 5.3206109E+002, 4.0464660E+000
 8.5400000E-001, 4.8173272E+002, 3.9400667E+000
 8.8200000E-001, 4.5069972E+002, 3.8798104E+000
 9.1000000E-001, 4.2477625E+002, 3.8489057E+000
 9.3800000E-001, 4.0007571E+002, 3.8140531E+000
 9.6600000E-001, 3.7640862E+002, 3.7739218E+000
 9.9400000E-001, 3.5475294E+002, 3.7397925E+000
 1.0220000E+000, 3.3572577E+002, 3.6756783E+000
 1.0500000E+000, 3.2789598E+002, 3.6480179E+000
 1.0780000E+000, 3.1337483E+002, 3.6095009E+000
 1.1060000E+000, 2.9069570E+002, 3.5612837E+000
 1.1340000E+000, 2.7693619E+002, 3.5307590E+000
 1.1620000E+000, 2.6450656E+002, 3.5163242E+000
 1.1900000E+000, 2.5150288E+002, 3.4840886E+000
 1.2180000E+000, 2.4620546E+002, 3.4594596E+000
 1.2460000E+000, 2.3231328E+002, 3.4109285E+000
 1.2740000E+000, 2.2746414E+002, 3.3940351E+000
 1.3020000E+000, 2.1810563E+002, 3.3592430E+000
 1.3300000E+000, 2.0872629E+002, 3.3219616E+000
 1.3580000E+000, 2.0038923E+002, 3.2786761E+000
 1.3860000E+000, 1.9366699E+002, 3.2453845E+000
 1.4140000E+000, 1.8686937E+002, 3.2255787E+000
 1.4420000E+000, 1.7616257E+002, 3.1923159E+000
 1.4700000E+000, 1.6999853E+002, 3.1541794E+000
 1.4980000E+000, 1.6508667E+002, 3.1160216E+000
 1.5260000E+000, 1.6278756E+002, 3.1044722E+000
 1.5540000E+000, 1.5804612E+002, 3.0802606E+000
 1.5820000E+000, 1.5268730E+002, 3.0510194E+000
 1.6100000E+000, 1.4742748E+002, 3.0306328E+000
 1.6380000E+000, 1.4274956E+002, 3.0093769E+000
 1.6660000E+000, 1.3878664E+002, 2.9842683E+000
 1.6940000E+000, 1.3556978E+002, 2.9698390E+000
 1.7220000E+000, 1.3139551E+002, 2.9501520E+000
 1.7500000E+000, 1.3002375E+002, 2.9386245E+000
 1.7780000E+000, 1.2743511E+002, 2.9077880E+000
 1.8060000E+000, 1.2459170E+002, 2.8720878E+000
 1.8340000E+000, 1.2122577E+002, 2.8412888E+000
 1.8620000E+000, 1.1758558E+002, 2.8205277E+000
 1.8900000E+000, 1.1478277E+002, 2.8054740E+000
 1.9180000E+000, 1.1232302E+002, 2.7868128E+000
 1.9460000E+000, 1.0980816E+002, 2.7633278E+000
 1.9740000E+000, 1.0709097E+002, 2.7415494E+000
 2.0020000E+000, 1.0434823E+002, 2.7228654E+000
 2.0300000E+000, 1.0211472E+002, 2.7043748E+000
 2.0580000E+000, 1.0042136E+002, 2.6894727E+000
 2.0860000E+000, 9.9067143E+001, 2.6838985E+000
 2.1140000E+000, 9.7823903E+001, 2.6808505E+000
 2.1420000E+000, 9.6644076E+001, 2.6796843E+000
 2.1700000E+000, 9.5640165E+001, 2.6725138E+000
 2.1980000E+000, 9.4470694E+001, 2.6623487E+000
 2.2260000E+000, 9.3046878E+001, 2.6467926E+000
 2.2540000E+000, 9.1467434E+001, 2.6289232E+000
 2.2820000E+000, 8.9862480E+001, 2.6139413E+000
 2.3100000E+000, 8.8218108E+001, 2.6008177E+000
