m,C,m/s
Height,temp10,velo10
 9.0000000E-003, 3.1170258E+002, 2.5746871E-001
 2.7000000E-002, 5.2621857E+002, 5.8733756E-001
 4.5000000E-002, 7.0297431E+002, 9.5156791E-001
 6.3000000E-002, 8.2346099E+002, 1.3076254E+000
 8.1000000E-002, 8.8774477E+002, 1.6233385E+000
 9.9000000E-002, 9.0495240E+002, 1.8826592E+000
 1.1700000E-001, 8.9861331E+002, 2.0894018E+000
 1.3500000E-001, 8.7947844E+002, 2.2546025E+000
 1.5300000E-001, 8.5265050E+002, 2.3894989E+000
 1.7100000E-001, 8.2208094E+002, 2.4996811E+000
 1.8900000E-001, 7.8879068E+002, 2.5896230E+000
 2.0700000E-001, 7.5337588E+002, 2.6556282E+000
 2.2500000E-001, 7.1756394E+002, 2.7075786E+000
 2.4300000E-001, 6.8245614E+002, 2.7489816E+000
 2.6100000E-001, 6.4748664E+002, 2.7830093E+000
 2.7900000E-001, 6.1234909E+002, 2.8084427E+000
 2.9700000E-001, 5.7787851E+002, 2.8263504E+000
 3.1500000E-001, 5.4359141E+002, 2.8322259E+000
 3.3300000E-001, 5.0980559E+002, 2.8309543E+000
 3.5100000E-001, 4.7845718E+002, 2.8261275E+000
 3.6900000E-001, 4.5008808E+002, 2.8281019E+000
 3.8700000E-001, 4.2463635E+002, 2.8338918E+000
 4.0500000E-001, 4.0071112E+002, 2.8421734E+000
 4.2300000E-001, 3.7888149E+002, 2.8458708E+000
 4.4100000E-001, 3.5832510E+002, 2.8425908E+000
 4.5900000E-001, 3.3963454E+002, 2.8328872E+000
 4.7700000E-001, 3.2224790E+002, 2.8202270E+000
 4.9500000E-001, 3.0614124E+002, 2.8039106E+000
 5.1300000E-001, 2.9172716E+002, 2.7918137E+000
 5.3100000E-001, 2.7886502E+002, 2.7835407E+000
 5.4900000E-001, 2.6683954E+002, 2.7771639E+000
 5.6700000E-001, 2.5578033E+002, 2.7708051E+000
 5.8500000E-001, 2.4501953E+002, 2.7654155E+000
 6.0300000E-001, 2.3549955E+002, 2.7594414E+000
 6.2100000E-001, 2.2689498E+002, 2.7493366E+000
 6.3900000E-001, 2.1877994E+002, 2.7332498E+000
 6.5700000E-001, 2.1114306E+002, 2.7177428E+000
 6.7500000E-001, 2.0399120E+002, 2.7054624E+000
 6.9300000E-001, 1.9740598E+002, 2.6939566E+000
 7.1100000E-001, 1.9136629E+002, 2.6781086E+000
 7.2900000E-001, 1.8575285E+002, 2.6584903E+000
 7.4700000E-001, 1.8071059E+002, 2.6403062E+000
 7.6500000E-001, 1.7612859E+002, 2.6261738E+000
 7.8300000E-001, 1.7194765E+002, 2.6140265E+000
 8.0100000E-001, 1.6804704E+002, 2.6020242E+000
 8.1900000E-001, 1.6419304E+002, 2.5906357E+000
 8.3700000E-001, 1.6026467E+002, 2.5820083E+000
 8.5500000E-001, 1.5645924E+002, 2.5741121E+000
 8.7300000E-001, 1.5300967E+002, 2.5659642E+000
 8.9100000E-001, 1.4968012E+002, 2.5560880E+000
 9.0900000E-001, 1.4639180E+002, 2.5452471E+000
 9.2700000E-001, 1.4297821E+002, 2.5362248E+000
 9.4500000E-001, 1.3960149E+002, 2.5307958E+000
 9.6300000E-001, 1.3642110E+002, 2.5220166E+000
 9.8100000E-001, 1.3326488E+002, 2.5075521E+000
 9.9900000E-001, 1.3005647E+002, 2.4927915E+000
 1.0170000E+000, 1.2690357E+002, 2.4772431E+000
 1.0350000E+000, 1.2368794E+002, 2.4612678E+000
 1.0530000E+000, 1.2069640E+002, 2.4449524E+000
 1.0710000E+000, 1.1781945E+002, 2.4285998E+000
 1.0890000E+000, 1.1519767E+002, 2.4100574E+000
 1.1070000E+000, 1.1251511E+002, 2.3873697E+000
 1.1250000E+000, 1.0979799E+002, 2.3615947E+000
 1.1430000E+000, 1.0714192E+002, 2.3376758E+000
 1.1610000E+000, 1.0481538E+002, 2.3196294E+000
 1.1790000E+000, 1.0281843E+002, 2.3071135E+000
 1.1970000E+000, 1.0095137E+002, 2.2962375E+000
 1.2150000E+000, 9.9280276E+001, 2.2885376E+000
 1.2330000E+000, 9.7688461E+001, 2.2830670E+000
 1.2510000E+000, 9.6132008E+001, 2.2757755E+000
 1.2690000E+000, 9.4448670E+001, 2.2672886E+000
 1.2870000E+000, 9.2720336E+001, 2.2580833E+000
