m,C,m/s
Height,temp5,velo5
 1.0500000E-002, 5.4461655E+002, 7.3366285E-001
 3.1500000E-002, 5.4461655E+002, 7.3366285E-001
 5.2500000E-002, 7.9083727E+002, 1.3471872E+000
 7.3500000E-002, 7.9083727E+002, 1.3471872E+000
 9.4500000E-002, 7.8439981E+002, 1.7705020E+000
 1.1550000E-001, 7.8439981E+002, 1.7705020E+000
 1.3650000E-001, 6.9185921E+002, 2.0172110E+000
 1.5750000E-001, 6.9185921E+002, 2.0172110E+000
 1.7850000E-001, 5.9296717E+002, 2.1514557E+000
 1.9950000E-001, 5.9296717E+002, 2.1514557E+000
 2.2050000E-001, 5.0525490E+002, 2.2308273E+000
 2.4150000E-001, 5.0525490E+002, 2.2308273E+000
 2.6250000E-001, 4.3098299E+002, 2.2789043E+000
 2.8350000E-001, 4.3098299E+002, 2.2789043E+000
 3.0450000E-001, 3.6974562E+002, 2.3018655E+000
 3.2550000E-001, 3.6974562E+002, 2.3018655E+000
 3.4650000E-001, 3.2069698E+002, 2.3011920E+000
 3.6750000E-001, 3.2069698E+002, 2.3011920E+000
 3.8850000E-001, 2.8236433E+002, 2.2864844E+000
 4.0950000E-001, 2.8236433E+002, 2.2864844E+000
 4.3050000E-001, 2.5154959E+002, 2.2752473E+000
 4.5150000E-001, 2.5154959E+002, 2.2752473E+000
 4.7250000E-001, 2.2902075E+002, 2.2745896E+000
 4.9350000E-001, 2.2902075E+002, 2.2745896E+000
 5.1450000E-001, 2.1117750E+002, 2.2874555E+000
 5.3550000E-001, 2.1117750E+002, 2.2874555E+000
 5.5650000E-001, 1.9716585E+002, 2.3106928E+000
 5.7750000E-001, 1.9716585E+002, 2.3106928E+000
 5.9850000E-001, 1.8482951E+002, 2.3356563E+000
 6.1950000E-001, 1.8482951E+002, 2.3356563E+000
 6.4050000E-001, 1.7406894E+002, 2.3554596E+000
 6.6150000E-001, 1.7406894E+002, 2.3554596E+000
 6.8250000E-001, 1.6451730E+002, 2.3654688E+000
 7.0350000E-001, 1.6451730E+002, 2.3654688E+000
 7.2450000E-001, 1.5537630E+002, 2.3635810E+000
 7.4550000E-001, 1.5537630E+002, 2.3635810E+000
 7.6650000E-001, 1.4662898E+002, 2.3502183E+000
 7.8750000E-001, 1.4662898E+002, 2.3502183E+000
 8.0850000E-001, 1.3842221E+002, 2.3294005E+000
 8.2950000E-001, 1.3842221E+002, 2.3294005E+000
 8.5050000E-001, 1.3088840E+002, 2.3061475E+000
 8.7150000E-001, 1.3088840E+002, 2.3061475E+000
 8.9250000E-001, 1.2384057E+002, 2.2835895E+000
