m,C,m/s
Height,tmp,vel
 0.0000000E+000, 2.0000000E+001, 3.7673876E-002
 1.3698630E-002, 6.0116637E+002, 9.7505908E-002
 2.7397260E-002, 6.1939809E+002, 2.9796996E-001
 4.1095890E-002, 6.4843890E+002, 5.6481944E-001
 5.4794521E-002, 6.7813837E+002, 8.5743196E-001
 6.8493151E-002, 7.0655285E+002, 1.1522040E+000
 8.2191781E-002, 7.3335406E+002, 1.4343190E+000
 9.5890411E-002, 7.5653429E+002, 1.6941596E+000
 1.0958904E-001, 7.7527024E+002, 1.9273905E+000
 1.2328767E-001, 7.8916859E+002, 2.1351323E+000
 1.3698630E-001, 8.0000216E+002, 2.3225103E+000
 1.5068493E-001, 8.0854798E+002, 2.4904410E+000
 1.6438356E-001, 8.1560064E+002, 2.6423604E+000
 1.7808219E-001, 8.2134031E+002, 2.7817624E+000
 1.9178082E-001, 8.2548605E+002, 2.9095494E+000
 2.0547945E-001, 8.2849992E+002, 3.0253491E+000
 2.1917808E-001, 8.3023713E+002, 3.1309023E+000
 2.3287671E-001, 8.3097115E+002, 3.2261887E+000
 2.4657534E-001, 8.3108195E+002, 3.3145344E+000
 2.6027397E-001, 8.3073218E+002, 3.3942110E+000
 2.7397260E-001, 8.2938392E+002, 3.4662540E+000
 2.8767123E-001, 8.2691222E+002, 3.5313462E+000
 3.0136986E-001, 8.2345463E+002, 3.5930118E+000
 3.1506849E-001, 8.2009223E+002, 3.6472607E+000
 3.2876712E-001, 8.1581551E+002, 3.6986875E+000
 3.4246575E-001, 8.1078483E+002, 3.7447294E+000
 3.5616438E-001, 8.0545835E+002, 3.7878780E+000
 3.6986301E-001, 7.9994608E+002, 3.8253462E+000
 3.8356164E-001, 7.9348596E+002, 3.8544088E+000
 3.9726027E-001, 7.8861012E+002, 3.8992799E+000
 4.1095890E-001, 7.8191190E+002, 3.9297639E+000
 4.2465753E-001, 7.7454283E+002, 3.9522959E+000
 4.3835616E-001, 7.6628198E+002, 3.9716470E+000
 4.5205479E-001, 7.5701588E+002, 3.9841757E+000
 4.6575342E-001, 7.4668913E+002, 3.9942418E+000
 4.7945205E-001, 7.3557038E+002, 3.9986049E+000
 4.9315068E-001, 7.2336235E+002, 4.0001699E+000
 5.0684932E-001, 7.1052834E+002, 3.9988309E+000
 5.2054795E-001, 6.9706218E+002, 3.9979061E+000
 5.3424658E-001, 6.8412800E+002, 3.9975099E+000
 5.4794521E-001, 6.7181018E+002, 3.9991479E+000
 5.6164384E-001, 6.5968310E+002, 4.0021032E+000
 5.7534247E-001, 6.4696367E+002, 4.0052055E+000
 5.8904110E-001, 6.3359382E+002, 4.0062707E+000
 6.0273973E-001, 6.1974591E+002, 4.0035017E+000
 6.1643836E-001, 6.0642871E+002, 3.9953822E+000
 6.3013699E-001, 5.9241235E+002, 3.9845725E+000
 6.4383562E-001, 5.7861509E+002, 3.9720883E+000
 6.5753425E-001, 5.6496580E+002, 3.9607873E+000
 6.7123288E-001, 5.5252634E+002, 3.9505132E+000
 6.8493151E-001, 5.4059123E+002, 3.9430202E+000
 6.9863014E-001, 5.2925587E+002, 3.9391473E+000
 7.1232877E-001, 5.1875115E+002, 3.9348787E+000
 7.2602740E-001, 5.0820028E+002, 3.9295451E+000
 7.3972603E-001, 4.9728993E+002, 3.9269223E+000
 7.5342466E-001, 4.8614552E+002, 3.9221226E+000
 7.6712329E-001, 4.7510398E+002, 3.9136480E+000
 7.8082192E-001, 4.6369702E+002, 3.9015922E+000
 7.9452055E-001, 4.5323255E+002, 3.8888804E+000
 8.0821918E-001, 4.4285528E+002, 3.8763710E+000
 8.2191781E-001, 4.3354424E+002, 3.8665437E+000
 8.3561644E-001, 4.2316799E+002, 3.8583903E+000
 8.4931507E-001, 4.1295545E+002, 3.8507160E+000
 8.6301370E-001, 4.0286495E+002, 3.8421952E+000
 8.7671233E-001, 3.9437264E+002, 3.8324586E+000
 8.9041096E-001, 3.8640767E+002, 3.8218931E+000
