m,C,m/s
Height,temp10,velo10
 1.2500000E-002, 2.6355533E+002, 3.5341891E-001
 3.7500000E-002, 4.5799974E+002, 7.7629555E-001
 6.2500000E-002, 6.4442432E+002, 1.2323540E+000
 8.7500000E-002, 7.7792900E+002, 1.6611976E+000
 1.1250000E-001, 8.5801933E+002, 2.0345588E+000
 1.3750000E-001, 8.9826700E+002, 2.3455543E+000
 1.6250000E-001, 9.1762080E+002, 2.6077785E+000
 1.8750000E-001, 9.2373091E+002, 2.8226782E+000
 2.1250000E-001, 9.2021587E+002, 2.9974956E+000
 2.3750000E-001, 9.1058642E+002, 3.1416455E+000
 2.6250000E-001, 8.9715674E+002, 3.2624694E+000
 2.8750000E-001, 8.7692475E+002, 3.3610797E+000
 3.1250000E-001, 8.4935747E+002, 3.4402754E+000
 3.3750000E-001, 8.1815680E+002, 3.5038443E+000
 3.6250000E-001, 7.8655466E+002, 3.5496996E+000
 3.8750000E-001, 7.5493302E+002, 3.5854526E+000
 4.1250000E-001, 7.2244281E+002, 3.6132510E+000
 4.3750000E-001, 6.8838043E+002, 3.6294941E+000
 4.6250000E-001, 6.5259409E+002, 3.6319061E+000
 4.8750000E-001, 6.1469082E+002, 3.6167525E+000
 5.1250000E-001, 5.7593086E+002, 3.5855358E+000
 5.3750000E-001, 5.4063848E+002, 3.5545302E+000
 5.6250000E-001, 5.0775273E+002, 3.5274903E+000
 5.8750000E-001, 4.7864715E+002, 3.5084648E+000
 6.1250000E-001, 4.5207148E+002, 3.4907083E+000
 6.3750000E-001, 4.2675387E+002, 3.4781043E+000
 6.6250000E-001, 4.0226854E+002, 3.4739979E+000
 6.8750000E-001, 3.7988127E+002, 3.4706393E+000
 7.1250000E-001, 3.5944719E+002, 3.4676523E+000
 7.3750000E-001, 3.4145120E+002, 3.4568878E+000
 7.6250000E-001, 3.2415377E+002, 3.4415939E+000
 7.8750000E-001, 3.0866495E+002, 3.4246775E+000
 8.1250000E-001, 2.9309106E+002, 3.4061288E+000
 8.3750000E-001, 2.7956889E+002, 3.3795220E+000
 8.6250000E-001, 2.6569932E+002, 3.3427157E+000
 8.8750000E-001, 2.5330142E+002, 3.2961462E+000
 9.1250000E-001, 2.4126275E+002, 3.2513899E+000
 9.3750000E-001, 2.3172194E+002, 3.2138329E+000
 9.6250000E-001, 2.2282440E+002, 3.1893349E+000
 9.8750000E-001, 2.1558498E+002, 3.1722640E+000
 1.0125000E+000, 2.0873478E+002, 3.1585587E+000
 1.0375000E+000, 2.0249585E+002, 3.1418960E+000
 1.0625000E+000, 1.9640659E+002, 3.1238249E+000
 1.0875000E+000, 1.9078073E+002, 3.1052531E+000
 1.1125000E+000, 1.8515191E+002, 3.0851173E+000
 1.1375000E+000, 1.7979784E+002, 3.0640965E+000
 1.1625000E+000, 1.7429595E+002, 3.0395276E+000
 1.1875000E+000, 1.6887919E+002, 3.0109969E+000
 1.2125000E+000, 1.6323939E+002, 2.9819121E+000
 1.2375000E+000, 1.5773940E+002, 2.9489991E+000
 1.2625000E+000, 1.5220666E+002, 2.9143959E+000
 1.2875000E+000, 1.4712159E+002, 2.8843111E+000
 1.3125000E+000, 1.4236258E+002, 2.8612778E+000
 1.3375000E+000, 1.3799489E+002, 2.8401603E+000
 1.3625000E+000, 1.3403375E+002, 2.8198985E+000
 1.3875000E+000, 1.3055329E+002, 2.7996569E+000
 1.4125000E+000, 1.2745525E+002, 2.7796711E+000
 1.4375000E+000, 1.2467765E+002, 2.7620597E+000
