m,C,m/s
Height,tmp,vel
 1.3890000E-002, 6.6758660E+002, 5.0956842E-001
 4.1159817E-002, 7.4272291E+002, 1.0503897E+000
 6.8429633E-002, 8.0195137E+002, 1.5698584E+000
 9.5699450E-002, 8.3509664E+002, 2.0179946E+000
 1.2296927E-001, 8.4831188E+002, 2.3758122E+000
 1.5023908E-001, 8.5113238E+002, 2.6566090E+000
 1.7750890E-001, 8.4833226E+002, 2.8785442E+000
 2.0477872E-001, 8.4220031E+002, 3.0584155E+000
 2.3204853E-001, 8.3332135E+002, 3.2060294E+000
 2.5931835E-001, 8.2209684E+002, 3.3287868E+000
 2.8658817E-001, 8.0832081E+002, 3.4290904E+000
 3.1385798E-001, 7.9218386E+002, 3.5054708E+000
 3.4112780E-001, 7.7320531E+002, 3.5644762E+000
 3.6839761E-001, 7.5140074E+002, 3.6125266E+000
 3.9566743E-001, 7.2768530E+002, 3.6508612E+000
 4.2293725E-001, 7.0272927E+002, 3.6807417E+000
 4.5020706E-001, 6.7624251E+002, 3.7023700E+000
 4.7747688E-001, 6.4847923E+002, 3.7180892E+000
 5.0474670E-001, 6.2095472E+002, 3.7242791E+000
 5.3201651E-001, 5.9305258E+002, 3.7256600E+000
 5.5928633E-001, 5.6624593E+002, 3.7227291E+000
 5.8655615E-001, 5.3880211E+002, 3.7178161E+000
 6.1382596E-001, 5.1082693E+002, 3.7011451E+000
 6.4109578E-001, 4.8167540E+002, 3.6764295E+000
 6.6836560E-001, 4.5259988E+002, 3.6496457E+000
 6.9563541E-001, 4.2403446E+002, 3.6158790E+000
 7.2290523E-001, 3.9772442E+002, 3.5716487E+000
 7.5017505E-001, 3.7327536E+002, 3.5275649E+000
 7.7744486E-001, 3.5114417E+002, 3.4835048E+000
 8.0471468E-001, 3.3072869E+002, 3.4473666E+000
 8.3198450E-001, 3.1328620E+002, 3.4152206E+000
 8.5925431E-001, 2.9756912E+002, 3.3914560E+000
 8.8652413E-001, 2.8401812E+002, 3.3754586E+000
 9.1379394E-001, 2.7186375E+002, 3.3679474E+000
 9.4106376E-001, 2.6069585E+002, 3.3671523E+000
 9.6833358E-001, 2.5030705E+002, 3.3645074E+000
 9.9560339E-001, 2.4028450E+002, 3.3546937E+000
 1.0228732E+000, 2.3078634E+002, 3.3390417E+000
 1.0501430E+000, 2.2177487E+002, 3.3203353E+000
 1.0774128E+000, 2.1299106E+002, 3.3007128E+000
 1.1046827E+000, 2.0491620E+002, 3.2813830E+000
 1.1319525E+000, 1.9721525E+002, 3.2615913E+000
 1.1592223E+000, 1.9014369E+002, 3.2362383E+000
 1.1864921E+000, 1.8340741E+002, 3.2057115E+000
 1.2137619E+000, 1.7701842E+002, 3.1706126E+000
 1.2410317E+000, 1.7098492E+002, 3.1377623E+000
 1.2683016E+000, 1.6547504E+002, 3.1095744E+000
 1.2955714E+000, 1.6048161E+002, 3.0858051E+000
 1.3228412E+000, 1.5595776E+002, 3.0650896E+000
 1.3501110E+000, 1.5173080E+002, 3.0472531E+000
 1.3773808E+000, 1.4771052E+002, 3.0338863E+000
 1.4046506E+000, 1.4388218E+002, 3.0206702E+000
 1.4319205E+000, 1.4018963E+002, 3.0073659E+000
 1.4591903E+000, 1.3684718E+002, 2.9909028E+000
 1.4864601E+000, 1.3372087E+002, 2.9736025E+000
 1.5137299E+000, 1.3064129E+002, 2.9542938E+000
 1.5409997E+000, 1.2747511E+002, 2.9341502E+000
 1.5682695E+000, 1.2437789E+002, 2.9166026E+000
 1.5955394E+000, 1.2134340E+002, 2.9002501E+000
 1.6228092E+000, 1.1853119E+002, 2.8858108E+000
 1.6500790E+000, 1.1588196E+002, 2.8729261E+000
 1.6773488E+000, 1.1342195E+002, 2.8617064E+000
 1.7046186E+000, 1.1110635E+002, 2.8507665E+000
 1.7318884E+000, 1.0882006E+002, 2.8400101E+000
 1.7591583E+000, 1.0650431E+002, 2.8266478E+000
 1.7864281E+000, 1.0405848E+002, 2.8130274E+000
 1.8136979E+000, 1.0165647E+002, 2.7965717E+000
 1.8409677E+000, 9.9271733E+001, 2.7799571E+000
 1.8682375E+000, 9.6976549E+001, 2.7587616E+000
 1.8955073E+000, 9.4745361E+001, 2.7354380E+000
 1.9227772E+000, 9.2645105E+001, 2.7142217E+000
 1.9500470E+000, 9.0718642E+001, 2.7003797E+000
 1.9773168E+000, 8.9000599E+001, 2.6901883E+000
 2.0045866E+000, 8.7401548E+001, 2.6807910E+000
 2.0318564E+000, 8.5866224E+001, 2.6703591E+000
 2.0591262E+000, 8.4376683E+001, 2.6600630E+000
 2.0863961E+000, 8.2980776E+001, 2.6478283E+000
 2.1136659E+000, 8.1644940E+001, 2.6392613E+000
 2.1409357E+000, 8.0414221E+001, 2.6334992E+000
 2.1682055E+000, 7.9246374E+001, 2.6293341E+000
 2.1954753E+000, 7.8109487E+001, 2.6220323E+000
 2.2227451E+000, 7.7035911E+001, 2.6139860E+000
 2.2500150E+000, 7.6013222E+001, 2.6050740E+000
 2.2772848E+000, 7.4991064E+001, 2.5966059E+000
 2.3045546E+000, 7.3934418E+001, 2.5828175E+000
 2.3318244E+000, 7.2903901E+001, 2.5704757E+000
 2.3590942E+000, 7.1952667E+001, 2.5533430E+000
 2.3863640E+000, 7.1020611E+001, 2.5430229E+000
 2.4136339E+000, 7.0201573E+001, 2.5343516E+000
 2.4409037E+000, 6.9414812E+001, 2.5330314E+000
 2.4681735E+000, 6.8702006E+001, 2.5283613E+000
 2.4954433E+000, 6.8028557E+001, 2.5282665E+000
 2.5227131E+000, 6.7355691E+001, 2.5192081E+000
 2.5499829E+000, 6.6706058E+001, 2.5144583E+000
 2.5772528E+000, 6.6017044E+001, 2.5041420E+000
 2.6045226E+000, 6.5318968E+001, 2.5015181E+000
 2.6317924E+000, 6.4627685E+001, 2.4900696E+000
 2.6590622E+000, 6.3962925E+001, 2.4830830E+000
 2.6863320E+000, 6.3320658E+001, 2.4657806E+000
 2.7136018E+000, 6.2647000E+001, 2.4564744E+000
 2.7408717E+000, 6.1922283E+001, 2.4360616E+000
 2.7681415E+000, 6.1282775E+001, 2.4212503E+000
 2.7954113E+000, 6.0642969E+001, 2.4086208E+000
 2.8226811E+000, 6.0109354E+001, 2.3929787E+000
 2.8499509E+000, 5.9534330E+001, 2.3769089E+000
 2.8772207E+000, 5.8847636E+001, 2.3625222E+000
 2.9044906E+000, 5.8208616E+001, 2.3441067E+000
 2.9317604E+000, 5.7408643E+001, 2.3227194E+000
 2.9590302E+000, 5.6652888E+001, 2.2833132E+000
NaN,NaN,NaN
