m,C,m/s
Height,tmp,vel
 0.0000000E+000, 2.0000000E+001, 1.8513836E-002
 1.3698630E-002, 7.3252911E+002, 1.9750655E-001
 2.7397260E-002, 7.6613765E+002, 4.4026409E-001
 4.1095890E-002, 7.9845023E+002, 7.3256877E-001
 5.4794521E-002, 8.2651178E+002, 1.0400285E+000
 6.8493151E-002, 8.5003349E+002, 1.3410155E+000
 8.2191781E-002, 8.6699598E+002, 1.6215399E+000
 9.5890411E-002, 8.7697934E+002, 1.8730777E+000
 1.0958904E-001, 8.8061385E+002, 2.0900237E+000
 1.2328767E-001, 8.7987927E+002, 2.2753149E+000
 1.3698630E-001, 8.7684113E+002, 2.4359370E+000
 1.5068493E-001, 8.7264768E+002, 2.5782657E+000
 1.6438356E-001, 8.6726504E+002, 2.7037312E+000
 1.7808219E-001, 8.6087643E+002, 2.8160116E+000
 1.9178082E-001, 8.5354835E+002, 2.9162226E+000
 2.0547945E-001, 8.4580495E+002, 3.0057404E+000
 2.1917808E-001, 8.3758510E+002, 3.0872649E+000
 2.3287671E-001, 8.2888426E+002, 3.1620290E+000
 2.4657534E-001, 8.1956749E+002, 3.2314009E+000
 2.6027397E-001, 8.0983568E+002, 3.2951348E+000
 2.7397260E-001, 7.9918388E+002, 3.3521465E+000
 2.8767123E-001, 7.8788497E+002, 3.4034656E+000
 3.0136986E-001, 7.7594257E+002, 3.4521461E+000
 3.1506849E-001, 7.6346194E+002, 3.4984480E+000
 3.2876712E-001, 7.5050466E+002, 3.5385794E+000
 3.4246575E-001, 7.3702739E+002, 3.5719789E+000
 3.5616438E-001, 7.2325136E+002, 3.5985590E+000
 3.6986301E-001, 7.0831293E+002, 3.6178493E+000
 3.8356164E-001, 6.9404613E+002, 3.6380487E+000
 3.9726027E-001, 6.7967716E+002, 3.6529665E+000
 4.1095890E-001, 6.6470873E+002, 3.6648226E+000
 4.2465753E-001, 6.4884934E+002, 3.6740212E+000
 4.3835616E-001, 6.3260681E+002, 3.6843315E+000
 4.5205479E-001, 6.1715883E+002, 3.6914570E+000
 4.6575342E-001, 6.0253674E+002, 3.6977826E+000
 4.7945205E-001, 5.8912739E+002, 3.7046093E+000
 4.9315068E-001, 5.7587995E+002, 3.7087546E+000
 5.0684932E-001, 5.6240206E+002, 3.7106166E+000
 5.2054795E-001, 5.4795245E+002, 3.7101593E+000
 5.3424658E-001, 5.3286872E+002, 3.7059872E+000
 5.4794521E-001, 5.1801821E+002, 3.6969588E+000
 5.6164384E-001, 5.0321452E+002, 3.6870401E+000
 5.7534247E-001, 4.8953159E+002, 3.6763147E+000
 5.8904110E-001, 4.7603579E+002, 3.6663061E+000
 6.0273973E-001, 4.6339750E+002, 3.6548488E+000
