s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"foliage","small roundwood","medium roundwood","large roundwood","total mlr","HF1","HF2","HF3","HF4","HF6","HF8","HF9","HF10","HF12","HF13","HF14","HF15","HF16"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011
 1.0206207E+000, 5.6935026E+000, 9.7857090E-001, 8.8961000E-001, 1.3344150E+000, 2.9863459E-004, 3.9864691E-002,-3.4738389E-007,-8.6157340E-008,-4.0509638E-003,-4.0879603E-003,-4.0882670E-003,-4.0881116E-003,-4.0881054E-003,-4.0814518E-003,-4.0869703E-003,-4.0882851E-003,-4.0881056E-003,-4.0881088E-003
 2.0412415E+000, 5.6932872E+000, 9.7853818E-001, 8.8958235E-001, 1.3343739E+000, 4.6926593E-004, 1.2506865E-001, 8.4423568E-004, 1.1245073E-004, 5.9920186E-003, 1.9945023E-003,-2.2899398E-003,-4.0874206E-003,-4.0880992E-003,-1.8153088E-003,-1.5831595E-003,-2.0217135E-003,-4.0735583E-003,-4.0879668E-003
 3.0108311E+000, 5.6929153E+000, 9.7849775E-001, 8.8955448E-001, 1.3343332E+000, 8.4390438E-004, 1.2293986E-001, 2.6327552E-003, 4.8008810E-004, 1.2596533E-002, 4.5881994E-003,-1.0299255E-003,-3.0966933E-003,-3.8193045E-003,-6.2981642E-005,-7.7822442E-005,-9.0669491E-004,-3.0084933E-003,-3.3344247E-003
 4.0314519E+000, 5.6921745E+000, 9.7843997E-001, 8.8952537E-001, 1.3342919E+000, 1.4851259E-003, 1.3856339E-001, 3.1252179E-003, 6.0493816E-004, 1.3844406E-002, 5.5028096E-003,-6.0996186E-004,-2.8485195E-003,-3.7570949E-003, 4.0498614E-004, 5.0108871E-004,-6.1080718E-004,-2.7819934E-003,-3.1549498E-003
 5.0010416E+000, 5.6908576E+000, 9.7835273E-001, 8.8949472E-001, 1.3342496E+000, 2.2285834E-003, 1.5531630E-001, 3.7928392E-003, 7.6187180E-004, 1.5672076E-002, 6.9047411E-003,-1.3479854E-004,-2.6539750E-003,-3.7011973E-003, 1.1472387E-003, 1.3015218E-003,-2.1077458E-004,-2.5917411E-003,-3.0160446E-003
 6.0216623E+000, 5.6888340E+000, 9.7822062E-001, 8.8946211E-001, 1.3342063E+000, 3.0244039E-003, 1.6986740E-001, 4.6690467E-003, 9.8897264E-004, 1.7341983E-002, 8.4341125E-003, 5.1722453E-004,-2.4621185E-003,-3.6388195E-003, 1.8339016E-003, 2.0794087E-003, 3.2208517E-004,-2.4000028E-003,-2.8997620E-003
 7.0422830E+000, 5.6860304E+000, 9.7802489E-001, 8.8942617E-001, 1.3341606E+000, 3.7518679E-003, 1.8360372E-001, 5.4713270E-003, 1.2233651E-003, 1.9062292E-002, 1.0113015E-002, 1.2861996E-003,-2.1481318E-003,-3.5375682E-003, 2.5345958E-003, 2.9466268E-003, 8.9849243E-004,-2.1436832E-003,-2.7103445E-003
 8.0118727E+000, 5.6826569E+000, 9.7776642E-001, 8.8938816E-001, 1.3341147E+000, 4.3587512E-003, 1.9681386E-001, 6.3731861E-003, 1.5096760E-003, 2.0864276E-002, 1.1875687E-002, 2.2026765E-003,-1.8238705E-003,-3.4299761E-003, 3.3486712E-003, 3.9633930E-003, 1.4824665E-003,-1.8915741E-003,-2.5371002E-003
 9.0324934E+000, 5.6787350E+000, 9.7743736E-001, 8.8934661E-001, 1.3340671E+000, 4.9112811E-003, 2.0662501E-001, 7.2256352E-003, 1.7643185E-003, 2.2637261E-002, 1.3577333E-002, 3.0579797E-003,-1.3393233E-003,-3.2350598E-003, 4.1603049E-003, 4.8623503E-003, 2.0425998E-003,-1.5314594E-003,-2.3066591E-003
 1.0002083E+001, 5.6743553E+000, 9.7704071E-001, 8.8930093E-001, 1.3340177E+000, 5.3564756E-003, 2.1403867E-001, 8.0667588E-003, 2.0205782E-003, 2.4316730E-002, 1.5281100E-002, 4.0694960E-003,-7.2576087E-004,-2.9986029E-003, 4.9592116E-003, 5.7349773E-003, 2.6407145E-003,-1.1025115E-003,-2.0499204E-003
 1.1001280E+001, 5.6696351E+000, 9.7658531E-001, 8.8925096E-001, 1.3339668E+000, 5.7635165E-003, 2.1986604E-001, 8.9083209E-003, 2.2847646E-003, 2.5861866E-002, 1.7080407E-002, 5.1602211E-003, 2.0648804E-005,-2.7173400E-003, 5.7439540E-003, 6.6551032E-003, 3.2971293E-003,-6.5596538E-004,-1.7596966E-003
 1.2030043E+001, 5.6644009E+000, 9.7605418E-001, 8.8919354E-001, 1.3339118E+000, 6.1660593E-003, 2.2712026E-001, 9.8956149E-003, 2.5863911E-003, 2.7694173E-002, 1.9168509E-002, 6.4668616E-003, 1.1237614E-003,-2.1951629E-003, 6.7026962E-003, 7.7368213E-003, 4.0949312E-003,-6.6084068E-005,-1.3200663E-003
 1.3003613E+001, 5.6589234E+000, 9.7547602E-001, 8.8913062E-001, 1.3338552E+000, 6.5195026E-003, 2.3483295E-001, 1.0835600E-002, 2.8635199E-003, 2.9643600E-002, 2.1320317E-002, 7.7009606E-003, 2.4782185E-003,-1.3412301E-003, 7.6702514E-003, 8.8180098E-003, 4.8765976E-003, 5.9971585E-004,-7.5927550E-004
 1.4011087E+001, 5.6532069E+000, 9.7485314E-001, 8.8906124E-001, 1.3337965E+000, 6.8651684E-003, 2.4126986E-001, 1.1598535E-002, 3.1067230E-003, 3.1172475E-002, 2.3184059E-002, 8.6409231E-003, 3.1165973E-003,-4.8269133E-004, 8.5065323E-003, 9.7398576E-003, 5.4903209E-003, 1.1192386E-003,-3.4315286E-004
 1.5025143E+001, 5.6470892E+000, 9.7416892E-001, 8.8898237E-001, 1.3337337E+000, 7.1949727E-003, 2.4950447E-001, 1.2641423E-002, 3.3777138E-003, 3.3260164E-002, 2.5331007E-002, 9.5851179E-003, 3.3711583E-003, 2.8923863E-004, 9.6112658E-003, 1.0875865E-002, 6.1407202E-003, 1.4945548E-003, 1.7272542E-004
 1.6002732E+001, 5.6407884E+000, 9.7344872E-001, 8.8889584E-001, 1.3336684E+000, 7.5264267E-003, 2.5364639E-001, 1.3404028E-002, 3.5977085E-003, 3.4617930E-002, 2.7071662E-002, 1.0516394E-002, 3.7180771E-003, 9.8670353E-004, 1.0358985E-002, 1.1687448E-002, 6.7062592E-003, 1.9047535E-003, 6.1650667E-004
 1.7009258E+001, 5.6342401E+000, 9.7268690E-001, 8.8880014E-001, 1.3336000E+000, 7.8827423E-003, 2.5688193E-001, 1.4075330E-002, 3.7654478E-003, 3.5882137E-002, 2.8716909E-002, 1.1395119E-002, 4.0450096E-003, 1.3496095E-003, 1.1060844E-002, 1.2454652E-002, 7.2341102E-003, 2.2667145E-003, 8.9716393E-004
