s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"foliage","small roundwood","medium roundwood","large roundwood","total mlr","HF1","HF2","HF3","HF4","HF6","HF8","HF9","HF10","HF12","HF13","HF14","HF15","HF16"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011,-4.1876547E-011
 1.0206207E+000, 2.7225887E+000, 4.6794499E-001, 4.2540458E-001, 6.3810687E-001, 6.5555134E-005, 7.3734805E-002,-6.5804434E-008,-3.7295569E-008,-3.9926338E-003,-4.0854624E-003,-4.0879764E-003,-4.0881115E-003,-4.0881054E-003,-4.0725113E-003,-4.0824489E-003,-4.0881480E-003,-4.0881056E-003,-4.0881088E-003
 2.0412415E+000, 2.7225322E+000, 4.6793809E-001, 4.2539939E-001, 6.3809924E-001, 1.8547301E-004, 2.4194220E-001, 2.6568978E-003, 3.9721983E-004, 1.9841173E-002, 1.4280311E-002, 1.8721675E-003,-4.0843745E-003,-4.0879907E-003, 9.9847393E-004, 3.4232624E-003, 2.7578593E-003,-4.0216050E-003,-4.0869052E-003
 3.0108311E+000, 2.7223632E+000, 4.6792586E-001, 4.2539383E-001, 6.3809150E-001, 4.4886986E-004, 2.6142869E-001, 8.5133866E-003, 1.7392866E-003, 3.4796533E-002, 2.1393280E-002, 6.1964255E-003,-4.9951318E-004,-3.1024360E-003, 5.3470176E-003, 8.2971505E-003, 6.0803238E-003,-6.6112636E-004,-1.3952428E-003
 4.0054321E+000, 2.7219473E+000, 4.6790146E-001, 4.2538764E-001, 6.3808343E-001, 8.4331056E-004, 2.9591829E-001, 9.9307686E-003, 2.0328544E-003, 3.8342088E-002, 2.5106228E-002, 7.8936284E-003, 4.3578746E-004,-2.7818098E-003, 6.8562942E-003, 1.0083805E-002, 7.0719215E-003, 1.3446783E-004,-8.1658844E-004
 5.0363242E+000, 2.7211484E+000, 4.6785335E-001, 4.2538023E-001, 6.3807453E-001, 1.2769052E-003, 3.2036842E-001, 1.2067265E-002, 2.6938590E-003, 4.4066740E-002, 3.0576409E-002, 1.0543550E-002, 1.4963164E-003,-2.4281627E-003, 9.0657074E-003, 1.2737739E-002, 8.9096654E-003, 1.0678379E-003,-1.4527458E-004
 6.0088672E+000, 2.7199778E+000, 4.6777363E-001, 4.2537157E-001, 6.3806504E-001, 1.6443454E-003, 3.4376431E-001, 1.4294673E-002, 3.3192518E-003, 4.9220647E-002, 3.5528497E-002, 1.3307453E-002, 3.1912340E-003,-1.7467592E-003, 1.1182165E-002, 1.5178931E-002, 1.0548463E-002, 2.3123265E-003, 6.8709085E-004
 7.0060653E+000, 2.7184904E+000, 4.6765737E-001, 4.2536134E-001, 6.3805486E-001, 1.9822278E-003, 3.6380298E-001, 1.6513830E-002, 3.9528379E-003, 5.3887196E-002, 4.0488901E-002, 1.6425707E-002, 5.2702230E-003,-8.1748498E-004, 1.3261695E-002, 1.7449868E-002, 1.2424340E-002, 3.6889870E-003, 1.5492487E-003
 8.0072680E+000, 2.7166902E+000, 4.6749941E-001, 4.2534880E-001, 6.3804354E-001, 2.2973226E-003, 3.8335766E-001, 1.9074906E-002, 4.7277570E-003, 5.9125297E-002, 4.5851108E-002, 1.9696391E-002, 7.6960751E-003, 7.3117196E-004, 1.5716486E-002, 2.0353929E-002, 1.4433702E-002, 5.2176654E-003, 2.7153389E-003
 9.0026341E+000, 2.7146227E+000, 4.6730134E-001, 4.2533357E-001, 6.3803105E-001, 2.5894500E-003, 4.0032834E-001, 2.1196605E-002, 5.3172752E-003, 6.3276184E-002, 5.0370439E-002, 2.2422838E-002, 9.9381375E-003, 2.4466767E-003, 1.7672059E-002, 2.2565907E-002, 1.6058069E-002, 6.6581301E-003, 3.8116827E-003
 1.0013905E+001, 2.7122861E+000, 4.6706236E-001, 4.2531489E-001, 6.3801708E-001, 2.9051780E-003, 4.0954040E-001, 2.3119036E-002, 5.8951182E-003, 6.7293515E-002, 5.4757046E-002, 2.4809012E-002, 1.0952596E-002, 4.0789518E-003, 1.9671985E-002, 2.4738336E-002, 1.7560874E-002, 7.6282305E-003, 4.7681749E-003
 1.1012783E+001, 2.7098345E+000, 4.6679448E-001, 4.2529257E-001, 6.3800164E-001, 1.8738437E-003, 2.6786520E-001, 2.2688596E-002, 6.0259770E-003, 6.1144963E-002, 5.2720179E-002, 2.4572496E-002, 1.1814581E-002, 5.2232321E-003, 1.9279497E-002, 2.3605869E-002, 1.6394463E-002, 8.6272088E-003, 5.5907551E-003
 1.2018159E+001, 2.7081595E+000, 4.6657477E-001, 4.2526962E-001, 6.3798597E-001, 1.1112714E-003, 1.3050768E-001, 1.4993982E-002, 4.2753521E-003, 2.8297996E-002, 3.1323086E-002, 1.5950382E-002, 8.1497039E-003, 4.0527760E-003, 1.0604195E-002, 1.2159320E-002, 7.9080616E-003, 5.3575587E-003, 2.8579760E-003
 1.3002145E+001, 2.7072108E+000, 4.6642082E-001, 4.2524768E-001, 6.3797080E-001, 7.4719033E-004, 1.0374700E-001, 1.2733323E-002, 3.6102086E-003, 2.1777597E-002, 2.5598939E-002, 1.3327399E-002, 6.5145884E-003, 3.2842896E-003, 8.2835687E-003, 9.2466019E-003, 6.0664795E-003, 3.9216414E-003, 1.7973725E-003
 1.4001544E+001, 2.7066065E+000, 4.6630803E-001, 4.2522642E-001, 6.3795594E-001, 5.4292249E-004, 8.8860967E-002, 1.1210750E-002, 3.1580301E-003, 1.8062974E-002, 2.1989765E-002, 1.1083089E-002, 4.7867563E-003, 2.1744057E-003, 6.7250735E-003, 7.4212051E-003, 4.7318017E-003, 2.8804964E-003, 9.2988338E-004
 1.5001535E+001, 2.7061805E+000, 4.6622113E-001, 4.2520553E-001, 6.3794118E-001, 4.1908341E-004, 7.7107989E-002, 1.0084640E-002, 2.8098024E-003, 1.5416804E-002, 1.9269508E-002, 9.4445884E-003, 3.7170451E-003, 1.3033387E-003, 5.4845576E-003, 6.0409334E-003, 3.7113380E-003, 2.1616062E-003, 2.8621039E-004
 1.6018294E+001, 2.7058599E+000, 4.6615182E-001, 4.2518493E-001, 6.3792643E-001, 3.3633197E-004, 6.7601010E-002, 9.1171844E-003, 2.5287733E-003, 1.3251727E-002, 1.7027730E-002, 8.1777251E-003, 2.9591472E-003, 7.0744611E-004, 4.4790190E-003, 4.9296287E-003, 2.9428428E-003, 1.6081419E-003,-2.0295077E-004
 1.7020428E+001, 2.7056092E+000, 4.6609552E-001, 4.2516478E-001, 6.3791178E-001, 2.7955098E-004, 5.9802722E-002, 8.2722455E-003, 2.2889995E-003, 1.1418554E-002, 1.5067817E-002, 7.1116777E-003, 2.3085658E-003, 2.3873341E-004, 3.6234091E-003, 4.0116438E-003, 2.2819280E-003, 1.1184016E-003,-6.1746773E-004
