s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,foliage,small roundwood,medium roundwood,large roundwood,total mlr,HF1,HF2,HF3,HF4,HF6,HF8,HF9,HF10,HF12,HF13,HF14,HF15,HF16
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011
 1.0306330E+000, 2.8450899E+000, 4.8856129E-001, 4.4461092E-001, 6.6607150E-001, 4.6492475E-003, 1.2974847E-001, 4.2303017E-005, 8.1564988E-006, 9.3874182E-002, 4.0361214E-002, 1.1146269E-002, 2.8115169E-006, 1.7180794E-006, 1.7792109E-002, 1.7125757E-002, 1.4179621E-002, 5.8668748E-007,-1.3357135E-008
 2.0030576E+000, 2.8403814E+000, 4.8820945E-001, 4.4455221E-001, 6.6602083E-001, 3.3880424E-002, 8.0801473E-001, 9.5382897E-003, 2.1006899E-003, 7.9047973E-001, 4.9360141E-001, 1.6350600E-001, 1.1567385E-002, 3.3262977E-003, 1.6881631E-001, 1.9290355E-001, 1.7897039E-001, 1.3607038E-002, 8.4502907E-003
 3.0077851E+000, 2.8137565E+000, 4.8640365E-001, 4.4432455E-001, 6.6584406E-001, 5.1906081E-002, 5.5090410E+000, 1.2212397E-001, 2.6613499E-002, 1.3955889E+000, 8.9940656E-001, 3.4789222E-001, 1.1207196E-001, 3.0483421E-002, 3.3281499E-001, 3.8400641E-001, 3.2695397E-001, 1.2223218E-001, 9.2303571E-002
 4.0033411E+000, 2.7663083E+000, 4.8063444E-001, 4.4373732E-001, 6.6541679E-001, 1.0762724E-001, 5.5703586E+000, 5.1257939E-001, 1.4624437E-001, 2.4321393E+000, 1.8850702E+000, 7.9816710E-001, 2.8965065E-001, 9.5346202E-002, 7.2475478E-001, 8.3703453E-001, 6.6321567E-001, 2.8875896E-001, 2.0041801E-001
 5.0045263E+000, 2.6637232E+000, 4.7224522E-001, 4.4236289E-001, 6.6454211E-001, 2.3841921E-001, 1.2359125E+001, 8.7089731E-001, 2.4456962E-001, 3.4300067E+000, 2.7263134E+000, 1.2302662E+000, 4.7559732E-001, 1.5901004E-001, 1.0980275E+000, 1.2980950E+000, 9.7795137E-001, 4.4046322E-001, 3.0127436E-001
 6.0044089E+000, 2.4557077E+000, 4.5085326E-001, 4.3951293E-001, 6.6268685E-001, 3.5881369E-001, 2.3799542E+001, 2.3953202E+000, 7.9938675E-001, 6.4724632E+000, 5.9221876E+000, 3.7782853E+000, 2.8004624E+000, 1.3675226E+000, 2.5239226E+000, 3.0603952E+000, 2.5039312E+000, 1.7254958E+000, 1.2155914E+000
 7.0038899E+000, 2.1555686E+000, 4.1056882E-001, 4.3340191E-001, 6.5859352E-001, 4.5745688E-001, 4.2689122E+001, 5.6545373E+000, 2.3559868E+000, 1.2194903E+001, 1.2567805E+001, 1.0494256E+001, 9.2739612E+000, 6.6529167E+000, 5.7065582E+000, 7.0605622E+000, 6.5711900E+000, 5.3209885E+000, 4.2515055E+000
 8.0037844E+000, 1.7754898E+000, 3.5706976E-001, 4.2014678E-001, 6.5011571E-001, 5.6817162E-001, 7.2162558E+001, 1.0364595E+001, 4.2147602E+000, 1.9945840E+001, 2.1941093E+001, 1.7517513E+001, 1.4888115E+001, 1.2751285E+001, 1.0250509E+001, 1.2436004E+001, 1.1132557E+001, 9.1297038E+000, 8.0520099E+000
 9.0002680E+000, 1.3274791E+000, 2.9111764E-001, 3.9754774E-001, 6.3523170E-001, 5.1140619E-001, 1.3349601E+002, 1.6539120E+001, 6.5667733E+000, 2.9368427E+001, 3.3154500E+001, 2.5809598E+001, 2.1747935E+001, 1.8419421E+001, 1.5644141E+001, 1.8748081E+001, 1.6343344E+001, 1.3712557E+001, 1.2196047E+001
