s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"solid mass","small roundwood","medium roundwood","large roundwood","total mlr","HF1","HF2","HF3","HF4","HF6","HF8","HF9","HF10","HF12","HF13","HF14","HF15","HF16"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011
 1.0336090E+000, 1.4703779E+001, 4.1660721E+000, 2.9407572E+000, 2.6956942E+000, 1.0321146E-003, 6.8954929E+000, 5.3973793E-002, 1.0328792E-003, 1.0336740E-002,-2.2699471E-003,-4.3816133E-003,-4.5534603E-003,-4.5532479E-003,-1.2423450E-003,-2.8699389E-003,-3.9855297E-003,-4.5531832E-003,-4.5531221E-003
 2.0257500E+000, 1.4702930E+001, 4.1659086E+000, 2.9406598E+000, 2.6956062E+000, 3.1304570E-003, 7.2890839E+000, 5.9202438E-002, 1.1050324E-002, 1.6894916E-001, 4.5969836E-002, 7.7448580E-003,-3.4646565E-003,-4.2388098E-003, 4.3705796E-002, 2.9156364E-002, 1.1132237E-002,-2.7955072E-003,-3.7229212E-003
 3.0178910E+000, 1.4700094E+001, 4.1656051E+000, 2.9405575E+000, 2.6955176E+000, 7.5413863E-003, 8.5444100E+000, 6.6806245E-002, 1.0936707E-002, 1.6328499E-001, 5.6791208E-002, 1.0955304E-002, 1.1285055E-004,-3.3449076E-003, 4.6280060E-002, 3.5445720E-002, 1.3231359E-002, 2.4938693E-003,-1.1073475E-003
 4.0100320E+000, 1.4693505E+001, 4.1649372E+000, 2.9404428E+000, 2.6954251E+000, 1.1968604E-002, 8.6716363E+000, 7.3205416E-002, 1.2897696E-002, 1.8030428E-001, 6.9626302E-002, 1.5207415E-002, 7.2942581E-004,-3.2103514E-003, 5.2923429E-002, 4.2265069E-002, 1.6453630E-002, 3.0501166E-003,-8.1533411E-004
 5.0021730E+000, 1.4683116E+001, 4.1637023E+000, 2.9403091E+000, 2.6953267E+000, 1.6081094E-002, 8.8894126E+000, 7.8727639E-002, 1.5163705E-002, 1.8945918E-001, 8.6274860E-002, 2.3132597E-002, 2.5590167E-003,-2.7344625E-003, 5.8444142E-002, 5.0184555E-002, 2.1393729E-002, 4.9355355E-003, 2.3214815E-005
 6.0339996E+000, 1.4668947E+001, 4.1617706E+000, 2.9401437E+000, 2.6952178E+000, 2.0744904E-002, 9.1661374E+000, 8.6549349E-002, 1.7995044E-002, 1.9604304E-001, 1.0665893E-001, 3.5017791E-002, 5.6492132E-003,-1.8651262E-003, 6.4064596E-002, 5.8795141E-002, 2.7370446E-002, 7.4724073E-003, 1.2049194E-003
 7.0261407E+000, 1.4650907E+001, 4.1591244E+000, 2.9399378E+000, 2.6950974E+000, 2.6543446E-002, 9.5439250E+000, 9.8662067E-002, 2.1794889E-002, 2.0877058E-001, 1.3356395E-001, 5.0387852E-002, 1.1693380E-002,-1.8333633E-004, 7.1796017E-002, 6.9701727E-002, 3.5442029E-002, 1.1354961E-002, 3.1430142E-003
 8.0204297E+000, 1.4628000E+001, 4.1556846E+000, 2.9396781E+000, 2.6949632E+000, 3.6614917E-002, 1.0445119E+001, 1.2115446E-001, 2.7641198E-002, 2.2778672E-001, 1.7563095E-001, 7.1799633E-002, 2.3722872E-002, 4.6385070E-003, 8.3308243E-002, 8.6557337E-002, 4.7153085E-002, 1.8299028E-002, 6.9265716E-003
 9.0058682E+000, 1.4596169E+001, 4.1509778E+000, 2.9393271E+000, 2.6948034E+000, 5.3980774E-002, 1.2586358E+001, 1.6088480E-001, 4.0562755E-002, 2.6935866E-001, 2.6386511E-001, 1.1643690E-001, 3.8168568E-002, 2.9284568E-002, 1.0845054E-001, 1.2462810E-001, 7.2230831E-002, 2.9522612E-002, 1.3809480E-002
 1.0012418E+001, 1.4548932E+001, 4.1439768E+000, 2.9388074E+000, 2.6945928E+000, 8.1691203E-002, 1.8369412E+001, 2.3431792E-001, 6.4310684E-002, 3.5615387E-001, 4.0940086E-001, 2.3949368E-001, 7.0157379E-002, 3.9918538E-002, 1.5637529E-001, 1.9460929E-001, 1.3295145E-001, 5.4726747E-002, 2.7308065E-002
 1.1016202E+001, 1.4478451E+001, 4.1330329E+000, 2.9379738E+000, 2.6942794E+000, 1.1452017E-001, 3.2584937E+001, 3.4001464E-001, 1.0634541E-001, 5.5290415E-001, 6.4584261E-001, 4.5921744E-001, 2.1656060E-001, 9.7538943E-002, 2.5681104E-001, 3.2121906E-001, 2.4144282E-001, 1.2961862E-001, 7.0556149E-002
 1.2005941E+001, 1.4380300E+001, 4.1163162E+000, 2.9366390E+000, 2.6937956E+000, 1.6248810E-001, 2.7067202E+001, 4.0517363E-001, 1.5613564E-001, 7.3638650E-001, 9.3485146E-001, 7.9126961E-001, 5.4852850E-001, 3.0113974E-001, 3.7362150E-001, 4.8302729E-001, 4.0843784E-001, 2.8468772E-001, 1.8022477E-001
 1.3001834E+001, 1.4242438E+001, 4.0921545E+000, 2.9345431E+000, 2.6930493E+000, 2.3291570E-001, 1.6320023E+001, 3.7849560E-001, 2.1620839E-001, 7.8317291E-001, 1.2772755E+000, 1.2102461E+000, 1.0866683E+000, 8.0866491E-001, 4.6965141E-001, 6.6323698E-001, 6.2802187E-001, 5.5022290E-001, 4.2078778E-001
 1.4000225E+001, 1.4047419E+001, 4.0580839E+000, 2.9314553E+000, 2.6919688E+000, 3.2279028E-001, 1.3895378E+001, 4.4166519E-001, 3.1743696E-001, 9.1900135E-001, 1.7105122E+000, 1.7336936E+000, 1.6781832E+000, 1.4667483E+000, 5.9135335E-001, 8.6591772E-001, 9.2404415E-001, 8.9339735E-001, 7.7790370E-001
 1.5002857E+001, 1.3781492E+001, 4.0095008E+000, 2.9267059E+000, 2.6902866E+000, 4.2594807E-001, 2.8334933E+001, 6.1803396E-001, 4.7786718E-001, 1.1836843E+000, 2.4538922E+000, 2.5199837E+000, 2.7037099E+000, 2.7199603E+000, 8.3023801E-001, 1.2573765E+000, 1.4203133E+000, 1.5196522E+000, 1.4748996E+000
 1.6001830E+001, 1.3431389E+001, 3.9405770E+000, 2.9188991E+000, 2.6874178E+000, 5.6247405E-001, 2.4995629E+001, 8.0833920E-001, 6.9229613E-001, 1.5843024E+000, 3.5930854E+000, 3.5685412E+000, 3.9100343E+000, 4.2622040E+000, 1.1742203E+000, 1.8297673E+000, 2.0837596E+000, 2.3113681E+000, 2.4240582E+000
 1.7002145E+001, 1.2980345E+001, 3.8454663E+000, 2.9058437E+000, 2.6823811E+000, 7.1470734E-001, 1.8239834E+001, 1.0577251E+000, 9.7265201E-001, 1.9981084E+000, 5.0687888E+000, 4.8611026E+000, 4.9917441E+000, 5.3443805E+000, 1.5318721E+000, 2.4342884E+000, 2.7490324E+000, 2.9884024E+000, 3.1400481E+000
 1.8000059E+001, 1.2419844E+001, 3.7198995E+000, 2.8852412E+000, 2.6739751E+000, 8.7729691E-001, 2.0231812E+001, 1.4133992E+000, 1.3916345E+000, 2.6434960E+000, 7.0477259E+000, 7.0003024E+000, 6.6095200E+000, 6.7026571E+000, 2.0433116E+000, 3.3153430E+000, 3.7643730E+000, 3.8927796E+000, 3.9975008E+000
 1.9002015E+001, 1.1739358E+001, 3.5631451E+000, 2.8558731E+000, 2.6614121E+000, 1.0455532E+000, 2.1583573E+001, 1.8157525E+000, 1.8696836E+000, 3.3792360E+000, 9.5358407E+000, 9.7756351E+000, 8.7302827E+000, 8.1111090E+000, 2.6737312E+000, 4.4636728E+000, 5.0854945E+000, 4.9791727E+000, 4.7949283E+000
 2.0001525E+001, 1.0941417E+001, 3.3707949E+000, 2.8122305E+000, 2.6440681E+000, 1.2232471E+000, 2.8477614E+001, 2.4641344E+000, 2.6308107E+000, 4.2832779E+000, 1.3253365E+001, 1.4266386E+001, 1.1631753E+001, 9.9231054E+000, 3.5512449E+000, 6.1148531E+000, 7.1213171E+000, 6.5221538E+000, 5.8372953E+000
 2.1001501E+001, 1.0051585E+001, 3.1440019E+000, 2.7458081E+000, 2.6204551E+000, 1.3037852E+000, 2.7759372E+001, 3.3327212E+000, 3.7465386E+000, 5.7395986E+000, 1.8432818E+001, 2.1073468E+001, 1.6089167E+001, 1.2733180E+001, 4.8566268E+000, 8.5349603E+000, 1.0182616E+001, 8.9225172E+000, 7.5630142E+000
 2.2000354E+001, 9.1320217E+000, 2.8892331E+000, 2.6583553E+000, 2.5870022E+000, 1.3319688E+000, 3.1333739E+001, 4.5138473E+000, 5.2667729E+000, 7.6479475E+000, 2.5404603E+001, 3.0727250E+001, 2.1944956E+001, 1.5977236E+001, 6.6457060E+000, 1.1969798E+001, 1.4326420E+001, 1.1958147E+001, 9.5477111E+000
 2.3001274E+001, 8.2419971E+000, 2.6191999E+000, 2.5531435E+000, 2.5392872E+000, 1.2493778E+000, 3.9322280E+001, 5.7894653E+000, 6.9876035E+000, 9.9042280E+000, 3.3822702E+001, 4.1336333E+001, 2.7529723E+001, 1.8799466E+001, 8.6606455E+000, 1.5854943E+001, 1.8904245E+001, 1.5028291E+001, 1.1299758E+001
 2.4003799E+001, 7.4536256E+000, 2.3544980E+000, 2.4275735E+000, 2.4808980E+000, 1.0908411E+000, 4.1824690E+001, 6.9293726E+000, 8.3723849E+000, 1.1729985E+001, 4.1264070E+001, 4.9945330E+001, 3.1310361E+001, 1.9387958E+001, 1.0320923E+001, 1.9342816E+001, 2.2567670E+001, 1.7283677E+001, 1.2180463E+001
 2.5003577E+001, 6.7991376E+000, 2.1222300E+000, 2.2873990E+000, 2.4145491E+000, 9.4663528E-001, 3.4422971E+001, 7.8577114E+000, 9.7835408E+000, 1.3342615E+001, 4.9009418E+001, 5.7650610E+001, 3.4493484E+001, 1.9716082E+001, 1.1968239E+001, 2.2778218E+001, 2.6201458E+001, 1.9440480E+001, 1.2943281E+001
 2.6000616E+001, 6.2623583E+000, 1.9349045E+000, 2.1412931E+000, 2.3356590E+000, 8.0956269E-001, 2.7311477E+001, 8.3044095E+000, 1.0592717E+001, 1.4164628E+001, 5.3668949E+001, 6.3420467E+001, 3.7312911E+001, 2.0005013E+001, 1.2914333E+001, 2.5130410E+001, 2.8882334E+001, 2.1113930E+001, 1.3331168E+001
 2.7003059E+001, 5.8238981E+000, 1.7829987E+000, 2.0024837E+000, 2.2566468E+000, 6.4850072E-001, 1.8049042E+001, 7.3316263E+000, 1.0152548E+001, 1.2508105E+001, 4.7779389E+001, 6.4748938E+001, 3.9121753E+001, 2.1049886E+001, 1.2171564E+001, 2.4157002E+001, 2.9188003E+001, 2.1763277E+001, 1.3753871E+001
 2.8000446E+001, 5.4930557E+000, 1.6622336E+000, 1.8725009E+000, 2.1838975E+000, 5.0103043E-001, 9.6838687E+000, 4.7721964E+000, 8.0855104E+000, 8.6158854E+000, 3.1898682E+001, 6.0286850E+001, 3.8663866E+001, 2.0111875E+001, 9.5179195E+000, 1.8680998E+001, 2.6189189E+001, 2.0547558E+001, 1.3240728E+001
 2.9003371E+001, 5.2603784E+000, 1.5751547E+000, 1.7538372E+000, 2.1196591E+000, 3.5121927E-001, 5.8441425E+000, 2.6434995E+000, 5.5459626E+000, 5.1223681E+000, 1.7961383E+001, 4.6944029E+001, 3.4899934E+001, 1.8726608E+001, 6.3745011E+000, 1.1788449E+001, 1.9294923E+001, 1.7654534E+001, 1.2217025E+001
 3.0002658E+001, 5.1120026E+000, 1.5183126E+000, 1.6569597E+000, 2.0659036E+000, 2.3309208E-001, 4.2219510E+000, 1.3382921E+000, 3.3314782E+000, 2.7480785E+000, 9.4643108E+000, 2.8837292E+001, 2.7260795E+001, 1.5626992E+001, 3.9446496E+000, 7.2092263E+000, 1.3149845E+001, 1.4228249E+001, 1.0195640E+001
 3.1000356E+001, 5.0213170E+000, 1.4835489E+000, 1.5864044E+000, 2.0249990E+000, 1.6303979E-001, 1.5525437E+000, 8.0559209E-001, 2.1133431E+000, 1.7673403E+000, 6.0286508E+000, 1.9706579E+001, 2.1533685E+001, 1.2557995E+001, 2.7147001E+000, 4.9837307E+000, 1.0162041E+001, 1.1682970E+001, 8.0975900E+000
 3.2003904E+001, 4.9561904E+000, 1.4612611E+000, 1.5355820E+000, 1.9947918E+000, 1.3504106E-001, 6.5628681E-001, 5.3287816E-001, 1.4277440E+000, 1.2799465E+000, 4.3630959E+000, 1.4746364E+001, 1.8325716E+001, 1.0814379E+001, 2.0464327E+000, 3.8150129E+000, 8.1459710E+000, 9.6430187E+000, 6.6158090E+000
 3.3004677E+001, 4.9008248E+000, 1.4442905E+000, 1.4964924E+000, 1.9708979E+000, 1.1349957E-001, 4.6102227E-001, 3.8820051E-001, 1.0596498E+000, 1.0468175E+000, 3.4633566E+000, 1.1599649E+001, 1.6705951E+001, 9.7757797E+000, 1.6918287E+000, 3.2151755E+000, 6.7980684E+000, 8.1555321E+000, 5.6517048E+000
 3.4000886E+001, 4.8537242E+000, 1.4302139E+000, 1.4647372E+000, 1.9509017E+000, 9.6038001E-002, 3.3717587E-001, 2.9027928E-001, 8.0416900E-001, 8.3220286E-001, 2.7036000E+000, 9.1140240E+000, 1.4425233E+001, 8.7665059E+000, 1.3572853E+000, 2.6624318E+000, 5.5028448E+000, 6.5552905E+000, 4.8030335E+000
 3.5000807E+001, 4.8144257E+000, 1.4185107E+000, 1.4384560E+000, 1.9341694E+000, 7.6247031E-002, 2.5492711E-001, 2.1375734E-001, 5.9462427E-001, 7.0337242E-001, 2.1762904E+000, 7.1641789E+000, 1.2461158E+001, 8.1338630E+000, 1.1473725E+000, 2.2514383E+000, 4.3137967E+000, 5.0910326E+000, 4.1523546E+000
 3.6004564E+001, 4.7806971E+000, 1.4081600E+000, 1.4172053E+000, 1.9200306E+000, 6.7787727E-002, 2.0079354E-001, 1.6087961E-001, 4.4809072E-001, 5.9182178E-001, 1.7458566E+000, 5.5596940E+000, 1.0375122E+001, 7.3109919E+000, 9.7180615E-001, 1.8924278E+000, 3.3273232E+000, 3.9221799E+000, 3.5777919E+000
 3.7000472E+001, 4.7519942E+000, 1.3998187E+000, 1.3994712E+000, 1.9080677E+000, 4.8503987E-002, 1.6474373E-001, 1.2123383E-001, 3.3265823E-001, 4.7552839E-001, 1.3554474E+000, 4.1738206E+000, 8.1998599E+000, 6.2261998E+000, 7.9018516E-001, 1.5232541E+000, 2.4423568E+000, 2.9393067E+000, 2.9953358E+000
 3.8002322E+001, 4.7294930E+000, 1.3933334E+000, 1.3851666E+000, 1.8982176E+000, 3.8390029E-002, 1.3840388E-001, 8.6248270E-002, 2.0759037E-001, 3.6126188E-001, 9.8645798E-001, 2.9237733E+000, 5.9506651E+000, 4.8151740E+000, 5.9673564E-001, 1.1127775E+000, 1.6285533E+000, 2.1317354E+000, 2.3399361E+000
 3.9006849E+001, 4.7108988E+000, 1.3877484E+000, 1.3740661E+000, 1.8900724E+000, 3.8339775E-002, 1.1943394E-001, 6.6584936E-002, 1.4828088E-001, 3.0632015E-001, 8.1753716E-001, 2.3875111E+000, 5.0674800E+000, 4.1516165E+000, 5.1742558E-001, 8.9652900E-001, 1.2586172E+000, 1.9535067E+000, 2.1368634E+000
 4.0007037E+001, 4.6961359E+000, 1.3834217E+000, 1.3653460E+000, 1.8834562E+000, 2.1911666E-002, 1.0411051E-001, 5.0953084E-002, 9.6725486E-002, 2.3207454E-001, 6.1576227E-001, 1.7459980E+000, 3.7884203E+000, 3.2799846E+000, 3.9947392E-001, 6.4571900E-001, 9.2752371E-001, 1.6378528E+000, 1.7677714E+000
 4.1003741E+001, 4.6848237E+000, 1.3802899E+000, 1.3589149E+000, 1.8782300E+000, 1.8547738E-002, 9.2354643E-002, 4.2087070E-002, 6.8381245E-002, 1.7970239E-001, 4.7247385E-001, 1.2958510E+000, 2.9558547E+000, 2.6918016E+000, 3.1424731E-001, 4.6689906E-001, 7.1218574E-001, 1.4185420E+000, 1.4848804E+000
 4.2001212E+001, 4.6767913E+000, 1.3779668E+000, 1.3540720E+000, 1.8740367E+000, 1.1831879E-002, 8.3068471E-002, 3.4694106E-002, 4.2243707E-002, 1.3871408E-001, 3.7406192E-001, 9.4790291E-001, 2.0162051E+000, 2.2303516E+000, 2.5424748E-001, 3.3593300E-001, 5.7558090E-001, 1.1200813E+000, 1.1650094E+000
 4.3005659E+001, 4.6715530E+000, 1.3764616E+000, 1.3506010E+000, 1.8706497E+000, 6.9280286E-003, 7.5794097E-002, 2.9647296E-002, 3.0741968E-002, 1.0120362E-001, 2.6962872E-001, 6.3512629E-001, 1.1610543E+000, 1.6630695E+000, 1.8545121E-001, 2.2531366E-001, 4.2297026E-001, 7.3489539E-001, 7.7124271E-001
 4.4002938E+001, 4.6697151E+000, 1.3758799E+000, 1.3484279E+000, 1.8681971E+000, 2.6440590E-003, 6.9292336E-002, 2.5394020E-002, 1.9329092E-002, 6.7710783E-002, 1.7856990E-001, 3.5784086E-001, 5.9126976E-001, 1.0328024E+000, 1.2075991E-001, 1.3316733E-001, 2.6587826E-001, 3.7090380E-001, 3.7795108E-001
 4.5010373E+001, 4.6694748E+000, 1.3757625E+000, 1.3475456E+000, 1.8665578E+000, 2.0080409E-003, 6.3489838E-002, 2.2596748E-002, 1.5333374E-002, 6.1495855E-002, 1.7129140E-001, 3.0890124E-001, 4.4599091E-001, 7.3861293E-001, 1.1830287E-001, 1.1714984E-001, 2.6589966E-001, 2.3904631E-001, 1.9753934E-001
