s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_FUEL VAPOR,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-2.8863053E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8863053E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0164152E+000, 2.7325425E+001,-1.0900017E+002, 2.3497328E+000,-2.0637085E-002, 0.0000000E+000, 0.0000000E+000, 1.1913846E+002, 3.5792993E+001, 3.9792812E+001,-2.8087410E-006, 2.1978990E-003, 3.1848067E-006, 8.6122678E-004
 2.0138230E+000, 3.8457898E+002,-1.0427369E+002, 2.2222419E+001,-2.7543658E-001, 0.0000000E+000, 0.0000000E+000,-1.1040947E+002, 1.7568951E+002, 1.9184280E+002,-5.7400873E-003, 3.2058383E-002, 6.5086346E-003, 1.0183616E-002
 3.0038030E+000, 9.9599537E+002,-1.4467774E+002, 7.5554009E+001,-7.8266293E-001, 0.0000000E+000, 0.0000000E+000,-3.9495816E+002, 4.8279868E+002, 5.3113082E+002,-5.5194178E-002, 8.6470765E-002, 6.2584193E-002, 3.8290332E-002
 4.0045738E+000, 2.3111411E+003,-4.2689309E+002,-2.4105068E+001,-4.9853885E+000, 0.0000000E+000, 0.0000000E+000,-5.7174788E+002, 1.1842092E+003, 1.2834097E+003,-8.6272716E-002, 2.4759253E-001, 9.7823875E-002, 7.8628244E-002
 5.0000005E+000, 4.8834542E+003,-1.1092987E+003,-1.3081517E+002,-1.8813969E+001, 0.0000000E+000, 0.0000000E+000,-4.9234482E+002, 2.9456438E+003, 3.1321816E+003,-1.8263053E-001, 4.1424095E-001, 2.0708316E-001, 8.3852474E-002
 6.0033736E+000, 8.1211245E+003,-1.9537546E+003,-4.3624122E+003,-6.0372341E+001, 0.0000000E+000, 0.0000000E+000,-2.8329440E+002, 1.1997645E+003, 1.4612910E+003,-3.0811238E-001, 3.8937115E-001, 3.4936593E-001, 7.3862642E-002
 7.0022502E+000, 7.7662602E+003,-1.9331543E+003,-5.7400472E+003,-9.0390514E+001, 0.0000000E+000, 0.0000000E+000,-8.0221083E+001,-4.0081682E+002,-7.7552910E+001,-3.8965784E-001, 3.5130770E-001, 4.4182960E-001, 5.6362670E-002
 8.0001850E+000, 6.5333183E+003,-1.7062072E+003,-4.8886890E+003,-7.0185689E+001, 0.0000000E+000, 0.0000000E+000, 1.6359322E+002,-3.7489395E+002, 3.1829622E+001,-4.8849577E-001, 2.5631323E-001, 5.5390106E-001, 4.0200550E-002
 9.0033894E+000, 4.7799435E+003,-1.3558701E+003,-3.6132129E+003,-5.1608383E+001, 0.0000000E+000, 0.0000000E+000, 3.7395834E+002,-3.3255529E+002, 1.3321046E+002,-5.6184763E-001, 1.7049468E-001, 6.3707410E-001, 2.7799992E-002
 1.0000483E+001, 3.1317461E+003,-9.9110753E+002,-2.6635098E+003,-3.5374317E+001, 0.0000000E+000, 0.0000000E+000, 5.5842673E+002,-5.2372736E+002, 1.8122669E-001,-6.5217204E-001, 1.0100087E-001, 7.3949214E-001, 1.9382140E-002
 1.1000459E+001, 2.1587318E+003,-7.0639785E+002,-1.9695269E+003,-2.3736895E+001, 0.0000000E+000, 0.0000000E+000, 4.7017401E+002,-5.4272760E+002,-7.0755817E+001,-6.4518191E-001, 5.8392786E-002, 7.3156609E-001, 1.2136818E-002
 1.2000500E+001, 1.3071009E+003,-4.0171693E+002,-2.0721616E+003,-2.2688651E+001, 0.0000000E+000, 0.0000000E+000, 3.8081382E+002,-1.1012045E+003,-8.0865252E+002,-4.8226073E-001, 2.8029024E-002, 5.4683121E-001, 6.8621342E-003
 1.3006088E+001, 5.6585090E+002,-1.4253683E+002,-1.3282528E+003,-1.2319456E+001, 0.0000000E+000, 0.0000000E+000, 1.7023804E+002,-8.4835811E+002,-7.4702016E+002,-1.8526015E-001, 1.4286112E-002, 2.1006486E-001, 4.1405787E-003
