s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-8.9589491E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9589491E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 3.4373013E+000, 1.4640396E-005, 5.9254741E-002, 3.5384029E-010, 0.0000000E+000, 0.0000000E+000,-1.1823643E-003,-4.5492109E-004, 3.4953883E+000,-5.9215438E-010, 2.0874239E-003, 6.7275317E-010, 2.5999803E-004
 1.5811388E-001, 2.2732465E+001,-1.2798514E+000, 3.5444290E-001,-2.4876929E-008, 0.0000000E+000, 0.0000000E+000,-9.1613089E-001, 1.2008047E+001, 2.0890925E+001,-1.2318762E-009, 3.4656036E-003, 1.3995483E-009, 2.5996371E-004
 1.9764236E-001, 3.5267169E+001,-1.1373757E+001, 3.5097098E-001,-7.1091594E-008, 0.0000000E+000, 0.0000000E+000,-3.9431889E+000, 2.4889128E+001, 2.0301194E+001,-1.2869733E-009, 3.4656039E-003, 1.4621446E-009, 2.5998824E-004
 2.7669930E-001, 4.1819905E+001,-1.6629497E+001, 3.1968181E-001,-9.1426542E-007, 0.0000000E+000, 0.0000000E+000,-7.2808915E+000, 1.9978170E+001, 1.8229198E+001,-1.2783196E-009, 3.4656064E-003, 1.4523131E-009, 2.6015467E-004
 3.1079081E-001, 4.6902530E+001,-1.5653317E+001, 3.6662804E-001,-2.1979585E-006, 0.0000000E+000, 0.0000000E+000,-1.0410083E+001, 1.7866080E+001, 2.1205756E+001,-1.2896743E-009, 3.4656114E-003, 1.4652134E-009, 2.6049127E-004
 3.7897384E-001, 4.8726500E+001,-1.6414131E+001, 3.2053170E-001,-3.4142446E-006, 0.0000000E+000, 0.0000000E+000,-1.4373843E+001, 1.9652639E+001, 1.8259054E+001,-1.3193086E-009, 3.4656194E-003, 1.4988811E-009, 2.6101329E-004
 4.4715688E-001, 5.0939911E+001,-1.6549614E+001, 2.8202028E-001,-6.2304612E-006, 0.0000000E+000, 0.0000000E+000,-1.8630954E+001, 1.8153785E+001, 1.6041357E+001,-1.3552379E-009, 3.4656370E-003, 1.5397008E-009, 2.6212696E-004
 5.0565308E-001, 5.1767922E+001,-1.3111882E+001, 2.6150931E-001,-1.1004758E-005, 0.0000000E+000, 0.0000000E+000,-2.4165474E+001, 1.5872850E+001, 1.4752065E+001,-1.3942992E-009, 3.4656623E-003, 1.5840788E-009, 2.6366016E-004
 5.6414932E-001, 5.0438310E+001,-1.0292571E+001, 2.3117537E-001,-2.0115714E-005, 0.0000000E+000, 0.0000000E+000,-2.7497830E+001, 1.3744371E+001, 1.2879065E+001,-1.4385286E-009, 3.4656958E-003, 1.6343283E-009, 2.6560093E-004
