s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,foliage,small roundwood,medium roundwood,large roundwood,total mlr,HF1,HF2,HF3,HF4,HF6,HF8,HF9,HF10,HF12,HF13,HF14,HF15,HF16
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011
 1.0306330E+000, 5.5878679E+000, 9.6114761E-001, 8.7276887E-001, 1.3102585E+000, 4.0311784E-003, 8.2801761E-002, 2.8209834E-005, 5.8540178E-006, 6.2388925E-002, 2.4145565E-002, 6.2776047E-003, 2.0105799E-006, 1.3223424E-006, 1.2669504E-002, 1.0473158E-002, 7.9750065E-003, 4.4431111E-007,-7.1613270E-008
 2.0093612E+000, 5.5819368E+000, 9.6075796E-001, 8.7269487E-001, 1.3101802E+000, 2.3001005E-002, 4.3573688E-001, 4.1218526E-003, 8.4081369E-004, 5.1286681E-001, 2.6759162E-001, 8.2732843E-002, 3.9191629E-003, 1.0905752E-003, 1.1611624E-001, 1.0926101E-001, 9.0753245E-002, 5.5083505E-003, 3.1529755E-003
 3.0074398E+000, 5.5630881E+000, 9.5891193E-001, 8.7240146E-001, 1.3099378E+000, 4.0854962E-002, 7.0993446E-001, 1.8442840E-002, 4.3229126E-003, 7.2942493E-001, 3.8576787E-001, 1.3608220E-001, 4.4249841E-002, 1.2234470E-002, 1.7441562E-001, 1.6179526E-001, 1.3220604E-001, 5.3775112E-002, 3.6251663E-002
 4.0180649E+000, 5.5265817E+000, 9.5590636E-001, 8.7182174E-001, 1.3094785E+000, 7.0527550E-002, 2.6158093E+000, 6.5482209E-002, 1.5733618E-002, 9.2902145E-001, 5.1091400E-001, 1.8337699E-001, 6.0195767E-002, 1.7139453E-002, 2.3094453E-001, 2.2364934E-001, 1.7667196E-001, 7.1818923E-002, 4.8797674E-002
 5.0119325E+000, 5.4653405E+000, 9.4921342E-001, 8.7092102E-001, 1.3087825E+000, 8.4108590E-002, 3.2706518E+000, 2.7943009E-001, 7.7227233E-002, 1.5246191E+000, 1.0398865E+000, 4.2933029E-001, 1.5809069E-001, 5.6676504E-002, 4.4675114E-001, 4.5737805E-001, 3.4651382E-001, 1.5909894E-001, 1.0821426E-001
 6.0123369E+000, 5.3911714E+000, 9.4040839E-001, 8.6961398E-001, 1.3078223E+000, 1.0128056E-001, 2.3146697E+000, 2.7650409E-001, 9.5179121E-002, 1.5504418E+000, 1.1053784E+000, 5.1488637E-001, 2.0272640E-001, 6.9587169E-002, 4.6940389E-001, 4.9426553E-001, 3.9711014E-001, 2.0147727E-001, 1.2098855E-001
 7.0081078E+000, 5.3002262E+000, 9.3085538E-001, 8.6770927E-001, 1.3066017E+000, 1.4203956E-001, 3.8982602E+000, 2.2866705E-001, 7.3494929E-002, 1.5979793E+000, 1.0493118E+000, 4.9614285E-001, 2.3436712E-001, 9.3656083E-002, 4.6169418E-001, 4.8242483E-001, 3.8978967E-001, 2.1202803E-001, 1.3869446E-001
 8.0056991E+000, 5.1638140E+000, 9.1804373E-001, 8.6502988E-001, 1.3048654E+000, 2.1320260E-001, 8.6821960E+000, 4.5203365E-001, 1.2867652E-001, 2.1079394E+000, 1.4851282E+000, 7.6448479E-001, 3.7990616E-001, 1.7748969E-001, 6.4547137E-001, 6.9824617E-001, 5.6206302E-001, 3.0224251E-001, 2.1351397E-001
 9.0010237E+000, 4.9721188E+000, 8.9664358E-001, 8.6106266E-001, 1.3021671E+000, 2.8525494E-001, 1.2387454E+001, 7.9833365E-001, 2.5545973E-001, 2.9864105E+000, 2.3102564E+000, 1.4826425E+000, 1.0609007E+000, 6.1086035E-001, 1.0296578E+000, 1.1639279E+000, 1.0028032E+000, 6.6981803E-001, 4.9649806E-001
