s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-70"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 9.380E+00
 2.000E+01, 0.000E+00, 2.820E+01, 1.585E+02
 3.000E+01, 0.000E+00, 1.419E+02, 2.282E+02
 4.000E+01, 0.000E+00, 1.792E+02, 2.073E+02
 5.000E+01, 0.000E+00, 1.694E+02, 1.813E+02
 6.000E+01, 0.000E+00, 1.506E+02, 1.665E+02
 7.000E+01, 0.000E+00, 1.387E+02, 1.494E+02
 8.000E+01, 0.000E+00, 1.298E+02, 1.386E+02
 9.000E+01, 0.000E+00, 1.188E+02, 1.331E+02
 1.000E+02, 8.787E-01, 1.111E+02, 1.274E+02
 1.100E+02, 3.418E+01, 1.061E+02, 1.202E+02
 1.200E+02, 8.505E+01, 1.034E+02, 1.154E+02
 1.300E+02, 1.163E+02, 9.986E+01, 1.147E+02
 1.400E+02, 1.147E+02, 9.561E+01, 1.116E+02
 1.500E+02, 1.109E+02, 9.117E+01, 1.075E+02
 1.600E+02, 1.033E+02, 9.005E+01, 1.066E+02
 1.700E+02, 9.525E+01, 8.956E+01, 1.065E+02
 1.800E+02, 9.039E+01, 8.766E+01, 1.048E+02
 1.900E+02, 8.700E+01, 8.504E+01, 1.010E+02
 2.000E+02, 8.311E+01, 8.326E+01, 9.740E+01
 2.100E+02, 7.847E+01, 8.322E+01, 9.637E+01
 2.200E+02, 7.421E+01, 8.322E+01, 9.554E+01
 2.300E+02, 7.148E+01, 8.242E+01, 9.472E+01
 2.400E+02, 6.906E+01, 8.044E+01, 9.422E+01
 2.500E+02, 6.765E+01, 7.778E+01, 9.377E+01
 2.600E+02, 6.660E+01, 7.591E+01, 9.261E+01
 2.700E+02, 6.527E+01, 7.533E+01, 9.123E+01
 2.800E+02, 6.364E+01, 7.484E+01, 9.062E+01
 2.900E+02, 6.189E+01, 7.432E+01, 8.972E+01
 3.000E+02, 5.996E+01, 7.384E+01, 8.950E+01
 3.100E+02, 5.818E+01, 7.358E+01, 9.063E+01
 3.200E+02, 5.777E+01, 7.332E+01, 9.232E+01
 3.300E+02, 5.783E+01, 7.286E+01, 9.324E+01
 3.400E+02, 5.745E+01, 7.187E+01, 9.316E+01
 3.500E+02, 5.670E+01, 7.117E+01, 9.351E+01
 3.600E+02, 5.578E+01, 7.084E+01, 9.554E+01
 3.700E+02, 5.465E+01, 7.026E+01, 9.566E+01
 3.800E+02, 5.362E+01, 6.988E+01, 9.579E+01
 3.900E+02, 5.338E+01, 6.996E+01, 9.524E+01
 4.000E+02, 5.340E+01, 7.078E+01, 9.324E+01
 4.100E+02, 5.341E+01, 7.182E+01, 9.194E+01
 4.200E+02, 5.339E+01, 7.266E+01, 9.244E+01
 4.300E+02, 5.309E+01, 7.285E+01, 9.234E+01
 4.400E+02, 5.237E+01, 7.270E+01, 9.227E+01
 4.500E+02, 5.150E+01, 7.288E+01, 9.107E+01
 4.600E+02, 5.039E+01, 7.424E+01, 8.973E+01
 4.700E+02, 4.926E+01, 7.480E+01, 8.821E+01
 4.800E+02, 4.869E+01, 7.466E+01, 8.684E+01
 4.900E+02, 4.844E+01, 7.482E+01, 8.551E+01
 5.000E+02, 4.825E+01, 7.454E+01, 8.317E+01
 5.100E+02, 4.804E+01, 7.359E+01, 8.201E+01
 5.200E+02, 4.783E+01, 7.212E+01, 8.300E+01
 5.300E+02, 4.761E+01, 7.181E+01, 8.459E+01
 5.400E+02, 4.741E+01, 7.219E+01, 8.452E+01
 5.500E+02, 4.728E+01, 7.212E+01, 8.386E+01
 5.600E+02, 4.719E+01, 7.212E+01, 8.409E+01
 5.700E+02, 4.708E+01, 7.190E+01, 8.381E+01
 5.800E+02, 4.695E+01, 7.102E+01, 8.265E+01
