m,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,H2_7_mm,H2O_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,H2_9_mm,H2O_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm,H2_11_mm,H2O_11_mm
 1.2500000E-004, 1.7416732E+002, 2.4395503E-003, 9.0964751E-001, 2.5497637E-003, 5.2215659E-003, 3.1872046E-003, 1.5691889E-002, 2.8330277E+002, 3.9141735E-003, 8.2393550E-001, 4.6313711E-003, 1.0842800E-002, 5.7892139E-003, 3.1347005E-002, 3.8874986E+002, 4.7684687E-003, 7.3988437E-001, 6.5640396E-003, 1.6715754E-002, 8.2050496E-003, 4.7235834E-002
 3.7715517E-004, 1.9241342E+002, 2.8108382E-003, 8.9379187E-001, 2.8656340E-003, 6.2758129E-003, 3.5820425E-003, 1.8501880E-002, 3.0379905E+002, 4.1867656E-003, 8.0571654E-001, 4.9774836E-003, 1.2138316E-002, 6.2218544E-003, 3.4715190E-002, 4.0838641E+002, 4.9025286E-003, 7.2285900E-001, 6.8755823E-003, 1.7991198E-002, 8.5944779E-003, 5.0492481E-002
 6.2931034E-004, 2.2385957E+002, 3.4358745E-003, 8.6610895E-001, 3.4159861E-003, 8.1279429E-003, 4.2699826E-003, 2.3428887E-002, 3.3871036E+002, 4.6232463E-003, 7.7476751E-001, 5.5689388E-003, 1.4348095E-002, 6.9611735E-003, 4.0460614E-002, 4.4206753E+002, 5.1093555E-003, 6.9398856E-001, 7.4068052E-003, 2.0160798E-002, 9.2585065E-003, 5.6033228E-002
 8.8146552E-004, 2.6666975E+002, 4.2481825E-003, 8.2793471E-001, 4.1740314E-003, 1.0705216E-002, 5.2175393E-003, 3.0267840E-002, 3.8551985E+002, 5.1490969E-003, 7.3364315E-001, 6.3615078E-003, 1.7303243E-002, 7.9518848E-003, 4.8143491E-002, 4.8756389E+002, 5.3417281E-003, 6.5576553E-001, 8.1153951E-003, 2.3047518E-002, 1.0144244E-002, 6.3406025E-002
 1.1336207E-003, 3.1902686E+002, 5.1657418E-003, 7.8097656E-001, 5.1078569E-003, 1.3911356E-002, 6.3848211E-003, 3.8753921E-002, 4.4182431E+002, 5.6850263E-003, 6.8511177E-001, 7.3063732E-003, 2.0820848E-002, 9.1329665E-003, 5.7285987E-002, 5.4258673E+002, 5.5508598E-003, 6.1090669E-001, 8.9538455E-003, 2.6458359E-002, 1.1192307E-002, 7.2115781E-002
 1.3857759E-003, 3.7942508E+002, 6.1011648E-003, 7.2718124E-001, 6.1832425E-003, 1.7631966E-002, 7.7290531E-003, 4.8579581E-002, 5.0566897E+002, 6.1630782E-003, 6.3176507E-001, 8.3564362E-003, 2.4728012E-002, 1.0445545E-002, 6.7435161E-002, 6.0513145E+002, 5.6960423E-003, 5.6193966E-001, 9.8762610E-003, 3.0213086E-002, 1.2345326E-002, 8.1697733E-002
 1.6379310E-003, 4.4671127E+002, 6.9700898E-003, 6.6861084E-001, 7.3652180E-003, 2.1741068E-002, 9.2065225E-003, 5.9411617E-002, 5.7556979E+002, 6.5299232E-003, 5.7586358E-001, 9.4693852E-003, 2.8872292E-002, 1.1836731E-002, 7.8190648E-002, 6.7352827E+002, 5.7453596E-003, 5.1229589E-001, 1.0834876E-002, 3.4044039E-002, 1.3543596E-002, 9.1499328E-002
 1.8900862E-003, 5.1999504E+002, 7.7018268E-003, 6.0730152E-001, 8.6191160E-003, 2.6108673E-002, 1.0773895E-002, 7.0909665E-002, 6.5037120E+002, 6.7486949E-003, 5.2004115E-001, 1.0604492E-002, 3.3057310E-002, 1.3255615E-002, 8.9062865E-002, 7.4641694E+002, 5.6880833E-003, 4.6252358E-001, 1.1801901E-002, 3.7928197E-002, 1.4752376E-002, 1.0142217E-001
 2.1422414E-003, 5.9853473E+002, 8.2427336E-003, 5.4520348E-001, 9.9114360E-003, 3.0604160E-002, 1.2389295E-002, 8.2735076E-002, 7.2909372E+002, 6.8043534E-003, 4.6544856E-001, 1.1732675E-002, 3.7206408E-002, 1.4665843E-002, 9.9837390E-002, 8.2272067E+002, 5.5223660E-003, 4.1371995E-001, 1.2751475E-002, 4.1785217E-002, 1.5939344E-002, 1.1125049E-001
 2.3943966E-003, 6.8159908E+002, 8.5534279E-003, 4.8499469E-001, 1.1205852E-002, 3.5024387E-002, 1.4007315E-002, 9.4391583E-002, 8.1093091E+002, 6.6979825E-003, 4.1261280E-001, 1.2832572E-002, 4.1287727E-002, 1.6040714E-002, 1.1040916E-001, 9.0151666E+002, 5.2550071E-003, 3.6675339E-001, 1.3663900E-002, 4.5547114E-002, 1.7079875E-002, 1.2080604E-001
 2.6465517E-003, 7.6846791E+002, 8.6268152E-003, 4.2668432E-001, 1.2482426E-002, 3.9388706E-002, 1.5603032E-002, 1.0588452E-001, 8.9512790E+002, 6.4401805E-003, 3.6230182E-001, 1.3885170E-002, 4.5240428E-002, 1.7356462E-002, 1.2061648E-001, 9.8199106E+002, 4.8989948E-003, 3.2221413E-001, 1.4524466E-002, 4.9165016E-002, 1.8155582E-002, 1.2996021E-001
 2.8987069E-003, 8.5841358E+002, 8.4679688E-003, 3.7122266E-001, 1.3719059E-002, 4.3624256E-002, 1.7148824E-002, 1.1702100E-001, 9.8094359E+002, 6.0493967E-003, 3.1502187E-001, 1.4877047E-002, 4.9019967E-002, 1.8596309E-002, 1.3034247E-001, 1.0634035E+003, 4.4708759E-003, 2.8046860E-001, 1.5323182E-002, 5.2605473E-002, 1.9153977E-002, 1.3862552E-001
 3.1508621E-003, 9.5064440E+002, 8.0959093E-003, 3.1926000E-001, 1.4897889E-002, 4.7676471E-002, 1.8622361E-002, 1.2765512E-001, 1.0676545E+003, 5.5488906E-003, 2.7107646E-001, 1.5797930E-002, 5.2596016E-002, 1.9747412E-002, 1.3950618E-001, 1.1450526E+003, 3.9885880E-003, 2.4170651E-001, 1.6053764E-002, 5.5847868E-002, 2.0067205E-002, 1.4674830E-001
 3.4030172E-003, 1.0443157E+003, 7.5392219E-003, 2.7118702E-001, 1.6006290E-002, 5.1506410E-002, 2.0007863E-002, 1.3768386E-001, 1.1545142E+003, 4.9636807E-003, 2.3059241E-001, 1.6641208E-002, 5.5950945E-002, 2.0801510E-002, 1.4806007E-001, 1.2262821E+003, 3.4700094E-003, 2.0598941E-001, 1.6712967E-002, 5.8881081E-002, 2.0891208E-002, 1.5430032E-001
 3.6551724E-003, 1.1385238E+003, 6.8318544E-003, 2.2717508E-001, 1.7033647E-002, 5.5091628E-002, 2.1292058E-002, 1.4704294E-001, 1.2408205E+003, 4.3190231E-003, 1.9358220E-001, 1.7403673E-002, 5.9074876E-002, 2.1754592E-002, 1.5597905E-001, 1.3065201E+003, 2.9319470E-003, 1.7328703E-001, 1.7299940E-002, 6.1701071E-002, 2.1624925E-002, 1.6127252E-001
 3.9073276E-003, 1.2323861E+003, 6.0104662E-003, 1.8724543E-001, 1.7974071E-002, 5.8418539E-002, 2.2467589E-002, 1.5569536E-001, 1.3259270E+003, 3.6386028E-003, 1.5996133E-001, 1.8084198E-002, 6.1965993E-002, 2.2605248E-002, 1.6325866E-001, 1.3852084E+003, 2.3894831E-003, 1.4350114E-001, 1.7815401E-002, 6.4309637E-002, 2.2269251E-002, 1.6767083E-001
 4.1594828E-003, 1.3250650E+003, 5.1112180E-003, 1.5128859E-001, 1.8823885E-002, 6.1484202E-002, 2.3529856E-002, 1.6363048E-001, 1.4091915E+003, 2.9437794E-003, 1.2958139E-001, 1.8683419E-002, 6.4628040E-002, 2.3354274E-002, 1.6990917E-001, 1.4618591E+003, 1.8560185E-003, 1.1649006E-001, 1.8261163E-002, 6.6712492E-002, 2.2826454E-002, 1.7351133E-001
 4.4116379E-003, 1.4157100E+003, 4.1691373E-003, 1.1911276E-001, 1.9581057E-002, 6.4292528E-002, 2.4476321E-002, 1.7085504E-001, 1.4900395E+003, 2.2560088E-003, 1.0225312E-001, 1.9202776E-002, 6.7067879E-002, 2.4003469E-002, 1.7594891E-001, 1.5352688E+003, 1.4664958E-003, 9.2172998E-002, 1.8577882E-002, 6.8906718E-002, 2.3222353E-002, 1.7869090E-001
 4.6637931E-003, 1.5033370E+003, 3.2536701E-003, 9.0493846E-002, 2.0229028E-002, 6.6847264E-002, 2.5286285E-002, 1.7735175E-001, 1.5649191E+003, 2.0711397E-003, 7.8110071E-002, 1.9398655E-002, 6.9256072E-002, 2.4248318E-002, 1.8091424E-001, 1.6021321E+003, 1.6847160E-003, 7.0690914E-002, 1.8529534E-002, 7.0870225E-002, 2.3161917E-002, 1.8277301E-001
 4.9159483E-003, 1.5807850E+003, 3.4001808E-003, 6.5883961E-002, 2.0245969E-002, 6.9081858E-002, 2.5307461E-002, 1.8211859E-001, 1.6306655E+003, 2.8066996E-003, 5.7188056E-002, 1.9054933E-002, 7.1184416E-002, 2.3818666E-002, 1.8443049E-001, 1.6613992E+003, 2.6093951E-003, 5.1884205E-002, 1.8065059E-002, 7.2616854E-002, 2.2581324E-002, 1.8570254E-001
 5.1681034E-003, 1.6448560E+003, 4.9877038E-003, 4.5171464E-002, 1.9432656E-002, 7.1005003E-002, 2.4290820E-002, 1.8484421E-001, 1.6855596E+003, 4.6404675E-003, 3.9328428E-002, 1.8077050E-002, 7.2867940E-002, 2.2596312E-002, 1.8637282E-001, 1.7108163E+003, 4.5184072E-003, 3.5726688E-002, 1.7037486E-002, 7.4148524E-002, 2.1296858E-002, 1.8724018E-001
 5.4202586E-003, 1.6918930E+003, 8.4470546E-003, 2.8287643E-002, 1.7556213E-002, 7.2626594E-002, 2.1945267E-002, 1.8516343E-001, 1.7251489E+003, 8.1563198E-003, 2.4668060E-002, 1.6154399E-002, 7.4294148E-002, 2.0192998E-002, 1.8620030E-001, 1.7457027E+003, 8.0428689E-003, 2.2433478E-002, 1.5112391E-002, 7.5444288E-002, 1.8890489E-002, 1.8678783E-001
 5.6724138E-003, 1.7132669E+003, 1.4922215E-002, 1.5658375E-002, 1.4004865E-002, 7.3910044E-002, 1.7506082E-002, 1.8198512E-001, 1.7405501E+003, 1.4550303E-002, 1.3743409E-002, 1.2653474E-002, 7.5410994E-002, 1.5816843E-002, 1.8275377E-001, 1.7569602E+003, 1.4395364E-002, 1.2579642E-002, 1.1678359E-002, 7.6422142E-002, 1.4597948E-002, 1.8316287E-001
 5.9245690E-003, 1.6869516E+003, 2.6706055E-002, 8.0194024E-003, 8.5249455E-003, 7.3963858E-002, 1.0656182E-002, 1.7310802E-001, 1.7089969E+003, 2.5979315E-002, 7.1287887E-003, 7.7414095E-003, 7.5044949E-002, 9.6767619E-003, 1.7397018E-001, 1.7218182E+003, 2.5574223E-002, 6.5853565E-003, 7.2054843E-003, 7.5736547E-002, 9.0068553E-003, 1.7446397E-001
 6.1767241E-003, 1.5824526E+003, 4.4961461E-002, 4.0018282E-003, 4.6255387E-003, 6.9397915E-002, 5.7819234E-003, 1.5762117E-001, 1.6089206E+003, 4.3086088E-002, 3.6024129E-003, 4.2507480E-003, 7.0604541E-002, 5.3134350E-003, 1.5940395E-001, 1.6250859E+003, 4.1878228E-002, 3.3553994E-003, 3.9920547E-003, 7.1395476E-002, 4.9900684E-003, 1.6055081E-001
 6.4288793E-003, 1.4266992E+003, 6.6466599E-002, 1.9076536E-003, 2.4089099E-003, 6.1744127E-002, 3.0111374E-003, 1.3875976E-001, 1.4631960E+003, 6.3140971E-002, 1.7474792E-003, 2.2481122E-003, 6.3402677E-002, 2.8101402E-003, 1.4179248E-001, 1.4863682E+003, 6.0935682E-002, 1.6468189E-003, 2.1325731E-003, 6.4509570E-002, 2.6657164E-003, 1.4380278E-001
 6.6810345E-003, 1.2455751E+003, 8.8790488E-002, 8.5205975E-004, 1.1838158E-003, 5.2776290E-002, 1.4797697E-003, 1.1891579E-001, 1.2942950E+003, 8.4028641E-002, 8.0058207E-004, 1.1297903E-003, 5.4984116E-002, 1.4122378E-003, 1.2321598E-001, 1.3259411E+003, 8.0825632E-002, 7.6740996E-004, 1.0875469E-003, 5.6474086E-002, 1.3594336E-003, 1.2610840E-001
 6.9331897E-003, 1.0556676E+003, 1.1012584E-001, 3.4948737E-004, 5.3920778E-004, 4.3709210E-002, 6.7400972E-004, 9.9829302E-002, 1.1165959E+003, 1.0429442E-001, 3.4079851E-004, 5.3171441E-004, 4.6357805E-002, 6.6464302E-004, 1.0508227E-001, 1.1568322E+003, 1.0028218E-001, 3.3482632E-004, 5.2286697E-004, 4.8183289E-002, 6.5358371E-004, 1.0869667E-001
 7.1853448E-003, 8.6815446E+002, 1.2979154E-001, 1.2868261E-004, 2.2303763E-004, 3.5091845E-002, 2.7879704E-004, 8.2177404E-002, 9.3965933E+002, 1.2307011E-001, 1.3242041E-004, 2.3061484E-004, 3.8129560E-002, 2.8826855E-004, 8.8228738E-002, 9.8761233E+002, 1.1846555E-001, 1.3476594E-004, 2.3383155E-004, 4.0212266E-002, 2.9228944E-004, 9.2374354E-002
 7.4375000E-003, 6.9102462E+002, 1.4768466E-001, 4.1425724E-005, 8.1809817E-005, 2.7115652E-002, 1.0226227E-004, 6.6088263E-002, 7.7020842E+002, 1.4035237E-001, 4.6034531E-005, 9.0518431E-005, 3.0429008E-002, 1.1314804E-004, 7.2689421E-002, 8.2423932E+002, 1.3525617E-001, 4.9229817E-005, 9.5835702E-005, 3.2732537E-002, 1.1979463E-004, 7.7277494E-002
 7.6896552E-003, 5.3046869E+002, 1.6334954E-001, 1.1308360E-005, 2.5882082E-005, 2.0070642E-002, 3.2352602E-005, 5.1990859E-002, 6.1332193E+002, 1.5582544E-001, 1.3995765E-005, 3.1492338E-005, 2.3473705E-002, 3.9365422E-005, 5.8765242E-002, 6.7114512E+002, 1.5048641E-001, 1.6028434E-005, 3.5402742E-005, 2.5888536E-002, 4.4253428E-005, 6.3572260E-002
 7.9418103E-003, 3.9163396E+002, 1.7647603E-001, 2.5327852E-006, 6.8535231E-006, 1.4141947E-002, 8.5669039E-006, 4.0173492E-002, 4.7319106E+002, 1.6921722E-001, 3.6295589E-006, 9.4918525E-006, 1.7427531E-002, 1.1864816E-005, 4.6709428E-002, 5.3194195E+002, 1.6391348E-001, 4.5599241E-006, 1.1574142E-005, 1.9828036E-002, 1.4467677E-005, 5.1484954E-002
 8.1939655E-003, 2.7855002E+002, 1.8689049E-001, 4.5173458E-007, 1.4777061E-006, 9.4294151E-003, 1.8471327E-006, 3.0796328E-002, 3.5334991E+002, 1.8035010E-001, 7.8298973E-007, 2.4217521E-006, 1.2391100E-002, 3.0271902E-006, 3.6685573E-002, 4.0974204E+002, 1.7536652E-001, 1.1104593E-006, 3.2857248E-006, 1.4647686E-002, 4.1071560E-006, 4.1172983E-002
 8.4461207E-003, 1.9315823E+002, 1.9459614E-001, 6.3150304E-008, 2.5568093E-007, 5.9401575E-003, 3.1960117E-007, 2.3857835E-002, 2.5633192E+002, 1.8915067E-001, 1.3757156E-007, 5.1293281E-007, 8.4065002E-003, 6.4116601E-007, 2.8761229E-002, 3.0704959E+002, 1.8474961E-001, 2.2704428E-007, 7.9562227E-007, 1.0399747E-002, 9.9452784E-007, 3.2724173E-002
 8.6982759E-003, 1.3410243E+002, 1.9983633E-001, 7.1442061E-009, 3.6654679E-008, 3.5667637E-003, 4.5818348E-008, 1.9139281E-002, 1.8284535E+002, 1.9568826E-001, 1.9496590E-008, 8.9438930E-008, 5.4456213E-003, 1.1179866E-007, 2.2874446E-002, 2.2524425E+002, 1.9206500E-001, 3.8386638E-008, 1.6209832E-007, 7.0867424E-003, 2.0262291E-007, 2.6137035E-002
 8.9504310E-003, 9.6799205E+001, 2.0308988E-001, 7.4708252E-010, 4.9092635E-009, 2.0930725E-003, 6.1365793E-009, 1.6209602E-002, 1.3115295E+002, 2.0020803E-001, 2.2799847E-009, 1.3155973E-008, 3.3984226E-003, 1.6444966E-008, 1.8804588E-002, 1.6396209E+002, 1.9744427E-001, 5.3401160E-009, 2.7706011E-008, 4.6502733E-003, 3.4632513E-008, 2.1293231E-002
 9.2025862E-003, 7.5106145E+001, 2.0494400E-001, 7.6754634E-011, 6.4688903E-010, 1.2532364E-003, 8.0861129E-010, 1.4540042E-002, 9.7406063E+001, 2.0310618E-001, 2.4113548E-010, 1.7778912E-009, 2.0856918E-003, 2.2223640E-009, 1.6194924E-002, 1.2094338E+002, 2.0115432E-001, 6.2491181E-010, 4.0716491E-009, 2.9697987E-003, 5.0895614E-009, 1.7952490E-002
 9.4547414E-003, 6.3317161E+001, 2.0592781E-001, 7.8663126E-012, 8.5466382E-011, 8.0761442E-004, 1.0683298E-010, 1.3654166E-002, 7.6829527E+001, 2.0483745E-001, 2.4975734E-011, 2.3625479E-010, 1.3015003E-003, 2.9531849E-010, 1.4635987E-002, 9.2593305E+001, 2.0355388E-001, 6.6171475E-011, 5.5091421E-010, 1.8829014E-003, 6.8864277E-010, 1.5791785E-002
 9.7068966E-003, 5.7233690E+001, 2.0642192E-001, 1.1821660E-012, 1.6603901E-011, 5.8380224E-004, 2.0754876E-011, 1.3209238E-002, 6.4983949E+001, 2.0581092E-001, 2.7908954E-012, 3.4628479E-011, 8.6056120E-004, 4.3285599E-011, 1.3759422E-002, 7.4940445E+001, 2.0501692E-001, 7.0143330E-012, 7.5748952E-011, 1.2202078E-003, 9.4686190E-011, 1.4474382E-002
 9.9590517E-003, 5.4214438E+001, 2.0666001E-001, 6.6409419E-013, 9.8587730E-012, 4.7595568E-004, 1.2323466E-011, 1.2994845E-002, 5.8468446E+001, 2.0633245E-001, 7.8024965E-013, 1.1959388E-011, 6.2432933E-004, 1.4949235E-011, 1.3289804E-002, 6.4460576E+001, 2.0586517E-001, 1.1403754E-012, 1.6492844E-011, 8.3598839E-004, 2.0616055E-011, 1.3710572E-002
