m,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,H2_7_mm,H2O_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,H2_9_mm,H2O_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm,H2_11_mm,H2O_11_mm
 1.2500000E-004, 1.6314047E+002, 2.8526465E-003, 9.1399134E-001, 2.1405691E-003, 4.9746816E-003, 2.6757114E-003, 1.4471030E-002, 2.6623086E+002, 4.6584873E-003, 8.3029000E-001, 4.0659272E-003, 1.0389949E-002, 5.0824090E-003, 2.9433680E-002, 3.6814718E+002, 5.7580965E-003, 7.4694953E-001, 5.9250181E-003, 1.6147663E-002, 7.4062726E-003, 4.4962993E-002
 3.7715517E-004, 1.7761232E+002, 3.2304327E-003, 9.0086929E-001, 2.3805125E-003, 5.8335409E-003, 2.9756407E-003, 1.6733909E-002, 2.8274401E+002, 4.9456772E-003, 8.1513786E-001, 4.3397856E-003, 1.1451925E-002, 5.4247320E-003, 3.2180976E-002, 3.8409544E+002, 5.9066746E-003, 7.3276894E-001, 6.1770424E-003, 1.7199634E-002, 7.7213030E-003, 4.7642533E-002
 6.2931034E-004, 2.0552610E+002, 3.9450047E-003, 8.7528228E-001, 2.8487905E-003, 7.5179063E-003, 3.5609882E-003, 2.1166220E-002, 3.1421131E+002, 5.4654348E-003, 7.8633757E-001, 4.8639717E-003, 1.3479180E-002, 6.0799646E-003, 3.7426248E-002, 4.1465620E+002, 6.1675998E-003, 7.0587148E-001, 6.6581016E-003, 1.9201877E-002, 8.3226270E-003, 5.2743726E-002
 8.8146552E-004, 2.4519186E+002, 4.9197486E-003, 8.3850524E-001, 3.5242526E-003, 9.9605665E-003, 4.4053158E-003, 2.7583957E-002, 3.5818959E+002, 6.1256829E-003, 7.4643717E-001, 5.5983082E-003, 1.6307951E-002, 6.9978853E-003, 4.4746697E-002, 4.5764797E+002, 6.4818542E-003, 6.6873932E-001, 7.3284910E-003, 2.1981448E-002, 9.1606138E-003, 5.9827103E-002
 1.1336207E-003, 2.9479767E+002, 6.0544516E-003, 7.9227561E-001, 4.3799761E-003, 1.3066403E-002, 5.4749702E-003, 3.5732506E-002, 4.1219635E+002, 6.8218616E-003, 6.9835439E-001, 6.4960058E-003, 1.9750982E-002, 8.1200072E-003, 5.3657419E-002, 5.1071357E+002, 6.7843117E-003, 6.2421080E-001, 8.1414288E-003, 2.5340692E-002, 1.0176786E-002, 6.8388053E-002
 1.3857759E-003, 3.5277269E+002, 7.2381308E-003, 7.3863896E-001, 5.3858461E-003, 1.6718912E-002, 6.7323077E-003, 4.5305737E-002, 4.7415608E+002, 7.4680031E-003, 6.4486476E-001, 7.5104684E-003, 2.3625812E-002, 9.3880856E-003, 6.3685076E-002, 5.7174188E+002, 7.0185527E-003, 5.7496778E-001, 9.0507352E-003, 2.9092224E-002, 1.1313419E-002, 7.7945267E-002
 1.6379310E-003, 4.1789252E+002, 8.3583481E-003, 6.7979947E-001, 6.5100740E-003, 2.0788747E-002, 8.1375925E-003, 5.5967310E-002, 5.4248179E+002, 7.9909639E-003, 5.8844638E-001, 8.5990694E-003, 2.7768771E-002, 1.0748837E-002, 7.4403837E-002, 6.3898061E+002, 7.1395990E-003, 5.2448856E-001, 1.0008965E-002, 3.2969618E-002, 1.2511207E-002, 8.7848611E-002
 1.8900862E-003, 4.8920118E+002, 9.3294104E-003, 6.1789092E-001, 7.7198921E-003, 2.5141912E-002, 9.6498652E-003, 6.7370865E-002, 6.1596526E+002, 8.3386047E-003, 5.3125627E-001, 9.7240271E-003, 3.2032748E-002, 1.2155034E-002, 8.5432690E-002, 7.1100078E+002, 7.1280094E-003, 4.7382490E-001, 1.0984927E-002, 3.6909324E-002, 1.3731159E-002, 9.7907420E-002
 2.1422414E-003, 5.6592299E+002, 1.0085525E-002, 5.5491305E-001, 8.9828010E-003, 2.9647776E-002, 1.1228501E-002, 7.9178794E-002, 6.9359316E+002, 8.4806873E-003, 4.7585769E-001, 1.0848438E-002, 3.6221746E-002, 1.3560548E-002, 9.6289998E-002, 7.8666603E+002, 6.9786497E-003, 4.2405507E-001, 1.1952344E-002, 4.0834624E-002, 1.4940429E-002, 1.0791267E-001
 2.3943966E-003, 6.4733312E+002, 1.0562364E-002, 4.9380489E-001, 1.0262145E-002, 3.4090215E-002, 1.2827681E-002, 9.0865329E-002, 7.7452769E+002, 8.4178534E-003, 4.2209009E-001, 1.1953272E-002, 4.0366807E-002, 1.4941591E-002, 1.0700788E-001, 8.6503558E+002, 6.6979224E-003, 3.7607720E-001, 1.2890845E-002, 4.4675488E-002, 1.6113557E-002, 1.1768058E-001
 2.6465517E-003, 7.3270284E+002, 1.0747412E-002, 4.3461066E-001, 1.1536019E-002, 3.8489415E-002, 1.4420024E-002, 1.0243379E-001, 8.5802307E+002, 8.1600061E-003, 3.7081991E-001, 1.3017681E-002, 4.4399702E-002, 1.6272101E-002, 1.1740575E-001, 9.4526663E+002, 6.3003678E-003, 3.3051875E-001, 1.3787023E-002, 4.8377732E-002, 1.7233779E-002, 1.2707367E-001
 2.8987069E-003, 8.2131470E+002, 1.0643656E-002, 3.7830215E-001, 1.2780009E-002, 4.2773415E-002, 1.5975011E-002, 1.1368897E-001, 9.4333587E+002, 7.7278682E-003, 3.2260293E-001, 1.4028219E-002, 4.8270222E-002, 1.7535274E-002, 1.2735481E-001, 1.0266227E+003, 5.8055560E-003, 2.8779091E-001, 1.4629855E-002, 5.1903200E-002, 1.8287319E-002, 1.3599288E-001
 3.1508621E-003, 9.1240479E+002, 1.0272489E-002, 3.2554190E-001, 1.3973259E-002, 4.6887969E-002, 1.7466574E-002, 1.2448052E-001, 1.0297609E+003, 7.1495230E-003, 2.7777863E-001, 1.4973767E-002, 5.1943186E-002, 1.8717208E-002, 1.3676261E-001, 1.1083492E+003, 5.2338601E-003, 2.4808563E-001, 1.5412566E-002, 5.5230383E-002, 1.9265708E-002, 1.4438192E-001
 3.4030172E-003, 1.0051494E+003, 9.6684514E-003, 2.7673411E-001, 1.5100709E-002, 5.0792248E-002, 1.8875886E-002, 1.3469744E-001, 1.1164631E+003, 6.4552238E-003, 2.3645422E-001, 1.5843964E-002, 5.5403638E-002, 1.9804955E-002, 1.4558099E-001, 1.1897768E+003, 4.6052332E-003, 2.1148497E-001, 1.6133391E-002, 5.8344027E-002, 2.0166738E-002, 1.5220655E-001
 3.6551724E-003, 1.0985330E+003, 8.8727932E-003, 2.3201372E-001, 1.6145551E-002, 5.4469201E-002, 2.0181939E-002, 1.4427638E-001, 1.2027636E+003, 5.6787967E-003, 1.9867944E-001, 1.6635544E-002, 5.8634364E-002, 2.0794430E-002, 1.5376971E-001, 1.2704518E+003, 3.9362739E-003, 1.7796884E-001, 1.6794007E-002, 6.1237074E-002, 2.0992508E-002, 1.5945576E-001
 3.9073276E-003, 1.1917459E+003, 7.9370036E-003, 1.9145815E-001, 1.7096545E-002, 5.7897809E-002, 2.1370681E-002, 1.5315601E-001, 1.2881236E+003, 4.8530436E-003, 1.6437191E-001, 1.7345813E-002, 6.1630552E-002, 2.1682266E-002, 1.6131572E-001, 1.3497978E+003, 3.2378601E-003, 1.4743430E-001, 1.7398965E-002, 6.3910402E-002, 2.1748706E-002, 1.6614006E-001
 4.1594828E-003, 1.2840172E+003, 6.9148557E-003, 1.5496201E-001, 1.7941838E-002, 6.1073735E-002, 2.2427297E-002, 1.6130934E-001, 1.3717648E+003, 4.0102576E-003, 1.3338315E-001, 1.7973262E-002, 6.4392831E-002, 2.2466578E-002, 1.6821959E-001, 1.4273553E+003, 2.5141234E-003, 1.1972871E-001, 1.7956455E-002, 6.6369516E-002, 2.2445568E-002, 1.7228582E-001
 4.4116379E-003, 1.3743323E+003, 5.8666425E-003, 1.2234180E-001, 1.8667521E-002, 6.3998794E-002, 2.3334402E-002, 1.6871916E-001, 1.4530367E+003, 3.1830171E-003, 1.0552306E-001, 1.8516882E-002, 6.6925191E-002, 2.3146102E-002, 1.7448984E-001, 1.5025865E+003, 1.7988091E-003, 9.4662291E-002, 1.8473810E-002, 6.8610732E-002, 2.3092263E-002, 1.7790014E-001
 4.6637931E-003, 1.4616765E+003, 4.8647077E-003, 9.3367369E-002, 1.9253543E-002, 6.6678968E-002, 2.4066929E-002, 1.7536692E-001, 1.5310490E+003, 2.4494298E-003, 8.0574605E-002, 1.8970382E-002, 6.9218034E-002, 2.3712978E-002, 1.8009961E-001, 1.5705266E+003, 1.8083155E-003, 7.2626590E-002, 1.8561020E-002, 7.0605275E-002, 2.3201275E-002, 1.8227513E-001
 4.9159483E-003, 1.5446602E+003, 4.0414751E-003, 6.7786944E-002, 1.9667498E-002, 6.9105596E-002, 2.4584373E-002, 1.8118476E-001, 1.5986728E+003, 2.8459204E-003, 5.9125734E-002, 1.8765635E-002, 7.1231028E-002, 2.3457043E-002, 1.8402066E-001, 1.6306604E+003, 2.5590533E-003, 5.3346659E-002, 1.8226237E-002, 7.2364627E-002, 2.2782797E-002, 1.8545045E-001
 5.1681034E-003, 1.6118645E+003, 5.0636861E-003, 4.6543881E-002, 1.9011522E-002, 7.1200561E-002, 2.3764403E-002, 1.8451894E-001, 1.6550922E+003, 4.4005176E-003, 4.0826247E-002, 1.7907461E-002, 7.2980313E-002, 2.2384327E-002, 1.8629729E-001, 1.6810304E+003, 4.2737086E-003, 3.6747945E-002, 1.7352905E-002, 7.3894323E-002, 2.1691131E-002, 1.8724495E-001
 5.4202586E-003, 1.6617318E+003, 8.0754159E-003, 2.9271530E-002, 1.7228947E-002, 7.2981420E-002, 2.1536183E-002, 1.8531492E-001, 1.6968825E+003, 7.5631225E-003, 2.5724494E-002, 1.6156576E-002, 7.4461591E-002, 2.0195720E-002, 1.8652405E-001, 1.7175711E+003, 7.5103986E-003, 2.3000825E-002, 1.5647300E-002, 7.5175983E-002, 1.9559125E-002, 1.8713356E-001
