m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm
 4.6637931E-003, 1.5205662E+003, 5.8671629E-004, 9.6520385E-002, 2.7634952E-002, 6.8360193E-002, 1.5768707E+003, 3.2313159E-004, 8.5270335E-002, 2.4310053E-002, 7.2556214E-002, 1.6135210E+003, 1.9962565E-004, 7.7678102E-002, 2.2407046E-002, 7.4942752E-002
 4.9159483E-003, 1.6022115E+003, 5.4164717E-004, 7.1608329E-002, 2.6876964E-002, 7.1675607E-002, 1.6493810E+003, 4.1629266E-004, 6.3531600E-002, 2.3655082E-002, 7.5299140E-002, 1.6799981E+003, 3.7422630E-004, 5.7888012E-002, 2.1862393E-002, 7.7294407E-002
 5.1681034E-003, 1.6760443E+003, 9.9148701E-004, 4.9836056E-002, 2.5670705E-002, 7.4750052E-002, 1.7152088E+003, 9.0150754E-004, 4.4330342E-002, 2.2690584E-002, 7.7802948E-002, 1.7403750E+003, 8.9414797E-004, 4.0299328E-002, 2.1064499E-002, 7.9427271E-002
 5.4202586E-003, 1.7380310E+003, 2.3277348E-003, 3.1152331E-002, 2.3787992E-002, 7.7574965E-002, 1.7702022E+003, 2.2040801E-003, 2.7707640E-002, 2.1146741E-002, 8.0065618E-002, 1.7902637E+003, 2.2284748E-003, 2.5017135E-002, 1.9708715E-002, 8.1337702E-002
 5.6724138E-003, 1.7779261E+003, 5.7415624E-003, 1.6028929E-002, 2.0475792E-002, 8.0225658E-002, 1.8043221E+003, 5.5025609E-003, 1.4189196E-002, 1.8258889E-002, 8.2177907E-002, 1.8192600E+003, 5.5981320E-003, 1.2625652E-002, 1.6994616E-002, 8.3114424E-002
 5.9245690E-003, 1.7676232E+003, 1.4347951E-002, 6.0381282E-003, 1.3742421E-002, 8.2551917E-002, 1.7901394E+003, 1.3844176E-002, 5.3605674E-003, 1.2055779E-002, 8.4025514E-002, 1.7991611E+003, 1.4144215E-002, 4.7811226E-003, 1.0885402E-002, 8.4659115E-002
 6.1767241E-003, 1.6413830E+003, 3.4046250E-002, 2.2945820E-003, 7.7235000E-003, 7.7132826E-002, 1.6708239E+003, 3.2228977E-002, 2.0406903E-003, 6.7137086E-003, 7.8646729E-002, 1.6822900E+003, 3.1857320E-002, 1.8226920E-003, 6.0211484E-003, 7.9158501E-002
 6.4288793E-003, 1.4633359E+003, 5.7716541E-002, 8.7351803E-004, 4.4189348E-003, 6.6621202E-002, 1.5048781E+003, 5.4242912E-002, 7.7765102E-004, 3.7504090E-003, 6.8719853E-002, 1.5235306E+003, 5.2839878E-002, 6.9519967E-004, 3.3218990E-003, 6.9552009E-002
 6.6810345E-003, 1.2656025E+003, 8.1844741E-002, 3.3218126E-004, 2.7269225E-003, 5.4572034E-002, 1.3207140E+003, 7.6775803E-002, 2.9583889E-004, 2.2074532E-003, 5.7366209E-002, 1.3481901E+003, 7.4307296E-002, 2.6462285E-004, 1.9075636E-003, 5.8652993E-002
 6.9331897E-003, 1.0654080E+003, 1.0490163E-001, 1.2603702E-004, 1.8958882E-003, 4.2773153E-002, 1.1334254E+003, 9.8475754E-002, 1.1220954E-004, 1.4267522E-003, 4.6161452E-002, 1.1697614E+003, 9.5049071E-002, 1.0039588E-004, 1.1814440E-003, 4.7879224E-002
 7.1853448E-003, 8.7194894E+002, 1.2616119E-001, 4.7696044E-005, 1.4978899E-003, 3.2089135E-002, 9.5083795E+002, 1.1871059E-001, 4.2406598E-005, 1.0422182E-003, 3.5862628E-002, 9.9515513E+002, 1.1450196E-001, 3.7937812E-005, 8.1373332E-004, 3.7911233E-002
 7.4375000E-003, 6.9130385E+002, 1.4521280E-001, 1.8001439E-005, 1.2853008E-003, 2.2943576E-002, 7.7785442E+002, 1.3713588E-001, 1.5961353E-005, 8.5189205E-004, 2.6831959E-002, 8.2859145E+002, 1.3236349E-001, 1.4270521E-005, 6.2998977E-004, 2.9071303E-002
 7.6896552E-003, 5.2850762E+002, 1.6176983E-001, 6.7750356E-006, 1.1292244E-003, 1.5527346E-002, 6.1833898E+002, 1.5351950E-001, 5.9796358E-006, 7.4449241E-004, 1.9238108E-002, 6.7328871E+002, 1.4843505E-001, 5.3392501E-006, 5.3206552E-004, 2.1507320E-002
 7.9418103E-003, 3.8822174E+002, 1.7561568E-001, 2.5404112E-006, 9.6354861E-004, 9.8698388E-003, 4.7589452E+002, 1.6768017E-001, 2.2268948E-006, 6.6066927E-004, 1.3135630E-002, 5.3220855E+002, 1.6256098E-001, 1.9841557E-006, 4.7028858E-004, 1.5272607E-002
 8.1939655E-003, 2.7442909E+002, 1.8660908E-001, 9.4789406E-007, 7.7638182E-004, 5.8675861E-003, 3.5397029E+002, 1.7947810E-001, 8.2282497E-007, 5.6973824E-004, 8.4926336E-003, 4.0827545E+002, 1.7461530E-001, 7.3081394E-007, 4.1471674E-004, 1.0355654E-002
 8.4461207E-003, 1.8912738E+002, 1.9475638E-001, 3.5155671E-007, 5.7833725E-004, 3.2870519E-003, 2.5530869E+002, 1.8884093E-001, 3.0101398E-007, 4.6785790E-004, 5.1909221E-003, 3.0410821E+002, 1.8451377E-001, 2.6611113E-007, 3.5436867E-004, 6.6822546E-003
 8.6982759E-003, 1.3082153E+002, 2.0030370E-001, 1.2957014E-007, 3.9629896E-004, 1.7925373E-003, 1.8089258E+002, 1.9582250E-001, 1.0886108E-007, 3.5971234E-004, 3.0274231E-003, 2.2136386E+002, 1.9224931E-001, 9.5546825E-008, 2.8867961E-004, 4.1131798E-003
 8.9504310E-003, 9.4532495E+001, 2.0375368E-001, 4.7509237E-008, 2.5089667E-004, 1.0170863E-003, 1.2903938E+002, 2.0065899E-001, 3.8931607E-008, 2.5797801E-004, 1.7347484E-003, 1.5988136E+002, 1.9793946E-001, 3.3778387E-008, 2.2201920E-004, 2.4500321E-003
 9.2025862E-003, 7.3735985E+001, 2.0572880E-001, 1.7363198E-008, 1.4821420E-004, 6.5221129E-004, 9.5650936E+001, 2.0376193E-001, 1.3804413E-008, 1.7301952E-004, 1.0310220E-003, 1.1733015E+002, 2.0185217E-001, 1.1767972E-008, 1.6094838E-004, 1.4591837E-003
 9.4547414E-003, 6.2567529E+001, 2.0678668E-001, 6.3350675E-009, 8.2656335E-005, 4.9333473E-004, 7.5602322E+001, 2.0561790E-001, 4.8727547E-009, 1.0929942E-004, 6.7847608E-004, 8.9809240E+001, 2.0436890E-001, 4.0531199E-009, 1.1030033E-004, 9.1434697E-004
