m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm
 1.2500000E-004, 2.9577356E+002, 2.5145816E-013, 8.6352565E-001, 1.2907834E-002, 4.3072128E-003, 3.9912677E+002, 1.9979886E-013, 7.7780784E-001, 1.5052126E-002, 9.3994768E-003, 4.9609055E+002, 1.6753206E-013, 6.9696180E-001, 1.6570860E-002, 1.5046433E-002
 3.7715517E-004, 3.0998496E+002, 2.4325614E-013, 8.4969642E-001, 1.3295855E-002, 5.2178019E-003, 4.1530540E+002, 1.9393082E-013, 7.6189819E-001, 1.5399791E-002, 1.0672678E-002, 5.1208763E+002, 1.6345673E-013, 6.8169240E-001, 1.6817754E-002, 1.6420999E-002
 6.2931034E-004, 3.3494129E+002, 2.3008698E-013, 8.2535112E-001, 1.3967345E-002, 6.8518639E-003, 4.4345880E+002, 1.8448498E-013, 7.3448509E-001, 1.5983974E-002, 1.2881389E-002, 5.3998716E+002, 1.5671985E-013, 6.5548314E-001, 1.7227810E-002, 1.8783954E-002
 8.8146552E-004, 3.6975660E+002, 2.1399769E-013, 7.9138840E-001, 1.4878797E-002, 9.1936153E-003, 4.8223265E+002, 1.7283430E-013, 6.9738640E-001, 1.6743228E-002, 1.5901838E-002, 5.7849476E+002, 1.4828121E-013, 6.2022386E-001, 1.7750772E-002, 2.1971885E-002
 1.1336207E-003, 4.1345742E+002, 1.9669619E-013, 7.4902499E-001, 1.5972884E-002, 1.2208352E-002, 5.3015779E+002, 1.6031705E-013, 6.5274011E-001, 1.7606177E-002, 1.9586907E-002, 6.2614516E+002, 1.3896353E-013, 5.7812006E-001, 1.8329409E-002, 2.5796009E-002
 1.3857759E-003, 4.6513311E+002, 1.7954452E-013, 6.9973022E-001, 1.7183178E-002, 1.5836389E-002, 5.8587036E+002, 1.4778967E-013, 6.0271493E-001, 1.8502158E-002, 2.3783414E-002, 6.8149642E+002, 1.2933229E-013, 5.3240489E-001, 1.8897902E-002, 3.0052388E-002
 1.6379310E-003, 5.2399012E+002, 1.6323854E-013, 6.4514700E-001, 1.8439363E-002, 1.9992171E-002, 6.4819833E+002, 1.3581297E-013, 5.4925344E-001, 1.9369802E-002, 2.8344475E-002, 7.4305432E+002, 1.1967785E-013, 4.8884785E-001, 1.9370118E-002, 3.4501815E-002
 1.8900862E-003, 5.8935150E+002, 1.4819728E-013, 5.8698526E-001, 1.9672876E-002, 2.4569237E-002, 7.1601929E+002, 1.2427436E-013, 4.9971512E-001, 2.0096726E-002, 3.3038440E-002, 8.0949804E+002, 1.1060389E-013, 4.4466654E-001, 1.9758030E-002, 3.9069012E-002
 2.1422414E-003, 6.6058849E+002, 1.3440159E-013, 5.2869139E-001, 2.0800562E-002, 2.9420314E-002, 7.8820449E+002, 1.1379704E-013, 4.5109189E-001, 2.0695659E-002, 3.7808413E-002, 8.7975451E+002, 1.0229537E-013, 4.0095493E-001, 2.0041511E-002, 4.3641175E-002
 2.3943966E-003, 7.3683215E+002, 1.2173878E-013, 4.7481729E-001, 2.1738718E-002, 3.4367851E-002, 8.6390076E+002, 1.0433124E-013, 4.0362907E-001, 2.1153137E-002, 4.2567118E-002, 9.5288130E+002, 9.4528627E-014, 3.5851680E-001, 2.0210652E-002, 4.8130877E-002
 2.6465517E-003, 8.1726567E+002, 1.3369400E-013, 4.2227662E-001, 2.2499941E-002, 3.9363707E-002, 9.4232830E+002, 1.2426964E-013, 3.5801323E-001, 2.1459945E-002, 4.7234759E-002, 1.0280347E+003, 1.2764077E-013, 3.1791837E-001, 2.0263752E-002, 5.2472379E-002
 2.8987069E-003, 9.0115994E+002, 5.9779080E-013, 3.7173031E-001, 2.3066760E-002, 4.4314932E-002, 1.0227435E+003, 6.0901372E-013, 3.1474256E-001, 2.1615735E-002, 5.1748693E-002, 1.1044421E+003, 6.8780616E-013, 2.7953550E-001, 2.0205267E-002, 5.6618069E-002
 3.1508621E-003, 9.8774367E+002, 3.8867104E-012, 3.2382399E-001, 2.3432287E-002, 4.9142008E-002, 1.1044203E+003, 4.0147703E-012, 2.7414112E-001, 2.1627046E-002, 5.6062267E-002, 1.1813821E+003, 4.5834908E-012, 2.4359303E-001, 2.0043953E-002, 6.0535118E-002
 3.4030172E-003, 1.0762035E+003, 2.5504350E-011, 2.7899539E-001, 2.3600504E-002, 5.3782640E-002, 1.1866439E+003, 2.6604033E-011, 2.3639001E-001, 2.1505252E-002, 6.0142864E-002, 1.2581810E+003, 3.0596058E-011, 2.1019902E-001, 1.9791304E-002, 6.4202479E-002
 3.6551724E-003, 1.1656903E+003, 1.6713246E-010, 2.3750188E-001, 2.3583875E-002, 5.8190909E-002, 1.2687199E+003, 1.7585335E-010, 2.0155740E-001, 2.1264737E-002, 6.3969671E-002, 1.3342360E+003, 2.0357580E-010, 1.7937394E-001, 1.9460314E-002, 6.7608089E-002
 3.9073276E-003, 1.2553420E+003, 1.0933326E-009, 1.9945090E-001, 2.3400852E-002, 6.2335232E-002, 1.3500089E+003, 1.1592389E-009, 1.6962550E-001, 2.0921395E-002, 6.7531768E-002, 1.4089591E+003, 1.3500303E-009, 1.5107439E-001, 1.9064556E-002, 7.0748796E-002
 4.1594828E-003, 1.3443349E+003, 7.1383320E-009, 1.6483194E-001, 2.3073578E-002, 6.6197322E-002, 1.4298775E+003, 7.6204109E-009, 1.4051350E-001, 2.0491447E-002, 7.0827561E-002, 1.4818300E+003, 8.9232260E-009, 1.2521206E-001, 1.8617522E-002, 7.3624566E-002
