s,kW/m2
Time,flux
 0.000E+00,-2.332E-10
 1.000E+00, 2.952E-03
 2.000E+00, 1.690E-02
 3.050E+00, 2.681E-02
 4.050E+00, 2.880E-02
 5.050E+00, 2.914E-02
 6.050E+00, 2.927E-02
 7.050E+00, 2.935E-02
 8.050E+00, 2.941E-02
 9.041E+00, 2.944E-02
 1.005E+01, 2.941E-02
 1.100E+01, 2.418E-02
 1.200E+01, 2.109E-02
 1.300E+01, 2.124E-02
 1.400E+01, 2.112E-02
 1.500E+01, 2.152E-02
 1.600E+01, 2.152E-02
 1.700E+01, 2.127E-02
 1.800E+01, 2.124E-02
 1.900E+01, 2.100E-02
 2.000E+01, 2.103E-02
 2.100E+01, 2.099E-02
 2.200E+01, 2.067E-02
 2.300E+01, 2.091E-02
 2.400E+01, 2.100E-02
 2.500E+01, 2.077E-02
 2.600E+01, 2.102E-02
 2.700E+01, 2.114E-02
 2.800E+01, 2.089E-02
 2.900E+01, 2.086E-02
 3.000E+01, 2.080E-02
