s,kW/m2
Time,flux
 0.000E+00,-1.397E-10
 1.000E+00, 2.951E-03
 2.000E+00, 1.689E-02
 3.050E+00, 2.679E-02
 4.050E+00, 2.880E-02
 5.050E+00, 2.916E-02
 6.050E+00, 2.930E-02
 7.050E+00, 2.938E-02
 8.050E+00, 2.939E-02
 9.050E+00, 2.935E-02
 1.000E+01, 2.930E-02
 1.100E+01, 2.492E-02
 1.200E+01, 2.182E-02
 1.300E+01, 2.196E-02
 1.400E+01, 2.213E-02
 1.500E+01, 2.179E-02
 1.600E+01, 2.206E-02
 1.700E+01, 2.158E-02
 1.800E+01, 2.168E-02
 1.900E+01, 2.181E-02
 2.000E+01, 2.176E-02
 2.100E+01, 2.164E-02
 2.200E+01, 2.141E-02
 2.300E+01, 2.164E-02
 2.400E+01, 2.178E-02
 2.500E+01, 2.131E-02
 2.600E+01, 2.144E-02
 2.700E+01, 2.130E-02
 2.800E+01, 2.162E-02
 2.900E+01, 2.160E-02
 3.000E+01, 2.135E-02
