s,kW/m2
Time,flux
 0.000E+00,-3.068E-09
 1.000E+00, 2.957E-03
 2.000E+00, 1.695E-02
 3.050E+00, 2.691E-02
 4.050E+00, 2.891E-02
 5.050E+00, 2.926E-02
 6.050E+00, 2.938E-02
 7.050E+00, 2.946E-02
 8.050E+00, 2.951E-02
 9.050E+00, 2.952E-02
 1.000E+01, 2.950E-02
 1.100E+01, 2.360E-02
 1.200E+01, 1.982E-02
 1.300E+01, 2.003E-02
 1.400E+01, 1.916E-02
 1.500E+01, 1.986E-02
 1.600E+01, 1.899E-02
 1.700E+01, 1.916E-02
 1.800E+01, 1.906E-02
 1.900E+01, 1.919E-02
 2.000E+01, 1.843E-02
 2.100E+01, 1.898E-02
 2.200E+01, 1.895E-02
 2.300E+01, 1.916E-02
 2.400E+01, 1.867E-02
 2.500E+01, 1.938E-02
 2.600E+01, 1.932E-02
 2.700E+01, 1.952E-02
 2.800E+01, 1.963E-02
 2.900E+01, 1.880E-02
 3.000E+01, 1.933E-02
