s,kW/m2
Time,flux
 0.000E+00,-4.531E-10
 1.000E+00, 2.955E-03
 2.000E+00, 1.693E-02
 3.050E+00, 2.688E-02
 4.050E+00, 2.889E-02
 5.050E+00, 2.924E-02
 6.050E+00, 2.937E-02
 7.050E+00, 2.945E-02
 8.050E+00, 2.950E-02
 9.017E+00, 2.949E-02
 1.004E+01, 2.943E-02
 1.100E+01, 2.369E-02
 1.200E+01, 2.109E-02
 1.300E+01, 2.109E-02
 1.400E+01, 2.084E-02
 1.500E+01, 2.071E-02
 1.600E+01, 2.069E-02
 1.700E+01, 2.033E-02
 1.800E+01, 2.036E-02
 1.900E+01, 2.036E-02
 2.000E+01, 2.001E-02
 2.100E+01, 2.048E-02
 2.200E+01, 1.983E-02
 2.300E+01, 2.018E-02
 2.400E+01, 1.976E-02
 2.500E+01, 2.067E-02
 2.600E+01, 2.019E-02
 2.700E+01, 1.973E-02
 2.800E+01, 2.022E-02
 2.900E+01, 2.006E-02
 3.000E+01, 2.012E-02
