s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C
Time,"T_bottom","T_top","WT1","WT2","WT3","WT4","WT5","WT6","WT7","WT8","WT9","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT20","rhfHeatedSide","rhfCooledSide","chfHeatedSide","chfCooledSide","thfHeatedSide","thfCooledSide","rhfRadPanelSide","chfRadPanelSide","thfRadPanelSide","WTRADPANELSBOTTOM","WTRADPANELTOP"
 0.0000000E+000, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001, 1.2700000E+001,-2.0658356E-004,-1.7053026E-016, 0.0000000E+000, 0.0000000E+000,-2.0658356E-004,-1.7053026E-016,-5.5434652E-005, 5.5434634E-005,-1.8624815E-011, 1.2700000E+001, 1.2644825E+001
 1.0378224E+000, 1.2699995E+001, 1.2699999E+001, 1.2699996E+001, 1.2699999E+001, 1.2699996E+001, 1.2699999E+001, 1.2699995E+001, 1.2700006E+001, 1.2699999E+001, 1.2699998E+001, 1.2699997E+001, 1.2699996E+001, 1.2699995E+001, 1.2700003E+001, 1.2699998E+001, 1.2700001E+001, 1.2700002E+001, 1.2699985E+001, 1.2699999E+001, 1.2700001E+001, 1.2699997E+001, 1.2699994E+001,-8.3169003E-005, 6.4131866E-007,-7.8805571E-005, 8.2316740E-005,-1.6197457E-004, 8.2958059E-005, 1.8381214E-005, 5.6258874E-006, 2.4007102E-005, 1.2700000E+001, 1.2694349E+001
 2.0756447E+000, 1.2699989E+001, 1.2699993E+001, 1.2699993E+001, 1.2700006E+001, 1.2699995E+001, 1.2699995E+001, 1.2699989E+001, 1.2699986E+001, 1.2699997E+001, 1.2699988E+001, 1.2699994E+001, 1.2699988E+001, 1.2699992E+001, 1.2700001E+001, 1.2699989E+001, 1.2700004E+001, 1.2700004E+001, 1.2699975E+001, 1.2699998E+001, 1.2700005E+001, 1.2699988E+001, 1.2699984E+001,-5.9174962E-006, 1.3417110E-006,-9.2845050E-005, 1.0834605E-004,-9.8762546E-005, 1.0968776E-004,-1.4394792E-007, 5.5072718E-007, 4.0677925E-007, 1.2700000E+001, 1.2699386E+001
 3.0336346E+000, 1.2699991E+001, 1.2699994E+001, 1.2699993E+001, 1.2700018E+001, 1.2699998E+001, 1.2699987E+001, 1.2699991E+001, 1.2699953E+001, 1.2699996E+001, 1.2699978E+001, 1.2699999E+001, 1.2699986E+001, 1.2699999E+001, 1.2700002E+001, 1.2699983E+001, 1.2700010E+001, 1.2700006E+001, 1.2699967E+001, 1.2699997E+001, 1.2700017E+001, 1.2699984E+001, 1.2699978E+001,-1.7479556E-006, 1.1979319E-006,-6.3067194E-005, 8.3114985E-005,-6.4815150E-005, 8.4312916E-005, 7.2408551E-008, 2.8895229E-009, 7.5298074E-008, 1.2700000E+001, 1.2699929E+001
 4.0714569E+000, 1.2699994E+001, 1.2699996E+001, 1.2699990E+001, 1.2700030E+001, 1.2700000E+001, 1.2699979E+001, 1.2699994E+001, 1.2699928E+001, 1.2699997E+001, 1.2699970E+001, 1.2700004E+001, 1.2699986E+001, 1.2700006E+001, 1.2700005E+001, 1.2699979E+001, 1.2700016E+001, 1.2700010E+001, 1.2699958E+001, 1.2699995E+001, 1.2700029E+001, 1.2699980E+001, 1.2699972E+001,-8.0057786E-007, 9.2669545E-007,-4.3284646E-005, 6.0738327E-005,-4.4085223E-005, 6.1665023E-005, 4.8917464E-008,-4.3632620E-008, 5.2848449E-009, 1.2700000E+001, 1.2699968E+001
 5.0294468E+000, 1.2699996E+001, 1.2699998E+001, 1.2699984E+001, 1.2700037E+001, 1.2699999E+001, 1.2699973E+001, 1.2699996E+001, 1.2699912E+001, 1.2699999E+001, 1.2699965E+001, 1.2700008E+001, 1.2699987E+001, 1.2700013E+001, 1.2700008E+001, 1.2699976E+001, 1.2700022E+001, 1.2700014E+001, 1.2699952E+001, 1.2699993E+001, 1.2700038E+001, 1.2699975E+001, 1.2699965E+001,-6.3825301E-007, 6.9894025E-007,-2.9652118E-005, 4.4015900E-005,-3.0290371E-005, 4.4714840E-005, 6.7899933E-008,-6.7432482E-008, 4.6745029E-010, 1.2700000E+001, 1.2699970E+001
 6.0672692E+000, 1.2699998E+001, 1.2699999E+001, 1.2699976E+001, 1.2700039E+001, 1.2699997E+001, 1.2699967E+001, 1.2699998E+001, 1.2699905E+001, 1.2700000E+001, 1.2699963E+001, 1.2700011E+001, 1.2699988E+001, 1.2700017E+001, 1.2700011E+001, 1.2699974E+001, 1.2700027E+001, 1.2700019E+001, 1.2699949E+001, 1.2699991E+001, 1.2700044E+001, 1.2699971E+001, 1.2699959E+001,-5.9120447E-007, 5.2779502E-007,-1.9795075E-005, 3.3092459E-005,-2.0386280E-005, 3.3620254E-005, 9.4532126E-008,-9.5471485E-008,-9.3935938E-010, 1.2700000E+001, 1.2699965E+001
 7.0252590E+000, 1.2700000E+001, 1.2700001E+001, 1.2699966E+001, 1.2700038E+001, 1.2699993E+001, 1.2699963E+001, 1.2700000E+001, 1.2699901E+001, 1.2700001E+001, 1.2699962E+001, 1.2700013E+001, 1.2699991E+001, 1.2700020E+001, 1.2700013E+001, 1.2699973E+001, 1.2700033E+001, 1.2700025E+001, 1.2699948E+001, 1.2699989E+001, 1.2700047E+001, 1.2699966E+001, 1.2699953E+001,-6.1810953E-007, 4.0010090E-007,-1.1559549E-005, 2.5913728E-005,-1.2177659E-005, 2.6313829E-005, 1.3142505E-007,-1.3111268E-007, 3.1236509E-010, 1.2700000E+001, 1.2699957E+001
 8.0630814E+000, 1.2700002E+001, 1.2700003E+001, 1.2699958E+001, 1.2700037E+001, 1.2699990E+001, 1.2699959E+001, 1.2700002E+001, 1.2699900E+001, 1.2700003E+001, 1.2699963E+001, 1.2700013E+001, 1.2699994E+001, 1.2700021E+001, 1.2700015E+001, 1.2699973E+001, 1.2700039E+001, 1.2700031E+001, 1.2699948E+001, 1.2699989E+001, 1.2700048E+001, 1.2699962E+001, 1.2699948E+001,-7.2959034E-007, 2.9567622E-007,-4.8568137E-006, 2.0302957E-005,-5.5864041E-006, 2.0598633E-005, 1.7568266E-007,-1.7564895E-007, 3.3712861E-011, 1.2700000E+001, 1.2699946E+001
