s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C
Time,T_bottom,T_top,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8,WT9,WT10,WT11,WT12,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT20,rhfHeatedSide,rhfCooledSide,chfHeatedSide,chfCooledSide,thfHeatedSide,thfCooledSide,rhfRadPanelSide,chfRadPanelSide,thfRadPanelSide,WTRADPANELSBOTTOM,WTRADPANELTOP
 0.0000000E+000, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002, 1.9000000E+002,-2.1273510E-004,-4.5474735E-016, 0.0000000E+000, 0.0000000E+000,-2.1273510E-004,-4.5474735E-016,-5.6176181E-005, 5.6176162E-005,-1.8730604E-011, 1.5000000E+001, 1.4944368E+001
 1.0378224E+000, 1.9094578E+002, 1.9057763E+002, 1.9042183E+002, 1.9015713E+002, 1.9015707E+002, 1.9003322E+002, 1.9094578E+002, 1.8988081E+002, 1.8995438E+002, 1.9012235E+002, 1.9046744E+002, 1.9056184E+002, 1.9056135E+002, 1.9052723E+002, 1.9036741E+002, 1.9001944E+002, 1.8987965E+002, 1.8987959E+002, 1.9002056E+002, 1.9036793E+002, 1.9052652E+002, 1.9056131E+002, 2.8668241E+001,-1.2350610E+000,-1.9968344E-001,-8.5234891E-001, 2.8468557E+001,-2.0874099E+000,-5.1853802E+001,-7.5815754E+000,-5.9435377E+001, 1.5000000E+001, 7.4042559E+002
 2.0058564E+000, 1.9404767E+002, 1.9341774E+002, 1.9173212E+002, 1.9058696E+002, 1.9059316E+002, 1.9005100E+002, 1.9404767E+002, 1.8951704E+002, 1.8993887E+002, 1.9087335E+002, 1.9280172E+002, 1.9333410E+002, 1.9334218E+002, 1.9314376E+002, 1.9223308E+002, 1.9030130E+002, 1.8951083E+002, 1.8951348E+002, 1.9030880E+002, 1.9223238E+002, 1.9314104E+002, 1.9334272E+002, 2.8462172E+001,-2.0513096E+000,-3.1042204E-001,-8.6046099E-001, 2.8151750E+001,-2.9117706E+000,-5.2881536E+001,-7.0709134E+000,-5.9952449E+001, 1.5000000E+001, 7.5241730E+002
 3.0017443E+000, 1.9732629E+002, 1.9667724E+002, 1.9306542E+002, 1.9103814E+002, 1.9104139E+002, 1.9008322E+002, 1.9732629E+002, 1.8914173E+002, 1.8996524E+002, 1.9175337E+002, 1.9544078E+002, 1.9653503E+002, 1.9657422E+002, 1.9614985E+002, 1.9434196E+002, 1.9067480E+002, 1.8913670E+002, 1.8913949E+002, 1.9068708E+002, 1.9433527E+002, 1.9614064E+002, 1.9656569E+002, 2.8843736E+001,-2.1201381E+000,-1.0828787E-001,-1.0971930E+000, 2.8735449E+001,-3.2173311E+000,-5.3493122E+001,-6.5038673E+000,-5.9996989E+001, 1.5000000E+001, 7.5608596E+002
 4.0126508E+000, 2.0072761E+002, 2.0007247E+002, 1.9441358E+002, 1.9149427E+002, 1.9149224E+002, 1.9010965E+002, 2.0072761E+002, 1.8876566E+002, 1.8997806E+002, 1.9264336E+002, 1.9812823E+002, 1.9982178E+002, 1.9985637E+002, 1.9920159E+002, 1.9647799E+002, 1.9103630E+002, 1.8876672E+002, 1.8876510E+002, 1.9104207E+002, 1.9646565E+002, 1.9919291E+002, 1.9985160E+002, 2.8853711E+001,-2.1953156E+000,-6.3295648E-002,-1.1271413E+000, 2.8790416E+001,-3.3224569E+000,-5.3408755E+001,-6.5903271E+000,-5.9999082E+001, 1.5000000E+001, 7.5594129E+002
 5.0195376E+000, 2.0404509E+002, 2.0338692E+002, 1.9573035E+002, 1.9193680E+002, 1.9193594E+002, 1.9014452E+002, 2.0404509E+002, 1.8842330E+002, 1.8999297E+002, 1.9350755E+002, 2.0075105E+002, 2.0302183E+002, 2.0306133E+002, 2.0218237E+002, 1.9856504E+002, 1.9139074E+002, 1.8842521E+002, 1.8841658E+002, 1.9138203E+002, 1.9853922E+002, 2.0216448E+002, 2.0304790E+002, 2.8678246E+001,-2.2672289E+000,-7.5195760E-002,-1.3086907E+000, 2.8603051E+001,-3.5759195E+000,-5.3113009E+001,-6.8859304E+000,-5.9998940E+001, 1.5000000E+001, 7.5473290E+002
 6.0044387E+000, 2.0730451E+002, 2.0664428E+002, 1.9701764E+002, 1.9236096E+002, 1.9238560E+002, 1.9018334E+002, 2.0730451E+002, 1.8807022E+002, 1.9000485E+002, 1.9435072E+002, 2.0331403E+002, 2.0616999E+002, 2.0620913E+002, 2.0511029E+002, 2.0060361E+002, 1.9172325E+002, 1.8807059E+002, 1.8806368E+002, 1.9172302E+002, 2.0057348E+002, 2.0508617E+002, 2.0619591E+002, 2.8686804E+001,-2.3393582E+000,-8.8036242E-002,-1.2834820E+000, 2.8598768E+001,-3.6228402E+000,-5.3321204E+001,-6.6774023E+000,-5.9998607E+001, 1.5000000E+001, 7.5584118E+002
 7.0068646E+000, 2.1047186E+002, 2.0980245E+002, 1.9825265E+002, 1.9276731E+002, 1.9280609E+002, 1.9019508E+002, 2.1047186E+002, 1.8773843E+002, 1.9002929E+002, 1.9518619E+002, 2.0581600E+002, 2.0921349E+002, 2.0928124E+002, 2.0796315E+002, 2.0257952E+002, 1.9205643E+002, 1.8773005E+002, 1.8772843E+002, 1.9206308E+002, 2.0255843E+002, 2.0794935E+002, 2.0927295E+002, 2.8618894E+001,-2.4117466E+000,-8.5976457E-002,-1.6236403E+000, 2.8532918E+001,-4.0353869E+000,-5.3341010E+001,-6.6575350E+000,-5.9998545E+001, 1.5000000E+001, 7.5609756E+002
 8.0092905E+000, 2.1365487E+002, 2.1298486E+002, 1.9948730E+002, 1.9316921E+002, 1.9321146E+002, 1.9019558E+002, 2.1365487E+002, 1.8740861E+002, 1.9005824E+002, 1.9604888E+002, 2.0836292E+002, 2.1229657E+002, 2.1237453E+002, 2.1085127E+002, 2.0458917E+002, 1.9242956E+002, 1.8740106E+002, 1.8740074E+002, 1.9241472E+002, 2.0457638E+002, 2.1083452E+002, 2.1236196E+002, 2.8526090E+001,-2.4853960E+000,-9.2007914E-002,-1.5740132E+000, 2.8434082E+001,-4.0594091E+000,-5.3196197E+001,-6.8023873E+000,-5.9998584E+001, 1.5000000E+001, 7.5560676E+002
