s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C
Time,"T_bottom","T_top","WT1","WT2","WT3","WT4","WT5","WT6","WT7","WT8","WT9","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT20","rhfHeatedSide","rhfCooledSide","chfHeatedSide","chfCooledSide","thfHeatedSide","thfCooledSide","rhfRadPanelSide","chfRadPanelSide","thfRadPanelSide","WTRADPANELSBOTTOM","WTRADPANELTOP"
 9.0210713E+000, 1.0500004E+001, 1.0500005E+001, 1.0499951E+001, 1.0500036E+001, 1.0499986E+001, 1.0499957E+001, 1.0500004E+001, 1.0499901E+001, 1.0500004E+001, 1.0499964E+001, 1.0500013E+001, 1.0499998E+001, 1.0500021E+001, 1.0500016E+001, 1.0499974E+001, 1.0500044E+001, 1.0500037E+001, 1.0499949E+001, 1.0499989E+001, 1.0500048E+001, 1.0499959E+001, 1.0499944E+001,-8.9270848E-007, 1.7334143E-007, 1.3290623E-006, 1.4653195E-005, 4.3635387E-007, 1.4826536E-005, 2.2907831E-007,-2.3070269E-007,-1.6243854E-009, 1.0500000E+001, 1.0499931E+001
 1.0058894E+001, 1.0500006E+001, 1.0500006E+001, 1.0499944E+001, 1.0500034E+001, 1.0499981E+001, 1.0499954E+001, 1.0500006E+001, 1.0499901E+001, 1.0500005E+001, 1.0499965E+001, 1.0500012E+001, 1.0500002E+001, 1.0500019E+001, 1.0500016E+001, 1.0499975E+001, 1.0500048E+001, 1.0500043E+001, 1.0499950E+001, 1.0499989E+001, 1.0500047E+001, 1.0499956E+001, 1.0499940E+001,-1.1680751E-006, 8.8117908E-008, 6.8029494E-006, 9.0046072E-006, 5.6348743E-006, 9.0927251E-006, 3.0897421E-007,-3.1061487E-007,-1.6406602E-009, 1.0500000E+001, 1.0499911E+001
 1.1016884E+001, 1.0500008E+001, 1.0500008E+001, 1.0499939E+001, 1.0500034E+001, 1.0499977E+001, 1.0499952E+001, 1.0500008E+001, 1.0499901E+001, 1.0500007E+001, 1.0499967E+001, 1.0500011E+001, 1.0500007E+001, 1.0500017E+001, 1.0500016E+001, 1.0499976E+001, 1.0500052E+001, 1.0500048E+001, 1.0499952E+001, 1.0499990E+001, 1.0500046E+001, 1.0499953E+001, 1.0499937E+001,-1.4830907E-006, 1.2994789E-009, 1.1402225E-005, 3.2251654E-006, 9.9191342E-006, 3.2264649E-006, 4.0902334E-007,-4.1063290E-007,-1.6095640E-009, 1.0500000E+001, 1.0499886E+001
 1.2054706E+001, 1.0500009E+001, 1.0500009E+001, 1.0499935E+001, 1.0500033E+001, 1.0499974E+001, 1.0499951E+001, 1.0500009E+001, 1.0499902E+001, 1.0500008E+001, 1.0499968E+001, 1.0500010E+001, 1.0500011E+001, 1.0500014E+001, 1.0500015E+001, 1.0499977E+001, 1.0500055E+001, 1.0500054E+001, 1.0499953E+001, 1.0499991E+001, 1.0500043E+001, 1.0499950E+001, 1.0499934E+001,-1.8139034E-006,-8.5513962E-008, 1.5283686E-005,-2.6557803E-006, 1.3469783E-005,-2.7412943E-006, 5.4850770E-007,-5.5011825E-007,-1.6105486E-009, 1.0500000E+001, 1.0499851E+001
 1.3012696E+001, 1.0500010E+001, 1.0500010E+001, 1.0499932E+001, 1.0500032E+001, 1.0499970E+001, 1.0499950E+001, 1.0500010E+001, 1.0499902E+001, 1.0500008E+001, 1.0499970E+001, 1.0500010E+001, 1.0500014E+001, 1.0500010E+001, 1.0500013E+001, 1.0499979E+001, 1.0500057E+001, 1.0500058E+001, 1.0499954E+001, 1.0499992E+001, 1.0500041E+001, 1.0499948E+001, 1.0499932E+001,-2.1415578E-006,-1.6472072E-007, 1.8183446E-005,-7.9214801E-006, 1.6041888E-005,-8.0862008E-006, 7.5556348E-007,-7.5680216E-007,-1.2386813E-009, 1.0500000E+001, 1.0499803E+001
 1.4050518E+001, 1.0500010E+001, 1.0500010E+001, 1.0499929E+001, 1.0500032E+001, 1.0499967E+001, 1.0499950E+001, 1.0500010E+001, 1.0499902E+001, 1.0500009E+001, 1.0499971E+001, 1.0500009E+001, 1.0500018E+001, 1.0500006E+001, 1.0500012E+001, 1.0499981E+001, 1.0500059E+001, 1.0500062E+001, 1.0499955E+001, 1.0499993E+001, 1.0500038E+001, 1.0499946E+001, 1.0499929E+001,-2.4556019E-006,-2.3005578E-007, 2.0088795E-005,-1.2383916E-005, 1.7633193E-005,-1.2613972E-005, 1.0881063E-006,-1.0893796E-006,-1.2732757E-009, 1.0500000E+001, 1.0499727E+001
 1.5008508E+001, 1.0500010E+001, 1.0500010E+001, 1.0499926E+001, 1.0500031E+001, 1.0499965E+001, 1.0499949E+001, 1.0500010E+001, 1.0499903E+001, 1.0500010E+001, 1.0499972E+001, 1.0500009E+001, 1.0500021E+001, 1.0500002E+001, 1.0500010E+001, 1.0499982E+001, 1.0500061E+001, 1.0500066E+001, 1.0499957E+001, 1.0499994E+001, 1.0500035E+001, 1.0499944E+001, 1.0499928E+001,-2.7563590E-006,-2.8039979E-007, 2.1064393E-005,-1.5813251E-005, 1.8308034E-005,-1.6093651E-005, 1.6283708E-006,-1.6305802E-006,-2.2093518E-009, 1.0500000E+001, 1.0499606E+001
 1.6046330E+001, 1.0500010E+001, 1.0500009E+001, 1.0499924E+001, 1.0500031E+001, 1.0499963E+001, 1.0499949E+001, 1.0500010E+001, 1.0499903E+001, 1.0500011E+001, 1.0499973E+001, 1.0500009E+001, 1.0500023E+001, 1.0499997E+001, 1.0500008E+001, 1.0499984E+001, 1.0500062E+001, 1.0500068E+001, 1.0499958E+001, 1.0499995E+001, 1.0500032E+001, 1.0499943E+001, 1.0499926E+001,-3.0280801E-006,-3.1546180E-007, 2.1313878E-005,-1.8225369E-005, 1.8285798E-005,-1.8540831E-005, 2.3499001E-006,-2.3520182E-006,-2.1181081E-009, 1.0500000E+001, 1.0499447E+001
 1.7004320E+001, 1.0500009E+001, 1.0500008E+001, 1.0499923E+001, 1.0500031E+001, 1.0499962E+001, 1.0499949E+001, 1.0500009E+001, 1.0499903E+001, 1.0500011E+001, 1.0499974E+001, 1.0500009E+001, 1.0500026E+001, 1.0499992E+001, 1.0500006E+001, 1.0499985E+001, 1.0500063E+001, 1.0500071E+001, 1.0499959E+001, 1.0499996E+001, 1.0500029E+001, 1.0499942E+001, 1.0499925E+001,-3.2600703E-006,-3.3558392E-007, 2.1038871E-005,-1.9764662E-005, 1.7778800E-005,-2.0100246E-005, 3.1682607E-006,-3.1701584E-006,-1.8976904E-009, 1.0500000E+001, 1.0499266E+001
 1.8042143E+001, 1.0500008E+001, 1.0500007E+001, 1.0499921E+001, 1.0500031E+001, 1.0499961E+001, 1.0499949E+001, 1.0500008E+001, 1.0499904E+001, 1.0500011E+001, 1.0499975E+001, 1.0500009E+001, 1.0500027E+001, 1.0499988E+001, 1.0500005E+001, 1.0499987E+001, 1.0500064E+001, 1.0500072E+001, 1.0499961E+001, 1.0499997E+001, 1.0500027E+001, 1.0499941E+001, 1.0499924E+001,-3.4537547E-006,-3.4230645E-007, 2.0388889E-005,-2.0491372E-005, 1.6935134E-005,-2.0833679E-005, 4.0583009E-006,-4.0598844E-006,-1.5835254E-009, 1.0500000E+001, 1.0499070E+001
 1.9000132E+001, 1.0500006E+001, 1.0500006E+001, 1.0499920E+001, 1.0500031E+001, 1.0499960E+001, 1.0499950E+001, 1.0500006E+001, 1.0499904E+001, 1.0500011E+001, 1.0499975E+001, 1.0500009E+001, 1.0500029E+001, 1.0499984E+001, 1.0500003E+001, 1.0499988E+001, 1.0500064E+001, 1.0500074E+001, 1.0499962E+001, 1.0499998E+001, 1.0500024E+001, 1.0499940E+001, 1.0499923E+001,-3.6076246E-006,-3.3754054E-007, 1.9468287E-005,-2.0570847E-005, 1.5860663E-005,-2.0908388E-005, 4.9746989E-006,-4.9762948E-006,-1.5959124E-009, 1.0500000E+001, 1.0498869E+001
 2.0037955E+001, 1.0500005E+001, 1.0500004E+001, 1.0499919E+001, 1.0500032E+001, 1.0499959E+001, 1.0499950E+001, 1.0500005E+001, 1.0499905E+001, 1.0500011E+001, 1.0499975E+001, 1.0500009E+001, 1.0500030E+001, 1.0499980E+001, 1.0500001E+001, 1.0499988E+001, 1.0500064E+001, 1.0500075E+001, 1.0499964E+001, 1.0499999E+001, 1.0500022E+001, 1.0499940E+001, 1.0499922E+001,-3.7198004E-006,-3.2334856E-007, 1.8428095E-005,-2.0164993E-005, 1.4708294E-005,-2.0488341E-005, 5.8112283E-006,-5.8126068E-006,-1.3785063E-009, 1.0500000E+001, 1.0498684E+001
 2.1075777E+001, 1.0500003E+001, 1.0500003E+001, 1.0499918E+001, 1.0500032E+001, 1.0499959E+001, 1.0499950E+001, 1.0500003E+001, 1.0499905E+001, 1.0500011E+001, 1.0499976E+001, 1.0500009E+001, 1.0500031E+001, 1.0499975E+001, 1.0500000E+001, 1.0499989E+001, 1.0500064E+001, 1.0500076E+001, 1.0499965E+001, 1.0500000E+001, 1.0500019E+001, 1.0499939E+001, 1.0499921E+001,-3.7966283E-006,-3.0159137E-007, 1.7235507E-005,-1.9373054E-005, 1.3438879E-005,-1.9674646E-005, 6.5353836E-006,-6.5369685E-006,-1.5848853E-009, 1.0500000E+001, 1.0498525E+001
