s,C,C
Time,"T_bottom","T_top"
 0.0000000E+000, 1.3500000E+001, 1.3500000E+001
 1.0202746E+000, 1.3499998E+001, 1.3499994E+001
 2.0405492E+000, 1.3499998E+001, 1.3499992E+001
 3.0608239E+000, 1.3499999E+001, 1.3500001E+001
 4.0082217E+000, 1.3500009E+001, 1.3499996E+001
 5.0284963E+000, 1.3500005E+001, 1.3500004E+001
 6.0487710E+000, 1.3500002E+001, 1.3500005E+001
 7.0690456E+000, 1.3500005E+001, 1.3499998E+001
 8.0164434E+000, 1.3499993E+001, 1.3500010E+001
 9.0367181E+000, 1.3500080E+001, 1.3500086E+001
 1.0056993E+001, 1.3500278E+001, 1.3500294E+001
 1.1004391E+001, 1.3500446E+001, 1.3500466E+001
 1.2024665E+001, 1.3500828E+001, 1.3500989E+001
 1.3044940E+001, 1.3501183E+001, 1.3501293E+001
 1.4065214E+001, 1.3501616E+001, 1.3501721E+001
 1.5012612E+001, 1.3502799E+001, 1.3502591E+001
 1.6032887E+001, 1.3503610E+001, 1.3503354E+001
 1.7053162E+001, 1.3503394E+001, 1.3503044E+001
 1.8000559E+001, 1.3503387E+001, 1.3503225E+001
 1.9020834E+001, 1.3502548E+001, 1.3502598E+001
 2.0041109E+001, 1.3501874E+001, 1.3502250E+001
 2.1061383E+001, 1.3501815E+001, 1.3502505E+001
 2.2034640E+001, 1.3501706E+001, 1.3501709E+001
 2.3004174E+001, 1.3502696E+001, 1.3502624E+001
 2.4024448E+001, 1.3503199E+001, 1.3502970E+001
 2.5044723E+001, 1.3503943E+001, 1.3504001E+001
 2.6027899E+001, 1.3508122E+001, 1.3507803E+001
 2.7048173E+001, 1.3509803E+001, 1.3509520E+001
 2.8068448E+001, 1.3511211E+001, 1.3511036E+001
 2.9015846E+001, 1.3511061E+001, 1.3510864E+001
 3.0036121E+001, 1.3510578E+001, 1.3510181E+001
 3.1056395E+001, 1.3509938E+001, 1.3509593E+001
 3.2003793E+001, 1.3509414E+001, 1.3509219E+001
 3.3024068E+001, 1.3510817E+001, 1.3510982E+001
 3.4044342E+001, 1.3513285E+001, 1.3512452E+001
 3.5003841E+001, 1.3515278E+001, 1.3515098E+001
 3.6019970E+001, 1.3515196E+001, 1.3514895E+001
 3.7024582E+001, 1.3514284E+001, 1.3513981E+001
 3.8037772E+001, 1.3512967E+001, 1.3512245E+001
 3.9048476E+001, 1.3511666E+001, 1.3511680E+001
 4.0041344E+001, 1.3512201E+001, 1.3512300E+001
 4.1023056E+001, 1.3676022E+001, 1.3618252E+001
 4.2029654E+001, 1.6038287E+001, 1.5557612E+001
 4.3006516E+001, 2.0268191E+001, 1.9704396E+001
 4.4014518E+001, 2.4550508E+001, 2.3984700E+001
 4.5000646E+001, 2.8857660E+001, 2.8290389E+001
 4.6014949E+001, 3.3173672E+001, 3.2604845E+001
 4.7001077E+001, 3.7475542E+001, 3.6905593E+001
 4.8015380E+001, 4.1743981E+001, 4.1172776E+001
 4.9021119E+001, 4.6034372E+001, 4.5461515E+001
 5.0019867E+001, 5.0271578E+001, 4.9697140E+001
 5.1023686E+001, 5.4509576E+001, 5.3933841E+001
 5.2021875E+001, 5.8722575E+001, 5.8144912E+001
 5.3024642E+001, 6.2906198E+001, 6.2326744E+001
 5.4002341E+001, 6.7012585E+001, 6.6431403E+001
 5.5005108E+001, 7.1113282E+001, 7.0530291E+001
