m,kW,kW,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C
hrrpul-z,hrrpul,qradpul,velocity-z,velocity,temperature,W-0p025-z,W-0p025,T-0p025,W-0p075-z,W-0p075,T-0p075,W-0p125-z,W-0p125,T-0p125,W-0p175-z,W-0p175,T-0p175,W-0p225-z,W-0p225,T-0p225
 2.5000000E-002, 8.0474522E-001,-1.1047655E-001, 2.5000000E-002, 1.3874001E-001, 3.7484268E+002, 2.5000000E-002, 2.3841097E-001, 4.3751629E+002, 2.5000000E-002, 3.3047847E-001, 8.1923587E+002, 2.5000000E-002, 1.6569828E-001, 1.0315444E+002, 2.5000000E-002, 2.7393333E-001, 2.0581141E+001, 2.5000000E-002, 1.2081888E-001, 2.0609683E+001
 5.0000000E-002, 8.8647185E-001,-1.2978914E-001, 5.0000000E-002, 6.1061479E-001, 4.5501787E+002, 5.0000000E-002, 7.7415322E-001, 6.1552534E+002, 5.0000000E-002, 4.7844850E-001, 4.0256670E+002, 5.0000000E-002, 8.1835794E-002, 3.0198030E+001, 5.0000000E-002, 1.6897101E-001, 2.0797015E+001, 5.0000000E-002, 1.7527154E-001, 2.0723603E+001
 7.5000000E-002, 5.0623113E-001,-1.0373308E-001, 7.5000000E-002, 1.1186711E+000, 5.1887777E+002, 7.5000000E-002, 1.3148135E+000, 7.3040191E+002, 7.5000000E-002, 6.0134137E-001, 3.1984505E+002, 7.5000000E-002, 5.2384561E-002, 2.2744551E+001, 7.5000000E-002, 1.0295732E-001, 2.0972536E+001, 7.5000000E-002, 1.6890218E-001, 2.0836774E+001
 1.0000000E-001, 3.4779540E-001,-7.9270025E-002, 1.0000000E-001, 1.5783672E+000, 5.7709393E+002, 1.0000000E-001, 1.7656509E+000, 7.8698554E+002, 1.0000000E-001, 7.0262870E-001, 3.0264388E+002, 1.0000000E-001, 7.0569940E-002, 2.3032561E+001, 1.0000000E-001, 8.8159812E-002, 2.1106228E+001, 1.0000000E-001, 1.2017883E-001, 2.0932980E+001
 1.2500000E-001, 2.8145183E-001,-6.6435296E-002, 1.2500000E-001, 1.9726654E+000, 6.3118012E+002, 1.2500000E-001, 2.1156094E+000, 8.1198263E+002, 1.2500000E-001, 8.0044702E-001, 3.0360584E+002, 1.2500000E-001, 9.8046710E-002, 2.6632596E+001, 1.2500000E-001, 9.6104607E-002, 2.1210443E+001, 1.2500000E-001, 9.7298661E-002, 2.1016922E+001
 1.5000000E-001, 2.5013008E-001,-5.8536511E-002, 1.5000000E-001, 2.3095062E+000, 6.8104532E+002, 1.5000000E-001, 2.3914951E+000, 8.2452600E+002, 1.5000000E-001, 9.1696134E-001, 3.1132044E+002, 1.5000000E-001, 1.2195784E-001, 3.3038956E+001, 1.5000000E-001, 1.0493381E-001, 2.1300084E+001, 1.5000000E-001, 9.9769435E-002, 2.1086077E+001
 1.7500000E-001, 2.3562117E-001,-5.3358760E-002, 1.7500000E-001, 2.6020389E+000, 7.2647426E+002, 1.7500000E-001, 2.6221209E+000, 8.3203649E+002, 1.7500000E-001, 1.0556228E+000, 3.1861342E+002, 1.7500000E-001, 1.4808846E-001, 4.0186360E+001, 1.7500000E-001, 1.1208988E-001, 2.1380172E+001, 1.7500000E-001, 1.0523547E-001, 2.1148730E+001
 2.0000000E-001, 2.3018337E-001,-5.0026804E-002, 2.0000000E-001, 2.8596167E+000, 7.6581178E+002, 2.0000000E-001, 2.8234011E+000, 8.3793355E+002, 2.0000000E-001, 1.2059924E+000, 3.2583949E+002, 2.0000000E-001, 1.7477672E-001, 4.6611259E+001, 2.0000000E-001, 1.1829518E-001, 2.1468424E+001, 2.0000000E-001, 1.1049245E-001, 2.1205179E+001
 2.2500000E-001, 2.2975898E-001,-4.8027522E-002, 2.2500000E-001, 3.0889669E+000, 7.9929692E+002, 2.2500000E-001, 3.0052538E+000, 8.4315897E+002, 2.2500000E-001, 1.3567251E+000, 3.3193527E+002, 2.2500000E-001, 2.1174668E-001, 5.2563282E+001, 2.2500000E-001, 1.2303508E-001, 2.1629893E+001, 2.2500000E-001, 1.1581897E-001, 2.1256427E+001
 2.5000000E-001, 2.0537036E-001,-4.1818504E-002, 2.5000000E-001, 3.2934298E+000, 8.2796995E+002, 2.5000000E-001, 3.1688089E+000, 8.4609218E+002, 2.5000000E-001, 1.4970504E+000, 3.3694715E+002, 2.5000000E-001, 2.5438724E-001, 5.8553727E+001, 2.5000000E-001, 1.2815928E-001, 2.1845034E+001, 2.5000000E-001, 1.2015187E-001, 2.1302706E+001
 2.7500000E-001, 2.0816969E-001,-4.1410863E-002, 2.7500000E-001, 3.4764760E+000, 8.5140716E+002, 2.7500000E-001, 3.3142567E+000, 8.4604472E+002, 2.7500000E-001, 1.6278661E+000, 3.4006338E+002, 2.7500000E-001, 2.9910878E-001, 6.4720155E+001, 2.7500000E-001, 1.3430066E-001, 2.2114699E+001, 2.7500000E-001, 1.2306024E-001, 2.1341914E+001
 3.0000000E-001, 2.3792900E-001,-4.6754311E-002, 3.0000000E-001, 3.6382158E+000, 8.6832695E+002, 3.0000000E-001, 3.4428922E+000, 8.4495389E+002, 3.0000000E-001, 1.7443107E+000, 3.4252931E+002, 3.0000000E-001, 3.5157352E-001, 7.0945140E+001, 3.0000000E-001, 1.4114117E-001, 2.2584982E+001, 3.0000000E-001, 1.2690419E-001, 2.1375486E+001
 3.2500000E-001, 2.4014672E-001,-4.7152890E-002, 3.2500000E-001, 3.7811523E+000, 8.8068856E+002, 3.2500000E-001, 3.5579394E+000, 8.4353316E+002, 3.2500000E-001, 1.8439296E+000, 3.4360893E+002, 3.2500000E-001, 4.0627094E-001, 7.6376700E+001, 3.2500000E-001, 1.4717260E-001, 2.3224592E+001, 3.2500000E-001, 1.3108085E-001, 2.1406314E+001
 3.5000000E-001, 2.4132771E-001,-4.7699110E-002, 3.5000000E-001, 3.9086969E+000, 8.8882634E+002, 3.5000000E-001, 3.6632368E+000, 8.4002673E+002, 3.5000000E-001, 1.9315537E+000, 3.4435164E+002, 3.5000000E-001, 4.6881502E-001, 8.1763668E+001, 3.5000000E-001, 1.5329989E-001, 2.4142347E+001, 3.5000000E-001, 1.3489887E-001, 2.1436396E+001
 3.7500000E-001, 2.4108894E-001,-4.8215903E-002, 3.7500000E-001, 4.0208654E+000, 8.9229581E+002, 3.7500000E-001, 3.7599166E+000, 8.3425983E+002, 3.7500000E-001, 2.0094577E+000, 3.4491256E+002, 3.7500000E-001, 5.3811655E-001, 8.7530966E+001, 3.7500000E-001, 1.6091784E-001, 2.5536956E+001, 3.7500000E-001, 1.3906525E-001, 2.1467161E+001
 4.0012500E-001, 2.3943130E-001,-4.8594007E-002, 4.0012500E-001, 4.1203161E+000, 8.9074057E+002, 4.0012500E-001, 3.8466442E+000, 8.2652745E+002, 4.0012500E-001, 2.0790560E+000, 3.4650019E+002, 4.0012500E-001, 6.0379668E-001, 9.3868651E+001, 4.0012500E-001, 1.7409566E-001, 2.7260457E+001, 4.0012500E-001, 1.4204982E-001, 2.1500493E+001
 4.2500000E-001, 2.3628039E-001,-4.8749563E-002, 4.2500000E-001, 4.2053756E+000, 8.8621776E+002, 4.2500000E-001, 3.9195235E+000, 8.1538643E+002, 4.2500000E-001, 2.1417104E+000, 3.4710389E+002, 4.2500000E-001, 6.7071117E-001, 1.0013763E+002, 4.2500000E-001, 1.8572310E-001, 2.8884049E+001, 4.2500000E-001, 1.4618823E-001, 2.1553082E+001
