m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 0.0000000E+000, 2.0000000E+001, 1.2112808E-002, 8.8091513E-003, 1.7618894E-002
 1.3698630E-002, 6.9423764E+002, 7.8222825E-002, 1.3564920E-001, 8.3745884E-002
 2.7397260E-002, 7.4097166E+002, 2.7241037E-001, 2.7621405E-001, 3.0280437E-001
 4.1095890E-002, 7.6917564E+002, 5.8513103E-001, 5.0000910E-001, 5.8600869E-001
 5.4794521E-002, 7.8497687E+002, 9.2229613E-001, 7.7852197E-001, 8.8461266E-001
 6.8493151E-002, 7.9003172E+002, 1.2516040E+000, 1.0698463E+000, 1.1726905E+000
 8.2191781E-002, 7.8824540E+002, 1.5518231E+000, 1.3441285E+000, 1.4347864E+000
 9.5890411E-002, 7.8415992E+002, 1.8178970E+000, 1.5930222E+000, 1.6704169E+000
 1.0958904E-001, 7.7863722E+002, 2.0527882E+000, 1.8153203E+000, 1.8786809E+000
 1.2328767E-001, 7.7096630E+002, 2.2569879E+000, 2.0115016E+000, 2.0621803E+000
 1.3698630E-001, 7.6167161E+002, 2.4342175E+000, 2.1843154E+000, 2.2211761E+000
 1.5068493E-001, 7.5148948E+002, 2.5871245E+000, 2.3346981E+000, 2.3585970E+000
 1.6438356E-001, 7.4183381E+002, 2.7196327E+000, 2.4657688E+000, 2.4786794E+000
 1.7808219E-001, 7.3241631E+002, 2.8373971E+000, 2.5821972E+000, 2.5864358E+000
 1.9178082E-001, 7.2238081E+002, 2.9434474E+000, 2.6866457E+000, 2.6840199E+000
 2.0547945E-001, 7.1207698E+002, 3.0379771E+000, 2.7798960E+000, 2.7716633E+000
 2.1917808E-001, 7.0187097E+002, 3.1235722E+000, 2.8636443E+000, 2.8504672E+000
 2.3287671E-001, 6.9189751E+002, 3.2022623E+000, 2.9390623E+000, 2.9209175E+000
 2.4657534E-001, 6.8187006E+002, 3.2732443E+000, 3.0064076E+000, 2.9835212E+000
 2.6027397E-001, 6.7117554E+002, 3.3374983E+000, 3.0661723E+000, 3.0383907E+000
 2.7397260E-001, 6.5952834E+002, 3.3952733E+000, 3.1187929E+000, 3.0871468E+000
 2.8767123E-001, 6.4729377E+002, 3.4471408E+000, 3.1648414E+000, 3.1292502E+000
 3.0136986E-001, 6.3455724E+002, 3.4939639E+000, 3.2052672E+000, 3.1659899E+000
 3.1506849E-001, 6.2150902E+002, 3.5362875E+000, 3.2403342E+000, 3.1967319E+000
 3.2876712E-001, 6.0789343E+002, 3.5736947E+000, 3.2704281E+000, 3.2248539E+000
 3.4246575E-001, 5.9394656E+002, 3.6095819E+000, 3.2978584E+000, 3.2498362E+000
 3.5616438E-001, 5.7945790E+002, 3.6423249E+000, 3.3218471E+000, 3.2712015E+000
 3.6986301E-001, 5.6392272E+002, 3.6695169E+000, 3.3408798E+000, 3.2865154E+000
 3.8356164E-001, 5.4838166E+002, 3.6937888E+000, 3.3573241E+000, 3.3034444E+000
 3.9726027E-001, 5.3298978E+002, 3.7167875E+000, 3.3723880E+000, 3.3158891E+000
 4.1095890E-001, 5.1733199E+002, 3.7362203E+000, 3.3850848E+000, 3.3268607E+000
 4.2465753E-001, 5.0170665E+002, 3.7520520E+000, 3.3950783E+000, 3.3334714E+000
 4.3835616E-001, 4.8653912E+002, 3.7638746E+000, 3.4019213E+000, 3.3383540E+000
 4.5205479E-001, 4.7250617E+002, 3.7743924E+000, 3.4071422E+000, 3.3433622E+000
 4.6575342E-001, 4.5854894E+002, 3.7830814E+000, 3.4112303E+000, 3.3470748E+000
 4.7945205E-001, 4.4554923E+002, 3.7900551E+000, 3.4136126E+000, 3.3475805E+000
 4.9315068E-001, 4.3240652E+002, 3.7927658E+000, 3.4144036E+000, 3.3466318E+000
 5.0684932E-001, 4.1995087E+002, 3.7929879E+000, 3.4139769E+000, 3.3445058E+000
 5.2054795E-001, 4.0715540E+002, 3.7887605E+000, 3.4118105E+000, 3.3412823E+000
 5.3424658E-001, 3.9478816E+002, 3.7812365E+000, 3.4082719E+000, 3.3368072E+000
 5.4794521E-001, 3.8254316E+002, 3.7725820E+000, 3.4056143E+000, 3.3336240E+000
 5.6164384E-001, 3.7109133E+002, 3.7663442E+000, 3.4060784E+000, 3.3333969E+000
 5.7534247E-001, 3.6000372E+002, 3.7625193E+000, 3.4081830E+000, 3.3343747E+000
 5.8904110E-001, 3.4936117E+002, 3.7583263E+000, 3.4095910E+000, 3.3347090E+000
 6.0273973E-001, 3.3860364E+002, 3.7516373E+000, 3.4095751E+000, 3.3337532E+000
 6.1643836E-001, 3.2817930E+002, 3.7413372E+000, 3.4071944E+000, 3.3293546E+000
 6.3013699E-001, 3.1832298E+002, 3.7273595E+000, 3.4028321E+000, 3.3240458E+000
 6.4383562E-001, 3.0950343E+002, 3.7133776E+000, 3.3970803E+000, 3.3177713E+000
 6.5753425E-001, 3.0124432E+002, 3.6980751E+000, 3.3891550E+000, 3.3090329E+000
 6.7123288E-001, 2.9282619E+002, 3.6795606E+000, 3.3800710E+000, 3.2988806E+000
 6.8493151E-001, 2.8443889E+002, 3.6602367E+000, 3.3718058E+000, 3.2894486E+000
 6.9863014E-001, 2.7630988E+002, 3.6422126E+000, 3.3647061E+000, 3.2807787E+000
 7.1232877E-001, 2.6844125E+002, 3.6242864E+000, 3.3571181E+000, 3.2720533E+000
 7.2602740E-001, 2.6069831E+002, 3.6044316E+000, 3.3479011E+000, 3.2618594E+000
 7.3972603E-001, 2.5340928E+002, 3.5835043E+000, 3.3377674E+000, 3.2517671E+000
 7.5342466E-001, 2.4665584E+002, 3.5643387E+000, 3.3281123E+000, 3.2422557E+000
 7.6712329E-001, 2.4038553E+002, 3.5473728E+000, 3.3192139E+000, 3.2330330E+000
 7.8082192E-001, 2.3449506E+002, 3.5300643E+000, 3.3101347E+000, 3.2228066E+000
 7.9452055E-001, 2.2874207E+002, 3.5113741E+000, 3.3001010E+000, 3.2122526E+000
 8.0821918E-001, 2.2316910E+002, 3.4921616E+000, 3.2893515E+000, 3.2009920E+000
 8.2191781E-001, 2.1780597E+002, 3.4735016E+000, 3.2786716E+000, 3.1905224E+000
 8.3561644E-001, 2.1272950E+002, 3.4563944E+000, 3.2692021E+000, 3.1814076E+000
 8.4931507E-001, 2.0784418E+002, 3.4416581E+000, 3.2612083E+000, 3.1730056E+000
 8.6301370E-001, 2.0317302E+002, 3.4281722E+000, 3.2539143E+000, 3.1640006E+000
 8.7671233E-001, 1.9854321E+002, 3.4147108E+000, 3.2467200E+000, 3.1548730E+000
 8.9041096E-001, 1.9434407E+002, 3.4012731E+000, 3.2388774E+000, 3.1448766E+000
 9.0410959E-001, 1.9020197E+002, 3.3870747E+000, 3.2302583E+000, 3.1338070E+000
 9.1780822E-001, 1.8636181E+002, 3.3721467E+000, 3.2204429E+000, 3.1216060E+000
 9.3150685E-001, 1.8249934E+002, 3.3566978E+000, 3.2099369E+000, 3.1096076E+000
 9.4520548E-001, 1.7886696E+002, 3.3411416E+000, 3.1984459E+000, 3.0961529E+000
 9.5890411E-001, 1.7515270E+002, 3.3249597E+000, 3.1862914E+000, 3.0816900E+000
 9.7260274E-001, 1.7182064E+002, 3.3096115E+000, 3.1740766E+000, 3.0661189E+000
 9.8630137E-001, 1.6849809E+002, 3.2933227E+000, 3.1612467E+000, 3.0506706E+000
 1.0000000E+000, 1.6544761E+002, 3.2777217E+000, 3.1484186E+000, 3.0367562E+000
 1.0136986E+000, 1.6229673E+002, 3.2621705E+000, 3.1357919E+000, 3.0230640E+000
 1.0273973E+000, 1.5930625E+002, 3.2469479E+000, 3.1237237E+000, 3.0084999E+000
 1.0410959E+000, 1.5621434E+002, 3.2315838E+000, 3.1126362E+000, 2.9962065E+000
