m,kW,kW,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C
 2.5000000E-001, 2.6473137E-001,-6.8371474E-002, 2.5000000E-001, 3.1983702E+000, 8.1822826E+002, 2.5000000E-001, 3.2276046E+000, 8.2575001E+002, 2.5000000E-001, 2.1525602E+000, 5.0209268E+002, 2.5000000E-001, 6.9958443E-001, 1.7597355E+002, 2.5000000E-001, 1.7512782E-001, 5.3924125E+001, 2.5000000E-001, 4.2809577E-002, 2.5416301E+001
 2.7500000E-001, 3.4532107E-001,-9.0680490E-002, 2.7500000E-001, 3.3609418E+000, 8.1822826E+002, 2.7500000E-001, 3.3903107E+000, 8.2575001E+002, 2.7500000E-001, 2.2883024E+000, 5.0209268E+002, 2.7500000E-001, 8.6704314E-001, 1.7597355E+002, 2.7500000E-001, 2.2096490E-001, 5.3924125E+001, 2.7500000E-001, 4.8760185E-002, 2.5416301E+001
 3.0000000E-001, 1.9174916E-001,-5.1869019E-002, 3.0000000E-001, 3.3609418E+000, 7.4435695E+002, 3.0000000E-001, 3.3903107E+000, 7.5237182E+002, 3.0000000E-001, 2.2883024E+000, 4.6509256E+002, 3.0000000E-001, 8.6704314E-001, 1.8166251E+002, 3.0000000E-001, 2.2096490E-001, 6.0680159E+001, 3.0000000E-001, 4.8760185E-002, 2.7493638E+001
 3.2500000E-001, 2.5074817E-001,-6.8807179E-002, 3.2500000E-001, 3.4610666E+000, 7.4435695E+002, 3.2500000E-001, 3.4899433E+000, 7.5237182E+002, 3.2500000E-001, 2.3965590E+000, 4.6509256E+002, 3.2500000E-001, 1.0206662E+000, 1.8166251E+002, 3.2500000E-001, 2.8766406E-001, 6.0680159E+001, 3.2500000E-001, 6.0434623E-002, 2.7493638E+001
 3.5000000E-001, 1.3958871E-001,-3.9247175E-002, 3.5000000E-001, 3.4610666E+000, 6.7080449E+002, 3.5000000E-001, 3.4899433E+000, 6.7863643E+002, 3.5000000E-001, 2.3965590E+000, 4.3145999E+002, 3.5000000E-001, 1.0206662E+000, 1.8530508E+002, 3.5000000E-001, 2.8766406E-001, 6.7257741E+001, 3.5000000E-001, 6.0434623E-002, 3.0137974E+001
 3.7500000E-001, 1.8290474E-001,-5.2176066E-002, 3.7500000E-001, 3.5029107E+000, 6.7080449E+002, 3.7500000E-001, 3.5390677E+000, 6.7863643E+002, 3.7500000E-001, 2.4852939E+000, 4.3145999E+002, 3.7500000E-001, 1.1680028E+000, 1.8530508E+002, 3.7500000E-001, 3.6763659E-001, 6.7257741E+001, 3.7500000E-001, 8.2950512E-002, 3.0137974E+001
 4.0000000E-001, 1.0231504E-001,-2.9867050E-002, 4.0000000E-001, 3.5029107E+000, 6.0013010E+002, 4.0000000E-001, 3.5390677E+000, 6.0784412E+002, 4.0000000E-001, 2.4852939E+000, 3.9964305E+002, 4.0000000E-001, 1.1680028E+000, 1.8646813E+002, 4.0000000E-001, 3.6763659E-001, 7.3126259E+001, 4.0000000E-001, 8.2950512E-002, 3.2936875E+001
 4.2500000E-001, 1.3431641E-001,-3.9891545E-002, 4.2500000E-001, 3.5184583E+000, 6.0013010E+002, 4.2500000E-001, 3.5561232E+000, 6.0784412E+002, 4.2500000E-001, 2.5604678E+000, 3.9964305E+002, 4.2500000E-001, 1.3041390E+000, 1.8646813E+002, 4.2500000E-001, 4.5202459E-001, 7.3126259E+001, 4.2500000E-001, 1.0503094E-001, 3.2936875E+001
 4.5000000E-001, 7.5317399E-002,-2.2953386E-002, 4.5000000E-001, 3.5184583E+000, 5.3632246E+002, 4.5000000E-001, 3.5561232E+000, 5.4362982E+002, 4.5000000E-001, 2.5604678E+000, 3.7082008E+002, 4.5000000E-001, 1.3041390E+000, 1.8640870E+002, 4.5000000E-001, 4.5202459E-001, 7.8951021E+001, 4.5000000E-001, 1.0503094E-001, 3.6014848E+001
 4.7500000E-001, 9.9031947E-002,-3.0822067E-002, 4.7500000E-001, 3.4983821E+000, 5.3632246E+002, 4.7500000E-001, 3.5359554E+000, 5.4362982E+002, 4.7500000E-001, 2.6192221E+000, 3.7082008E+002, 4.7500000E-001, 1.4285850E+000, 1.8640870E+002, 4.7500000E-001, 5.4767938E-001, 7.8951021E+001, 4.7500000E-001, 1.4089636E-001, 3.6014848E+001
 5.0000000E-001, 5.5715917E-002,-1.7893176E-002, 5.0000000E-001, 3.4983821E+000, 4.7870884E+002, 5.0000000E-001, 3.5359554E+000, 4.8533906E+002, 5.0000000E-001, 2.6192221E+000, 3.4415467E+002, 5.0000000E-001, 1.4285850E+000, 1.8467347E+002, 5.0000000E-001, 5.4767938E-001, 8.3985101E+001, 5.0000000E-001, 1.4089636E-001, 3.9521429E+001
 5.2500000E-001, 7.3466382E-002,-2.4194360E-002, 5.2500000E-001, 3.4671410E+000, 4.7870884E+002, 5.2500000E-001, 3.5075878E+000, 4.8533906E+002, 5.2500000E-001, 2.6738069E+000, 3.4415467E+002, 5.2500000E-001, 1.5385048E+000, 1.8467347E+002, 5.2500000E-001, 6.4405027E-001, 8.3985101E+001, 5.2500000E-001, 1.8843849E-001, 3.9521429E+001
 5.5000000E-001, 4.1465014E-002,-1.4169865E-002, 5.5000000E-001, 3.4671410E+000, 4.2870721E+002, 5.5000000E-001, 3.5075878E+000, 4.3450746E+002, 5.5000000E-001, 2.6738069E+000, 3.2021951E+002, 5.5000000E-001, 1.5385048E+000, 1.8222432E+002, 5.5000000E-001, 6.4405027E-001, 8.8398331E+001, 5.5000000E-001, 1.8843849E-001, 4.3314966E+001
 5.7500000E-001, 5.4779635E-002,-1.9292469E-002, 5.7500000E-001, 3.4148616E+000, 4.2870721E+002, 5.7500000E-001, 3.4558718E+000, 4.3450746E+002, 5.7500000E-001, 2.7113417E+000, 3.2021951E+002, 5.7500000E-001, 1.6365079E+000, 1.8222432E+002, 5.7500000E-001, 7.4423213E-001, 8.8398331E+001, 5.7500000E-001, 2.4156985E-001, 4.3314966E+001
 6.0000000E-001, 3.1065086E-002,-1.1423788E-002, 6.0000000E-001, 3.4148616E+000, 3.8501096E+002, 6.0000000E-001, 3.4558718E+000, 3.9035144E+002, 6.0000000E-001, 2.7113417E+000, 2.9758363E+002, 6.0000000E-001, 1.6365079E+000, 1.7778067E+002, 6.0000000E-001, 7.4423213E-001, 9.2000308E+001, 6.0000000E-001, 2.4156985E-001, 4.7041287E+001
 6.2500000E-001, 4.1126458E-002,-1.5679524E-002, 6.2500000E-001, 3.3704608E+000, 3.8501096E+002, 6.2500000E-001, 3.4065287E+000, 3.9035144E+002, 6.2500000E-001, 2.7412292E+000, 2.9758363E+002, 6.2500000E-001, 1.7249735E+000, 1.7778067E+002, 6.2500000E-001, 8.4342020E-001, 9.2000308E+001, 6.2500000E-001, 3.0063276E-001, 4.7041287E+001
 6.5000000E-001, 2.3375992E-002,-9.3783405E-003, 6.5000000E-001, 3.3704608E+000, 3.4784012E+002, 6.5000000E-001, 3.4065287E+000, 3.5263279E+002, 6.5000000E-001, 2.7412292E+000, 2.7704858E+002, 6.5000000E-001, 1.7249735E+000, 1.7337261E+002, 6.5000000E-001, 8.4342020E-001, 9.5439695E+001, 6.5000000E-001, 3.0063276E-001, 5.0624550E+001
 6.7500000E-001, 3.0995141E-002,-1.2974861E-002, 6.7500000E-001, 3.3145708E+000, 3.4784012E+002, 6.7500000E-001, 3.3442545E+000, 3.5263279E+002, 6.7500000E-001, 2.7517331E+000, 2.7704858E+002, 6.7500000E-001, 1.7981774E+000, 1.7337261E+002, 6.7500000E-001, 9.4752139E-001, 9.5439695E+001, 6.7500000E-001, 3.6949487E-001, 5.0624550E+001
 7.0000000E-001, 1.7680521E-002,-7.8522563E-003, 7.0000000E-001, 3.3145708E+000, 3.1569201E+002, 7.0000000E-001, 3.3442545E+000, 3.1993878E+002, 7.0000000E-001, 2.7517331E+000, 2.5777687E+002, 7.0000000E-001, 1.7981774E+000, 1.6827722E+002, 7.0000000E-001, 9.4752139E-001, 9.7397906E+001, 7.0000000E-001, 3.6949487E-001, 5.3600456E+001
 7.2500000E-001, 2.3495142E-002,-1.0958137E-002, 7.2500000E-001, 3.2676016E+000, 3.1569201E+002, 7.2500000E-001, 3.2907445E+000, 3.1993878E+002, 7.2500000E-001, 2.7640855E+000, 2.5777687E+002, 7.2500000E-001, 1.8640967E+000, 1.6827722E+002, 7.2500000E-001, 1.0404165E+000, 9.7397906E+001, 7.2500000E-001, 4.3697283E-001, 5.3600456E+001
 7.5000000E-001, 1.3433770E-002,-6.7024008E-003, 7.5000000E-001, 3.2676016E+000, 2.8804141E+002, 7.5000000E-001, 3.2907445E+000, 2.9206945E+002, 7.5000000E-001, 2.7640855E+000, 2.4059202E+002, 7.5000000E-001, 1.8640967E+000, 1.6343483E+002, 7.5000000E-001, 1.0404165E+000, 9.9145471E+001, 7.5000000E-001, 4.3697283E-001, 5.6625808E+001
 7.7500000E-001, 1.7867540E-002,-9.4285735E-003, 7.7500000E-001, 3.2140897E+000, 2.8804141E+002, 7.7500000E-001, 3.2301812E+000, 2.9206945E+002, 7.7500000E-001, 2.7627034E+000, 2.4059202E+002, 7.7500000E-001, 1.9186296E+000, 1.6343483E+002, 7.7500000E-001, 1.1256326E+000, 9.9145471E+001, 7.7500000E-001, 5.0855838E-001, 5.6625808E+001
 8.0000000E-001, 1.0248391E-002,-5.8320534E-003, 8.0000000E-001, 3.2140897E+000, 2.6418222E+002, 8.0000000E-001, 3.2301812E+000, 2.6821938E+002, 8.0000000E-001, 2.7627034E+000, 2.2507831E+002, 8.0000000E-001, 1.9186296E+000, 1.5816791E+002, 8.0000000E-001, 1.1256326E+000, 9.9315830E+001, 8.0000000E-001, 5.0855838E-001, 5.8773917E+001
 8.2500000E-001, 1.3642846E-002,-8.2700366E-003, 8.2500000E-001, 3.1652274E+000, 2.6418222E+002, 8.2500000E-001, 3.1893756E+000, 2.6821938E+002, 8.2500000E-001, 2.7659547E+000, 2.2507831E+002, 8.2500000E-001, 1.9672431E+000, 1.5816791E+002, 8.2500000E-001, 1.1985781E+000, 9.9315830E+001, 8.2500000E-001, 5.7366364E-001, 5.8773917E+001
 8.5000000E-001, 7.8282254E-003,-5.1641559E-003, 8.5000000E-001, 3.1652274E+000, 2.4343076E+002, 8.5000000E-001, 3.1893756E+000, 2.4770028E+002, 8.5000000E-001, 2.7659547E+000, 2.1143235E+002, 8.5000000E-001, 1.9672431E+000, 1.5294846E+002, 8.5000000E-001, 1.1985781E+000, 9.9150821E+001, 8.5000000E-001, 5.7366364E-001, 6.0580908E+001
 8.7500000E-001, 1.0421023E-002,-7.3759943E-003, 8.7500000E-001, 3.1117845E+000, 2.4343076E+002, 8.7500000E-001, 3.1431160E+000, 2.4770028E+002, 8.7500000E-001, 2.7571536E+000, 2.1143235E+002, 8.7500000E-001, 2.0067212E+000, 1.5294846E+002, 8.7500000E-001, 1.2655425E+000, 9.9150821E+001, 8.7500000E-001, 6.4061598E-001, 6.0580908E+001
 9.0000000E-001, 5.9872533E-003,-4.6498217E-003, 9.0000000E-001, 3.1117845E+000, 2.2541714E+002, 9.0000000E-001, 3.1431160E+000, 2.3018580E+002, 9.0000000E-001, 2.7571536E+000, 1.9897817E+002, 9.0000000E-001, 2.0067212E+000, 1.4756520E+002, 9.0000000E-001, 1.2655425E+000, 9.8271558E+001, 9.0000000E-001, 6.4061598E-001, 6.2027410E+001
 9.2500000E-001, 7.9712401E-003,-6.6878030E-003, 9.2500000E-001, 3.0704445E+000, 2.2541714E+002, 9.2500000E-001, 3.1131530E+000, 2.3018580E+002, 9.2500000E-001, 2.7482238E+000, 1.9897817E+002, 9.2500000E-001, 2.0487688E+000, 1.4756520E+002, 9.2500000E-001, 1.3239001E+000, 9.8271558E+001, 9.2500000E-001, 7.0613374E-001, 6.2027410E+001
 9.5000000E-001, 4.5767846E-003,-4.2498197E-003, 9.5000000E-001, 3.0704445E+000, 2.0963696E+002, 9.5000000E-001, 3.1131530E+000, 2.1447158E+002, 9.5000000E-001, 2.7482238E+000, 1.8778185E+002, 9.5000000E-001, 2.0487688E+000, 1.4280527E+002, 9.5000000E-001, 1.3239001E+000, 9.7459364E+001, 9.5000000E-001, 7.0613374E-001, 6.3259574E+001
 9.7500000E-001, 6.0841793E-003,-6.1488772E-003, 9.7500000E-001, 3.0225201E+000, 2.0963696E+002, 9.7500000E-001, 3.0775039E+000, 2.1447158E+002, 9.7500000E-001, 2.7288932E+000, 1.8778185E+002, 9.7500000E-001, 2.0823115E+000, 1.4280527E+002, 9.7500000E-001, 1.3724064E+000, 9.7459364E+001, 9.7500000E-001, 7.7849080E-001, 6.3259574E+001
 1.0000000E+000, 3.4913815E-003,-3.9370387E-003, 1.0000000E+000, 3.0225201E+000, 1.9605111E+002, 1.0000000E+000, 3.0775039E+000, 2.0080745E+002, 1.0000000E+000, 2.7288932E+000, 1.7772420E+002, 1.0000000E+000, 2.0823115E+000, 1.3804312E+002, 1.0000000E+000, 1.3724064E+000, 9.6359914E+001, 1.0000000E+000, 7.7849080E-001, 6.3906703E+001
 1.0250000E+000, 4.6371913E-003,-5.7291692E-003, 1.0250000E+000, 2.9833801E+000, 1.9605111E+002, 1.0250000E+000, 3.0440479E+000, 2.0080745E+002, 1.0250000E+000, 2.7190537E+000, 1.7772420E+002, 1.0250000E+000, 2.1191479E+000, 1.3804312E+002, 1.0250000E+000, 1.4266718E+000, 9.6359914E+001, 1.0250000E+000, 8.4212791E-001, 6.3906703E+001
 1.0500000E+000, 2.6532045E-003,-3.6911879E-003, 1.0500000E+000, 2.9833801E+000, 1.8384785E+002, 1.0500000E+000, 3.0440479E+000, 1.8847878E+002, 1.0500000E+000, 2.7190537E+000, 1.6854279E+002, 1.0500000E+000, 2.1191479E+000, 1.3343982E+002, 1.0500000E+000, 1.4266718E+000, 9.5421509E+001, 1.0500000E+000, 8.4212791E-001, 6.4641143E+001
 1.0750000E+000, 3.5157193E-003,-5.3940515E-003, 1.0750000E+000, 2.9328841E+000, 1.8384785E+002, 1.0750000E+000, 2.9994942E+000, 1.8847878E+002, 1.0750000E+000, 2.7000729E+000, 1.6854279E+002, 1.0750000E+000, 2.1354253E+000, 1.3343982E+002, 1.0750000E+000, 1.4716950E+000, 9.5421509E+001, 1.0750000E+000, 8.9483234E-001, 6.4641143E+001
 1.1000000E+000, 2.0083245E-003,-3.4949941E-003, 1.1000000E+000, 2.9328841E+000, 1.7303416E+002, 1.1000000E+000, 2.9994942E+000, 1.7754900E+002, 1.1000000E+000, 2.7000729E+000, 1.5998666E+002, 1.1000000E+000, 2.1354253E+000, 1.2858143E+002, 1.1000000E+000, 1.4716950E+000, 9.3869327E+001, 1.1000000E+000, 8.9483234E-001, 6.4730098E+001
 1.1250000E+000, 2.6574800E-003,-5.1310203E-003, 1.1250000E+000, 2.8940876E+000, 1.7303416E+002, 1.1250000E+000, 2.9682506E+000, 1.7754900E+002, 1.1250000E+000, 2.6876078E+000, 1.5998666E+002, 1.1250000E+000, 2.1560294E+000, 1.2858143E+002, 1.1250000E+000, 1.5218624E+000, 9.3869327E+001, 1.1250000E+000, 9.4647490E-001, 6.4730098E+001
 1.1500000E+000, 1.5116702E-003,-3.3388899E-003, 1.1500000E+000, 2.8940876E+000, 1.6367902E+002, 1.1500000E+000, 2.9682506E+000, 1.6788358E+002, 1.1500000E+000, 2.6876078E+000, 1.5228041E+002, 1.1500000E+000, 2.1560294E+000, 1.2436942E+002, 1.1500000E+000, 1.5218624E+000, 9.3039465E+001, 1.1500000E+000, 9.4647490E-001, 6.5543500E+001
 1.1750000E+000, 1.9898038E-003,-4.9129793E-003, 1.1750000E+000, 2.8463178E+000, 1.6367902E+002, 1.1750000E+000, 2.9278947E+000, 1.6788358E+002, 1.1750000E+000, 2.6590898E+000, 1.5228041E+002, 1.1750000E+000, 2.1578944E+000, 1.2436942E+002, 1.1750000E+000, 1.5652116E+000, 9.3039465E+001, 1.1750000E+000, 9.9789294E-001, 6.5543500E+001
 1.2000000E+000, 1.1272891E-003,-3.2101157E-003, 1.2000000E+000, 2.8463178E+000, 1.5509893E+002, 1.2000000E+000, 2.9278947E+000, 1.5888048E+002, 1.2000000E+000, 2.6590898E+000, 1.4474919E+002, 1.2000000E+000, 2.1578944E+000, 1.1985167E+002, 1.2000000E+000, 1.5652116E+000, 9.1338327E+001, 1.2000000E+000, 9.9789294E-001, 6.5322245E+001
 1.2250000E+000, 1.4797394E-003,-4.7443136E-003, 1.2250000E+000, 2.8205665E+000, 1.5509893E+002, 1.2250000E+000, 2.9044224E+000, 1.5888048E+002, 1.2250000E+000, 2.6441536E+000, 1.4474919E+002, 1.2250000E+000, 2.1727282E+000, 1.1985167E+002, 1.2250000E+000, 1.6067073E+000, 9.1338327E+001, 1.2250000E+000, 1.0414602E+000, 6.5322245E+001
 1.2500000E+000, 8.3058400E-004,-3.1082873E-003, 1.2500000E+000, 2.8205665E+000, 1.4776292E+002, 1.2500000E+000, 2.9044224E+000, 1.5126769E+002, 1.2500000E+000, 2.6441536E+000, 1.3836192E+002, 1.2500000E+000, 2.1727282E+000, 1.1631214E+002, 1.2500000E+000, 1.6067073E+000, 9.0585931E+001, 1.2500000E+000, 1.0414602E+000, 6.6230616E+001
 1.2750000E+000, 1.0812244E-003,-4.6011641E-003, 1.2750000E+000, 2.7722072E+000, 1.4776292E+002, 1.2750000E+000, 2.8533094E+000, 1.5126769E+002, 1.2750000E+000, 2.6057828E+000, 1.3836192E+002, 1.2750000E+000, 2.1696063E+000, 1.1631214E+002, 1.2750000E+000, 1.6368303E+000, 9.0585931E+001, 1.2750000E+000, 1.0954650E+000, 6.6230616E+001
 1.3000000E+000, 6.0309077E-004,-3.0270747E-003, 1.3000000E+000, 2.7722072E+000, 1.4038251E+002, 1.3000000E+000, 2.8533094E+000, 1.4361607E+002, 1.3000000E+000, 2.6057828E+000, 1.3205816E+002, 1.3000000E+000, 2.1696063E+000, 1.1241094E+002, 1.3000000E+000, 1.6368303E+000, 8.8879648E+001, 1.3000000E+000, 1.0954650E+000, 6.6200264E+001
 1.3250000E+000, 7.8306916E-004,-4.5038561E-003, 1.3250000E+000, 2.7421865E+000, 1.4038251E+002, 1.3250000E+000, 2.8310140E+000, 1.4361607E+002, 1.3250000E+000, 2.5871996E+000, 1.3205816E+002, 1.3250000E+000, 2.1817154E+000, 1.1241094E+002, 1.3250000E+000, 1.6692940E+000, 8.8879648E+001, 1.3250000E+000, 1.1336004E+000, 6.6200264E+001
 1.3500000E+000, 4.3061878E-004,-2.9696582E-003, 1.3500000E+000, 2.7421865E+000, 1.3482706E+002, 1.3500000E+000, 2.8310140E+000, 1.3768575E+002, 1.3500000E+000, 2.5871996E+000, 1.2734821E+002, 1.3500000E+000, 2.1817154E+000, 1.0966928E+002, 1.3500000E+000, 1.6692940E+000, 8.7770994E+001, 1.3500000E+000, 1.1336004E+000, 6.6691720E+001
 1.3750000E+000, 5.5309973E-004,-4.4333491E-003, 1.3750000E+000, 2.6852994E+000, 1.3482706E+002, 1.3750000E+000, 2.7640546E+000, 1.3768575E+002, 1.3750000E+000, 2.5487662E+000, 1.2734821E+002, 1.3750000E+000, 2.1757310E+000, 1.0966928E+002, 1.3750000E+000, 1.6901625E+000, 8.7770994E+001, 1.3750000E+000, 1.1761101E+000, 6.6691720E+001
