m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 3.0300000E-002, 7.7658535E+002, 8.4667659E-001, 6.5662775E-001, 3.3516523E-002
 9.0968750E-002, 7.7370984E+002, 1.9449524E+000, 1.6599105E+000, 1.1780423E+000
 1.5163750E-001, 7.6451681E+002, 2.7497120E+000, 2.4702766E+000, 2.1054980E+000
 2.1230625E-001, 7.6241593E+002, 3.3398893E+000, 3.0929689E+000, 2.8055073E+000
 2.7297500E-001, 7.6517450E+002, 3.8009934E+000, 3.5871456E+000, 3.3488050E+000
 3.3364375E-001, 7.6970358E+002, 4.1844396E+000, 3.9984781E+000, 3.7894153E+000
 3.9431250E-001, 7.6852910E+002, 4.5047187E+000, 4.3425751E+000, 4.1671199E+000
 4.5498125E-001, 7.4791057E+002, 4.7481793E+000, 4.6102393E+000, 4.4732268E+000
 5.1565000E-001, 7.0953776E+002, 4.9142072E+000, 4.7978671E+000, 4.6973778E+000
 5.7631875E-001, 6.6012864E+002, 5.0223504E+000, 4.9201309E+000, 4.8429207E+000
 6.3698750E-001, 6.0533996E+002, 5.0902909E+000, 4.9925926E+000, 4.9359700E+000
 6.9765625E-001, 5.5139522E+002, 5.1316910E+000, 5.0256592E+000, 4.9817618E+000
 7.5832500E-001, 4.9968563E+002, 5.1474926E+000, 5.0267143E+000, 4.9963802E+000
 8.1899375E-001, 4.5326744E+002, 5.1429612E+000, 5.0047115E+000, 4.9784253E+000
 8.7966250E-001, 4.1074917E+002, 5.1142925E+000, 4.9624700E+000, 4.9449553E+000
 9.4033125E-001, 3.7364590E+002, 5.0607857E+000, 4.9021977E+000, 4.8856839E+000
 1.0010000E+000, 3.4008319E+002, 4.9873919E+000, 4.8302968E+000, 4.8174769E+000
 1.0616687E+000, 3.1141345E+002, 4.8986552E+000, 4.7502550E+000, 4.7364267E+000
 1.1223375E+000, 2.8492173E+002, 4.7979113E+000, 4.6635378E+000, 4.6517053E+000
 1.1830063E+000, 2.6269396E+002, 4.6894896E+000, 4.5709428E+000, 4.5560545E+000
 1.2436750E+000, 2.4225804E+002, 4.5770232E+000, 4.4756525E+000, 4.4595292E+000
 1.3043437E+000, 2.2499204E+002, 4.4676297E+000, 4.3820513E+000, 4.3571801E+000
 1.3650125E+000, 2.0915957E+002, 4.3595122E+000, 4.2896696E+000, 4.2649570E+000
 1.4256813E+000, 1.9563474E+002, 4.2592696E+000, 4.2015199E+000, 4.1687297E+000
 1.4863500E+000, 1.8327331E+002, 4.1648430E+000, 4.1171566E+000, 4.0845115E+000
 1.5470188E+000, 1.7265993E+002, 4.0813374E+000, 4.0393642E+000, 3.9981356E+000
 1.6076875E+000, 1.6314306E+002, 4.0017875E+000, 3.9652332E+000, 3.9242630E+000
 1.6683562E+000, 1.5486851E+002, 3.9323851E+000, 3.8992929E+000, 3.8475251E+000
 1.7290250E+000, 1.4738807E+002, 3.8708330E+000, 3.8400560E+000, 3.7879818E+000
 1.7896938E+000, 1.4065018E+002, 3.8122582E+000, 3.7845210E+000, 3.7220880E+000
 1.8503625E+000, 1.3435329E+002, 3.7605884E+000, 3.7358962E+000, 3.6729529E+000
 1.9110313E+000, 1.2841432E+002, 3.7142988E+000, 3.6936660E+000, 3.6216650E+000
 1.9717000E+000, 1.2299008E+002, 3.6721838E+000, 3.6532138E+000, 3.5879610E+000
 2.0323687E+000, 1.1784227E+002, 3.6371565E+000, 3.6185933E+000, 3.5446293E+000
 2.0930375E+000, 1.1303567E+002, 3.6041979E+000, 3.5851839E+000, 3.5230478E+000
 2.1537062E+000, 1.0846784E+002, 3.5707229E+000, 3.5511458E+000, 3.4843601E+000
 2.2143750E+000, 1.0412505E+002, 3.5388310E+000, 3.5186494E+000, 3.4585157E+000
 2.2750438E+000, 1.0013263E+002, 3.4997988E+000, 3.4802264E+000, 3.4151608E+000
 2.3357125E+000, 9.6289576E+001, 3.4611944E+000, 3.4392806E+000, 3.3818110E+000
 2.3963812E+000, 9.2820886E+001, 3.4137693E+000, 3.3920542E+000, 3.3281750E+000
 2.4570500E+000, 8.9460000E+001, 3.3650752E+000, 3.3427565E+000, 3.2838549E+000
 2.5177187E+000, 8.6448757E+001, 3.3192065E+000, 3.2971250E+000, 3.2269122E+000
 2.5783875E+000, 8.3705312E+001, 3.2839633E+000, 3.2591962E+000, 3.1948692E+000
 2.6390562E+000, 8.1082084E+001, 3.2616649E+000, 3.2327609E+000, 3.1506105E+000
 2.6997250E+000, 7.8704579E+001, 3.2235004E+000, 3.1912912E+000, 3.1356355E+000
 2.7603937E+000, 7.6148622E+001, 3.1957012E+000, 3.1602108E+000, 3.0746020E+000
 2.8210625E+000, 7.4027475E+001, 3.1370297E+000, 3.1046137E+000, 3.0586616E+000
 2.8817313E+000, 7.1602151E+001, 3.1195461E+000, 3.0776850E+000, 2.9813997E+000
 2.9424000E+000, 6.9289868E+001, 2.9926774E+000, 2.9734713E+000, 2.9557038E+000
