m,kW,kW,m/s,C
hrrpul-z,hrrpul,qradpul,velocity,temperature
 1.2500000E-002, 1.1287879E-001,-1.6955726E-002,-1.3764163E-001, 3.4605793E+002
 2.5162338E-002, 6.2722665E-002,-1.3203221E-002, 2.1381639E-002, 3.9656568E+002
 3.7824675E-002, 4.1236555E-002,-8.4937262E-003, 3.1681686E-001, 4.2789961E+002
 5.0487013E-002, 3.1155574E-002,-6.3066120E-003, 5.9482320E-001, 4.5480619E+002
 6.3149351E-002, 2.4946738E-002,-5.1763364E-003, 8.6022031E-001, 4.8191526E+002
 7.5811688E-002, 2.1142304E-002,-4.4719805E-003, 1.1175526E+000, 5.1050313E+002
 8.8474026E-002, 1.8987356E-002,-3.9687710E-003, 1.3627873E+000, 5.4035023E+002
 1.0113636E-001, 1.7869463E-002,-3.5960074E-003, 1.5909459E+000, 5.7097896E+002
 1.1379870E-001, 1.7386286E-002,-3.3256360E-003, 1.8017805E+000, 6.0295865E+002
 1.2646104E-001, 1.7301988E-002,-3.1346556E-003, 1.9974597E+000, 6.3665460E+002
 1.3912338E-001, 1.7519608E-002,-3.0095903E-003, 2.1809452E+000, 6.7031841E+002
 1.5178571E-001, 1.7862104E-002,-2.9366702E-003, 2.3536975E+000, 7.0206873E+002
 1.6444805E-001, 1.8221861E-002,-2.9075677E-003, 2.5170666E+000, 7.3179680E+002
 1.7711039E-001, 1.8561501E-002,-2.9163525E-003, 2.6713034E+000, 7.5897652E+002
 1.8977273E-001, 1.8853617E-002,-2.9542248E-003, 2.8164114E+000, 7.8323951E+002
 2.0243506E-001, 1.9068138E-002,-3.0113930E-003, 2.9522181E+000, 8.0484751E+002
 2.1509740E-001, 1.9231648E-002,-3.0813872E-003, 3.0783826E+000, 8.2466666E+002
 2.2775974E-001, 1.9286219E-002,-3.1539259E-003, 3.1957655E+000, 8.4172178E+002
 2.4042208E-001, 1.9243198E-002,-3.2237256E-003, 3.3048513E+000, 8.5662632E+002
 2.5308442E-001, 1.9153004E-002,-3.2907265E-003, 3.4067979E+000, 8.7005888E+002
 2.6574675E-001, 1.9042407E-002,-3.3548906E-003, 3.5468913E+000, 8.8238123E+002
 2.7840909E-001, 1.8916078E-002,-3.4158197E-003, 3.6324291E+000, 8.9350664E+002
 2.9107143E-001, 1.8815862E-002,-3.4748527E-003, 3.7107482E+000, 9.0220353E+002
 3.0373377E-001, 1.8684811E-002,-3.5258384E-003, 3.7837721E+000, 9.0876729E+002
 3.1639610E-001, 1.8521884E-002,-3.5674237E-003, 3.8531734E+000, 9.1448803E+002
 3.2905844E-001, 1.8358106E-002,-3.6024132E-003, 3.9174645E+000, 9.1878136E+002
 3.4172078E-001, 1.8203927E-002,-3.6319943E-003, 3.9770657E+000, 9.2184961E+002
 3.5438312E-001, 1.8053387E-002,-3.6568146E-003, 4.0321464E+000, 9.2337080E+002
 3.6704545E-001, 1.7933847E-002,-3.6788529E-003, 4.0830101E+000, 9.2379625E+002
 3.7970779E-001, 1.7786868E-002,-3.6907720E-003, 4.1301210E+000, 9.2319922E+002
 3.9237013E-001, 1.7611630E-002,-3.6917871E-003, 4.1718201E+000, 9.2159225E+002
 4.0503247E-001, 1.7443111E-002,-3.6874249E-003, 4.2076366E+000, 9.1709561E+002
 4.1769481E-001, 1.7285665E-002,-3.6809125E-003, 4.2387171E+000, 9.1075428E+002
 4.3035714E-001, 1.7125016E-002,-3.6711960E-003, 4.2668849E+000, 9.0402621E+002
 4.4301948E-001, 1.6982630E-002,-3.6595175E-003, 4.2944072E+000, 8.9708551E+002
 4.5568182E-001, 1.6802076E-002,-3.6386679E-003, 4.3179310E+000, 8.8937798E+002
 4.6834416E-001, 1.6584044E-002,-3.6082490E-003, 4.3376372E+000, 8.8146192E+002
 4.8100649E-001, 1.6357105E-002,-3.5722046E-003, 4.3548525E+000, 8.7282953E+002
 4.9366883E-001, 1.6123063E-002,-3.5339200E-003, 4.3697268E+000, 8.6301881E+002
 5.0633117E-001, 1.5759912E-002,-3.4718871E-003, 4.3821368E+000, 8.4750638E+002
 5.1899351E-001, 1.5497756E-002,-3.4275956E-003, 4.3955771E+000, 8.3755227E+002
 5.3165584E-001, 1.5214930E-002,-3.3766422E-003, 4.4100537E+000, 8.2764631E+002
 5.4431818E-001, 1.4892249E-002,-3.3165503E-003, 4.4240044E+000, 8.1799838E+002
 5.5698052E-001, 1.4582456E-002,-3.2544318E-003, 4.4349429E+000, 8.0831595E+002
 5.6964286E-001, 1.4274154E-002,-3.1923447E-003, 4.4419104E+000, 7.9833859E+002
 5.8230519E-001, 1.3983286E-002,-3.1320686E-003, 4.4473810E+000, 7.8813885E+002
 5.9496753E-001, 1.3682053E-002,-3.0718568E-003, 4.4516932E+000, 7.7776678E+002
 6.0762987E-001, 1.3360840E-002,-3.0064599E-003, 4.4554679E+000, 7.6672079E+002
 6.2029221E-001, 1.3002787E-002,-2.9350986E-003, 4.4591742E+000, 7.5540259E+002
 6.3295455E-001, 1.2657523E-002,-2.8647913E-003, 4.4616854E+000, 7.4338663E+002
 6.4561688E-001, 1.2309181E-002,-2.7961942E-003, 4.4624118E+000, 7.3125555E+002
 6.5827922E-001, 1.1963743E-002,-2.7288012E-003, 4.4634364E+000, 7.1922911E+002
