m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 6.8460000E-003, 5.4929018E+002,-2.3234466E-001, 2.2017901E-001,-1.1573937E-001
 1.3648401E-002, 5.5210109E+002,-1.7041059E-001, 2.5791917E-001,-1.6430839E-001
 2.0450802E-002, 5.5280498E+002, 6.5799298E-002, 2.2184871E-001,-3.7621709E-002
 2.7253203E-002, 5.5718302E+002, 3.0628396E-001, 2.7936217E-001, 1.1600574E-001
 3.4055604E-002, 5.6169603E+002, 4.8458912E-001, 3.9134941E-001, 2.7009801E-001
 4.0858005E-002, 5.6547521E+002, 6.3352554E-001, 5.2053439E-001, 4.1781096E-001
 4.7660405E-002, 5.6994062E+002, 7.7989939E-001, 6.5740273E-001, 5.6181235E-001
 5.4462806E-002, 5.7664831E+002, 9.3049209E-001, 8.0077080E-001, 7.0775585E-001
 6.1265207E-002, 5.8471609E+002, 1.0837300E+000, 9.4830707E-001, 8.5729834E-001
 6.8067608E-002, 5.9298346E+002, 1.2358692E+000, 1.0969023E+000, 1.0087167E+000
 7.4870009E-002, 6.0155676E+002, 1.3841361E+000, 1.2435590E+000, 1.1588712E+000
 8.1672410E-002, 6.0967036E+002, 1.5256214E+000, 1.3852832E+000, 1.3049370E+000
 8.8474811E-002, 6.1736892E+002, 1.6590664E+000, 1.5201281E+000, 1.4442814E+000
 9.5277212E-002, 6.2470239E+002, 1.7839807E+000, 1.6470747E+000, 1.5757693E+000
 1.0207961E-001, 6.3198914E+002, 1.9009540E+000, 1.7661065E+000, 1.6987426E+000
 1.0888201E-001, 6.3918540E+002, 2.0105222E+000, 1.8776047E+000, 1.8138302E+000
 1.1568441E-001, 6.4616116E+002, 2.1134278E+000, 1.9822434E+000, 1.9213503E+000
 1.2248682E-001, 6.5280208E+002, 2.2105812E+000, 2.0808798E+000, 2.0224130E+000
 1.2928922E-001, 6.5916263E+002, 2.3029672E+000, 2.1744098E+000, 2.1177004E+000
 1.3609162E-001, 6.6512726E+002, 2.3911950E+000, 2.2635066E+000, 2.2082637E+000
 1.4289402E-001, 6.7029680E+002, 2.4753260E+000, 2.3486231E+000, 2.2944224E+000
 1.4969642E-001, 6.7465671E+002, 2.5558697E+000, 2.4300802E+000, 2.3768221E+000
 1.5649882E-001, 6.7863277E+002, 2.6337716E+000, 2.5082736E+000, 2.4554341E+000
 1.6330122E-001, 6.8195864E+002, 2.7092605E+000, 2.5836719E+000, 2.5311913E+000
 1.7010362E-001, 6.8448116E+002, 2.7823114E+000, 2.6563481E+000, 2.6041168E+000
 1.7690602E-001, 6.8654202E+002, 2.8530291E+000, 2.7261361E+000, 2.6741431E+000
 1.8370842E-001, 6.8827244E+002, 2.9214933E+000, 2.7930214E+000, 2.7409766E+000
 1.9051082E-001, 6.8964013E+002, 2.9875746E+000, 2.8570048E+000, 2.8048412E+000
 1.9731323E-001, 6.9089665E+002, 3.0513617E+000, 2.9180519E+000, 2.8655675E+000
 2.0411563E-001, 6.9224046E+002, 3.1128259E+000, 2.9761638E+000, 2.9234548E+000
 2.1091803E-001, 6.9377820E+002, 3.1720842E+000, 3.0315422E+000, 2.9783707E+000
 2.1772043E-001, 6.9558053E+002, 3.2292666E+000, 3.0845536E+000, 3.0308434E+000
 2.2452283E-001, 6.9766777E+002, 3.2853988E+000, 3.1359394E+000, 3.0812542E+000
 2.3132523E-001, 7.0004234E+002, 3.3403059E+000, 3.1854751E+000, 3.1305102E+000
 2.3812763E-001, 7.0268579E+002, 3.3939148E+000, 3.2329508E+000, 3.1776587E+000
 2.4493003E-001, 7.0552543E+002, 3.4458095E+000, 3.2781190E+000, 3.2228185E+000
 2.5173243E-001, 7.0852978E+002, 3.4965967E+000, 3.3214681E+000, 3.2654395E+000
 2.5853483E-001, 7.1152557E+002, 3.5460493E+000, 3.3629593E+000, 3.3067168E+000
 2.6533723E-001, 7.1429341E+002, 3.5933802E+000, 3.4026084E+000, 3.3457488E+000
 2.7213964E-001, 7.1658423E+002, 3.6383927E+000, 3.4404459E+000, 3.3834377E+000
 2.7894204E-001, 7.1838119E+002, 3.6805241E+000, 3.4760496E+000, 3.4187400E+000
 2.8574444E-001, 7.1976456E+002, 3.7209739E+000, 3.5101114E+000, 3.4521802E+000
 2.9254684E-001, 7.2092707E+002, 3.7601402E+000, 3.5427995E+000, 3.4843252E+000
 2.9934924E-001, 7.2174614E+002, 3.7976888E+000, 3.5737271E+000, 3.5153981E+000
 3.0615164E-001, 7.2196706E+002, 3.8323021E+000, 3.6019277E+000, 3.5444317E+000
 3.1295404E-001, 7.2192169E+002, 3.8644152E+000, 3.6281484E+000, 3.5699683E+000
 3.1975644E-001, 7.2125578E+002, 3.8939054E+000, 3.6530663E+000, 3.5944393E+000
 3.2655884E-001, 7.2016267E+002, 3.9231461E+000, 3.6760677E+000, 3.6161879E+000
 3.3336124E-001, 7.1865965E+002, 3.9526640E+000, 3.6977728E+000, 3.6379410E+000
 3.4016364E-001, 7.1697276E+002, 3.9804917E+000, 3.7178486E+000, 3.6570813E+000
 3.4696605E-001, 7.1490667E+002, 4.0065783E+000, 3.7358004E+000, 3.6751321E+000
 3.5376845E-001, 7.1280418E+002, 4.0295826E+000, 3.7517257E+000, 3.6896792E+000
 3.6057085E-001, 7.1061181E+002, 4.0529583E+000, 3.7681040E+000, 3.7030422E+000
 3.6737325E-001, 7.0840084E+002, 4.0786243E+000, 3.7838146E+000, 3.7180120E+000
 3.7417565E-001, 7.0598879E+002, 4.1042866E+000, 3.7997936E+000, 3.7323885E+000
 3.8097805E-001, 7.0344682E+002, 4.1295467E+000, 3.8149236E+000, 3.7472381E+000
 3.8778045E-001, 7.0051685E+002, 4.1534177E+000, 3.8290500E+000, 3.7607868E+000
 3.9458285E-001, 6.9749570E+002, 4.1757518E+000, 3.8420000E+000, 3.7735613E+000
