m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 6.8460000E-003, 6.2285973E+002,-1.2821738E-001, 1.1150999E-001,-8.8980802E-002
 1.3648401E-002, 6.2464759E+002,-6.2722331E-002, 9.6945326E-002,-1.0648697E-001
 2.0450802E-002, 6.3368141E+002, 1.1728542E-001, 1.1842469E-001, 1.8514836E-002
 2.7253203E-002, 6.4379269E+002, 3.0159256E-001, 2.4612240E-001, 1.6167394E-001
 3.4055604E-002, 6.5208972E+002, 4.8859140E-001, 4.0095213E-001, 3.1625184E-001
 4.0858005E-002, 6.5907927E+002, 6.7859078E-001, 5.6467270E-001, 4.7827013E-001
 4.7660405E-002, 6.6657341E+002, 8.6875914E-001, 7.3311484E-001, 6.4538225E-001
 5.4462806E-002, 6.7416092E+002, 1.0556397E+000, 9.0280320E-001, 8.1589817E-001
 6.1265207E-002, 6.8149022E+002, 1.2356620E+000, 1.0698977E+000, 9.8522407E-001
 6.8067608E-002, 6.8868576E+002, 1.4064234E+000, 1.2313066E+000, 1.1503680E+000
 7.4870009E-002, 6.9583560E+002, 1.5666360E+000, 1.3849261E+000, 1.3080561E+000
 8.1672410E-002, 7.0271140E+002, 1.7159929E+000, 1.5298874E+000, 1.4574231E+000
 8.8474811E-002, 7.0913893E+002, 1.8545096E+000, 1.6657763E+000, 1.5976129E+000
 9.5277212E-002, 7.1503233E+002, 1.9827415E+000, 1.7926533E+000, 1.7286335E+000
 1.0207961E-001, 7.2051721E+002, 2.1018186E+000, 1.9111776E+000, 1.8505530E+000
 1.0888201E-001, 7.2559526E+002, 2.2129099E+000, 2.0222402E+000, 1.9646087E+000
 1.1568441E-001, 7.3012249E+002, 2.3172629E+000, 2.1267925E+000, 2.0714379E+000
 1.2248682E-001, 7.3396140E+002, 2.4155244E+000, 2.2254923E+000, 2.1723856E+000
 1.2928922E-001, 7.3711774E+002, 2.5079080E+000, 2.3184943E+000, 2.2674307E+000
 1.3609162E-001, 7.3972473E+002, 2.5948866E+000, 2.4060773E+000, 2.3569226E+000
 1.4289402E-001, 7.4186567E+002, 2.6769632E+000, 2.4886005E+000, 2.4409587E+000
 1.4969642E-001, 7.4359047E+002, 2.7542915E+000, 2.5662338E+000, 2.5200537E+000
 1.5649882E-001, 7.4488296E+002, 2.8270604E+000, 2.6390699E+000, 2.5940737E+000
 1.6330122E-001, 7.4569977E+002, 2.8956792E+000, 2.7073505E+000, 2.6634132E+000
 1.7010362E-001, 7.4608507E+002, 2.9604055E+000, 2.7713012E+000, 2.7282138E+000
 1.7690602E-001, 7.4605700E+002, 3.0214884E+000, 2.8311787E+000, 2.7888263E+000
 1.8370842E-001, 7.4543507E+002, 3.0789598E+000, 2.8869963E+000, 2.8453584E+000
 1.9051082E-001, 7.4456897E+002, 3.1328560E+000, 2.9385088E+000, 2.8977854E+000
 1.9731323E-001, 7.4322553E+002, 3.1831447E+000, 2.9858517E+000, 2.9457032E+000
 2.0411563E-001, 7.4136017E+002, 3.2301376E+000, 3.0293740E+000, 2.9897778E+000
 2.1091803E-001, 7.3895860E+002, 3.2741168E+000, 3.0694141E+000, 3.0301714E+000
 2.1772043E-001, 7.3606923E+002, 3.3153166E+000, 3.1062328E+000, 3.0674775E+000
 2.2452283E-001, 7.3273472E+002, 3.3539452E+000, 3.1401077E+000, 3.1014441E+000
 2.3132523E-001, 7.2894675E+002, 3.3903451E+000, 3.1713781E+000, 3.1329052E+000
 2.3812763E-001, 7.2474577E+002, 3.4249955E+000, 3.2001846E+000, 3.1617220E+000
 2.4493003E-001, 7.2012318E+002, 3.4581535E+000, 3.2268854E+000, 3.1884594E+000
 2.5173243E-001, 7.1517732E+002, 3.4904162E+000, 3.2519431E+000, 3.2131433E+000
 2.5853483E-001, 7.0983576E+002, 3.5218603E+000, 3.2756108E+000, 3.2365059E+000
 2.6533723E-001, 7.0419616E+002, 3.5527595E+000, 3.2978922E+000, 3.2583350E+000
 2.7213964E-001, 6.9822357E+002, 3.5818146E+000, 3.3184799E+000, 3.2787906E+000
 2.7894204E-001, 6.9189258E+002, 3.6091478E+000, 3.3372715E+000, 3.2972231E+000
 2.8574444E-001, 6.8515263E+002, 3.6342916E+000, 3.3545436E+000, 3.3140585E+000
 2.9254684E-001, 6.7805646E+002, 3.6581172E+000, 3.3706764E+000, 3.3294460E+000
 2.9934924E-001, 6.7054433E+002, 3.6797893E+000, 3.3855883E+000, 3.3439402E+000
 3.0615164E-001, 6.6222374E+002, 3.6990541E+000, 3.3985754E+000, 3.3570686E+000
