m,kW,kW,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C,m,m/s,C
 2.5000000E-001, 2.3234871E-001,-5.4897212E-002, 2.5000000E-001, 3.4276370E+000, 9.0203297E+002, 2.5000000E-001, 3.2228295E+000, 8.7370025E+002, 2.5000000E-001, 1.6069738E+000, 3.5571445E+002, 2.5000000E-001, 4.4370493E-001, 9.2112886E+001, 2.5000000E-001, 1.2122005E-001, 2.4758306E+001, 2.5000000E-001, 9.8142027E-002, 2.1371706E+001
 2.7500000E-001, 2.2514770E-001,-5.2325177E-002, 2.7500000E-001, 3.6053653E+000, 9.1801102E+002, 2.7500000E-001, 3.3601824E+000, 8.4932663E+002, 2.7500000E-001, 1.7279832E+000, 3.5555380E+002, 2.7500000E-001, 5.1256282E-001, 1.0318814E+002, 2.7500000E-001, 1.2783981E-001, 2.8068776E+001, 2.7500000E-001, 9.9262857E-002, 2.1447125E+001
 3.0000000E-001, 2.1780673E-001,-5.0033964E-002, 3.0000000E-001, 3.7641213E+000, 9.1994238E+002, 3.0000000E-001, 3.4835973E+000, 8.3651446E+002, 3.0000000E-001, 1.8400422E+000, 3.5512588E+002, 3.0000000E-001, 5.8148080E-001, 1.0750415E+002, 3.0000000E-001, 1.3649049E-001, 2.9772054E+001, 3.0000000E-001, 9.9190089E-002, 2.1460297E+001
 3.2500000E-001, 2.0966203E-001,-4.7864961E-002, 3.2500000E-001, 3.9036286E+000, 9.1736722E+002, 3.2500000E-001, 3.5941298E+000, 8.2277216E+002, 3.2500000E-001, 1.9432067E+000, 3.5457710E+002, 3.2500000E-001, 6.4799194E-001, 1.1126616E+002, 3.2500000E-001, 1.5004091E-001, 3.1623596E+001, 3.2500000E-001, 9.9531889E-002, 2.1487142E+001
 3.5000000E-001, 2.0044084E-001,-4.5713031E-002, 3.5000000E-001, 4.0264133E+000, 9.1062549E+002, 3.5000000E-001, 3.6922926E+000, 8.0734102E+002, 3.5000000E-001, 2.0379631E+000, 3.5324436E+002, 3.5000000E-001, 7.1491172E-001, 1.1467032E+002, 3.5000000E-001, 1.6479255E-001, 3.3610452E+001, 3.5000000E-001, 1.0165708E-001, 2.1547400E+001
 3.7500000E-001, 1.9015773E-001,-4.3515016E-002, 3.7500000E-001, 4.1329566E+000, 9.0049144E+002, 3.7500000E-001, 3.7797149E+000, 7.9038181E+002, 3.7500000E-001, 2.1232198E+000, 3.5100438E+002, 3.7500000E-001, 7.7998205E-001, 1.1760068E+002, 3.7500000E-001, 1.7891407E-001, 3.5607329E+001, 3.7500000E-001, 1.0292111E-001, 2.1641273E+001
 4.0000000E-001, 1.7888179E-001,-4.1242631E-002, 4.0000000E-001, 4.2236045E+000, 8.8677917E+002, 4.0000000E-001, 3.8552435E+000, 7.7134431E+002, 4.0000000E-001, 2.2025414E+000, 3.4811730E+002, 4.0000000E-001, 8.4075491E-001, 1.2006232E+002, 4.0000000E-001, 1.9762728E-001, 3.7578325E+001, 4.0000000E-001, 1.0432209E-001, 2.1780006E+001
 4.2500000E-001, 1.6676224E-001,-3.8911402E-002, 4.2500000E-001, 4.3003451E+000, 8.6919784E+002, 4.2500000E-001, 3.9189778E+000, 7.5093130E+002, 4.2500000E-001, 2.2756343E+000, 3.4481356E+002, 4.2500000E-001, 8.9695284E-001, 1.2250625E+002, 4.2500000E-001, 2.1668919E-001, 3.9856295E+001, 4.2500000E-001, 1.0444028E-001, 2.1948600E+001
 4.4975000E-001, 1.5390071E-001,-3.6480359E-002, 4.4975000E-001, 4.3640377E+000, 8.6919784E+002, 4.4975000E-001, 3.9711438E+000, 7.5093130E+002, 4.4975000E-001, 2.3413756E+000, 3.4481356E+002, 4.4975000E-001, 9.5727531E-001, 1.2250625E+002, 4.4975000E-001, 2.3598289E-001, 3.9856295E+001, 4.4975000E-001, 1.0464273E-001, 2.1948600E+001
 4.7500000E-001, 1.4063532E-001,-3.3977232E-002, 4.7500000E-001, 4.4168835E+000, 8.4815327E+002, 4.7500000E-001, 4.0136308E+000, 7.2901716E+002, 4.7500000E-001, 2.3978316E+000, 3.4073307E+002, 4.7500000E-001, 1.0126403E+000, 1.2530820E+002, 4.7500000E-001, 2.5507743E-001, 4.1883020E+001, 4.7500000E-001, 1.0466059E-001, 2.2150759E+001
 5.0000000E-001, 1.6743899E-001,-4.0868324E-002, 5.0000000E-001, 4.4566513E+000, 8.2456909E+002, 5.0000000E-001, 4.0452115E+000, 7.0547530E+002, 5.0000000E-001, 2.4474628E+000, 3.3583803E+002, 5.0000000E-001, 1.0643863E+000, 1.2800791E+002, 5.0000000E-001, 2.8012248E-001, 4.3697039E+001, 5.0000000E-001, 1.0566224E-001, 2.2407516E+001
 5.2500000E-001, 1.5089804E-001,-3.7709481E-002, 5.2500000E-001, 4.4848587E+000, 7.9872659E+002, 5.2500000E-001, 4.0682553E+000, 6.8081552E+002, 5.2500000E-001, 2.4911448E+000, 3.3074406E+002, 5.2500000E-001, 1.1157480E+000, 1.3023250E+002, 5.2500000E-001, 3.0772818E-001, 4.5638892E+001, 5.2500000E-001, 1.1052306E-001, 2.2753291E+001
 5.5000000E-001, 1.3470948E-001,-3.4561250E-002, 5.5000000E-001, 4.5028595E+000, 7.7123966E+002, 5.5000000E-001, 4.0839650E+000, 6.5580270E+002, 5.5000000E-001, 2.5304076E+000, 3.2551079E+002, 5.5000000E-001, 1.1629377E+000, 1.3202963E+002, 5.5000000E-001, 3.3314033E-001, 4.7542494E+001, 5.5000000E-001, 1.1494628E-001, 2.3168308E+001
 5.7500000E-001, 1.1921201E-001,-3.1511817E-002, 5.7500000E-001, 4.5165950E+000, 7.4245957E+002, 5.7500000E-001, 4.0935301E+000, 6.3060976E+002, 5.7500000E-001, 2.5644669E+000, 3.1986019E+002, 5.7500000E-001, 1.2062996E+000, 1.3335454E+002, 5.7500000E-001, 3.6043804E-001, 4.9473044E+001, 5.7500000E-001, 1.1669964E-001, 2.3644989E+001
 6.0000000E-001, 1.0457599E-001,-2.8595860E-002, 6.0000000E-001, 4.5250673E+000, 7.1280846E+002, 6.0000000E-001, 4.0991129E+000, 6.0558515E+002, 6.0000000E-001, 2.5934585E+000, 3.1375547E+002, 6.0000000E-001, 1.2475776E+000, 1.3425253E+002, 6.0000000E-001, 3.9040771E-001, 5.1498439E+001, 6.0000000E-001, 1.1976074E-001, 2.4184937E+001
 6.2500000E-001, 9.0954756E-002,-2.5838077E-002, 6.2500000E-001, 4.5278505E+000, 6.8263788E+002, 6.2500000E-001, 4.1003486E+000, 5.8067755E+002, 6.2500000E-001, 2.6207353E+000, 3.0739783E+002, 6.2500000E-001, 1.2856910E+000, 1.3488706E+002, 6.2500000E-001, 4.1721294E-001, 5.3615449E+001, 6.2500000E-001, 1.2517273E-001, 2.4764728E+001
 6.5000000E-001, 7.8446402E-002,-2.3258922E-002, 6.5000000E-001, 4.5227846E+000, 6.5213242E+002, 6.5000000E-001, 4.0954038E+000, 5.5630656E+002, 6.5000000E-001, 2.6463373E+000, 3.0109097E+002, 6.5000000E-001, 1.3272975E+000, 1.3557956E+002, 6.5000000E-001, 4.4897220E-001, 5.5419275E+001, 6.5000000E-001, 1.2751483E-001, 2.5437761E+001
 6.7500000E-001, 6.7123589E-002,-2.0869481E-002, 6.7500000E-001, 4.5113970E+000, 6.2190487E+002, 6.7500000E-001, 4.0870514E+000, 5.3248067E+002, 6.7500000E-001, 2.6720806E+000, 2.9448205E+002, 6.7500000E-001, 1.3683021E+000, 1.3623023E+002, 6.7500000E-001, 4.8485843E-001, 5.7169414E+001, 6.7500000E-001, 1.3335941E-001, 2.6270363E+001
 7.0000000E-001, 5.7030427E-002,-1.8677873E-002, 7.0000000E-001, 4.4941026E+000, 5.9235784E+002, 7.0000000E-001, 4.0763364E+000, 5.0937120E+002, 7.0000000E-001, 2.6932697E+000, 2.8775109E+002, 7.0000000E-001, 1.4082987E+000, 1.3694505E+002, 7.0000000E-001, 5.2251817E-001, 5.9105157E+001, 7.0000000E-001, 1.4295030E-001, 2.7047735E+001
 7.2500000E-001, 4.8113507E-002,-1.6683767E-002, 7.2500000E-001, 4.4727986E+000, 5.6352201E+002, 7.2500000E-001, 4.0657842E+000, 4.8722805E+002, 7.2500000E-001, 2.7085763E+000, 2.8078470E+002, 7.2500000E-001, 1.4442110E+000, 1.3741244E+002, 7.2500000E-001, 5.5590575E-001, 6.0940113E+001, 7.2500000E-001, 1.5341118E-001, 2.7858380E+001
 7.5000000E-001, 4.0326973E-002,-1.4884613E-002, 7.5000000E-001, 4.4457061E+000, 5.3562685E+002, 7.5000000E-001, 4.0529867E+000, 4.6598202E+002, 7.5000000E-001, 2.7224276E+000, 2.7368625E+002, 7.5000000E-001, 1.4784066E+000, 1.3742036E+002, 7.5000000E-001, 5.8542044E-001, 6.2639610E+001, 7.5000000E-001, 1.6650446E-001, 2.8871405E+001
 7.7500000E-001, 3.3608382E-002,-1.3271444E-002, 7.7500000E-001, 4.4171548E+000, 5.0889447E+002, 7.7500000E-001, 4.0379705E+000, 4.4553992E+002, 7.7500000E-001, 2.7367312E+000, 2.6662284E+002, 7.7500000E-001, 1.5125479E+000, 1.3704964E+002, 7.7500000E-001, 6.1233641E-001, 6.4001849E+001, 7.7500000E-001, 1.7837221E-001, 2.9846281E+001
 8.0000000E-001, 2.7861483E-002,-1.1834865E-002, 8.0000000E-001, 4.3856274E+000, 4.8350124E+002, 8.0000000E-001, 4.0207175E+000, 4.2599396E+002, 8.0000000E-001, 2.7499092E+000, 2.5992785E+002, 8.0000000E-001, 1.5497896E+000, 1.3624526E+002, 8.0000000E-001, 6.4350741E-001, 6.5101471E+001, 8.0000000E-001, 1.9179579E-001, 3.0841536E+001
 8.2500000E-001, 2.5358184E-002,-1.2054419E-002, 8.2500000E-001, 4.3544159E+000, 4.5945453E+002, 8.2500000E-001, 4.0006335E+000, 4.0746695E+002, 8.2500000E-001, 2.7649361E+000, 2.5358209E+002, 8.2500000E-001, 1.5863584E+000, 1.3545221E+002, 8.2500000E-001, 6.7586196E-001, 6.6025839E+001, 8.2500000E-001, 2.0316382E-001, 3.1782299E+001
 8.4975000E-001, 2.0757914E-002,-1.0776253E-002, 8.4975000E-001, 4.3200722E+000, 4.3690713E+002, 8.4975000E-001, 3.9768251E+000, 3.8980212E+002, 8.4975000E-001, 2.7828150E+000, 2.4751393E+002, 8.4975000E-001, 1.6220269E+000, 1.3485758E+002, 8.4975000E-001, 7.0908325E-001, 6.7073976E+001, 8.4975000E-001, 2.1926659E-001, 3.2763316E+001
 8.7500000E-001, 1.6912843E-002,-9.6512553E-003, 8.7500000E-001, 4.2853619E+000, 3.9598913E+002, 8.7500000E-001, 3.9537734E+000, 3.5682610E+002, 8.7500000E-001, 2.7986519E+000, 2.3588435E+002, 8.7500000E-001, 1.6525421E+000, 1.3324631E+002, 8.7500000E-001, 7.4495606E-001, 6.9251471E+001, 8.7500000E-001, 2.3888186E-001, 3.5035793E+001
 9.0000000E-001, 1.2473533E-002,-7.5695301E-003, 9.0000000E-001, 4.2476819E+000, 3.9598913E+002, 9.0000000E-001, 3.9268772E+000, 3.5682610E+002, 9.0000000E-001, 2.8138347E+000, 2.3588435E+002, 9.0000000E-001, 1.6820586E+000, 1.3324631E+002, 9.0000000E-001, 7.8293323E-001, 6.9251471E+001, 9.0000000E-001, 2.6249551E-001, 3.5035793E+001
 9.2500000E-001, 1.0075718E-002,-6.8027766E-003, 9.2500000E-001, 4.2124866E+000, 3.7779342E+002, 9.2500000E-001, 3.9004738E+000, 3.4169630E+002, 9.2500000E-001, 2.8254173E+000, 2.3034944E+002, 9.2500000E-001, 1.7090466E+000, 1.3231376E+002, 9.2500000E-001, 8.1971185E-001, 7.0015705E+001, 9.2500000E-001, 2.8357445E-001, 3.6108501E+001
 9.5000000E-001, 8.1055212E-003,-6.1299789E-003, 9.5000000E-001, 4.1764691E+000, 3.4528183E+002, 9.5000000E-001, 3.8703872E+000, 3.1440618E+002, 9.5000000E-001, 2.8352134E+000, 2.1960529E+002, 9.5000000E-001, 1.7341682E+000, 1.3021510E+002, 9.5000000E-001, 8.6196115E-001, 7.1784065E+001, 9.5000000E-001, 3.0468136E-001, 3.8333024E+001
 9.7500000E-001, 7.1370376E-003,-6.3766154E-003, 9.7500000E-001, 4.1408129E+000, 3.3088053E+002, 9.7500000E-001, 3.8441968E+000, 3.0223253E+002, 9.7500000E-001, 2.8428361E+000, 2.1428997E+002, 9.7500000E-001, 1.7603370E+000, 1.2938024E+002, 9.7500000E-001, 9.0114161E-001, 7.2787613E+001, 9.7500000E-001, 3.2423108E-001, 3.9263898E+001
 1.0000000E+000, 5.2088969E-003,-5.0357830E-003, 1.0000000E+000, 4.1049659E+000, 3.3088053E+002, 1.0000000E+000, 3.8144636E+000, 3.0223253E+002, 1.0000000E+000, 2.8487996E+000, 2.1428997E+002, 1.0000000E+000, 1.7904192E+000, 1.2938024E+002, 1.0000000E+000, 9.4046672E-001, 7.2787613E+001, 1.0000000E+000, 3.4779994E-001, 3.9263898E+001
 1.0250000E+000, 4.1604839E-003,-4.5930409E-003, 1.0250000E+000, 4.0710554E+000, 3.1738377E+002, 1.0250000E+000, 3.7883960E+000, 2.9072172E+002, 1.0250000E+000, 2.8559377E+000, 2.0916477E+002, 1.0250000E+000, 1.8207922E+000, 1.2848267E+002, 1.0250000E+000, 9.7646600E-001, 7.3592966E+001, 1.0250000E+000, 3.7499681E-001, 4.0142349E+001
 1.0500000E+000, 3.3173038E-003,-4.2093521E-003, 1.0500000E+000, 4.0328409E+000, 2.9263565E+002, 1.0500000E+000, 3.7602805E+000, 2.6954372E+002, 1.0500000E+000, 2.8595464E+000, 1.9964544E+002, 1.0500000E+000, 1.8503280E+000, 1.2688836E+002, 1.0500000E+000, 1.0153509E+000, 7.5012475E+001, 1.0500000E+000, 4.0400166E-001, 4.1784555E+001
 1.0750000E+000, 2.6420892E-003,-3.8759716E-003, 1.0750000E+000, 3.9957110E+000, 2.9263565E+002, 1.0750000E+000, 3.7352108E+000, 2.6954372E+002, 1.0750000E+000, 2.8627282E+000, 1.9964544E+002, 1.0750000E+000, 1.8762417E+000, 1.2688836E+002, 1.0750000E+000, 1.0518690E+000, 7.5012475E+001, 1.0750000E+000, 4.3405552E-001, 4.1784555E+001
 1.1000000E+000, 1.6727538E-003,-3.3350942E-003, 1.1000000E+000, 3.9570164E+000, 2.7085436E+002, 1.1000000E+000, 3.7080413E+000, 2.5040368E+002, 1.1000000E+000, 2.8632273E+000, 1.9033447E+002, 1.1000000E+000, 1.9027841E+000, 1.2520647E+002, 1.1000000E+000, 1.0861475E+000, 7.6506909E+001, 1.1000000E+000, 4.6461963E-001, 4.3700695E+001
 1.1250000E+000, 1.6727538E-003,-3.3350942E-003, 1.1250000E+000, 3.9215591E+000, 2.7085436E+002, 1.1250000E+000, 3.6804815E+000, 2.5040368E+002, 1.1250000E+000, 2.8650870E+000, 1.9033447E+002, 1.1250000E+000, 1.9257469E+000, 1.2520647E+002, 1.1250000E+000, 1.1183721E+000, 7.6506909E+001, 1.1250000E+000, 4.9187346E-001, 4.3700695E+001
 1.1500000E+000, 1.0565636E-003,-2.9250979E-003, 1.1500000E+000, 3.8862470E+000, 2.5143531E+002, 1.1500000E+000, 3.6482523E+000, 2.3340223E+002, 1.1500000E+000, 2.8671454E+000, 1.8160472E+002, 1.1500000E+000, 1.9443125E+000, 1.2299186E+002, 1.1500000E+000, 1.1516474E+000, 7.7476343E+001, 1.1500000E+000, 5.2328762E-001, 4.5612711E+001
 1.1750000E+000, 7.3901022E-004,-2.2645620E-003, 1.1750000E+000, 3.8547373E+000, 2.4259672E+002, 1.1750000E+000, 3.6204922E+000, 2.2585230E+002, 1.1750000E+000, 2.8688907E+000, 1.7737621E+002, 1.1750000E+000, 1.9646063E+000, 1.2186390E+002, 1.1750000E+000, 1.1804373E+000, 7.7631981E+001, 1.1750000E+000, 5.5353375E-001, 4.6647950E+001
 1.2000000E+000, 8.4005040E-004,-2.7581587E-003, 1.2000000E+000, 3.8240600E+000, 2.4259672E+002, 1.2000000E+000, 3.5915986E+000, 2.2585230E+002, 1.2000000E+000, 2.8676866E+000, 1.7737621E+002, 1.2000000E+000, 1.9835311E+000, 1.2186390E+002, 1.2000000E+000, 1.2125823E+000, 7.7631981E+001, 1.2000000E+000, 5.8789508E-001, 4.6647950E+001
 1.2250000E+000, 5.3126434E-004,-2.4831474E-003, 1.2250000E+000, 3.7959318E+000, 2.2629468E+002, 1.2250000E+000, 3.5677403E+000, 2.1231514E+002, 1.2250000E+000, 2.8650360E+000, 1.6933946E+002, 1.2250000E+000, 2.0022439E+000, 1.1915044E+002, 1.2250000E+000, 1.2430263E+000, 7.7995411E+001, 1.2250000E+000, 6.2645741E-001, 4.8936654E+001
 1.2497500E+000, 4.2271169E-004,-2.3693833E-003, 1.2497500E+000, 3.7659979E+000, 2.2629468E+002, 1.2497500E+000, 3.5409167E+000, 2.1231514E+002, 1.2497500E+000, 2.8611526E+000, 1.6933946E+002, 1.2497500E+000, 2.0162279E+000, 1.1915044E+002, 1.2497500E+000, 1.2711399E+000, 7.7995411E+001, 1.2497500E+000, 6.6138085E-001, 4.8936654E+001
 1.2750000E+000, 4.2271169E-004,-2.3693833E-003, 1.2750000E+000, 3.7350749E+000, 2.1900102E+002, 1.2750000E+000, 3.5166760E+000, 2.0630815E+002, 1.2750000E+000, 2.8557556E+000, 1.6561028E+002, 1.2750000E+000, 2.0321832E+000, 1.1778424E+002, 1.2750000E+000, 1.2970917E+000, 7.8079221E+001, 1.2750000E+000, 6.9533695E-001, 5.0094278E+001
 1.3000000E+000, 2.6808256E-004,-2.1801824E-003, 1.3000000E+000, 3.7013283E+000, 2.0575737E+002, 1.3000000E+000, 3.4915132E+000, 1.9513539E+002, 1.3000000E+000, 2.8503886E+000, 1.5828515E+002, 1.3000000E+000, 2.0466577E+000, 1.1515169E+002, 1.3000000E+000, 1.3210352E+000, 7.7968746E+001, 1.3000000E+000, 7.3531717E-001, 5.1785672E+001
 1.3250000E+000, 2.6808256E-004,-2.1801824E-003, 1.3250000E+000, 3.6662134E+000, 2.0575737E+002, 1.3250000E+000, 3.4691326E+000, 1.9513539E+002, 1.3250000E+000, 2.8462965E+000, 1.5828515E+002, 1.3250000E+000, 2.0609872E+000, 1.1515169E+002, 1.3250000E+000, 1.3433835E+000, 7.7968746E+001, 1.3250000E+000, 7.6956758E-001, 5.1785672E+001
 1.3500000E+000, 1.7040385E-004,-2.0320659E-003, 1.3500000E+000, 3.6305766E+000, 1.9400590E+002, 1.3500000E+000, 3.4439051E+000, 1.8480147E+002, 1.3500000E+000, 2.8377972E+000, 1.5176039E+002, 1.3500000E+000, 2.0731041E+000, 1.1250396E+002, 1.3500000E+000, 1.3677016E+000, 7.7731369E+001, 1.3500000E+000, 7.9920741E-001, 5.3365425E+001
 1.3750000E+000, 1.8689424E-004,-2.4050185E-003, 1.3750000E+000, 3.5962119E+000, 1.8848494E+002, 1.3750000E+000, 3.4208081E+000, 1.7989884E+002, 1.3750000E+000, 2.8299037E+000, 1.4882882E+002, 1.3750000E+000, 2.0881260E+000, 1.1117570E+002, 1.3750000E+000, 1.3896690E+000, 7.7746462E+001, 1.3750000E+000, 8.2589617E-001, 5.4026832E+001
