m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 3.0300000E-002, 7.7544968E+002, 8.4288566E-001, 6.6264812E-001, 4.0254124E-002
 9.0968750E-002, 7.7894224E+002, 1.9443307E+000, 1.6652431E+000, 1.1634295E+000
 1.5163750E-001, 7.7707979E+002, 2.7715613E+000, 2.4982955E+000, 2.1106441E+000
 2.1230625E-001, 7.7637202E+002, 3.3854248E+000, 3.1455997E+000, 2.8415815E+000
 2.7297500E-001, 7.7748797E+002, 3.8578882E+000, 3.6519030E+000, 3.4073544E+000
 3.3364375E-001, 7.8041145E+002, 4.2442254E+000, 4.0656323E+000, 3.8511596E+000
 3.9431250E-001, 7.8250896E+002, 4.5726670E+000, 4.4157139E+000, 4.2283820E+000
 4.5498125E-001, 7.7662495E+002, 4.8450384E+000, 4.7062509E+000, 4.5446587E+000
 5.1565000E-001, 7.5672416E+002, 5.0550574E+000, 4.9302836E+000, 4.8033871E+000
 5.7631875E-001, 7.1943260E+002, 5.1987990E+000, 5.0830738E+000, 4.9861010E+000
 6.3698750E-001, 6.6835717E+002, 5.2779864E+000, 5.1667553E+000, 5.0992193E+000
 6.9765625E-001, 6.1068662E+002, 5.3047882E+000, 5.1943786E+000, 5.1426984E+000
 7.5832500E-001, 5.5011214E+002, 5.2924283E+000, 5.1779601E+000, 5.1411386E+000
 8.1899375E-001, 4.9459258E+002, 5.2524113E+000, 5.1256207E+000, 5.0968417E+000
 8.7966250E-001, 4.4391470E+002, 5.1873819E+000, 5.0477299E+000, 5.0290791E+000
 9.4033125E-001, 4.0016518E+002, 5.0981745E+000, 4.9521198E+000, 4.9345497E+000
 1.0010000E+000, 3.6224912E+002, 4.9925333E+000, 4.8477104E+000, 4.8311328E+000
 1.0616687E+000, 3.3011499E+002, 4.8820735E+000, 4.7425278E+000, 4.7176072E+000
 1.1223375E+000, 3.0193107E+002, 4.7682194E+000, 4.6392406E+000, 4.6097281E+000
 1.1830063E+000, 2.7775372E+002, 4.6566935E+000, 4.5408947E+000, 4.5016038E+000
 1.2436750E+000, 2.5570057E+002, 4.5470601E+000, 4.4482383E+000, 4.4030616E+000
 1.3043437E+000, 2.3690590E+002, 4.4462522E+000, 4.3605745E+000, 4.3075820E+000
 1.3650125E+000, 2.2014079E+002, 4.3506776E+000, 4.2748583E+000, 4.2227634E+000
 1.4256813E+000, 2.0545289E+002, 4.2583151E+000, 4.1902114E+000, 4.1324225E+000
 1.4863500E+000, 1.9229262E+002, 4.1618127E+000, 4.1033874E+000, 4.0463150E+000
 1.5470188E+000, 1.8041293E+002, 4.0716819E+000, 4.0231599E+000, 3.9541160E+000
 1.6076875E+000, 1.6999633E+002, 3.9953406E+000, 3.9565737E+000, 3.8797223E+000
 1.6683562E+000, 1.6118205E+002, 3.9322952E+000, 3.9020294E+000, 3.8128009E+000
 1.7290250E+000, 1.5324400E+002, 3.8868008E+000, 3.8604668E+000, 3.7711231E+000
 1.7896938E+000, 1.4620262E+002, 3.8476470E+000, 3.8227021E+000, 3.7323894E+000
 1.8503625E+000, 1.3963634E+002, 3.8126319E+000, 3.7877553E+000, 3.7030414E+000
 1.9110313E+000, 1.3366459E+002, 3.7763255E+000, 3.7531860E+000, 3.6648272E+000
 1.9717000E+000, 1.2805812E+002, 3.7410921E+000, 3.7188447E+000, 3.6355862E+000
 2.0323687E+000, 1.2305605E+002, 3.7102723E+000, 3.6874203E+000, 3.5972808E+000
 2.0930375E+000, 1.1830428E+002, 3.6809035E+000, 3.6566039E+000, 3.5727000E+000
 2.1537062E+000, 1.1387115E+002, 3.6521492E+000, 3.6242409E+000, 3.5348802E+000
 2.2143750E+000, 1.0956915E+002, 3.6198311E+000, 3.5904051E+000, 3.5055260E+000
 2.2750438E+000, 1.0550116E+002, 3.5925592E+000, 3.5604945E+000, 3.4657426E+000
 2.3357125E+000, 1.0171085E+002, 3.5653747E+000, 3.5318336E+000, 3.4427631E+000
 2.3963812E+000, 9.8089122E+001, 3.5374610E+000, 3.5023760E+000, 3.4057346E+000
 2.4570500E+000, 9.4803311E+001, 3.5131191E+000, 3.4768991E+000, 3.3877304E+000
 2.5177187E+000, 9.1732540E+001, 3.4797260E+000, 3.4426532E+000, 3.3534692E+000
 2.5783875E+000, 8.8783656E+001, 3.4501734E+000, 3.4104206E+000, 3.3189230E+000
 2.6390562E+000, 8.5885550E+001, 3.4140924E+000, 3.3722814E+000, 3.2763148E+000
 2.6997250E+000, 8.3282295E+001, 3.3667502E+000, 3.3245374E+000, 3.2325333E+000
 2.7603937E+000, 8.0408252E+001, 3.3387870E+000, 3.2937309E+000, 3.1846153E+000
 2.8210625E+000, 7.8000691E+001, 3.2750317E+000, 3.2342133E+000, 3.1499451E+000
 2.8817313E+000, 7.5224324E+001, 3.2528248E+000, 3.2059744E+000, 3.0910861E+000
 2.9424000E+000, 7.2861999E+001, 3.1061724E+000, 3.0825678E+000, 3.0431695E+000
