m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 1.3890000E-002, 7.0203179E+002, 3.6425101E-001, 2.8702602E-001, 4.5742676E-001
 4.1159817E-002, 7.2101815E+002, 9.0980953E-001, 7.4058085E-001, 9.7200786E-001
 6.8429633E-002, 7.3695279E+002, 1.4703969E+000, 1.2541655E+000, 1.4909882E+000
 9.5699450E-002, 7.4643484E+002, 1.9855516E+000, 1.7516137E+000, 1.9663974E+000
 1.2296927E-001, 7.5041974E+002, 2.4303658E+000, 2.1976386E+000, 2.3790007E+000
 1.5023908E-001, 7.5132018E+002, 2.8021460E+000, 2.5810114E+000, 2.7300282E+000
 1.7750890E-001, 7.5122236E+002, 3.1121014E+000, 2.9066839E+000, 3.0281340E+000
 2.0477872E-001, 7.5110324E+002, 3.3733521E+000, 3.1838155E+000, 3.2824776E+000
 2.3204853E-001, 7.5126067E+002, 3.5959682E+000, 3.4210614E+000, 3.5016227E+000
 2.5931835E-001, 7.5194304E+002, 3.7894519E+000, 3.6264292E+000, 3.6909357E+000
 2.8658817E-001, 7.5311335E+002, 3.9596881E+000, 3.8054919E+000, 3.8560642E+000
 3.1385798E-001, 7.5414604E+002, 4.1107258E+000, 3.9623856E+000, 3.9994201E+000
 3.4112780E-001, 7.5447341E+002, 4.2449752E+000, 4.1006863E+000, 4.1268174E+000
 3.6839761E-001, 7.5345010E+002, 4.3644887E+000, 4.2223120E+000, 4.2373554E+000
 3.9566743E-001, 7.5055219E+002, 4.4718842E+000, 4.3288171E+000, 4.3341666E+000
 4.2293725E-001, 7.4568319E+002, 4.5692751E+000, 4.4219864E+000, 4.4160740E+000
 4.5020706E-001, 7.3796090E+002, 4.6549455E+000, 4.5017095E+000, 4.4841496E+000
 4.7747688E-001, 7.2716801E+002, 4.7295147E+000, 4.5676936E+000, 4.5380982E+000
 5.0474670E-001, 7.1274795E+002, 4.7922895E+000, 4.6188599E+000, 4.5767909E+000
 5.3201651E-001, 6.9448549E+002, 4.8376817E+000, 4.6519205E+000, 4.5938810E+000
 5.5928633E-001, 6.7249455E+002, 4.8629633E+000, 4.6691381E+000, 4.5966168E+000
 5.8655615E-001, 6.4731913E+002, 4.8780019E+000, 4.6736269E+000, 4.5900032E+000
 6.1382596E-001, 6.1984365E+002, 4.8872264E+000, 4.6690203E+000, 4.5753196E+000
 6.4109578E-001, 5.9160379E+002, 4.8841446E+000, 4.6542217E+000, 4.5500015E+000
 6.6836560E-001, 5.6304945E+002, 4.8679756E+000, 4.6282845E+000, 4.5161470E+000
 6.9563541E-001, 5.3467457E+002, 4.8401744E+000, 4.5947269E+000, 4.4753663E+000
 7.2290523E-001, 5.0662086E+002, 4.8004553E+000, 4.5562118E+000, 4.4295283E+000
 7.5017505E-001, 4.7918307E+002, 4.7586717E+000, 4.5164693E+000, 4.3851115E+000
 7.7744486E-001, 4.5176558E+002, 4.7150696E+000, 4.4742889E+000, 4.3363272E+000
 8.0471468E-001, 4.2670764E+002, 4.6659902E+000, 4.4300250E+000, 4.2872674E+000
 8.3198450E-001, 4.0246897E+002, 4.6106598E+000, 4.3869712E+000, 4.2416787E+000
 8.5925431E-001, 3.7951491E+002, 4.5639396E+000, 4.3462478E+000, 4.2020582E+000
 8.8652413E-001, 3.5820382E+002, 4.5228265E+000, 4.3099336E+000, 4.1649905E+000
 9.1379394E-001, 3.3866402E+002, 4.4821955E+000, 4.2752187E+000, 4.1318329E+000
 9.4106376E-001, 3.2110716E+002, 4.4404460E+000, 4.2411162E+000, 4.0956669E+000
 9.6833358E-001, 3.0472451E+002, 4.3937574E+000, 4.2029057E+000, 4.0524699E+000
 9.9560339E-001, 2.8972653E+002, 4.3383155E+000, 4.1572127E+000, 4.0012697E+000
 1.0228732E+000, 2.7537298E+002, 4.2772230E+000, 4.1101765E+000, 3.9537833E+000
 1.0501430E+000, 2.6197489E+002, 4.2238435E+000, 4.0648894E+000, 3.9078925E+000
 1.0774128E+000, 2.4970521E+002, 4.1694864E+000, 4.0170440E+000, 3.8582965E+000
 1.1046827E+000, 2.3881895E+002, 4.1118239E+000, 3.9667277E+000, 3.8078808E+000
 1.1319525E+000, 2.2887959E+002, 4.0562016E+000, 3.9181297E+000, 3.7600380E+000
 1.1592223E+000, 2.2035478E+002, 4.0054233E+000, 3.8737197E+000, 3.7187708E+000
 1.1864921E+000, 2.1234788E+002, 3.9623599E+000, 3.8381429E+000, 3.6896427E+000
 1.2137619E+000, 2.0514310E+002, 3.9289016E+000, 3.8107413E+000, 3.6658604E+000
 1.2410317E+000, 1.9797860E+002, 3.8995311E+000, 3.7870282E+000, 3.6445193E+000
 1.2683016E+000, 1.9121096E+002, 3.8727115E+000, 3.7649903E+000, 3.6222418E+000
 1.2955714E+000, 1.8479289E+002, 3.8438815E+000, 3.7399098E+000, 3.5965413E+000
 1.3228412E+000, 1.7864401E+002, 3.8119277E+000, 3.7119273E+000, 3.5664011E+000
 1.3501110E+000, 1.7281041E+002, 3.7765033E+000, 3.6816311E+000, 3.5350796E+000
 1.3773808E+000, 1.6715569E+002, 3.7416107E+000, 3.6520667E+000, 3.5077684E+000
 1.4046506E+000, 1.6177399E+002, 3.7112336E+000, 3.6259929E+000, 3.4847134E+000
 1.4319205E+000, 1.5636425E+002, 3.6855643E+000, 3.6038714E+000, 3.4643111E+000
 1.4591903E+000, 1.5115147E+002, 3.6612729E+000, 3.5828192E+000, 3.4429145E+000
 1.4864601E+000, 1.4602001E+002, 3.6346094E+000, 3.5590797E+000, 3.4175365E+000
 1.5137299E+000, 1.4121544E+002, 3.6051644E+000, 3.5331958E+000, 3.3923124E+000
 1.5409997E+000, 1.3675967E+002, 3.5762468E+000, 3.5075742E+000, 3.3662193E+000
 1.5682695E+000, 1.3284973E+002, 3.5474619E+000, 3.4815757E+000, 3.3386589E+000
 1.5955394E+000, 1.2917025E+002, 3.5178366E+000, 3.4550045E+000, 3.3103407E+000
 1.6228092E+000, 1.2584517E+002, 3.4883857E+000, 3.4281137E+000, 3.2826184E+000
 1.6500790E+000, 1.2273179E+002, 3.4581651E+000, 3.3990933E+000, 3.2533706E+000
 1.6773488E+000, 1.1982937E+002, 3.4297995E+000, 3.3703916E+000, 3.2282086E+000
 1.7046186E+000, 1.1700514E+002, 3.4023032E+000, 3.3425222E+000, 3.2040727E+000
 1.7318884E+000, 1.1413829E+002, 3.3761042E+000, 3.3165535E+000, 3.1807660E+000
 1.7591583E+000, 1.1130612E+002, 3.3491413E+000, 3.2904189E+000, 3.1541034E+000
 1.7864281E+000, 1.0845764E+002, 3.3235069E+000, 3.2657969E+000, 3.1267618E+000
 1.8136979E+000, 1.0566392E+002, 3.2939982E+000, 3.2375971E+000, 3.0952827E+000
 1.8409677E+000, 1.0295141E+002, 3.2637437E+000, 3.2072495E+000, 3.0644045E+000
 1.8682375E+000, 1.0039680E+002, 3.2343407E+000, 3.1770353E+000, 3.0319617E+000
 1.8955073E+000, 9.8135712E+001, 3.2046445E+000, 3.1472802E+000, 3.0010220E+000
 1.9227772E+000, 9.6068994E+001, 3.1774209E+000, 3.1212779E+000, 2.9757081E+000
 1.9500470E+000, 9.4292941E+001, 3.1551311E+000, 3.1002506E+000, 2.9570275E+000
 1.9773168E+000, 9.2632424E+001, 3.1388302E+000, 3.0835680E+000, 2.9410990E+000
 2.0045866E+000, 9.1073109E+001, 3.1236597E+000, 3.0693354E+000, 2.9301554E+000
 2.0318564E+000, 8.9470998E+001, 3.1128858E+000, 3.0603211E+000, 2.9233028E+000
 2.0591262E+000, 8.7940037E+001, 3.1049529E+000, 3.0540544E+000, 2.9180061E+000
 2.0863961E+000, 8.6482088E+001, 3.0939740E+000, 3.0453118E+000, 2.9089082E+000
 2.1136659E+000, 8.5079432E+001, 3.0817920E+000, 3.0345726E+000, 2.8991415E+000
 2.1409357E+000, 8.3728659E+001, 3.0675141E+000, 3.0209900E+000, 2.8889738E+000
 2.1682055E+000, 8.2421566E+001, 3.0549122E+000, 3.0088082E+000, 2.8815834E+000
 2.1954753E+000, 8.1123098E+001, 3.0452840E+000, 2.9991345E+000, 2.8731527E+000
 2.2227451E+000, 7.9806460E+001, 3.0332829E+000, 2.9870974E+000, 2.8611868E+000
 2.2500150E+000, 7.8463751E+001, 3.0150992E+000, 2.9710764E+000, 2.8436632E+000
 2.2772848E+000, 7.7171535E+001, 2.9959707E+000, 2.9537250E+000, 2.8260050E+000
 2.3045546E+000, 7.5863955E+001, 2.9781737E+000, 2.9377603E+000, 2.8260050E+000
 2.3318244E+000, 7.4584891E+001, 2.9656380E+000, 2.9247595E+000, 2.8007881E+000
 2.3590942E+000, 7.3306161E+001, 2.9517101E+000, 2.9111947E+000, 2.7880028E+000
 2.3863640E+000, 7.2065225E+001, 2.9414852E+000, 2.9006599E+000, 2.7790160E+000
 2.4136339E+000, 7.0878641E+001, 2.9301196E+000, 2.8881738E+000, 2.7790160E+000
 2.4409037E+000, 6.9744637E+001, 2.9162483E+000, 2.8729348E+000, 2.7659859E+000
 2.4681735E+000, 6.8640538E+001, 2.9032891E+000, 2.8577952E+000, 2.7531081E+000
 2.4954433E+000, 6.7598408E+001, 2.8863175E+000, 2.8411295E+000, 2.7383730E+000
 2.5227131E+000, 6.6613843E+001, 2.8746424E+000, 2.8304218E+000, 2.7247615E+000
 2.5499829E+000, 6.5731631E+001, 2.8610828E+000, 2.8184932E+000, 2.7147747E+000
 2.5772528E+000, 6.4938400E+001, 2.8507872E+000, 2.8088744E+000, 2.7048612E+000
 2.6045226E+000, 6.4160477E+001, 2.8402187E+000, 2.7985811E+000, 2.6963793E+000
 2.6317924E+000, 6.3421740E+001, 2.8266487E+000, 2.7853281E+000, 2.6864706E+000
 2.6590622E+000, 6.2673028E+001, 2.8173854E+000, 2.7757998E+000, 2.6759472E+000
 2.6863320E+000, 6.1947219E+001, 2.8037089E+000, 2.7607197E+000, 2.6656719E+000
 2.7136018E+000, 6.1207483E+001, 2.7890594E+000, 2.7475087E+000, 2.6515803E+000
 2.7408717E+000, 6.0471444E+001, 2.7766419E+000, 2.7349622E+000, 2.6394966E+000
 2.7681415E+000, 5.9828257E+001, 2.7570189E+000, 2.7142847E+000, 2.6216703E+000
 2.7954113E+000, 5.9211644E+001, 2.7379965E+000, 2.6946127E+000, 2.6008819E+000
 2.8226811E+000, 5.8628184E+001, 2.7200983E+000, 2.6754835E+000, 2.5809561E+000
 2.8499509E+000, 5.8069165E+001, 2.6866284E+000, 2.6435575E+000, 2.5558710E+000
 2.8772207E+000, 5.7400338E+001, 2.6702882E+000, 2.6271967E+000, 2.5254642E+000
 2.9044906E+000, 5.6807783E+001, 2.6365480E+000, 2.5950964E+000, 2.5055735E+000
 2.9317604E+000, 5.6180235E+001, 2.6415317E+000, 2.5917820E+000, 2.4796085E+000
 2.9590302E+000, 5.5537302E+001, 2.5725491E+000, 2.5330310E+000, 2.4588982E+000
NaN,NaN,NaN,NaN,NaN
