m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 0.0000000E+000, 2.0000000E+001, 1.8647771E-002, 1.3561783E-002, 2.7123873E-002
 1.3698630E-002, 5.5789280E+002, 1.7656012E-002, 6.7493660E-002,-3.8577160E-003
 2.7397260E-002, 5.8126788E+002, 1.2980749E-001, 1.5207188E-001, 1.8394106E-001
 4.1095890E-002, 6.0973278E+002, 4.2080126E-001, 3.5147575E-001, 4.6202860E-001
 5.4794521E-002, 6.3630834E+002, 7.4863732E-001, 6.3356647E-001, 7.6580123E-001
 6.8493151E-002, 6.5989197E+002, 1.0778050E+000, 9.3487499E-001, 1.0693579E+000
 8.2191781E-002, 6.8063148E+002, 1.3931930E+000, 1.2325606E+000, 1.3594535E+000
 9.5890411E-002, 6.9747398E+002, 1.6866528E+000, 1.5145431E+000, 1.6283151E+000
 1.0958904E-001, 7.1077411E+002, 1.9530470E+000, 1.7734945E+000, 1.8711292E+000
 1.2328767E-001, 7.2104383E+002, 2.1886542E+000, 2.0048488E+000, 2.0852641E+000
 1.3698630E-001, 7.2833584E+002, 2.3938038E+000, 2.2073250E+000, 2.2704016E+000
 1.5068493E-001, 7.3303477E+002, 2.5719141E+000, 2.3834064E+000, 2.4317777E+000
 1.6438356E-001, 7.3554819E+002, 2.7282021E+000, 2.5377261E+000, 2.5728300E+000
 1.7808219E-001, 7.3684896E+002, 2.8663672E+000, 2.6735561E+000, 2.6975429E+000
 1.9178082E-001, 7.3722198E+002, 2.9917217E+000, 2.7954224E+000, 2.8103137E+000
 2.0547945E-001, 7.3663702E+002, 3.1066014E+000, 2.9064626E+000, 2.9135711E+000
 2.1917808E-001, 7.3519971E+002, 3.2122653E+000, 3.0080494E+000, 3.0082614E+000
 2.3287671E-001, 7.3317727E+002, 3.3092682E+000, 3.1011546E+000, 3.0949553E+000
 2.4657534E-001, 7.3096678E+002, 3.3991460E+000, 3.1866906E+000, 3.1745461E+000
 2.6027397E-001, 7.2876625E+002, 3.4835408E+000, 3.2660679E+000, 3.2493534E+000
 2.7397260E-001, 7.2649728E+002, 3.5645212E+000, 3.3411200E+000, 3.3204878E+000
 2.8767123E-001, 7.2383970E+002, 3.6430132E+000, 3.4125370E+000, 3.3882801E+000
 3.0136986E-001, 7.2076248E+002, 3.7182074E+000, 3.4794743E+000, 3.4512199E+000
 3.1506849E-001, 7.1702569E+002, 3.7884481E+000, 3.5412451E+000, 3.5091439E+000
 3.2876712E-001, 7.1237455E+002, 3.8540775E+000, 3.5980844E+000, 3.5624409E+000
 3.4246575E-001, 7.0699781E+002, 3.9165723E+000, 3.6505244E+000, 3.6108261E+000
 3.5616438E-001, 7.0076334E+002, 3.9737152E+000, 3.6980140E+000, 3.6542282E+000
 3.6986301E-001, 6.9339193E+002, 4.0266681E+000, 3.7408876E+000, 3.6925589E+000
 3.8356164E-001, 6.8623601E+002, 4.0783836E+000, 3.7809428E+000, 3.7308532E+000
 3.9726027E-001, 6.7868993E+002, 4.1289161E+000, 3.8184309E+000, 3.7642890E+000
 4.1095890E-001, 6.7101189E+002, 4.1739805E+000, 3.8509223E+000, 3.7937688E+000
 4.2465753E-001, 6.6311662E+002, 4.2144204E+000, 3.8792930E+000, 3.8196636E+000
 4.3835616E-001, 6.5472564E+002, 4.2507091E+000, 3.9043653E+000, 3.8419417E+000
 4.5205479E-001, 6.4624791E+002, 4.2840843E+000, 3.9265061E+000, 3.8612942E+000
 4.6575342E-001, 6.3765797E+002, 4.3158304E+000, 3.9466115E+000, 3.8782064E+000
 4.7945205E-001, 6.2885713E+002, 4.3441478E+000, 3.9637138E+000, 3.8914577E+000
 4.9315068E-001, 6.1959497E+002, 4.3665090E+000, 3.9763274E+000, 3.8998790E+000
 5.0684932E-001, 6.1026569E+002, 4.3841310E+000, 3.9857928E+000, 3.9064063E+000
 5.2054795E-001, 6.0074550E+002, 4.4010191E+000, 3.9932267E+000, 3.9133463E+000
 5.3424658E-001, 5.9110246E+002, 4.4172397E+000, 3.9990345E+000, 3.9175762E+000
 5.4794521E-001, 5.8080159E+002, 4.4286744E+000, 4.0024861E+000, 3.9192849E+000
 5.6164384E-001, 5.6979435E+002, 4.4353952E+000, 4.0036069E+000, 3.9182725E+000
 5.7534247E-001, 5.5790863E+002, 4.4387746E+000, 4.0036541E+000, 3.9166276E+000
 5.8904110E-001, 5.4629707E+002, 4.4409498E+000, 4.0028703E+000, 3.9147623E+000
 6.0273973E-001, 5.3482812E+002, 4.4442050E+000, 4.0017514E+000, 3.9131867E+000
 6.1643836E-001, 5.2398867E+002, 4.4468598E+000, 3.9999596E+000, 3.9097967E+000
 6.3013699E-001, 5.1286584E+002, 4.4445118E+000, 3.9957611E+000, 3.9029260E+000
 6.4383562E-001, 5.0104779E+002, 4.4377158E+000, 3.9894988E+000, 3.8932039E+000
 6.5753425E-001, 4.8873712E+002, 4.4290728E+000, 3.9826442E+000, 3.8840908E+000
 6.7123288E-001, 4.7622550E+002, 4.4222530E+000, 3.9765135E+000, 3.8761295E+000
 6.8493151E-001, 4.6368308E+002, 4.4139634E+000, 3.9691337E+000, 3.8656000E+000
 6.9863014E-001, 4.5171351E+002, 4.4025216E+000, 3.9598643E+000, 3.8533798E+000
 7.1232877E-001, 4.3993379E+002, 4.3874480E+000, 3.9501112E+000, 3.8410103E+000
 7.2602740E-001, 4.2863447E+002, 4.3705698E+000, 3.9399381E+000, 3.8287311E+000
 7.3972603E-001, 4.1703897E+002, 4.3506096E+000, 3.9301198E+000, 3.8178678E+000
 7.5342466E-001, 4.0556235E+002, 4.3302263E+000, 3.9218259E+000, 3.8097011E+000
 7.6712329E-001, 3.9369653E+002, 4.3092560E+000, 3.9143169E+000, 3.8009953E+000
 7.8082192E-001, 3.8236613E+002, 4.2870027E+000, 3.9058995E+000, 3.7910559E+000
 7.9452055E-001, 3.7114467E+002, 4.2614414E+000, 3.8948692E+000, 3.7791875E+000
 8.0821918E-001, 3.6053928E+002, 4.2358011E+000, 3.8830101E+000, 3.7662379E+000
 8.2191781E-001, 3.4979789E+002, 4.2111390E+000, 3.8719554E+000, 3.7523103E+000
 8.3561644E-001, 3.3981474E+002, 4.1882086E+000, 3.8599671E+000, 3.7372137E+000
 8.4931507E-001, 3.2949358E+002, 4.1626298E+000, 3.8457190E+000, 3.7204974E+000
 8.6301370E-001, 3.1984712E+002, 4.1361032E+000, 3.8299833E+000, 3.7029126E+000
 8.7671233E-001, 3.1024665E+002, 4.1097642E+000, 3.8147478E+000, 3.6865287E+000
 8.9041096E-001, 3.0131724E+002, 4.0845709E+000, 3.7998503E+000, 3.6691036E+000
 9.0410959E-001, 2.9237618E+002, 4.0583563E+000, 3.7846595E+000, 3.6516342E+000
 9.1780822E-001, 2.8387409E+002, 4.0316736E+000, 3.7688551E+000, 3.6341842E+000
 9.3150685E-001, 2.7600359E+002, 4.0052699E+000, 3.7522485E+000, 3.6150852E+000
 9.4520548E-001, 2.6878782E+002, 3.9768232E+000, 3.7332651E+000, 3.5923288E+000
 9.5890411E-001, 2.6210634E+002, 3.9456974E+000, 3.7130358E+000, 3.5699480E+000
 9.7260274E-001, 2.5542864E+002, 3.9171180E+000, 3.6956331E+000, 3.5521061E+000
 9.8630137E-001, 2.4912482E+002, 3.8959872E+000, 3.6824266E+000, 3.5393508E+000
 1.0000000E+000, 2.4262398E+002, 3.8791026E+000, 3.6713322E+000, 3.5267000E+000
 1.0136986E+000, 2.3622820E+002, 3.8604358E+000, 3.6580124E+000, 3.5098914E+000
 1.0273973E+000, 2.2970081E+002, 3.8374862E+000, 3.6409710E+000, 3.4908814E+000
