m,C,m/s,m/s,m/s
Height,tmp,bdp,vel,w-vel
 3.0300000E-002, 7.0159138E+002, 7.8653646E-001, 5.9768654E-001, 1.1481922E-002
 9.0968750E-002, 6.8747870E+002, 1.8087148E+000, 1.5249000E+000, 1.1373576E+000
 1.5163750E-001, 6.5528876E+002, 2.4433663E+000, 2.1708913E+000, 1.8998544E+000
 2.1230625E-001, 6.0928740E+002, 2.8512053E+000, 2.6260012E+000, 2.4324905E+000
 2.7297500E-001, 5.5956788E+002, 3.1220368E+000, 2.9493215E+000, 2.8103369E+000
 3.3364375E-001, 5.1090739E+002, 3.3133271E+000, 3.1834427E+000, 3.0789106E+000
 3.9431250E-001, 4.6538325E+002, 3.4582652E+000, 3.3556934E+000, 3.2776494E+000
 4.5498125E-001, 4.2358505E+002, 3.5745633E+000, 3.4831651E+000, 3.4215289E+000
 5.1565000E-001, 3.8566187E+002, 3.6686737E+000, 3.5762352E+000, 3.5295847E+000
 5.7631875E-001, 3.5152917E+002, 3.7426014E+000, 3.6421566E+000, 3.6043249E+000
 6.3698750E-001, 3.2116511E+002, 3.7959916E+000, 3.6860463E+000, 3.6583748E+000
 6.9765625E-001, 2.9392559E+002, 3.8287415E+000, 3.7112355E+000, 3.6890979E+000
 7.5832500E-001, 2.6959832E+002, 3.8414516E+000, 3.7207418E+000, 3.7055981E+000
 8.1899375E-001, 2.4783264E+002, 3.8384733E+000, 3.7184181E+000, 3.7039848E+000
 8.7966250E-001, 2.2822461E+002, 3.8198582E+000, 3.7057387E+000, 3.6952721E+000
 9.4033125E-001, 2.1054362E+002, 3.7873590E+000, 3.6837175E+000, 3.6727626E+000
 1.0010000E+000, 1.9504209E+002, 3.7452235E+000, 3.6544222E+000, 3.6469988E+000
 1.0616687E+000, 1.8161564E+002, 3.6979500E+000, 3.6196997E+000, 3.6111492E+000
 1.1223375E+000, 1.6964883E+002, 3.6454973E+000, 3.5798240E+000, 3.5746674E+000
 1.1830063E+000, 1.5892089E+002, 3.5917060E+000, 3.5375961E+000, 3.5291089E+000
 1.2436750E+000, 1.4913693E+002, 3.5380250E+000, 3.4945823E+000, 3.4871504E+000
 1.3043437E+000, 1.4052011E+002, 3.4862263E+000, 3.4518231E+000, 3.4390582E+000
 1.3650125E+000, 1.3254263E+002, 3.4351096E+000, 3.4087492E+000, 3.3970517E+000
 1.4256813E+000, 1.2553219E+002, 3.3851710E+000, 3.3649073E+000, 3.3478653E+000
 1.4863500E+000, 1.1896538E+002, 3.3345515E+000, 3.3196117E+000, 3.3055769E+000
 1.5470188E+000, 1.1312484E+002, 3.2848524E+000, 3.2734720E+000, 3.2553235E+000
 1.6076875E+000, 1.0764673E+002, 3.2360431E+000, 3.2271014E+000, 3.2121895E+000
 1.6683562E+000, 1.0277105E+002, 3.1890556E+000, 3.1811035E+000, 3.1608136E+000
 1.7290250E+000, 9.8219484E+001, 3.1417084E+000, 3.1336309E+000, 3.1172649E+000
 1.7896938E+000, 9.4023594E+001, 3.0949922E+000, 3.0851935E+000, 3.0625076E+000
 1.8503625E+000, 9.0060520E+001, 3.0438568E+000, 3.0323640E+000, 3.0150359E+000
 1.9110313E+000, 8.6375247E+001, 2.9928047E+000, 2.9795542E+000, 2.9542188E+000
 1.9717000E+000, 8.2993445E+001, 2.9406570E+000, 2.9265807E+000, 2.9046322E+000
 2.0323687E+000, 7.9920127E+001, 2.8911423E+000, 2.8759550E+000, 2.8437883E+000
 2.0930375E+000, 7.7045051E+001, 2.8444570E+000, 2.8268723E+000, 2.7983362E+000
 2.1537062E+000, 7.4475572E+001, 2.8029428E+000, 2.7830393E+000, 2.7428041E+000
 2.2143750E+000, 7.1994083E+001, 2.7631125E+000, 2.7399380E+000, 2.7055440E+000
 2.2750438E+000, 6.9842329E+001, 2.7214310E+000, 2.6965247E+000, 2.6545059E+000
 2.3357125E+000, 6.7700533E+001, 2.6838761E+000, 2.6575541E+000, 2.6210696E+000
 2.3963812E+000, 6.5791748E+001, 2.6459221E+000, 2.6186543E+000, 2.5739275E+000
 2.4570500E+000, 6.3884844E+001, 2.6114367E+000, 2.5844241E+000, 2.5433991E+000
 2.5177187E+000, 6.2103723E+001, 2.5793695E+000, 2.5505671E+000, 2.5029181E+000
 2.5783875E+000, 6.0308180E+001, 2.5511894E+000, 2.5204710E+000, 2.4772948E+000
 2.6390562E+000, 5.8643645E+001, 2.5247966E+000, 2.4936193E+000, 2.4418153E+000
 2.6997250E+000, 5.7049966E+001, 2.4943690E+000, 2.4622276E+000, 2.4218484E+000
 2.7603937E+000, 5.5510223E+001, 2.4800485E+000, 2.4456570E+000, 2.3821804E+000
 2.8210625E+000, 5.4189871E+001, 2.4378952E+000, 2.4047152E+000, 2.3707496E+000
 2.8817313E+000, 5.2693401E+001, 2.4335243E+000, 2.3934444E+000, 2.3199877E+000
 2.9424000E+000, 5.1129075E+001, 2.3499413E+000, 2.3185493E+000, 2.3112867E+000
