m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1897345E+000
 8.0000000E-001, 2.1874743E+000
 1.2000000E+000, 2.1844507E+000
 1.6000000E+000, 2.1860475E+000
 2.0000000E+000, 2.1855310E+000
 2.4000000E+000, 2.1796811E+000
 2.8000000E+000, 2.1688138E+000
 3.2000000E+000, 2.1576655E+000
 3.6000000E+000, 2.1466434E+000
 4.0000000E+000, 2.1372001E+000
 4.4000000E+000, 2.1285156E+000
 4.8000000E+000, 2.1192287E+000
 5.2000000E+000, 2.1073593E+000
 5.6000000E+000, 2.0929500E+000
 6.0000000E+000, 2.0750755E+000
 6.4000000E+000, 2.0534511E+000
 6.8000000E+000, 2.0240710E+000
 7.2000000E+000, 1.9782348E+000
 7.6000000E+000, 1.9232667E+000
 8.0000000E+000, 1.8655618E+000
 8.4000000E+000, 1.7961089E+000
 8.8000000E+000, 1.7182062E+000
 9.2000000E+000, 1.6440345E+000
 9.6000000E+000, 1.5584955E+000
 1.0000000E+001, 1.4911039E+000
 1.0400000E+001, 1.4408808E+000
 1.0800000E+001, 1.4027730E+000
 1.1200000E+001, 1.3167134E+000
 1.1600000E+001, 1.2465949E+000
 1.2000000E+001, 1.1980286E+000
 1.2400000E+001, 1.1400405E+000
 1.2800000E+001, 1.1037283E+000
 1.3200000E+001, 1.0635052E+000
 1.3600000E+001, 1.0122242E+000
 1.4000000E+001, 9.6567533E-001
 1.4400000E+001, 9.1203567E-001
 1.4800000E+001, 8.5690585E-001
 1.5200000E+001, 7.9630322E-001
 1.5600000E+001, 7.7656051E-001
 1.6000000E+001, 7.4979172E-001
 1.6400000E+001, 7.1851134E-001
 1.6800000E+001, 6.9413702E-001
 1.7200000E+001, 6.8575180E-001
 1.7600000E+001, 6.5488163E-001
 1.8000000E+001, 6.3073906E-001
 1.8400000E+001, 6.0971010E-001
 1.8800000E+001, 6.0171750E-001
 1.9200000E+001, 5.9060996E-001
 1.9600000E+001, 5.6895649E-001
 1.9999000E+001, 5.5398654E-001
