m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1372118E+000
 8.0000000E-001, 2.1342993E+000
 1.2000000E+000, 2.1326522E+000
 1.6000000E+000, 2.1321054E+000
 2.0000000E+000, 2.1288147E+000
 2.4000000E+000, 2.1230324E+000
 2.8000000E+000, 2.1122139E+000
 3.2000000E+000, 2.1010619E+000
 3.6000000E+000, 2.0893684E+000
 4.0000000E+000, 2.0779402E+000
 4.4000000E+000, 2.0623088E+000
 4.8000000E+000, 2.0455337E+000
 5.2000000E+000, 2.0246946E+000
 5.6000000E+000, 1.9888439E+000
 6.0000000E+000, 1.9484694E+000
 6.4000000E+000, 1.8777185E+000
 6.8000000E+000, 1.7700528E+000
 7.2000000E+000, 1.6711038E+000
 7.6000000E+000, 1.5679728E+000
 8.0000000E+000, 1.4890328E+000
 8.4000000E+000, 1.4222494E+000
 8.8000000E+000, 1.3559680E+000
 9.2000000E+000, 1.3167233E+000
 9.6000000E+000, 1.2765806E+000
 1.0000000E+001, 1.2223749E+000
 1.0400000E+001, 1.1825603E+000
 1.0800000E+001, 1.1500050E+000
 1.1200000E+001, 1.1241180E+000
 1.1600000E+001, 1.1008621E+000
 1.2000000E+001, 1.0858572E+000
 1.2400000E+001, 1.0524359E+000
 1.2800000E+001, 1.0242498E+000
 1.3200000E+001, 9.7933215E-001
 1.3600000E+001, 9.2316222E-001
 1.4000000E+001, 8.7069160E-001
 1.4400000E+001, 8.3159905E-001
 1.4800000E+001, 8.0250024E-001
 1.5200000E+001, 7.6385365E-001
 1.5600000E+001, 7.3956053E-001
 1.6000000E+001, 7.2798156E-001
 1.6400000E+001, 6.9318240E-001
 1.6800000E+001, 6.6684842E-001
 1.7200000E+001, 6.5471721E-001
 1.7600000E+001, 6.4310113E-001
 1.8000000E+001, 6.3033156E-001
 1.8400000E+001, 6.0599540E-001
 1.8800000E+001, 5.8956359E-001
 1.9200000E+001, 5.8377682E-001
 1.9600000E+001, 5.7212322E-001
 1.9999000E+001, 5.6601303E-001
