m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1867047E+000
 8.0000000E-001, 2.1958042E+000
 1.2000000E+000, 2.2082339E+000
 1.6000000E+000, 2.2201566E+000
 2.0000000E+000, 2.2198441E+000
 2.4000000E+000, 2.2134575E+000
 2.8000000E+000, 2.2101895E+000
 3.2000000E+000, 2.2021721E+000
 3.6000000E+000, 2.1943974E+000
 4.0000000E+000, 2.1639899E+000
 4.4000000E+000, 2.0992972E+000
 4.8000000E+000, 1.9843925E+000
 5.2000000E+000, 1.8586676E+000
 5.6000000E+000, 1.7357606E+000
 6.0000000E+000, 1.6458427E+000
 6.4000000E+000, 1.5637897E+000
 6.8000000E+000, 1.4937860E+000
 7.2000000E+000, 1.4097449E+000
 7.6000000E+000, 1.3401091E+000
 8.0000000E+000, 1.2957070E+000
 8.4000000E+000, 1.2363222E+000
 8.8000000E+000, 1.1968200E+000
 9.2000000E+000, 1.1585046E+000
 9.6000000E+000, 1.1168069E+000
 1.0000000E+001, 1.0732779E+000
 1.0400000E+001, 1.0056407E+000
 1.0800000E+001, 9.6012002E-001
 1.1200000E+001, 9.1960046E-001
 1.1600000E+001, 8.9923400E-001
 1.2000000E+001, 8.6902476E-001
 1.2400000E+001, 8.3924219E-001
 1.2800000E+001, 8.3418599E-001
 1.3200000E+001, 8.2054174E-001
 1.3600000E+001, 8.2086134E-001
 1.4000000E+001, 7.9722161E-001
 1.4400000E+001, 7.5183023E-001
 1.4800000E+001, 7.0596899E-001
 1.5200000E+001, 6.9397910E-001
 1.5600000E+001, 6.8652264E-001
 1.6000000E+001, 6.6509353E-001
 1.6400000E+001, 6.4270187E-001
 1.6800000E+001, 6.1941148E-001
 1.7200000E+001, 6.1106224E-001
 1.7600000E+001, 5.8822777E-001
 1.8000000E+001, 5.8051670E-001
 1.8400000E+001, 5.7496121E-001
 1.8800000E+001, 5.5461437E-001
 1.9200000E+001, 5.4560707E-001
 1.9600000E+001, 5.3109951E-001
 1.9999500E+001, 5.1177368E-001
