m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1755200E+000
 8.0000000E-001, 2.1685160E+000
 1.2000000E+000, 2.1706462E+000
 1.6000000E+000, 2.1733673E+000
 2.0000000E+000, 2.1671268E+000
 2.4000000E+000, 2.1673401E+000
 2.8000000E+000, 2.1650619E+000
 3.2000000E+000, 2.1522249E+000
 3.6000000E+000, 2.1229230E+000
 4.0000000E+000, 2.0713684E+000
 4.4000000E+000, 1.9891957E+000
 4.8000000E+000, 1.9147842E+000
 5.2000000E+000, 1.8420690E+000
 5.6000000E+000, 1.7408999E+000
 6.0000000E+000, 1.6592984E+000
 6.4000000E+000, 1.5878462E+000
 6.8000000E+000, 1.5171964E+000
 7.2000000E+000, 1.4492404E+000
 7.6000000E+000, 1.3732279E+000
 8.0000000E+000, 1.3051874E+000
 8.4000000E+000, 1.2291891E+000
 8.8000000E+000, 1.1823841E+000
 9.2000000E+000, 1.1398701E+000
 9.6000000E+000, 1.1185031E+000
 1.0000000E+001, 1.1047662E+000
 1.0400000E+001, 1.0894873E+000
 1.0800000E+001, 1.0472755E+000
 1.1200000E+001, 1.0111220E+000
 1.1600000E+001, 9.7664498E-001
 1.2000000E+001, 9.4952583E-001
 1.2400000E+001, 9.2636393E-001
 1.2800000E+001, 8.9331350E-001
 1.3200000E+001, 8.5355254E-001
 1.3600000E+001, 8.3922920E-001
 1.4000000E+001, 8.0985617E-001
 1.4400000E+001, 7.8345588E-001
 1.4800000E+001, 7.5734996E-001
 1.5200000E+001, 7.2317625E-001
 1.5600000E+001, 7.0437159E-001
 1.6000000E+001, 6.7989279E-001
 1.6400000E+001, 6.5956158E-001
 1.6800000E+001, 6.4448662E-001
 1.7200000E+001, 6.1530117E-001
 1.7600000E+001, 5.7690898E-001
 1.8000000E+001, 5.5736678E-001
 1.8400000E+001, 5.4148751E-001
 1.8800000E+001, 5.0212511E-001
 1.9200000E+001, 4.7410804E-001
 1.9600000E+001, 4.5407028E-001
 1.9999500E+001, 4.2772553E-001
