m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1521841E+000
 8.0000000E-001, 2.1407384E+000
 1.2000000E+000, 2.1370254E+000
 1.6000000E+000, 2.1330488E+000
 2.0000000E+000, 2.1340214E+000
 2.4000000E+000, 2.1310156E+000
 2.8000000E+000, 2.1185871E+000
 3.2000000E+000, 2.1013223E+000
 3.6000000E+000, 2.0715038E+000
 4.0000000E+000, 2.0212873E+000
 4.4000000E+000, 1.9580098E+000
 4.8000000E+000, 1.8951717E+000
 5.2000000E+000, 1.8230829E+000
 5.6000000E+000, 1.7412089E+000
 6.0000000E+000, 1.6605831E+000
 6.4000000E+000, 1.5774486E+000
 6.8000000E+000, 1.4890417E+000
 7.2000000E+000, 1.4273413E+000
 7.6000000E+000, 1.3819018E+000
 8.0000000E+000, 1.3327031E+000
 8.4000000E+000, 1.2870758E+000
 8.8000000E+000, 1.2290142E+000
 9.2000000E+000, 1.1662386E+000
 9.6000000E+000, 1.1470766E+000
 1.0000000E+001, 1.1021526E+000
 1.0400000E+001, 1.0463425E+000
 1.0800000E+001, 9.9673163E-001
 1.1200000E+001, 9.6222637E-001
 1.1600000E+001, 9.2403577E-001
 1.2000000E+001, 9.0338185E-001
 1.2400000E+001, 8.7742513E-001
 1.2800000E+001, 8.5528046E-001
 1.3200000E+001, 8.3277816E-001
 1.3600000E+001, 8.2549559E-001
 1.4000000E+001, 8.0842959E-001
 1.4400000E+001, 7.8774484E-001
 1.4800000E+001, 7.4767191E-001
 1.5200000E+001, 7.1976788E-001
 1.5600000E+001, 6.9296008E-001
 1.6000000E+001, 6.9536452E-001
 1.6400000E+001, 6.9155292E-001
 1.6800000E+001, 6.8222419E-001
 1.7200000E+001, 6.6435226E-001
 1.7600000E+001, 6.5878450E-001
 1.8000000E+001, 6.5343522E-001
 1.8400000E+001, 6.4866447E-001
 1.8800000E+001, 6.3611951E-001
 1.9200000E+001, 6.1666444E-001
 1.9600000E+001, 5.9557660E-001
 1.9999500E+001, 5.7497565E-001
