m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1456174E+000
 8.0000000E-001, 2.1424361E+000
 1.2000000E+000, 2.1373456E+000
 1.6000000E+000, 2.1331571E+000
 2.0000000E+000, 2.1275366E+000
 2.4000000E+000, 2.1231553E+000
 2.8000000E+000, 2.1145487E+000
 3.2000000E+000, 2.1033799E+000
 3.6000000E+000, 2.0861966E+000
 4.0000000E+000, 2.0674393E+000
 4.4000000E+000, 2.0452975E+000
 4.8000000E+000, 2.0054194E+000
 5.2000000E+000, 1.9529662E+000
 5.6000000E+000, 1.9028881E+000
 6.0000000E+000, 1.8248981E+000
 6.4000000E+000, 1.7244421E+000
 6.8000000E+000, 1.6576401E+000
 7.2000000E+000, 1.5929203E+000
 7.6000000E+000, 1.5135017E+000
 8.0000000E+000, 1.4382572E+000
 8.4000000E+000, 1.3734028E+000
 8.8000000E+000, 1.3212591E+000
 9.2000000E+000, 1.2663374E+000
 9.6000000E+000, 1.2106308E+000
 1.0000000E+001, 1.1778899E+000
 1.0400000E+001, 1.1563878E+000
 1.0800000E+001, 1.1378985E+000
 1.1200000E+001, 1.1010486E+000
 1.1600000E+001, 1.0610518E+000
 1.2000000E+001, 1.0259818E+000
 1.2400000E+001, 9.9277252E-001
 1.2800000E+001, 9.5786944E-001
 1.3200000E+001, 9.3329728E-001
 1.3600000E+001, 9.0659357E-001
 1.4000000E+001, 8.6568583E-001
 1.4400000E+001, 8.4770311E-001
 1.4800000E+001, 8.0990295E-001
 1.5200000E+001, 7.7206896E-001
 1.5600000E+001, 7.4061726E-001
 1.6000000E+001, 7.0311701E-001
 1.6400000E+001, 6.8368158E-001
 1.6800000E+001, 6.5512744E-001
 1.7200000E+001, 6.2463766E-001
 1.7600000E+001, 6.0291117E-001
 1.8000000E+001, 5.8235308E-001
 1.8400000E+001, 5.6645825E-001
 1.8800000E+001, 5.4257622E-001
 1.9200000E+001, 5.3288314E-001
 1.9600000E+001, 5.2349053E-001
 1.9999000E+001, 5.1519834E-001
