m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.0606761E+000
 8.0000000E-001, 2.0532351E+000
 1.2000000E+000, 2.0492847E+000
 1.6000000E+000, 2.0472391E+000
 2.0000000E+000, 2.0409092E+000
 2.4000000E+000, 2.0317797E+000
 2.8000000E+000, 2.0179938E+000
 3.2000000E+000, 1.9984219E+000
 3.6000000E+000, 1.9717500E+000
 4.0000000E+000, 1.9398127E+000
 4.4000000E+000, 1.9011412E+000
 4.8000000E+000, 1.8529559E+000
 5.2000000E+000, 1.8047592E+000
 5.6000000E+000, 1.7494668E+000
 6.0000000E+000, 1.6735683E+000
 6.4000000E+000, 1.5794435E+000
 6.8000000E+000, 1.4867997E+000
 7.2000000E+000, 1.4204979E+000
 7.6000000E+000, 1.3705813E+000
 8.0000000E+000, 1.3292530E+000
 8.4000000E+000, 1.2726035E+000
 8.8000000E+000, 1.2197545E+000
 9.2000000E+000, 1.1709387E+000
 9.6000000E+000, 1.1198055E+000
 1.0000000E+001, 1.0859222E+000
 1.0400000E+001, 1.0617216E+000
 1.0800000E+001, 1.0304962E+000
 1.1200000E+001, 1.0045015E+000
 1.1600000E+001, 9.6417118E-001
 1.2000000E+001, 9.3324325E-001
 1.2400000E+001, 9.0728679E-001
 1.2800000E+001, 8.7040894E-001
 1.3200000E+001, 8.2627377E-001
 1.3600000E+001, 7.9589871E-001
 1.4000000E+001, 7.7503535E-001
 1.4400000E+001, 7.4611724E-001
 1.4800000E+001, 7.1124356E-001
 1.5200000E+001, 6.9598502E-001
 1.5600000E+001, 6.6982175E-001
 1.6000000E+001, 6.3754288E-001
 1.6400000E+001, 6.0954078E-001
 1.6800000E+001, 5.8702265E-001
 1.7200000E+001, 5.6920340E-001
 1.7600000E+001, 5.5976495E-001
 1.8000000E+001, 5.4484083E-001
 1.8400000E+001, 5.3823937E-001
 1.8800000E+001, 5.3219856E-001
 1.9200000E+001, 5.2072233E-001
 1.9600000E+001, 5.1893200E-001
 1.9999000E+001, 5.0927140E-001
