m,kW/m2
Tot_Flux-z,Tot_Flux
 1.650E-02, 4.995E+01
 4.950E-02, 5.203E+01
 8.250E-02, 4.939E+01
 1.155E-01, 4.455E+01
 1.485E-01, 3.983E+01
 1.815E-01, 3.580E+01
 2.145E-01, 3.241E+01
 2.475E-01, 2.953E+01
 2.805E-01, 2.702E+01
 3.135E-01, 2.475E+01
 3.465E-01, 2.266E+01
 3.795E-01, 2.072E+01
 4.125E-01, 1.893E+01
 4.455E-01, 1.729E+01
 4.785E-01, 1.576E+01
 5.115E-01, 1.434E+01
 5.445E-01, 1.304E+01
 5.775E-01, 1.185E+01
 6.105E-01, 1.077E+01
 6.435E-01, 9.773E+00
 6.765E-01, 8.877E+00
 7.095E-01, 8.082E+00
 7.425E-01, 7.373E+00
 7.755E-01, 6.740E+00
 8.085E-01, 6.175E+00
 8.415E-01, 5.671E+00
 8.745E-01, 5.221E+00
 9.075E-01, 4.817E+00
 9.405E-01, 4.458E+00
 9.735E-01, 4.136E+00
 1.006E+00, 3.847E+00
 1.039E+00, 3.588E+00
 1.073E+00, 3.353E+00
 1.105E+00, 3.140E+00
 1.139E+00, 2.946E+00
 1.171E+00, 2.768E+00
 1.204E+00, 2.608E+00
 1.238E+00, 2.467E+00
 1.270E+00, 2.343E+00
 1.303E+00, 2.235E+00
 1.336E+00, 2.138E+00
 1.369E+00, 2.050E+00
 1.402E+00, 1.971E+00
 1.435E+00, 1.899E+00
 1.468E+00, 1.834E+00
 1.502E+00, 1.774E+00
 1.534E+00, 1.716E+00
 1.567E+00, 1.663E+00
 1.601E+00, 1.612E+00
 1.633E+00, 1.567E+00
 1.667E+00, 1.527E+00
 1.700E+00, 1.491E+00
 1.733E+00, 1.457E+00
 1.766E+00, 1.426E+00
 1.798E+00, 1.396E+00
 1.831E+00, 1.367E+00
 1.864E+00, 1.338E+00
 1.897E+00, 1.310E+00
 1.930E+00, 1.282E+00
 1.963E+00, 1.258E+00
 1.996E+00, 1.236E+00
 2.030E+00, 1.216E+00
 2.062E+00, 1.196E+00
 2.095E+00, 1.175E+00
 2.129E+00, 1.155E+00
 2.162E+00, 1.134E+00
 2.195E+00, 1.113E+00
 2.228E+00, 1.092E+00
 2.261E+00, 1.073E+00
 2.294E+00, 1.055E+00
 2.327E+00, 1.037E+00
 2.360E+00, 1.020E+00
 2.393E+00, 1.004E+00
 2.426E+00, 9.880E-01
 2.459E+00, 9.725E-01
 2.491E+00, 9.567E-01
 2.525E+00, 9.422E-01
 2.558E+00, 9.276E-01
 2.591E+00, 9.133E-01
 2.623E+00, 8.985E-01
 2.656E+00, 8.845E-01
 2.690E+00, 8.706E-01
 2.723E+00, 8.580E-01
 2.756E+00, 8.453E-01
 2.788E+00, 8.320E-01
 2.822E+00, 8.195E-01
 2.855E+00, 8.063E-01
 2.888E+00, 7.931E-01
 2.921E+00, 7.788E-01
 2.954E+00, 7.659E-01
 2.987E+00, 7.519E-01
 3.020E+00, 7.406E-01
 3.053E+00, 7.261E-01
