m,kW/m2
Tot_Flux-z,Tot_Flux
 2.150E-02, 5.027E+01
 6.497E-02, 5.494E+01
 1.084E-01, 5.454E+01
 1.519E-01, 5.181E+01
 1.954E-01, 4.874E+01
 2.388E-01, 4.613E+01
 2.823E-01, 4.405E+01
 3.258E-01, 4.230E+01
 3.692E-01, 4.073E+01
 4.127E-01, 3.922E+01
 4.562E-01, 3.766E+01
 4.996E-01, 3.606E+01
 5.431E-01, 3.438E+01
 5.866E-01, 3.261E+01
 6.300E-01, 3.077E+01
 6.735E-01, 2.890E+01
 7.170E-01, 2.704E+01
 7.604E-01, 2.524E+01
 8.039E-01, 2.350E+01
 8.474E-01, 2.184E+01
 8.908E-01, 2.024E+01
 9.343E-01, 1.872E+01
 9.778E-01, 1.727E+01
 1.021E+00, 1.591E+01
 1.065E+00, 1.464E+01
 1.108E+00, 1.345E+01
 1.152E+00, 1.236E+01
 1.195E+00, 1.136E+01
 1.239E+00, 1.045E+01
 1.282E+00, 9.610E+00
 1.326E+00, 8.838E+00
 1.369E+00, 8.130E+00
 1.412E+00, 7.488E+00
 1.456E+00, 6.896E+00
 1.499E+00, 6.366E+00
 1.543E+00, 5.887E+00
 1.586E+00, 5.460E+00
 1.630E+00, 5.075E+00
 1.673E+00, 4.737E+00
 1.717E+00, 4.437E+00
 1.760E+00, 4.169E+00
 1.804E+00, 3.927E+00
 1.847E+00, 3.708E+00
 1.891E+00, 3.512E+00
 1.934E+00, 3.336E+00
 1.978E+00, 3.178E+00
 2.021E+00, 3.037E+00
 2.064E+00, 2.796E+00
 2.108E+00, 2.692E+00
 2.151E+00, 2.592E+00
 2.195E+00, 2.498E+00
 2.238E+00, 2.411E+00
 2.282E+00, 2.332E+00
 2.325E+00, 2.258E+00
 2.369E+00, 2.187E+00
 2.412E+00, 2.118E+00
 2.456E+00, 2.051E+00
 2.499E+00, 1.989E+00
 2.543E+00, 1.932E+00
 2.586E+00, 1.880E+00
 2.630E+00, 1.831E+00
 2.673E+00, 1.788E+00
 2.716E+00, 1.748E+00
 2.760E+00, 1.711E+00
 2.803E+00, 1.675E+00
 2.847E+00, 1.640E+00
 2.890E+00, 1.605E+00
 2.934E+00, 1.572E+00
 2.977E+00, 1.542E+00
 3.021E+00, 1.510E+00
 3.064E+00, 1.479E+00
 3.108E+00, 1.448E+00
 3.151E+00, 1.418E+00
 3.195E+00, 1.390E+00
 3.238E+00, 1.363E+00
 3.282E+00, 1.336E+00
 3.325E+00, 1.309E+00
 3.368E+00, 1.282E+00
 3.412E+00, 1.257E+00
 3.455E+00, 1.231E+00
 3.499E+00, 1.207E+00
 3.542E+00, 1.182E+00
 3.586E+00, 1.160E+00
 3.629E+00, 1.138E+00
 3.673E+00, 1.116E+00
 3.716E+00, 1.094E+00
 3.760E+00, 1.071E+00
 3.803E+00, 1.050E+00
 3.847E+00, 1.028E+00
 3.890E+00, 1.008E+00
 3.934E+00, 9.876E-01
 3.977E+00, 9.727E-01
 4.021E+00, 9.511E-01
