m,kW/m2
Tot_Flux-z,Tot_Flux
 2.000E-02, 5.736E+01
 9.587E-02, 6.548E+01
 1.717E-01, 6.741E+01
 2.476E-01, 6.618E+01
 3.235E-01, 6.444E+01
 3.993E-01, 6.297E+01
 4.752E-01, 6.172E+01
 5.511E-01, 6.059E+01
 6.270E-01, 5.952E+01
 7.028E-01, 5.839E+01
 7.787E-01, 5.708E+01
 8.546E-01, 5.562E+01
 9.304E-01, 5.392E+01
 1.006E+00, 5.198E+01
 1.082E+00, 4.981E+01
 1.158E+00, 4.748E+01
 1.234E+00, 4.500E+01
 1.310E+00, 4.237E+01
 1.386E+00, 3.973E+01
 1.462E+00, 3.716E+01
 1.537E+00, 3.464E+01
 1.613E+00, 3.220E+01
 1.689E+00, 2.984E+01
 1.765E+00, 2.758E+01
 1.841E+00, 2.540E+01
 1.917E+00, 2.333E+01
 1.993E+00, 2.143E+01
 2.068E+00, 1.969E+01
 2.144E+00, 1.810E+01
 2.220E+00, 1.525E+01
 2.296E+00, 1.396E+01
 2.372E+00, 1.278E+01
 2.448E+00, 1.172E+01
 2.524E+00, 1.077E+01
 2.600E+00, 9.909E+00
 2.675E+00, 9.110E+00
 2.751E+00, 8.362E+00
 2.827E+00, 7.687E+00
 2.903E+00, 7.092E+00
 2.979E+00, 6.576E+00
 3.055E+00, 6.122E+00
 3.131E+00, 5.713E+00
 3.207E+00, 5.344E+00
 3.282E+00, 5.015E+00
 3.358E+00, 4.723E+00
 3.434E+00, 4.460E+00
 3.510E+00, 4.225E+00
 3.586E+00, 4.019E+00
 3.662E+00, 3.837E+00
 3.738E+00, 3.673E+00
 3.813E+00, 3.523E+00
 3.889E+00, 3.386E+00
 3.965E+00, 3.259E+00
 4.041E+00, 3.138E+00
 4.117E+00, 3.023E+00
 4.193E+00, 2.913E+00
 4.269E+00, 2.812E+00
 4.345E+00, 2.721E+00
 4.420E+00, 2.640E+00
 4.496E+00, 2.569E+00
 4.572E+00, 2.501E+00
 4.648E+00, 2.435E+00
 4.724E+00, 2.369E+00
 4.800E+00, 2.307E+00
 4.876E+00, 2.244E+00
 4.952E+00, 2.183E+00
 5.027E+00, 2.123E+00
 5.103E+00, 2.066E+00
 5.179E+00, 2.012E+00
 5.255E+00, 1.909E+00
 5.331E+00, 1.860E+00
 5.407E+00, 1.813E+00
 5.483E+00, 1.769E+00
 5.558E+00, 1.727E+00
 5.634E+00, 1.690E+00
 5.710E+00, 1.657E+00
 5.786E+00, 1.628E+00
 5.862E+00, 1.599E+00
 5.938E+00, 1.570E+00
 6.014E+00, 1.541E+00
 6.090E+00, 1.514E+00
 6.165E+00, 1.488E+00
 6.241E+00, 1.461E+00
 6.317E+00, 1.435E+00
 6.393E+00, 1.409E+00
 6.469E+00, 1.383E+00
 6.545E+00, 1.357E+00
 6.621E+00, 1.334E+00
 6.697E+00, 1.307E+00
 6.772E+00, 1.285E+00
 6.848E+00, 1.259E+00
 6.924E+00, 1.235E+00
 7.000E+00, 1.204E+00
