m,kW/m2
Tot_Flux-z,Tot_Flux
 1.950E-02, 4.168E+01
 5.892E-02, 4.707E+01
 9.835E-02, 4.855E+01
 1.378E-01, 4.774E+01
 1.772E-01, 4.630E+01
 2.166E-01, 4.504E+01
 2.560E-01, 4.405E+01
 2.955E-01, 4.326E+01
 3.349E-01, 4.251E+01
 3.743E-01, 4.168E+01
 4.137E-01, 4.073E+01
 4.532E-01, 3.962E+01
 4.926E-01, 3.829E+01
 5.320E-01, 3.678E+01
 5.714E-01, 3.517E+01
 6.109E-01, 3.347E+01
 6.503E-01, 3.173E+01
 6.897E-01, 2.993E+01
 7.291E-01, 2.810E+01
 7.686E-01, 2.629E+01
 8.080E-01, 2.449E+01
 8.474E-01, 2.278E+01
 8.868E-01, 2.114E+01
 9.263E-01, 1.958E+01
 9.657E-01, 1.810E+01
 1.005E+00, 1.668E+01
 1.045E+00, 1.537E+01
 1.084E+00, 1.416E+01
 1.123E+00, 1.303E+01
 1.163E+00, 1.196E+01
 1.202E+00, 1.098E+01
 1.242E+00, 1.010E+01
 1.281E+00, 9.295E+00
 1.320E+00, 8.558E+00
 1.360E+00, 7.888E+00
 1.399E+00, 7.278E+00
 1.439E+00, 6.718E+00
 1.478E+00, 6.197E+00
 1.518E+00, 5.720E+00
 1.557E+00, 5.296E+00
 1.596E+00, 4.922E+00
 1.636E+00, 4.587E+00
 1.675E+00, 4.282E+00
 1.715E+00, 4.004E+00
 1.754E+00, 3.755E+00
 1.794E+00, 3.530E+00
 1.833E+00, 3.138E+00
 1.872E+00, 2.968E+00
 1.912E+00, 2.815E+00
 1.951E+00, 2.678E+00
 1.991E+00, 2.554E+00
 2.030E+00, 2.440E+00
 2.070E+00, 2.336E+00
 2.109E+00, 2.241E+00
 2.148E+00, 2.154E+00
 2.188E+00, 2.072E+00
 2.227E+00, 1.996E+00
 2.267E+00, 1.926E+00
 2.306E+00, 1.860E+00
 2.346E+00, 1.797E+00
 2.385E+00, 1.737E+00
 2.424E+00, 1.679E+00
 2.464E+00, 1.624E+00
 2.503E+00, 1.574E+00
 2.543E+00, 1.527E+00
 2.582E+00, 1.484E+00
 2.621E+00, 1.447E+00
 2.661E+00, 1.414E+00
 2.700E+00, 1.385E+00
 2.740E+00, 1.357E+00
 2.779E+00, 1.331E+00
 2.819E+00, 1.306E+00
 2.858E+00, 1.283E+00
 2.897E+00, 1.261E+00
 2.937E+00, 1.238E+00
 2.976E+00, 1.217E+00
 3.016E+00, 1.196E+00
 3.055E+00, 1.174E+00
 3.095E+00, 1.153E+00
 3.134E+00, 1.132E+00
 3.173E+00, 1.113E+00
 3.213E+00, 1.092E+00
 3.252E+00, 1.072E+00
 3.292E+00, 1.051E+00
 3.331E+00, 1.030E+00
 3.371E+00, 1.010E+00
 3.410E+00, 9.901E-01
 3.449E+00, 9.714E-01
 3.489E+00, 9.515E-01
 3.528E+00, 9.327E-01
 3.568E+00, 9.122E-01
 3.607E+00, 8.962E-01
 3.647E+00, 8.751E-01
