m,kW/m2
Tot_Flux-z,Tot_Flux
 1.500E-02, 3.603E+01
 4.500E-02, 3.452E+01
 7.500E-02, 3.055E+01
 1.050E-01, 2.621E+01
 1.350E-01, 2.223E+01
 1.650E-01, 1.885E+01
 1.950E-01, 1.615E+01
 2.250E-01, 1.403E+01
 2.550E-01, 1.235E+01
 2.850E-01, 1.097E+01
 3.150E-01, 9.823E+00
 3.450E-01, 8.830E+00
 3.750E-01, 7.953E+00
 4.050E-01, 7.173E+00
 4.350E-01, 6.477E+00
 4.650E-01, 5.855E+00
 4.950E-01, 5.299E+00
 5.250E-01, 4.803E+00
 5.550E-01, 4.359E+00
 5.850E-01, 3.961E+00
 6.150E-01, 3.605E+00
 6.450E-01, 3.287E+00
 6.750E-01, 3.001E+00
 7.050E-01, 2.747E+00
 7.350E-01, 2.523E+00
 7.650E-01, 2.327E+00
 7.950E-01, 2.155E+00
 8.250E-01, 2.006E+00
 8.550E-01, 1.877E+00
 8.850E-01, 1.761E+00
 9.150E-01, 1.660E+00
 9.450E-01, 1.569E+00
 9.750E-01, 1.490E+00
 1.005E+00, 1.419E+00
 1.035E+00, 1.355E+00
 1.065E+00, 1.298E+00
 1.095E+00, 1.248E+00
 1.125E+00, 1.202E+00
 1.155E+00, 1.160E+00
 1.185E+00, 1.121E+00
 1.215E+00, 1.086E+00
 1.245E+00, 1.055E+00
 1.275E+00, 1.027E+00
 1.305E+00, 1.002E+00
 1.335E+00, 9.786E-01
 1.365E+00, 9.575E-01
 1.395E+00, 9.377E-01
 1.425E+00, 9.192E-01
 1.455E+00, 9.012E-01
 1.485E+00, 8.832E-01
 1.515E+00, 8.661E-01
 1.545E+00, 8.494E-01
 1.575E+00, 8.344E-01
 1.605E+00, 8.193E-01
 1.635E+00, 8.045E-01
 1.665E+00, 7.908E-01
 1.695E+00, 7.781E-01
 1.725E+00, 7.659E-01
 1.755E+00, 7.538E-01
 1.785E+00, 7.416E-01
 1.815E+00, 7.298E-01
 1.845E+00, 7.174E-01
 1.875E+00, 7.056E-01
 1.905E+00, 6.940E-01
 1.935E+00, 6.829E-01
 1.965E+00, 6.723E-01
 1.995E+00, 6.619E-01
 2.025E+00, 6.520E-01
 2.055E+00, 6.429E-01
 2.085E+00, 6.337E-01
 2.115E+00, 6.254E-01
 2.145E+00, 6.164E-01
 2.175E+00, 6.088E-01
 2.205E+00, 6.021E-01
 2.235E+00, 5.962E-01
 2.265E+00, 5.906E-01
 2.295E+00, 5.847E-01
 2.325E+00, 5.789E-01
 2.355E+00, 5.727E-01
 2.385E+00, 5.660E-01
 2.415E+00, 5.585E-01
 2.445E+00, 5.512E-01
 2.475E+00, 5.435E-01
 2.505E+00, 5.364E-01
 2.535E+00, 5.288E-01
 2.565E+00, 5.221E-01
 2.595E+00, 5.150E-01
 2.625E+00, 5.090E-01
 2.655E+00, 5.020E-01
 2.685E+00, 4.971E-01
 2.715E+00, 4.907E-01
 2.745E+00, 4.865E-01
 2.775E+00, 4.806E-01
